candidate_evaluations,hypervolume_contributions
"[{'Latency': 9.8856, 'Perplexity': 27.1704}, {'Latency': 18.0853, 'Perplexity': 20.6879}, {'Latency': 9.8856, 'Perplexity': 27.1704}, {'Latency': 15.1486, 'Perplexity': 22.0231}, {'Latency': 18.0853, 'Perplexity': 20.6879}]","[4.5718338537170666e-07, 0.012334741687983541, 4.5718338537170666e-07, 9.992260907587536e-08, 0.012334741687983541]"
"[{'Latency': 9.8856, 'Perplexity': 27.1704}, {'Latency': 15.1486, 'Perplexity': 22.0231}, {'Latency': 6.7271, 'Perplexity': 36.2223}, {'Latency': 18.0853, 'Perplexity': 20.6879}, {'Latency': 10.2519, 'Perplexity': 26.8626}]","[3.6756556198724866e-07, 8.033561837983427e-08, 0.027888858370676894, 0.00410225115735785, 0.00854249011296715]"
"[{'Latency': 12.8743, 'Perplexity': 23.7301}, {'Latency': 9.8457, 'Perplexity': 27.7901}, {'Latency': 9.8856, 'Perplexity': 27.1704}, {'Latency': 10.2519, 'Perplexity': 26.8626}, {'Latency': 10.2519, 'Perplexity': 26.8626}]","[1.2307811481093722e-07, 2.3444649277504226e-06, 3.1869995953393015e-07, 0.006875173380724409, 0.006875173380724409]"
"[{'Latency': 9.8856, 'Perplexity': 27.1704}, {'Latency': 15.1486, 'Perplexity': 22.0231}, {'Latency': 10.251961898238369, 'Perplexity': 26.8625545501709}, {'Latency': 12.8743, 'Perplexity': 23.7301}, {'Latency': 8.3109, 'Perplexity': 35.201}]","[3.1869828576169823e-07, 1.1800700394637431e-07, 0.006875990112871433, 1.230774686611369e-07, 7.846883864903731e-07]"
"[{'Latency': 12.8743, 'Perplexity': 23.7301}, {'Latency': 16.5823, 'Perplexity': 21.0065}, {'Latency': 9.8856, 'Perplexity': 27.1704}, {'Latency': 9.3655, 'Perplexity': 28.1862}, {'Latency': 9.3655, 'Perplexity': 28.1862}]","[1.2307786478871208e-07, 4.938125921505332e-07, 3.18699311607773e-07, 4.481275350798342e-09, 4.481275350798342e-09]"
"[{'Latency': 10.251961898238369, 'Perplexity': 26.8625545501709}, {'Latency': 12.8743, 'Perplexity': 23.7301}, {'Latency': 9.8856, 'Perplexity': 27.1704}, {'Latency': 12.8743, 'Perplexity': 23.7301}, {'Latency': 10.251961898238369, 'Perplexity': 26.8625545501709}]","[0.006876026226439569, 1.2307811503298183e-07, 3.1869995953393015e-07, 1.2307811503298183e-07, 0.006876026226439569]"
"[{'Latency': 9.3655, 'Perplexity': 28.1862}, {'Latency': 10.251961898238369, 'Perplexity': 26.8625545501709}, {'Latency': 10.251961898238369, 'Perplexity': 26.8625545501709}, {'Latency': 9.3625, 'Perplexity': 28.4022}, {'Latency': 6.727100577360292, 'Perplexity': 36.222347259521484}]","[3.508633494853086e-09, 0.005383602734103543, 0.005383602734103543, 1.3894441153183834e-11, 0.032142071380030446]"
"[{'Latency': 12.8743, 'Perplexity': 23.7301}, {'Latency': 10.251961898238369, 'Perplexity': 26.8625545501709}, {'Latency': 9.9905, 'Perplexity': 27.3176}, {'Latency': 9.8856, 'Perplexity': 27.1704}, {'Latency': 12.8743, 'Perplexity': 23.7301}]","[1.0363875491137264e-07, 0.005790004144663019, 0.0, 2.683634452438355e-07, 1.0363875491137264e-07]"
"[{'Latency': 10.25196, 'Perplexity': 26.86255}, {'Latency': 9.9905, 'Perplexity': 27.3176}, {'Latency': 16.5823, 'Perplexity': 21.0065}, {'Latency': 12.8743, 'Perplexity': 23.7301}, {'Latency': 9.3655, 'Perplexity': 28.1862}]","[0.005790082526486939, 0.0, 4.667817801173868e-07, 9.029017533634942e-10, 3.773488632674571e-09]"
"[{'Latency': 10.251961898238369, 'Perplexity': 26.8625545501709}, {'Latency': 16.5823, 'Perplexity': 21.0065}, {'Latency': 9.3655, 'Perplexity': 28.1862}, {'Latency': 8.9363, 'Perplexity': 29.0142}, {'Latency': 12.8743, 'Perplexity': 23.7301}]","[0.0018149002911491685, 4.667817803394314e-07, 3.773488632674571e-09, 9.121246138388273e-07, 9.029017533634942e-10]"
