surrogate_model_prediction,benchmark_evaluation
"{'Latency': 18.0853, 'Perplexity': 20.6879}","{'Latency': 16.58231777052442, 'Perplexity': 21.006528854370117}"
"{'Latency': 6.7271, 'Perplexity': 36.2223}","{'Latency': 12.874280708533952, 'Perplexity': 23.730106353759766}"
"{'Latency': 10.2519, 'Perplexity': 26.8626}","{'Latency': 8.93631791408874, 'Perplexity': 29.014238357543945}"
"{'Latency': 10.251961898238369, 'Perplexity': 26.8625545501709}","{'Latency': 9.365481383167237, 'Perplexity': 28.186201095581055}"
"{'Latency': 16.5823, 'Perplexity': 21.0065}","{'Latency': 9.362499560629132, 'Perplexity': 28.40220069885254}"
"{'Latency': 10.251961898238369, 'Perplexity': 26.8625545501709}","{'Latency': 9.990534740073013, 'Perplexity': 27.31759262084961}"
"{'Latency': 6.727100577360292, 'Perplexity': 36.222347259521484}","{'Latency': 7.079600371738027, 'Perplexity': 35.67915344238281}"
"{'Latency': 10.251961898238369, 'Perplexity': 26.8625545501709}","{'Latency': 12.894113761320577, 'Perplexity': 23.583545684814453}"
"{'Latency': 10.25196, 'Perplexity': 26.86255}","{'Latency': 11.073939985411853, 'Perplexity': 26.769933700561523}"
"{'Latency': 10.251961898238369, 'Perplexity': 26.8625545501709}","{'Latency': 10.62199619047793, 'Perplexity': 26.52090072631836}"
"{'Latency': 8.3109, 'Perplexity': 35.201}","{'Latency': 8.729588967461904, 'Perplexity': 34.911705017089844}"
"{'Latency': 18.0853, 'Perplexity': 20.6879}","{'Latency': 15.214134749530439, 'Perplexity': 22.549652099609375}"
"{'Latency': 8.9363, 'Perplexity': 29.0142}","{'Latency': 9.522394917978302, 'Perplexity': 27.9774169921875}"
"{'Latency': 16.5823, 'Perplexity': 21.0065}","{'Latency': 14.721401611333558, 'Perplexity': 22.776351928710938}"
"{'Latency': 6.7271, 'Perplexity': 36.2223}","{'Latency': 7.984030831904928, 'Perplexity': 35.11920928955078}"
"{'Latency': 8.9363, 'Perplexity': 29.0142}","{'Latency': 9.731321537206025, 'Perplexity': 28.478185653686523}"
