prompt_tokens,completion_tokens,total_tokens
701,634,1335
701,611,1312
701,334,1035
701,611,1312
701,335,1036
701,1235,1936
3002,1226,4228
4065,108,4173
3262,1216,4478
3262,244,3506
4325,108,4433
3522,1214,4736
3522,510,4032
4565,108,4673
3790,1235,5025
4862,107,4969
4058,1230,5288
5120,108,5228
4335,1118,5453
4335,975,5310
4335,501,4836
5406,120,5526
4612,1195,5807
4612,492,5104
5673,126,5799
4880,1226,6106
5943,114,6057
5149,1117,6266
5149,987,6136
5149,244,5393
6211,108,6319
5426,1217,6643
6480,114,6594
5693,1187,6880
5693,721,6414
5693,240,5933
5693,240,5933
6745,110,6855
5970,1204,7174
5970,511,6481
7015,106,7121
6239,1208,7447
6239,483,6722
6239,245,6484
7275,107,7382
6498,1248,7746
7578,106,7684
6776,1226,8002
6776,493,7269
7838,107,7945
7034,1096,8130
7034,988,8022
8115,107,8222
7293,1210,8503
7293,493,7786
7293,244,7537
8328,114,8442
7550,1218,8768
7550,494,8044
8629,107,8736
7809,1225,9034
7809,245,8054
8880,108,8988
8068,1222,9290
8068,519,8587
9139,108,9247
8327,1214,9541
8327,432,8759
8327,504,8831
8327,244,8571
9390,107,9497
8587,1233,9820
8587,731,9318
8587,253,8840
9658,106,9764
8854,1234,10088
9925,108,10033
9123,1223,10346
9123,507,9630
9123,259,9382
9123,258,9381
9123,240,9363
10176,108,10284
9382,1221,10603
9382,751,10133
10443,105,10548
9641,1235,10876
9641,244,9885
9641,253,9894
10721,107,10828
9900,1228,11128
9900,988,10888
10963,113,11076
10177,1222,11399
10177,245,10422
10177,244,10421
11230,107,11337
10437,1048,11485
10437,1224,11661
10437,494,10931
11516,108,11624
10714,1069,11783
10714,964,11678
10714,244,10958
10714,244,10958
10714,244,10958
11767,108,11875
10974,1234,12208
10974,244,11218
12044,107,12151
11232,1163,12395
11232,493,11725
11232,493,11725
11232,253,11485
12304,108,12412
11501,1211,12712
11501,987,12488
11501,229,11730
11501,244,11745
12564,107,12671
11760,1225,12985
11760,818,12578
11760,995,12755
11760,444,12204
11760,510,12270
12839,107,12946
12027,1224,13251
12027,987,13014
13089,107,13196
12286,1226,13512
12286,728,13014
12286,746,13032
12286,470,12756
12286,492,12778
13365,106,13471
12563,1042,13605
12563,1137,13700
12563,745,13308
12563,253,12816
12563,253,12816
12563,253,12816
13651,105,13756
12830,1226,14056
12830,495,13325
12830,244,13074
12830,244,13074
12830,244,13074
13892,108,14000
13099,1234,14333
14170,107,14277
13357,1097,14454
13357,1211,14568
13357,972,14329
13357,244,13601
13357,244,13601
13357,253,13610
14409,106,14515
13616,1150,14766
13616,951,14567
13616,229,13845
13616,244,13860
13616,244,13860
13616,244,13860
13616,206,13822
13616,240,13856
13616,244,13860
13616,253,13869
14704,112,14816
13884,1201,15085
13884,679,14563
13884,450,14334
13884,510,14394
14981,106,15087
14161,1156,15317
14161,987,15148
14161,450,14611
14161,502,14663
15241,107,15348
14429,1165,15594
14429,746,15175
14429,468,14897
14429,450,14879
14429,510,14939
14429,420,14849
14429,489,14918
14429,493,14922
14429,244,14673
14429,253,14682
15491,107,15598
14687,1232,15919
14687,659,15346
14687,746,15433
14687,468,15155
14687,244,14931
14687,240,14927
14687,244,14931
14687,244,14931
14687,244,14931
14687,244,14931
14687,1231,15918
15731,108,15839
14955,1234,16189
14955,244,15199
14955,244,15199
14955,244,15199
14955,253,15208
14955,253,15208
16035,112,16147
15214,1231,16445
15214,208,15422
15214,240,15454
15214,244,15458
16267,108,16375
15473,1204,16677
15473,418,15891
15473,510,15983
15473,468,15941
15473,244,15717
15473,244,15717
16508,108,16616
15733,1192,16925
15733,1069,16802
15733,1240,16973
15733,510,16243
16795,108,16903
15991,1240,17231
15991,1232,17223
15991,731,16722
