candidate_points,best_candidate,best_candidate_index
"[{'sample_n_layer': 22, 'sample_embed_dim': 1024, 'sample_n_head': [16, 16, 16, 16, 12, 16, 12, 16, 16, 16, 12, 16, 16, 12, 16, 16, 16, 12, 16, 16, 16, 16], 'sample_mlp_ratio': [4, 4, 4, 4, 3, 4, 3, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4], 'sample_bias': False}, {'sample_n_layer': 23, 'sample_embed_dim': 1024, 'sample_n_head': [16, 16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 16, 16, 16, 16, 16, 12, 12, 12, 16, 16, 16], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4], 'sample_bias': False}, {'sample_n_layer': 23, 'sample_embed_dim': 512, 'sample_n_head': [16, 16, 12, 16, 12, 16, 16, 12, 16, 12, 16, 16, 12, 16, 12, 16, 16, 12, 16, 12, 16, 16, 12], 'sample_mlp_ratio': [4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4], 'sample_bias': 'false', 'sample_layer_indices': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]}, {'sample_n_layer': 24, 'sample_embed_dim': 512, 'sample_n_head': [16, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16], 'sample_mlp_ratio': [4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3], 'sample_bias': False}, {'sample_n_layer': 22, 'sample_embed_dim': 512, 'sample_n_head': [12, 12, 12, 12, 12, 12, 16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 16, 16, 16, 16, 12, 12], 'sample_mlp_ratio': [3, 3, 4, 3, 4, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3], 'sample_bias': True}]","{'sample_n_layer': 23, 'sample_embed_dim': 512, 'sample_n_head': [16, 16, 12, 16, 12, 16, 16, 12, 16, 12, 16, 16, 12, 16, 12, 16, 16, 12, 16, 12, 16, 16, 12], 'sample_mlp_ratio': [4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4], 'sample_bias': 'false', 'sample_layer_indices': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]}",2
"[{'sample_n_layer': 23, 'sample_embed_dim': 512, 'sample_n_head': [16, 12, 12, 12, 12, 16, 12, 12, 12, 12, 16, 12, 12, 12, 12, 16, 12, 12, 12, 12, 16, 12, 12], 'sample_mlp_ratio': [4, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3], 'sample_bias': False}, {'sample_n_layer': 23, 'sample_embed_dim': 1024, 'sample_n_head': [16, 12, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 12, 12, 16, 16], 'sample_mlp_ratio': [4, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 4, 4], 'sample_bias': False}, {'sample_n_layer': 24, 'sample_embed_dim': 1024, 'sample_n_head': [16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': 'false', 'sample_layer_indices': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]}, {'sample_n_layer': 22, 'sample_embed_dim': 512, 'sample_n_head': [12, 12, 8, 12, 8, 12, 8, 12, 12, 12, 8, 12, 8, 12, 8, 12, 12, 12, 8, 12, 12, 12], 'sample_mlp_ratio': [3, 3, 2, 3, 2, 3, 2, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 3, 2, 3, 3, 3], 'sample_bias': False}, {'sample_n_layer': 22, 'sample_embed_dim': 1024, 'sample_n_head': [16, 12, 12, 16, 12, 12, 12, 12, 16, 12, 12, 8, 16, 8, 12, 8, 16, 8, 12, 12, 16, 12], 'sample_mlp_ratio': [4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': False}]","{'sample_n_layer': 24, 'sample_embed_dim': 1024, 'sample_n_head': [16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': 'false', 'sample_layer_indices': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]}",2
"[{'sample_n_layer': 23, 'sample_embed_dim': 512, 'sample_n_head': [16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16], 'sample_mlp_ratio': [4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4], 'sample_bias': False}, {'sample_n_layer': 22, 'sample_embed_dim': 512, 'sample_n_head': [16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12], 'sample_mlp_ratio': [4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3], 'sample_bias': False}, {'sample_n_layer': 22, 'sample_embed_dim': 1024, 'sample_n_head': [16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3], 'sample_bias': False}, {'sample_n_layer': 24, 'sample_embed_dim': 512, 'sample_n_head': [16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': 'false', 'sample_layer_indices': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]}, {'sample_n_layer': 23, 'sample_embed_dim': 1024, 'sample_n_head': [16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': False}]","{'sample_n_layer': 24, 'sample_embed_dim': 512, 'sample_n_head': [16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': 'false', 'sample_layer_indices': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]}",3
"[{'sample_n_layer': 24, 'sample_embed_dim': 512, 'sample_n_head': [12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': False}, {'sample_n_layer': 23, 'sample_embed_dim': 256, 'sample_n_head': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], 'sample_mlp_ratio': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2], 'sample_bias': False}, {'sample_n_layer': 22, 'sample_embed_dim': 512, 'sample_n_head': [12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': 'false', 'sample_layer_indices': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]}, {'sample_n_layer': 23, 'sample_embed_dim': 512, 'sample_n_head': [12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4], 'sample_bias': True}, {'sample_n_layer': 22, 'sample_embed_dim': 1024, 'sample_n_head': [12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': True}]","{'sample_n_layer': 22, 'sample_embed_dim': 512, 'sample_n_head': [12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': 'false', 'sample_layer_indices': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]}",2
"[{'sample_n_layer': 22, 'sample_embed_dim': 512, 'sample_n_head': [16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12], 'sample_mlp_ratio': [3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2], 'sample_bias': False}, {'sample_n_layer': 24, 'sample_embed_dim': 512, 'sample_n_head': [12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16, 12, 16], 'sample_mlp_ratio': [3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4], 'sample_bias': False}, {'sample_n_layer': 23, 'sample_embed_dim': 512, 'sample_n_head': [12, 12, 12, 8, 12, 12, 12, 8, 12, 12, 12, 8, 12, 12, 12, 8, 12, 12, 12, 8, 12, 12, 12], 'sample_mlp_ratio': [3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3], 'sample_bias': 'false', 'sample_layer_indices': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]}, {'sample_n_layer': 22, 'sample_embed_dim': 1024, 'sample_n_head': [12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': False}, {'sample_n_layer': 23, 'sample_embed_dim': 512, 'sample_n_head': [12, 12, 12, 16, 12, 12, 12, 16, 12, 12, 12, 16, 12, 12, 12, 16, 12, 12, 12, 16, 12, 12, 12], 'sample_mlp_ratio': [3, 3, 3, 4, 3, 3, 3, 4, 3, 3, 3, 4, 3, 3, 3, 4, 3, 3, 3, 4, 3, 3, 4], 'sample_bias': False}]","{'sample_n_layer': 23, 'sample_embed_dim': 512, 'sample_n_head': [12, 12, 12, 8, 12, 12, 12, 8, 12, 12, 12, 8, 12, 12, 12, 8, 12, 12, 12, 8, 12, 12, 12], 'sample_mlp_ratio': [3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3], 'sample_bias': 'false', 'sample_layer_indices': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]}",2
"[{'sample_n_layer': 23, 'sample_embed_dim': 512, 'sample_n_head': [16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 8, 8, 8, 8, 8, 8], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2], 'sample_bias': False}, {'sample_n_layer': 22, 'sample_embed_dim': 1024, 'sample_n_head': [16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': False}, {'sample_n_layer': 24, 'sample_embed_dim': 512, 'sample_n_head': [16, 16, 16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': 'false', 'sample_layer_indices': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]}, {'sample_n_layer': 23, 'sample_embed_dim': 512, 'sample_n_head': [16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': False}, {'sample_n_layer': 22, 'sample_embed_dim': 512, 'sample_n_head': [16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 8, 8, 8, 8, 8, 8], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2], 'sample_bias': False}]","{'sample_n_layer': 24, 'sample_embed_dim': 512, 'sample_n_head': [16, 16, 16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': 'false', 'sample_layer_indices': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]}",2
"[{'sample_n_layer': 23, 'sample_embed_dim': 1024, 'sample_n_head': [16, 16, 16, 16, 16, 12, 12, 16, 16, 16, 12, 12, 16, 16, 16, 12, 12, 16, 16, 16, 12, 12, 16], 'sample_mlp_ratio': [4, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3], 'sample_bias': 'false'}, {'sample_n_layer': 23, 'sample_embed_dim': 512, 'sample_n_head': [12, 12, 12, 12, 12, 12, 16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12, 16, 16, 16, 16, 16], 'sample_mlp_ratio': [3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'sample_bias': 'false'}, {'sample_n_layer': 22, 'sample_embed_dim': 1024, 'sample_n_head': [16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': 'false', 'sample_layer_indices': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]}, {'sample_n_layer': 22, 'sample_embed_dim': 512, 'sample_n_head': [12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4], 'sample_bias': 'true'}, {'sample_n_layer': 24, 'sample_embed_dim': 512, 'sample_n_head': [16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': 'false'}]","{'sample_n_layer': 22, 'sample_embed_dim': 1024, 'sample_n_head': [16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': 'false', 'sample_layer_indices': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]}",2
"[{'sample_n_layer': 22, 'sample_embed_dim': 1024, 'sample_n_head': [16, 16, 16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 8, 8, 8, 8], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2], 'sample_bias': False}, {'sample_n_layer': 22, 'sample_embed_dim': 512, 'sample_n_head': [12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 8, 8, 8, 8, 8, 8, 8, 8], 'sample_mlp_ratio': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2], 'sample_bias': 'false', 'sample_layer_indices': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]}, {'sample_n_layer': 23, 'sample_embed_dim': 512, 'sample_n_head': [12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 8, 8, 8, 8, 8], 'sample_mlp_ratio': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2], 'sample_bias': False}, {'sample_n_layer': 23, 'sample_embed_dim': 1024, 'sample_n_head': [16, 16, 16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 8, 8, 8, 8], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2], 'sample_bias': False}, {'sample_n_layer': 24, 'sample_embed_dim': 512, 'sample_n_head': [12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 8, 8, 8, 8, 8, 8, 8, 8], 'sample_mlp_ratio': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2], 'sample_bias': False}]","{'sample_n_layer': 22, 'sample_embed_dim': 512, 'sample_n_head': [12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 8, 8, 8, 8, 8, 8, 8, 8], 'sample_mlp_ratio': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2], 'sample_bias': 'false', 'sample_layer_indices': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]}",1
"[{'sample_n_layer': 23, 'sample_embed_dim': 512, 'sample_n_head': [12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], 'sample_mlp_ratio': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2], 'sample_bias': False}, {'sample_n_layer': 24, 'sample_embed_dim': 512, 'sample_n_head': [16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': True}, {'sample_n_layer': 23, 'sample_embed_dim': 256, 'sample_n_head': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], 'sample_mlp_ratio': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2], 'sample_bias': 'false', 'sample_layer_indices': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]}, {'sample_n_layer': 22, 'sample_embed_dim': 512, 'sample_n_head': [12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 8, 8, 8, 8, 8, 8, 8, 8], 'sample_mlp_ratio': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2], 'sample_bias': True}, {'sample_n_layer': 22, 'sample_embed_dim': 1024, 'sample_n_head': [16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': False}]","{'sample_n_layer': 23, 'sample_embed_dim': 256, 'sample_n_head': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], 'sample_mlp_ratio': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2], 'sample_bias': 'false', 'sample_layer_indices': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]}",2
"[{'sample_n_layer': 23, 'sample_embed_dim': 512, 'sample_n_head': [16, 16, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': False}, {'sample_n_layer': 22, 'sample_embed_dim': 1024, 'sample_n_head': [16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': False}, {'sample_n_layer': 23, 'sample_embed_dim': 512, 'sample_n_head': [16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': 'false', 'sample_layer_indices': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]}, {'sample_n_layer': 22, 'sample_embed_dim': 512, 'sample_n_head': [12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': False}, {'sample_n_layer': 24, 'sample_embed_dim': 512, 'sample_n_head': [16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': False}]","{'sample_n_layer': 23, 'sample_embed_dim': 512, 'sample_n_head': [16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12], 'sample_mlp_ratio': [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 'sample_bias': 'false', 'sample_layer_indices': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]}",2
