candidate_evaluations,hypervolume_contributions
"[{'Latency': 15.0, 'Perplexity': 22.0}, {'Latency': 17.0, 'Perplexity': 23.0}, {'Latency': 11.0, 'Perplexity': 25.0}, {'Latency': 16.0, 'Perplexity': 24.0}, {'Latency': 10.0, 'Perplexity': 27.0}]","[0.005950883604022517, 0.0, 0.06591470152522727, 0.0, 0.017471086062886387]"
"[{'Latency': 10.5, 'Perplexity': 26.5}, {'Latency': 15.5, 'Perplexity': 22.5}, {'Latency': 16.0, 'Perplexity': 21.5}, {'Latency': 10.0, 'Perplexity': 27.5}, {'Latency': 14.5, 'Perplexity': 22.2}]","[0.005902715787547752, 0.0, 0.009865233257212447, 0.0, 0.00012705224085496347]"
"[{'Latency': 12.5, 'Perplexity': 25.0}, {'Latency': 10.5, 'Perplexity': 26.0}, {'Latency': 15.0, 'Perplexity': 21.5}, {'Latency': 13.0, 'Perplexity': 24.0}, {'Latency': 16.5, 'Perplexity': 21.3}]","[0.01976585010154608, 0.019905078201857496, 0.010726872677298438, 0.02224831911294256, 0.002904816469895266]"
"[{'Latency': 11.0, 'Perplexity': 26.0}, {'Latency': 7.5, 'Perplexity': 35.5}, {'Latency': 9.0, 'Perplexity': 25.0}, {'Latency': 12.0, 'Perplexity': 25.0}, {'Latency': 13.0, 'Perplexity': 22.0}]","[0.012430164298314561, 0.017395512512124567, 0.12656183614430128, 0.023625941794490735, 0.04059639481783428]"
"[{'Latency': 9.7, 'Perplexity': 26.9}, {'Latency': 12.1, 'Perplexity': 26.5}, {'Latency': 9.4, 'Perplexity': 26.4}, {'Latency': 13.2, 'Perplexity': 22.0}, {'Latency': 11.0, 'Perplexity': 26.5}]","[0.012411248738435576, 0.0004876054531057772, 0.04295175794953088, 0.03733384851885613, 0.0009372575951733797]"
"[{'Latency': 10.5, 'Perplexity': 26.5}, {'Latency': 14.5, 'Perplexity': 22.0}, {'Latency': 12.0, 'Perplexity': 25.0}, {'Latency': 11.0, 'Perplexity': 26.5}, {'Latency': 9.5, 'Perplexity': 27.5}]","[0.0033202850452875854, 0.003787228394644071, 0.02607695532448684, 0.0009372575951733797, 0.022602250485585396]"
"[{'Latency': 16.0, 'Perplexity': 21.5}, {'Latency': 11.5, 'Perplexity': 26.3}, {'Latency': 13.5, 'Perplexity': 22.0}, {'Latency': 10.2, 'Perplexity': 26.5}, {'Latency': 11.1, 'Perplexity': 26.6}]","[0.005074614127417387, 0.004869972134041056, 0.02612267373490007, 0.004750101515356375, 0.0]"
"[{'Latency': 14.5, 'Perplexity': 22.0}, {'Latency': 9.7, 'Perplexity': 27.5}, {'Latency': 9.9, 'Perplexity': 27.4}, {'Latency': 14.6, 'Perplexity': 22.2}, {'Latency': 10.5, 'Perplexity': 27.0}]","[0.0017483534190447791, 0.009904303158072336, 0.0, 3.762900246062628e-06, 0.00034576313829326466]"
"[{'Latency': 10.3, 'Perplexity': 27.0}, {'Latency': 11.3, 'Perplexity': 26.6}, {'Latency': 7.5, 'Perplexity': 36.0}, {'Latency': 9.5, 'Perplexity': 27.5}, {'Latency': 15.0, 'Perplexity': 21.5}]","[0.00041490234800800607, 0.0, 0.01739551043934151, 0.0015804163021577722, 0.004585368353324126]"
"[{'Latency': 11.0, 'Perplexity': 26.5}, {'Latency': 15.5, 'Perplexity': 21.5}, {'Latency': 12.0, 'Perplexity': 26.3}, {'Latency': 10.5, 'Perplexity': 26.8}, {'Latency': 10.5, 'Perplexity': 26.5}]","[0.0007662060582844799, 0.001972361592962546, 0.003205420645156609, 0.0010098402360327885, 0.002714325848125032]"
"[{'Latency': 10.8, 'Perplexity': 25.8}, {'Latency': 14.8, 'Perplexity': 21.8}, {'Latency': 11.4, 'Perplexity': 26.2}, {'Latency': 16.5, 'Perplexity': 21.0}, {'Latency': 16.2, 'Perplexity': 22.1}]","[0.01637972407773791, 0.0019476511765610383, 0.005831257898549991, 0.005281359806252217, 0.0]"
"[{'Latency': 11.0, 'Perplexity': 26.5}, {'Latency': 14.5, 'Perplexity': 22.1}, {'Latency': 10.5, 'Perplexity': 26.5}, {'Latency': 11.0, 'Perplexity': 26.5}, {'Latency': 11.0, 'Perplexity': 26.5}]","[0.0006383625134438464, 0.0007123634378571886, 0.0009532293208087683, 0.0006383625134438464, 0.0006383625134438464]"
"[{'Latency': 10.521, 'Perplexity': 26.53}, {'Latency': 15.563, 'Perplexity': 21.687}, {'Latency': 8.317, 'Perplexity': 34.5}, {'Latency': 10.521, 'Perplexity': 26.5}, {'Latency': 11.352, 'Perplexity': 26.595}]","[0.00022279822364534851, 1.6782873291099065e-07, 0.004690962156274514, 0.0009400049148993173, 0.0]"
