surrogate_model_prediction,benchmark_evaluation
"{'Latency': 11.0, 'Perplexity': 25.0}","{'Latency': 11.039137704388791, 'Perplexity': 26.530065536499023}"
"{'Latency': 16.0, 'Perplexity': 21.5}","{'Latency': 16.897802901731055, 'Perplexity': 21.263105392456055}"
"{'Latency': 13.0, 'Perplexity': 24.0}","{'Latency': 11.351832942733479, 'Perplexity': 26.59500503540039}"
"{'Latency': 9.0, 'Perplexity': 25.0}","{'Latency': 9.855998491765874, 'Perplexity': 27.077741622924805}"
"{'Latency': 9.4, 'Perplexity': 26.4}","{'Latency': 9.867837340959516, 'Perplexity': 27.379566192626953}"
"{'Latency': 12.0, 'Perplexity': 25.0}","{'Latency': 11.120743512422985, 'Perplexity': 26.6751708984375}"
"{'Latency': 13.5, 'Perplexity': 22.0}","{'Latency': 15.56304995501472, 'Perplexity': 21.686750411987305}"
"{'Latency': 9.7, 'Perplexity': 27.5}","{'Latency': 9.262232125212401, 'Perplexity': 28.114831924438477}"
"{'Latency': 7.5, 'Perplexity': 36.0}","{'Latency': 6.944256259777197, 'Perplexity': 36.16046905517578}"
"{'Latency': 12.0, 'Perplexity': 26.3}","{'Latency': 10.94886638914397, 'Perplexity': 26.594512939453125}"
"{'Latency': 10.8, 'Perplexity': 25.8}","{'Latency': 10.46833902903069, 'Perplexity': 26.5933780670166}"
"{'Latency': 10.5, 'Perplexity': 26.5}","{'Latency': 10.521018390599744, 'Perplexity': 26.65349006652832}"
"{'Latency': 8.317, 'Perplexity': 34.5}","{'Latency': 7.0265828717488965, 'Perplexity': 36.121429443359375}"
"{'Latency': 14.1, 'Perplexity': 22.2}","{'Latency': 15.382369155142609, 'Perplexity': 21.739805221557617}"
"{'Latency': 9.5, 'Perplexity': 27.1}","{'Latency': 9.830461973645257, 'Perplexity': 27.25834083557129}"
"{'Latency': 11.15, 'Perplexity': 26.5}","{'Latency': 11.121753450092642, 'Perplexity': 26.488853454589844}"
"{'Latency': 15.0, 'Perplexity': 21.5}","{'Latency': 15.578563064743596, 'Perplexity': 21.686750411987305}"
"{'Latency': 10.5, 'Perplexity': 26.5}","{'Latency': 10.211042645434611, 'Perplexity': 26.732542037963867}"
"{'Latency': 9.5, 'Perplexity': 27.5}","{'Latency': 9.924106898590658, 'Perplexity': 27.51152992248535}"
"{'Latency': 10.211, 'Perplexity': 26.7325}","{'Latency': 9.9371103486847, 'Perplexity': 27.044130325317383}"
"{'Latency': 10.4683, 'Perplexity': 26.5934}","{'Latency': 9.966106112887065, 'Perplexity': 26.963607788085938}"
"{'Latency': 9.9371, 'Perplexity': 27.0441}","{'Latency': 10.349934657831882, 'Perplexity': 26.90131187438965}"
"{'Latency': 11.0, 'Perplexity': 26.5}","{'Latency': 10.510862205613241, 'Perplexity': 26.618213653564453}"
"{'Latency': 16.8, 'Perplexity': 21.3}","{'Latency': 16.563258947790626, 'Perplexity': 21.375450134277344}"
"{'Latency': 18.0, 'Perplexity': 20.7}","{'Latency': 16.892180843115014, 'Perplexity': 21.263105392456055}"
"{'Latency': 10.5, 'Perplexity': 26.5}","{'Latency': 10.521605188814705, 'Perplexity': 26.890077590942383}"
"{'Latency': 17.5, 'Perplexity': 21.0}","{'Latency': 17.524376590655592, 'Perplexity': 20.922269821166992}"
"{'Latency': 10.5, 'Perplexity': 26.5}","{'Latency': 10.072867184812317, 'Perplexity': 27.054243087768555}"
"{'Latency': 15.38, 'Perplexity': 21.74}","{'Latency': 16.183310684905976, 'Perplexity': 21.543243408203125}"
"{'Latency': 10.3, 'Perplexity': 26.5}","{'Latency': 10.188777872188277, 'Perplexity': 26.79890251159668}"
"{'Latency': 11.2, 'Perplexity': 26.3}","{'Latency': 10.930080255596847, 'Perplexity': 26.504783630371094}"
"{'Latency': 16.89, 'Perplexity': 21.26}","{'Latency': 16.742769149395087, 'Perplexity': 21.331987380981445}"
"{'Latency': 10.5, 'Perplexity': 26.5}","{'Latency': 10.333036957585202, 'Perplexity': 26.904541015625}"
"{'Latency': 8.8, 'Perplexity': 28.5}","{'Latency': 8.667598000503276, 'Perplexity': 29.001073837280273}"
"{'Latency': 10.52, 'Perplexity': 26.53}","{'Latency': 10.898379995119265, 'Perplexity': 26.52589988708496}"
"{'Latency': 8.5083, 'Perplexity': 35.1962}","{'Latency': 7.76350758003745, 'Perplexity': 35.16676330566406}"
"{'Latency': 16.5, 'Perplexity': 21.3}","{'Latency': 16.300514224018332, 'Perplexity': 21.32516098022461}"
"{'Latency': 10.0, 'Perplexity': 26.8}","{'Latency': 10.027499817993673, 'Perplexity': 26.934988021850586}"
"{'Latency': 16.0, 'Perplexity': 21.5}","{'Latency': 15.955179321104188, 'Perplexity': 21.49879264831543}"
"{'Latency': 9.0, 'Perplexity': 28.0}","{'Latency': 9.665499402254042, 'Perplexity': 28.49277687072754}"
"{'Latency': 11.0, 'Perplexity': 26.3}","{'Latency': 10.612526972772446, 'Perplexity': 26.57039451599121}"
"{'Latency': 11.2, 'Perplexity': 26.2}","{'Latency': 10.983165383196983, 'Perplexity': 26.51017189025879}"
"{'Latency': 16.8978, 'Perplexity': 21.2631}","{'Latency': 16.876453394925633, 'Perplexity': 21.263105392456055}"
"{'Latency': 16.8922, 'Perplexity': 21.2631}","{'Latency': 16.755303087312384, 'Perplexity': 21.331987380981445}"
"{'Latency': 16.8765, 'Perplexity': 21.2631}","{'Latency': 16.85710659115279, 'Perplexity': 21.263105392456055}"
"{'Latency': 10.5, 'Perplexity': 26.5}","{'Latency': 11.218180835915424, 'Perplexity': 26.572986602783203}"
