prompt_tokens,completion_tokens,total_tokens
2728,3490,6218
3565,3821,7386
2954,5000,7954
2954,4536,7490
3781,2513,6294
3188,4734,7922
4025,5000,9025
4025,5000,9025
4025,5000,9025
4025,5000,9025
4025,5000,9025
4025,3505,7530
3420,5000,8420
3420,5000,8420
3420,3458,6878
4233,3006,7239
3637,5000,8637
3637,4528,8165
4468,2979,7447
3857,5000,8857
3857,5000,8857
3857,5000,8857
3857,3405,7262
4681,1703,6384
4090,3835,7925
4932,2850,7782
4309,5000,9309
4309,5000,9309
4309,3774,8083
5117,2096,7213
4519,4038,8557
5314,5000,10314
5314,1886,7200
4721,4947,9668
5557,5000,10557
5557,5000,10557
5557,3258,8815
4947,4078,9025
5771,5000,10771
5771,5000,10771
5771,2545,8316
5166,3866,9032
5996,2192,8188
5384,3190,8574
6203,5000,11203
6203,1544,7747
5587,2937,8524
6410,2450,8860
5807,3054,8861
6642,3064,9706
6025,3311,9336
6866,3685,10551
6251,2918,9169
7088,2107,9195
6471,4380,10851
7312,2538,9850
6689,4750,11439
7520,4851,12371
6904,5000,11904
6904,3484,10388
7726,1334,9060
7122,3714,10836
7963,3730,11693
7340,3746,11086
8180,5000,13180
8180,5000,13180
8180,5000,13180
8180,5000,13180
8180,2599,10779
7559,3190,10749
8400,5000,13400
8400,4272,12672
7778,4719,12497
8605,1361,9966
8012,4824,12836
8825,3222,12047
8246,3434,11680
9082,5000,14082
9082,5000,14082
9082,1757,10839
8465,3125,11590
8465,2902,11367
9303,3270,12573
8699,4375,13074
9514,932,10446
8918,4418,13336
9756,5000,14756
9756,5000,14756
9756,2328,12084
9138,5000,14138
9138,3002,12140
9974,5000,14974
9974,2118,12092
9357,4441,13798
10182,3578,13760
9583,3997,13580
10420,5000,15420
10420,1590,12010
9816,3954,13770
10658,2148,12806
10034,3864,13898
10840,3847,14687
10236,1781,12017
11090,1260,12350
10462,2622,13084
11280,4499,15779
10676,4926,15602
11504,3862,15366
10903,2927,13830
11737,5000,16737
11737,5000,16737
11737,1796,13533
11121,3590,14711
11964,2964,14928
11964,5000,16964
11964,4316,16280
11964,2497,14461
11341,3787,15128
12176,2339,14515
11558,3237,14795
12388,5000,17388
12388,5000,17388
12388,1093,13481
11784,3446,15230
12620,3622,16242
12010,2969,14979
12852,3276,16128
12244,3105,15349
13086,2832,15918
12477,3232,15709
13312,5000,18312
13312,4988,18300
12711,3589,16300
13529,2650,16179
