candidate_evaluations,hypervolume_contributions
"[{'Latency': 17.6028, 'Perplexity': 20.6922}, {'Latency': 9.0287, 'Perplexity': 28.1458}, {'Latency': 10.6319, 'Perplexity': 26.8274}, {'Latency': 17.6028, 'Perplexity': 20.6922}, {'Latency': 17.6028, 'Perplexity': 20.6922}, {'Latency': 10.6319, 'Perplexity': 26.8274}, {'Latency': 17.6028, 'Perplexity': 20.6922}, {'Latency': 10.6319, 'Perplexity': 26.8274}, {'Latency': 10.6319, 'Perplexity': 26.8274}]","[1.1537123473237543e-06, 0.021895345766060226, 0.004078415329512364, 3.892406214012212e-07, 6.977614478431704e-07, 1.1537123473237543e-06]"
"[{'Latency': 17.6028, 'Perplexity': 20.6922}, {'Latency': 9.0287, 'Perplexity': 28.1458}, {'Latency': 10.6319, 'Perplexity': 26.8274}, {'Latency': 17.6028, 'Perplexity': 20.6922}, {'Latency': 17.6028, 'Perplexity': 20.6922}, {'Latency': 10.6319, 'Perplexity': 26.8274}, {'Latency': 17.6028, 'Perplexity': 20.6922}, {'Latency': 10.6319, 'Perplexity': 26.8274}, {'Latency': 10.6319, 'Perplexity': 26.8274}]","[1.1537123473237543e-06, 0.021895345766060226, 0.004078415329512364, 3.892406214012212e-07, 6.977614478431704e-07, 1.1537123473237543e-06]"
"[{'Latency': 17.6028, 'Perplexity': 20.6922}, {'Latency': 9.0287, 'Perplexity': 28.1458}, {'Latency': 10.6319, 'Perplexity': 26.8274}, {'Latency': 17.6028, 'Perplexity': 20.6922}, {'Latency': 17.6028, 'Perplexity': 20.6922}, {'Latency': 10.6319, 'Perplexity': 26.8274}, {'Latency': 17.6028, 'Perplexity': 20.6922}, {'Latency': 10.6319, 'Perplexity': 26.8274}, {'Latency': 10.6319, 'Perplexity': 26.8274}]","[1.1537123473237543e-06, 0.021895345766060226, 0.004078415329512364, 3.892406214012212e-07, 6.977614478431704e-07, 1.1537123473237543e-06]"
"[{'Latency': 17.6028, 'Perplexity': 20.6922}, {'Latency': 9.0287, 'Perplexity': 28.1458}, {'Latency': 10.6319, 'Perplexity': 26.8274}, {'Latency': 17.6028, 'Perplexity': 20.6922}, {'Latency': 17.6028, 'Perplexity': 20.6922}, {'Latency': 10.6319, 'Perplexity': 26.8274}, {'Latency': 17.6028, 'Perplexity': 20.6922}, {'Latency': 10.6319, 'Perplexity': 26.8274}, {'Latency': 10.6319, 'Perplexity': 26.8274}]","[1.1537123473237543e-06, 0.021895345766060226, 0.004078415329512364, 3.892406214012212e-07, 6.977614478431704e-07, 1.1537123473237543e-06]"
"[{'Latency': 8.2, 'Perplexity': 32.0}, {'Latency': 12.0, 'Perplexity': 28.0}, {'Latency': 15.5, 'Perplexity': 24.0}, {'Latency': 17.0, 'Perplexity': 22.0}, {'Latency': 10.0, 'Perplexity': 26.0}, {'Latency': 7.8, 'Perplexity': 34.0}, {'Latency': 13.0, 'Perplexity': 25.0}, {'Latency': 9.0, 'Perplexity': 30.0}, {'Latency': 14.0, 'Perplexity': 25.0}]","[0.019477764269207665, 0.11801514785862499, 0.0011700906568175018, 0.0, 0.037342167776134416, 0.009946650247157907]"
"[{'Latency': 8.2, 'Perplexity': 32.0}, {'Latency': 12.0, 'Perplexity': 28.0}, {'Latency': 15.5, 'Perplexity': 24.0}, {'Latency': 17.0, 'Perplexity': 22.0}, {'Latency': 10.0, 'Perplexity': 26.0}, {'Latency': 7.8, 'Perplexity': 34.0}, {'Latency': 13.0, 'Perplexity': 25.0}, {'Latency': 9.0, 'Perplexity': 30.0}, {'Latency': 14.0, 'Perplexity': 25.0}]","[0.019477764269207665, 0.11801514785862499, 0.0011700906568175018, 0.0, 0.037342167776134416, 0.009946650247157907]"
"[{'Latency': 8.2, 'Perplexity': 32.0}, {'Latency': 12.0, 'Perplexity': 28.0}, {'Latency': 15.5, 'Perplexity': 24.0}, {'Latency': 17.0, 'Perplexity': 22.0}, {'Latency': 10.0, 'Perplexity': 26.0}, {'Latency': 7.8, 'Perplexity': 34.0}, {'Latency': 13.0, 'Perplexity': 25.0}, {'Latency': 9.0, 'Perplexity': 30.0}, {'Latency': 14.0, 'Perplexity': 25.0}]","[0.019477764269207665, 0.11801514785862499, 0.0011700906568175018, 0.0, 0.037342167776134416, 0.009946650247157907]"
"[{'Latency': 10.0, 'Perplexity': 27.0}, {'Latency': 17.0, 'Perplexity': 21.0}, {'Latency': 7.0, 'Perplexity': 36.0}, {'Latency': 7.5, 'Perplexity': 35.0}, {'Latency': 11.0, 'Perplexity': 27.0}, {'Latency': 15.0, 'Perplexity': 22.0}, {'Latency': 17.5, 'Perplexity': 21.5}, {'Latency': 11.5, 'Perplexity': 26.0}, {'Latency': 8.0, 'Perplexity': 30.0}]","[0.0022621003533350725, 0.00018644530519940083, 0.0, 0.0027161435233865605, 0.0, 0.033375871035761784]"
"[{'Latency': 10.0, 'Perplexity': 27.0}, {'Latency': 17.0, 'Perplexity': 21.0}, {'Latency': 7.0, 'Perplexity': 36.0}, {'Latency': 7.5, 'Perplexity': 35.0}, {'Latency': 11.0, 'Perplexity': 27.0}, {'Latency': 15.0, 'Perplexity': 22.0}, {'Latency': 17.5, 'Perplexity': 21.5}, {'Latency': 11.5, 'Perplexity': 26.0}, {'Latency': 8.0, 'Perplexity': 30.0}]","[0.0022621003533350725, 0.00018644530519940083, 0.0, 0.0027161435233865605, 0.0, 0.033375871035761784]"
"[{'Latency': 10.0, 'Perplexity': 27.0}, {'Latency': 17.0, 'Perplexity': 21.0}, {'Latency': 7.0, 'Perplexity': 36.0}, {'Latency': 7.5, 'Perplexity': 35.0}, {'Latency': 11.0, 'Perplexity': 27.0}, {'Latency': 15.0, 'Perplexity': 22.0}, {'Latency': 17.5, 'Perplexity': 21.5}, {'Latency': 11.5, 'Perplexity': 26.0}, {'Latency': 8.0, 'Perplexity': 30.0}]","[0.0022621003533350725, 0.00018644530519940083, 0.0, 0.0027161435233865605, 0.0, 0.033375871035761784]"
