configs,runtime_traj,latency,error
"{'edge0': 0, 'edge1': 0, 'edge2': 0, 'edge3': 0, 'edge4': 0, 'edge5': 0, 'metric': 'fpga_latency'}",15.119189811999604,1.13296,90.0
"{'edge0': 1, 'edge1': 4, 'edge2': 1, 'edge3': 4, 'edge4': 2, 'edge5': 3, 'metric': 'fpga_latency'}",15.119235700998615,4.57296,7.613333333333344
"{'edge0': 4, 'edge1': 4, 'edge2': 0, 'edge3': 3, 'edge4': 1, 'edge5': 1, 'metric': 'fpga_latency'}",15.11952115999884,4.16336,7.519999999999996
"{'edge0': 1, 'edge1': 4, 'edge2': 4, 'edge3': 0, 'edge4': 3, 'edge5': 4, 'metric': 'fpga_latency'}",15.114884252998309,5.42096,6.890000000000001
"{'edge0': 0, 'edge1': 1, 'edge2': 1, 'edge3': 1, 'edge4': 0, 'edge5': 2, 'metric': 'fpga_latency'}",15.119893697999942,1.54256,20.013333333333332
"{'edge0': 2, 'edge1': 0, 'edge2': 0, 'edge3': 3, 'edge4': 4, 'edge5': 4, 'metric': 'fpga_latency'}",15.119070041999294,4.57296,8.939999999999998
"{'edge0': 4, 'edge1': 3, 'edge2': 1, 'edge3': 2, 'edge4': 0, 'edge5': 3, 'metric': 'fpga_latency'}",15.11967876899871,3.83056,8.11
"{'edge0': 0, 'edge1': 1, 'edge2': 0, 'edge3': 4, 'edge4': 4, 'edge5': 3, 'metric': 'fpga_latency'}",15.11913893199926,4.16336,7.516666666666666
"{'edge0': 3, 'edge1': 4, 'edge2': 3, 'edge3': 1, 'edge4': 3, 'edge5': 3, 'metric': 'fpga_latency'}",15.119823598999574,4.45136,6.719999999999985
"{'edge0': 3, 'edge1': 3, 'edge2': 2, 'edge3': 3, 'edge4': 1, 'edge5': 3, 'metric': 'fpga_latency'}",15.118947352999385,3.60336,9.620000000000005
"{'edge0': 2, 'edge1': 3, 'edge2': 2, 'edge3': 1, 'edge4': 3, 'edge5': 4, 'metric': 'fpga_latency'}",31.69244712,4.24016,8.099999999999994
"{'edge0': 3, 'edge1': 4, 'edge2': 3, 'edge3': 0, 'edge4': 4, 'edge5': 0, 'metric': 'fpga_latency'}",31.69351846499921,4.67856,8.780000000000001
"{'edge0': 0, 'edge1': 1, 'edge2': 0, 'edge3': 4, 'edge4': 2, 'edge5': 3, 'metric': 'fpga_latency'}",31.693564394998248,3.31536,7.515000000000001
"{'edge0': 3, 'edge1': 3, 'edge2': 2, 'edge3': 2, 'edge4': 1, 'edge5': 1, 'metric': 'fpga_latency'}",31.69366753399845,2.98256,11.383333333333326
"{'edge0': 3, 'edge1': 4, 'edge2': 1, 'edge3': 0, 'edge4': 2, 'edge5': 3, 'metric': 'fpga_latency'}",31.69376900399948,3.83056,8.50666666666666
"{'edge0': 3, 'edge1': 1, 'edge2': 3, 'edge3': 4, 'edge4': 2, 'edge5': 4, 'metric': 'fpga_latency'}",31.69360039399908,5.08816,7.534999999999997
"{'edge0': 0, 'edge1': 1, 'edge2': 0, 'edge3': 1, 'edge4': 2, 'edge5': 3, 'metric': 'fpga_latency'}",31.693803712998488,2.05776,10.550000000000011
"{'edge0': 4, 'edge1': 4, 'edge2': 3, 'edge3': 1, 'edge4': 3, 'edge5': 3, 'metric': 'fpga_latency'}",31.69373282399829,5.19376,6.180000000000007
"{'edge0': 4, 'edge1': 3, 'edge2': 1, 'edge3': 4, 'edge4': 2, 'edge5': 3, 'metric': 'fpga_latency'}",31.693699523999385,5.08816,7.373333333333335
"{'edge0': 4, 'edge1': 1, 'edge2': 3, 'edge3': 0, 'edge4': 0, 'edge5': 4, 'metric': 'fpga_latency'}",31.693633543998654,4.16336,7.099999999999994
"{'edge0': 3, 'edge1': 0, 'edge2': 0, 'edge3': 1, 'edge4': 3, 'edge5': 3, 'metric': 'fpga_latency'}",48.31011328899877,2.67856,9.159999999999997
"{'edge0': 1, 'edge1': 3, 'edge2': 0, 'edge3': 0, 'edge4': 0, 'edge5': 2, 'metric': 'fpga_latency'}",48.31377401199825,2.05776,13.439999999999998
"{'edge0': 0, 'edge1': 3, 'edge2': 0, 'edge3': 0, 'edge4': 0, 'edge5': 3, 'metric': 'fpga_latency'}",48.31330548399819,2.16336,12.64666666666666
"{'edge0': 4, 'edge1': 4, 'edge2': 0, 'edge3': 3, 'edge4': 0, 'edge5': 4, 'metric': 'fpga_latency'}",48.31346898299853,5.42096,6.783333333333346
"{'edge0': 1, 'edge1': 0, 'edge2': 0, 'edge3': 2, 'edge4': 0, 'edge5': 2, 'metric': 'fpga_latency'}",48.31371086199943,1.95216,24.39
"{'edge0': 2, 'edge1': 2, 'edge2': 1, 'edge3': 1, 'edge4': 1, 'edge5': 3, 'metric': 'fpga_latency'}",48.31356700299875,2.46736,14.193333333333328
"{'edge0': 1, 'edge1': 4, 'edge2': 0, 'edge3': 3, 'edge4': 0, 'edge5': 2, 'metric': 'fpga_latency'}",48.30788530999962,3.31536,8.703333333333333
"{'edge0': 2, 'edge1': 3, 'edge2': 0, 'edge3': 3, 'edge4': 0, 'edge5': 4, 'metric': 'fpga_latency'}",48.31364190199929,3.83056,7.560000000000002
"{'edge0': 2, 'edge1': 4, 'edge2': 0, 'edge3': 4, 'edge4': 0, 'edge5': 4, 'metric': 'fpga_latency'}",48.31383411099887,5.31536,6.763333333333335
"{'edge0': 2, 'edge1': 3, 'edge2': 0, 'edge3': 4, 'edge4': 0, 'edge5': 3, 'metric': 'fpga_latency'}",48.31389423099972,3.83056,7.894999999999996
"{'edge0': 0, 'edge1': 0, 'edge2': 0, 'edge3': 2, 'edge4': 3, 'edge5': 2, 'metric': 'fpga_latency'}",69.93951133399969,2.46736,24.03
"{'edge0': 3, 'edge1': 4, 'edge2': 2, 'edge3': 3, 'edge4': 1, 'edge5': 1, 'metric': 'fpga_latency'}",69.93969053299952,3.83056,8.260000000000005
"{'edge0': 0, 'edge1': 1, 'edge2': 1, 'edge3': 3, 'edge4': 1, 'edge5': 3, 'metric': 'fpga_latency'}",69.93975696299822,2.16336,11.166666666666671
"{'edge0': 3, 'edge1': 4, 'edge2': 2, 'edge3': 2, 'edge4': 1, 'edge5': 1, 'metric': 'fpga_latency'}",69.93785112199839,3.72496,9.409999999999997
"{'edge0': 4, 'edge1': 2, 'edge2': 2, 'edge3': 3, 'edge4': 0, 'edge5': 0, 'metric': 'fpga_latency'}",69.93965652299994,3.72496,11.340000000000003
"{'edge0': 0, 'edge1': 4, 'edge2': 2, 'edge3': 3, 'edge4': 0, 'edge5': 4, 'metric': 'fpga_latency'}",69.93957553399923,4.57296,6.89500000000001
"{'edge0': 2, 'edge1': 1, 'edge2': 4, 'edge3': 0, 'edge4': 0, 'edge5': 4, 'metric': 'fpga_latency'}",69.93972379299885,4.05776,7.766666666666666
"{'edge0': 0, 'edge1': 0, 'edge2': 0, 'edge3': 1, 'edge4': 4, 'edge5': 3, 'metric': 'fpga_latency'}",69.93979150299856,2.90576,13.180000000000009
"{'edge0': 0, 'edge1': 1, 'edge2': 0, 'edge3': 4, 'edge4': 1, 'edge5': 3, 'metric': 'fpga_latency'}",69.93962018399907,2.90576,7.650000000000006
"{'edge0': 3, 'edge1': 4, 'edge2': 2, 'edge3': 1, 'edge4': 1, 'edge5': 1, 'metric': 'fpga_latency'}",69.93983516299886,3.31536,7.956666666666663
