configs,runtime_traj,latency,error
"{'edge0': 0, 'edge1': 0, 'edge2': 0, 'edge3': 0, 'edge4': 0, 'edge5': 0, 'metric': 'titanx_256_latency'}",15.118809833998966,13.159713745117188,90.0
"{'edge0': 1, 'edge1': 4, 'edge2': 1, 'edge3': 4, 'edge4': 2, 'edge5': 3, 'metric': 'titanx_256_latency'}",15.118456045998755,26.299409866333008,7.613333333333344
"{'edge0': 4, 'edge1': 4, 'edge2': 0, 'edge3': 3, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",15.118628194999474,22.997093200683597,7.519999999999996
"{'edge0': 1, 'edge1': 4, 'edge2': 4, 'edge3': 0, 'edge4': 3, 'edge5': 4, 'metric': 'titanx_256_latency'}",15.11838245599938,28.13572883605957,6.890000000000001
"{'edge0': 0, 'edge1': 1, 'edge2': 1, 'edge3': 1, 'edge4': 0, 'edge5': 2, 'metric': 'titanx_256_latency'}",15.115714698999,14.229516983032228,20.013333333333332
"{'edge0': 2, 'edge1': 0, 'edge2': 0, 'edge3': 3, 'edge4': 4, 'edge5': 4, 'metric': 'titanx_256_latency'}",15.118980842999008,27.676119804382324,8.939999999999998
"{'edge0': 4, 'edge1': 3, 'edge2': 1, 'edge3': 2, 'edge4': 0, 'edge5': 3, 'metric': 'titanx_256_latency'}",15.118869853999058,25.106520652771,8.11
"{'edge0': 0, 'edge1': 1, 'edge2': 0, 'edge3': 4, 'edge4': 4, 'edge5': 3, 'metric': 'titanx_256_latency'}",15.1186952249991,23.58243465423584,7.516666666666666
"{'edge0': 3, 'edge1': 4, 'edge2': 3, 'edge3': 1, 'edge4': 3, 'edge5': 3, 'metric': 'titanx_256_latency'}",15.118926023998938,26.74668312072754,6.719999999999985
"{'edge0': 3, 'edge1': 3, 'edge2': 2, 'edge3': 3, 'edge4': 1, 'edge5': 3, 'metric': 'titanx_256_latency'}",15.11875446399972,25.797247886657715,9.620000000000005
"{'edge0': 2, 'edge1': 3, 'edge2': 2, 'edge3': 1, 'edge4': 3, 'edge5': 4, 'metric': 'titanx_256_latency'}",31.423619985000187,28.43153953552246,8.099999999999994
"{'edge0': 3, 'edge1': 4, 'edge2': 3, 'edge3': 0, 'edge4': 4, 'edge5': 0, 'metric': 'titanx_256_latency'}",31.42206794199956,26.92984104156494,8.780000000000001
"{'edge0': 2, 'edge1': 1, 'edge2': 0, 'edge3': 3, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",37.3738851299986,16.927318572998047,13.273333333333326
"{'edge0': 2, 'edge1': 3, 'edge2': 0, 'edge3': 3, 'edge4': 2, 'edge5': 1, 'metric': 'titanx_256_latency'}",37.37394875999962,24.23102855682373,11.570000000000007
"{'edge0': 2, 'edge1': 1, 'edge2': 0, 'edge3': 0, 'edge4': 2, 'edge5': 1, 'metric': 'titanx_256_latency'}",37.37398013999882,18.183135986328125,20.315
"{'edge0': 3, 'edge1': 3, 'edge2': 0, 'edge3': 1, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",37.37381512100001,15.489673614501951,10.206666666666663
"{'edge0': 3, 'edge1': 4, 'edge2': 0, 'edge3': 2, 'edge4': 4, 'edge5': 1, 'metric': 'titanx_256_latency'}",37.373768400999325,27.350749969482425,8.036666666666676
"{'edge0': 3, 'edge1': 4, 'edge2': 0, 'edge3': 3, 'edge4': 4, 'edge5': 1, 'metric': 'titanx_256_latency'}",37.37391759999991,26.691012382507324,7.240000000000009
"{'edge0': 3, 'edge1': 1, 'edge2': 0, 'edge3': 1, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",37.37385210100001,12.246685028076172,12.680000000000009
"{'edge0': 2, 'edge1': 3, 'edge2': 0, 'edge3': 2, 'edge4': 3, 'edge5': 1, 'metric': 'titanx_256_latency'}",37.37401034999857,24.122657775878903,10.97999999999999
"{'edge0': 0, 'edge1': 1, 'edge2': 0, 'edge3': 3, 'edge4': 1, 'edge5': 3, 'metric': 'titanx_256_latency'}",48.39840040600029,16.306157112121582,10.97
"{'edge0': 0, 'edge1': 0, 'edge2': 2, 'edge3': 0, 'edge4': 2, 'edge5': 1, 'metric': 'titanx_256_latency'}",48.39708236200022,19.36753749847412,90.0
"{'edge0': 2, 'edge1': 1, 'edge2': 0, 'edge3': 1, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",53.988273482000295,13.210158348083496,31.44
"{'edge0': 2, 'edge1': 4, 'edge2': 1, 'edge3': 1, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",53.98845549199905,17.827558517456055,21.17333333333333
"{'edge0': 2, 'edge1': 2, 'edge2': 3, 'edge3': 3, 'edge4': 0, 'edge5': 4, 'metric': 'titanx_256_latency'}",53.98861867099913,29.24736499786377,8.61
"{'edge0': 2, 'edge1': 4, 'edge2': 0, 'edge3': 1, 'edge4': 3, 'edge5': 0, 'metric': 'titanx_256_latency'}",53.98839463199874,22.64854431152344,11.25
"{'edge0': 4, 'edge1': 1, 'edge2': 0, 'edge3': 1, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",53.98858172099972,14.302453994750977,11.47
"{'edge0': 3, 'edge1': 4, 'edge2': 2, 'edge3': 1, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",53.98854439099887,20.246644020080566,7.956666666666663
"{'edge0': 3, 'edge1': 1, 'edge2': 1, 'edge3': 1, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",53.98850425099954,11.457529067993164,12.49333333333334
"{'edge0': 1, 'edge1': 1, 'edge2': 0, 'edge3': 1, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",53.98832536199916,9.05116081237793,29.08
"{'edge0': 2, 'edge1': 1, 'edge2': 1, 'edge3': 1, 'edge4': 1, 'edge5': 3, 'metric': 'titanx_256_latency'}",65.02838173499913,15.677452087402344,14.049999999999995
"{'edge0': 2, 'edge1': 1, 'edge2': 1, 'edge3': 1, 'edge4': 1, 'edge5': 4, 'metric': 'titanx_256_latency'}",65.03063437399942,17.890143394470215,12.350000000000009
"{'edge0': 3, 'edge1': 1, 'edge2': 3, 'edge3': 2, 'edge4': 1, 'edge5': 3, 'metric': 'titanx_256_latency'}",71.30172573500022,22.25975513458252,10.349999999999994
"{'edge0': 3, 'edge1': 1, 'edge2': 1, 'edge3': 0, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",71.30166321499928,12.211318016052246,10.539999999999992
"{'edge0': 3, 'edge1': 1, 'edge2': 4, 'edge3': 1, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",71.30169493499852,16.82133197784424,10.063333333333333
"{'edge0': 3, 'edge1': 1, 'edge2': 1, 'edge3': 2, 'edge4': 1, 'edge5': 2, 'metric': 'titanx_256_latency'}",71.30163128499953,19.930710792541504,14.453333333333331
"{'edge0': 3, 'edge1': 0, 'edge2': 1, 'edge3': 2, 'edge4': 1, 'edge5': 0, 'metric': 'titanx_256_latency'}",71.30152857599933,17.2206974029541,11.226666666666674
"{'edge0': 3, 'edge1': 1, 'edge2': 4, 'edge3': 4, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",71.30156508599975,22.194457054138184,7.220000000000013
"{'edge0': 3, 'edge1': 1, 'edge2': 0, 'edge3': 4, 'edge4': 1, 'edge5': 2, 'metric': 'titanx_256_latency'}",71.30148192599881,21.83133602142334,8.373333333333335
"{'edge0': 3, 'edge1': 1, 'edge2': 2, 'edge3': 1, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",71.30159896499936,15.730433464050291,13.303333333333327
"{'edge0': 3, 'edge1': 1, 'edge2': 1, 'edge3': 3, 'edge4': 1, 'edge5': 0, 'metric': 'titanx_256_latency'}",82.70559817499998,15.639586448669432,10.810000000000002
"{'edge0': 3, 'edge1': 1, 'edge2': 1, 'edge3': 1, 'edge4': 1, 'edge5': 0, 'metric': 'titanx_256_latency'}",82.7079698339985,12.35215187072754,10.326666666666654
"{'edge0': 3, 'edge1': 4, 'edge2': 1, 'edge3': 0, 'edge4': 1, 'edge5': 3, 'metric': 'titanx_256_latency'}",88.93370592599967,20.99927425384521,7.870000000000003
"{'edge0': 3, 'edge1': 4, 'edge2': 1, 'edge3': 0, 'edge4': 1, 'edge5': 0, 'metric': 'titanx_256_latency'}",88.93364000600013,18.42616558074951,11.083333333333329
"{'edge0': 4, 'edge1': 2, 'edge2': 1, 'edge3': 1, 'edge4': 1, 'edge5': 4, 'metric': 'titanx_256_latency'}",88.93373626499852,24.954066276550293,7.560000000000002
"{'edge0': 2, 'edge1': 3, 'edge2': 1, 'edge3': 0, 'edge4': 3, 'edge5': 3, 'metric': 'titanx_256_latency'}",88.93360774599932,23.19020748138428,10.685000000000002
"{'edge0': 2, 'edge1': 1, 'edge2': 1, 'edge3': 0, 'edge4': 1, 'edge5': 3, 'metric': 'titanx_256_latency'}",88.93376712499958,16.384949684143066,12.969999999999985
"{'edge0': 2, 'edge1': 4, 'edge2': 1, 'edge3': 0, 'edge4': 1, 'edge5': 3, 'metric': 'titanx_256_latency'}",88.93352588599919,21.587681770324707,8.579999999999998
"{'edge0': 3, 'edge1': 2, 'edge2': 1, 'edge3': 0, 'edge4': 1, 'edge5': 3, 'metric': 'titanx_256_latency'}",88.9335714459994,19.904236793518063,10.345
"{'edge0': 2, 'edge1': 1, 'edge2': 1, 'edge3': 0, 'edge4': 1, 'edge5': 0, 'metric': 'titanx_256_latency'}",88.93367516599938,14.09304141998291,24.370000000000005
"{'edge0': 2, 'edge1': 2, 'edge2': 1, 'edge3': 3, 'edge4': 1, 'edge5': 3, 'metric': 'titanx_256_latency'}",100.1196357939989,23.129467964172363,10.956666666666663
"{'edge0': 3, 'edge1': 4, 'edge2': 1, 'edge3': 1, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",100.11831731100028,16.81563377380371,7.986666666666665
"{'edge0': 3, 'edge1': 1, 'edge2': 1, 'edge3': 0, 'edge4': 0, 'edge5': 0, 'metric': 'titanx_256_latency'}",106.14988622700002,13.774371147155762,90.0
"{'edge0': 3, 'edge1': 1, 'edge2': 0, 'edge3': 0, 'edge4': 0, 'edge5': 0, 'metric': 'titanx_256_latency'}",106.14991712600022,14.62303638458252,90.0
"{'edge0': 3, 'edge1': 1, 'edge2': 1, 'edge3': 0, 'edge4': 1, 'edge5': 0, 'metric': 'titanx_256_latency'}",106.1497396169998,12.395267486572266,11.519999999999996
"{'edge0': 4, 'edge1': 1, 'edge2': 2, 'edge3': 0, 'edge4': 2, 'edge5': 3, 'metric': 'titanx_256_latency'}",106.14985439699922,26.417994499206543,8.504999999999995
"{'edge0': 4, 'edge1': 1, 'edge2': 0, 'edge3': 1, 'edge4': 3, 'edge5': 4, 'metric': 'titanx_256_latency'}",106.1498217169992,22.953267097473145,6.7450000000000045
"{'edge0': 3, 'edge1': 1, 'edge2': 1, 'edge3': 0, 'edge4': 2, 'edge5': 4, 'metric': 'titanx_256_latency'}",106.14994822599874,22.039170265197757,8.125
"{'edge0': 4, 'edge1': 1, 'edge2': 1, 'edge3': 0, 'edge4': 2, 'edge5': 4, 'metric': 'titanx_256_latency'}",106.14978567700018,24.157686233520508,7.586666666666659
"{'edge0': 4, 'edge1': 1, 'edge2': 4, 'edge3': 0, 'edge4': 2, 'edge5': 4, 'metric': 'titanx_256_latency'}",106.14997878599934,29.18581485748291,7.030000000000001
"{'edge0': 3, 'edge1': 1, 'edge2': 0, 'edge3': 1, 'edge4': 1, 'edge5': 0, 'metric': 'titanx_256_latency'}",117.70259561799868,13.073019981384276,10.444999999999991
"{'edge0': 3, 'edge1': 1, 'edge2': 1, 'edge3': 0, 'edge4': 2, 'edge5': 0, 'metric': 'titanx_256_latency'}",117.70099792600011,17.222132682800293,13.385000000000003
"{'edge0': 0, 'edge1': 1, 'edge2': 0, 'edge3': 4, 'edge4': 1, 'edge5': 0, 'metric': 'titanx_256_latency'}",123.43497720699996,15.799951553344728,8.063333333333347
"{'edge0': 3, 'edge1': 1, 'edge2': 0, 'edge3': 0, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",123.4349304970001,13.072094917297363,10.5
"{'edge0': 4, 'edge1': 1, 'edge2': 3, 'edge3': 0, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",123.43504708699948,17.730536460876465,7.1200000000000045
"{'edge0': 0, 'edge1': 1, 'edge2': 0, 'edge3': 3, 'edge4': 1, 'edge5': 0, 'metric': 'titanx_256_latency'}",123.43511014599972,13.84920597076416,10.976666666666674
"{'edge0': 2, 'edge1': 1, 'edge2': 1, 'edge3': 3, 'edge4': 1, 'edge5': 2, 'metric': 'titanx_256_latency'}",123.43501290699896,19.59376811981201,21.63333333333334
"{'edge0': 1, 'edge1': 1, 'edge2': 1, 'edge3': 0, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",123.4351420059993,8.985953330993652,29.39666666666666
"{'edge0': 4, 'edge1': 1, 'edge2': 4, 'edge3': 0, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",123.43507861699982,19.564638137817383,6.764999999999986
"{'edge0': 0, 'edge1': 1, 'edge2': 1, 'edge3': 1, 'edge4': 1, 'edge5': 0, 'metric': 'titanx_256_latency'}",123.43517225599862,9.855060577392578,13.466666666666654
"{'edge0': 4, 'edge1': 1, 'edge2': 1, 'edge3': 0, 'edge4': 1, 'edge5': 4, 'metric': 'titanx_256_latency'}",135.33685410499857,19.868173599243164,7.280000000000001
"{'edge0': 2, 'edge1': 4, 'edge2': 0, 'edge3': 3, 'edge4': 1, 'edge5': 0, 'metric': 'titanx_256_latency'}",135.3342992179987,22.800517082214355,11.326666666666668
"{'edge0': 0, 'edge1': 3, 'edge2': 1, 'edge3': 0, 'edge4': 1, 'edge5': 0, 'metric': 'titanx_256_latency'}",143.44648380800027,13.759875297546388,90.0
"{'edge0': 3, 'edge1': 3, 'edge2': 0, 'edge3': 4, 'edge4': 1, 'edge5': 3, 'metric': 'titanx_256_latency'}",143.44654923799862,23.908963203430176,7.769999999999996
"{'edge0': 0, 'edge1': 0, 'edge2': 0, 'edge3': 0, 'edge4': 1, 'edge5': 0, 'metric': 'titanx_256_latency'}",143.4464071579987,12.314319610595703,90.0
"{'edge0': 2, 'edge1': 1, 'edge2': 1, 'edge3': 0, 'edge4': 2, 'edge5': 3, 'metric': 'titanx_256_latency'}",143.44636007899862,21.296348571777344,13.870000000000005
"{'edge0': 2, 'edge1': 4, 'edge2': 1, 'edge3': 3, 'edge4': 1, 'edge5': 3, 'metric': 'titanx_256_latency'}",143.44661077699857,24.07620906829834,8.366666666666674
"{'edge0': 2, 'edge1': 1, 'edge2': 3, 'edge3': 3, 'edge4': 4, 'edge5': 4, 'metric': 'titanx_256_latency'}",143.4465805079999,29.61240768432617,7.189999999999998
"{'edge0': 1, 'edge1': 1, 'edge2': 1, 'edge3': 1, 'edge4': 2, 'edge5': 2, 'metric': 'titanx_256_latency'}",143.44651548799993,16.620874404907227,46.425
"{'edge0': 0, 'edge1': 0, 'edge2': 4, 'edge3': 0, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",143.44644428799984,15.609970092773438,90.0
"{'edge0': 3, 'edge1': 1, 'edge2': 4, 'edge3': 1, 'edge4': 1, 'edge5': 0, 'metric': 'titanx_256_latency'}",155.04077738100025,17.518973350524902,10.180000000000009
"{'edge0': 0, 'edge1': 1, 'edge2': 1, 'edge3': 0, 'edge4': 1, 'edge5': 0, 'metric': 'titanx_256_latency'}",155.038066264,10.680837631225586,90.0
"{'edge0': 3, 'edge1': 1, 'edge2': 0, 'edge3': 4, 'edge4': 1, 'edge5': 4, 'metric': 'titanx_256_latency'}",162.45102137999856,23.239245414733887,7.920000000000002
"{'edge0': 3, 'edge1': 1, 'edge2': 1, 'edge3': 4, 'edge4': 1, 'edge5': 0, 'metric': 'titanx_256_latency'}",162.45107391999954,17.635502815246582,7.390000000000001
"{'edge0': 3, 'edge1': 1, 'edge2': 1, 'edge3': 4, 'edge4': 1, 'edge5': 4, 'metric': 'titanx_256_latency'}",162.45111255899974,22.110896110534668,7.560000000000002
"{'edge0': 0, 'edge1': 4, 'edge2': 3, 'edge3': 1, 'edge4': 1, 'edge5': 4, 'metric': 'titanx_256_latency'}",162.45118199900026,23.413915634155277,6.180000000000007
"{'edge0': 3, 'edge1': 3, 'edge2': 1, 'edge3': 1, 'edge4': 1, 'edge5': 4, 'metric': 'titanx_256_latency'}",162.45121449899852,20.031676292419437,7.560000000000002
"{'edge0': 0, 'edge1': 2, 'edge2': 3, 'edge3': 3, 'edge4': 1, 'edge5': 0, 'metric': 'titanx_256_latency'}",162.45114849899983,20.15320301055908,11.0
"{'edge0': 0, 'edge1': 1, 'edge2': 1, 'edge3': 4, 'edge4': 1, 'edge5': 0, 'metric': 'titanx_256_latency'}",162.45127768899874,14.92182731628418,8.043333333333337
"{'edge0': 3, 'edge1': 1, 'edge2': 0, 'edge3': 4, 'edge4': 1, 'edge5': 0, 'metric': 'titanx_256_latency'}",162.45124620899878,18.69720935821533,8.10499999999999
"{'edge0': 3, 'edge1': 3, 'edge2': 1, 'edge3': 0, 'edge4': 1, 'edge5': 3, 'metric': 'titanx_256_latency'}",169.62421792999885,18.87535572052002,11.095
"{'edge0': 3, 'edge1': 3, 'edge2': 1, 'edge3': 0, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",169.61078840499977,15.586714744567873,10.879999999999995
"{'edge0': 0, 'edge1': 3, 'edge2': 1, 'edge3': 1, 'edge4': 1, 'edge5': 3, 'metric': 'titanx_256_latency'}",181.0140916780001,16.195030212402344,9.786666666666676
"{'edge0': 3, 'edge1': 3, 'edge2': 0, 'edge3': 0, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",181.01224219699907,16.342949867248535,10.879999999999995
"{'edge0': 4, 'edge1': 1, 'edge2': 0, 'edge3': 0, 'edge4': 1, 'edge5': 3, 'metric': 'titanx_256_latency'}",181.01413459799917,18.224658966064453,7.689999999999998
"{'edge0': 3, 'edge1': 0, 'edge2': 0, 'edge3': 0, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",181.0142100479989,13.906607627868652,11.403333333333322
"{'edge0': 4, 'edge1': 3, 'edge2': 1, 'edge3': 0, 'edge4': 1, 'edge5': 0, 'metric': 'titanx_256_latency'}",181.01427166800025,18.349809646606445,8.126666666666665
"{'edge0': 3, 'edge1': 0, 'edge2': 1, 'edge3': 4, 'edge4': 1, 'edge5': 0, 'metric': 'titanx_256_latency'}",181.01430122700003,18.32244873046875,7.590000000000018
"{'edge0': 0, 'edge1': 1, 'edge2': 4, 'edge3': 1, 'edge4': 1, 'edge5': 4, 'metric': 'titanx_256_latency'}",181.01424150799903,19.32650089263916,7.865000000000009
"{'edge0': 3, 'edge1': 3, 'edge2': 3, 'edge3': 0, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",181.0141775079992,18.81243705749512,10.759999999999993
"{'edge0': 0, 'edge1': 1, 'edge2': 2, 'edge3': 1, 'edge4': 4, 'edge5': 3, 'metric': 'titanx_256_latency'}",188.4047395039997,21.79408550262451,10.204999999999998
