configs,runtime_traj,latency,error
"{'edge0': 2, 'edge1': 4, 'edge2': 3, 'edge3': 2, 'edge4': 2, 'edge5': 3, 'metric': 'fpga_latency'}",15.104675769000096,4.64976,10.72
"{'edge0': 1, 'edge1': 1, 'edge2': 4, 'edge3': 4, 'edge4': 2, 'edge5': 3, 'metric': 'fpga_latency'}",30.135122834000867,4.57296,7.6299999999999955
"{'edge0': 2, 'edge1': 1, 'edge2': 0, 'edge3': 3, 'edge4': 4, 'edge5': 1, 'metric': 'fpga_latency'}",45.17112958600046,3.31536,8.873333333333335
"{'edge0': 3, 'edge1': 2, 'edge2': 4, 'edge3': 2, 'edge4': 3, 'edge5': 2, 'metric': 'fpga_latency'}",60.19049285599976,4.64976,12.254999999999995
"{'edge0': 1, 'edge1': 4, 'edge2': 0, 'edge3': 4, 'edge4': 2, 'edge5': 4, 'metric': 'fpga_latency'}",75.21216233700034,5.31536,7.456666666666663
"{'edge0': 4, 'edge1': 2, 'edge2': 2, 'edge3': 2, 'edge4': 1, 'edge5': 1, 'metric': 'fpga_latency'}",90.23376360300064,3.61936,13.016666666666666
"{'edge0': 3, 'edge1': 4, 'edge2': 4, 'edge3': 3, 'edge4': 0, 'edge5': 4, 'metric': 'fpga_latency'}",105.25337899999975,5.93616,6.545000000000002
"{'edge0': 4, 'edge1': 3, 'edge2': 3, 'edge3': 1, 'edge4': 4, 'edge5': 0, 'metric': 'fpga_latency'}",120.30368386400004,4.67856,6.420000000000002
"{'edge0': 0, 'edge1': 4, 'edge2': 2, 'edge3': 1, 'edge4': 2, 'edge5': 1, 'metric': 'fpga_latency'}",135.3168225469999,3.20976,7.866666666666674
"{'edge0': 1, 'edge1': 1, 'edge2': 3, 'edge3': 2, 'edge4': 2, 'edge5': 3, 'metric': 'fpga_latency'}",150.34314699700008,2.98256,13.120000000000005
"{'edge0': 0, 'edge1': 1, 'edge2': 2, 'edge3': 0, 'edge4': 2, 'edge5': 4, 'metric': 'fpga_latency'}",165.36456365100094,3.20976,7.914999999999992
"{'edge0': 3, 'edge1': 4, 'edge2': 1, 'edge3': 1, 'edge4': 4, 'edge5': 3, 'metric': 'fpga_latency'}",180.3835193440009,4.67856,6.155000000000001
"{'edge0': 3, 'edge1': 4, 'edge2': 1, 'edge3': 3, 'edge4': 4, 'edge5': 0, 'metric': 'fpga_latency'}",195.40229226300107,4.67856,7.776666666666685
"{'edge0': 3, 'edge1': 2, 'edge2': 4, 'edge3': 4, 'edge4': 2, 'edge5': 2, 'metric': 'fpga_latency'}",210.4228425450001,5.39216,9.310000000000002
"{'edge0': 1, 'edge1': 4, 'edge2': 4, 'edge3': 3, 'edge4': 3, 'edge5': 0, 'metric': 'fpga_latency'}",225.45087113599948,4.67856,10.830000000000013
"{'edge0': 2, 'edge1': 4, 'edge2': 3, 'edge3': 1, 'edge4': 0, 'edge5': 0, 'metric': 'fpga_latency'}",240.4773526680001,3.31536,12.924999999999995
"{'edge0': 4, 'edge1': 4, 'edge2': 2, 'edge3': 1, 'edge4': 3, 'edge5': 3, 'metric': 'fpga_latency'}",255.52083579200007,5.08816,5.935000000000002
"{'edge0': 3, 'edge1': 4, 'edge2': 3, 'edge3': 4, 'edge4': 1, 'edge5': 4, 'metric': 'fpga_latency'}",275.5514569879997,5.93616,6.399999999999992
"{'edge0': 1, 'edge1': 4, 'edge2': 4, 'edge3': 2, 'edge4': 2, 'edge5': 1, 'metric': 'fpga_latency'}",290.5802632930008,4.46736,12.506666666666677
"{'edge0': 3, 'edge1': 0, 'edge2': 0, 'edge3': 3, 'edge4': 4, 'edge5': 1, 'metric': 'fpga_latency'}",305.62199336100093,3.42096,7.670000000000002
"{'edge0': 3, 'edge1': 1, 'edge2': 3, 'edge3': 4, 'edge4': 1, 'edge5': 0, 'metric': 'fpga_latency'}",320.6505134910003,3.42096,7.689999999999998
"{'edge0': 3, 'edge1': 4, 'edge2': 1, 'edge3': 3, 'edge4': 3, 'edge5': 1, 'metric': 'fpga_latency'}",335.69113657100024,3.93616,7.363333333333344
"{'edge0': 3, 'edge1': 4, 'edge2': 1, 'edge3': 0, 'edge4': 3, 'edge5': 1, 'metric': 'fpga_latency'}",350.72645379999994,3.42096,7.779999999999987
"{'edge0': 2, 'edge1': 4, 'edge2': 0, 'edge3': 1, 'edge4': 2, 'edge5': 3, 'metric': 'fpga_latency'}",365.7661730279997,3.72496,10.063333333333333
"{'edge0': 2, 'edge1': 4, 'edge2': 3, 'edge3': 3, 'edge4': 4, 'edge5': 1, 'metric': 'fpga_latency'}",380.8400789900006,5.08816,7.724999999999994
"{'edge0': 3, 'edge1': 2, 'edge2': 3, 'edge3': 1, 'edge4': 1, 'edge5': 2, 'metric': 'fpga_latency'}",395.8715128010008,2.98256,12.015
"{'edge0': 1, 'edge1': 4, 'edge2': 3, 'edge3': 3, 'edge4': 4, 'edge5': 0, 'metric': 'fpga_latency'}",410.9143487639994,4.67856,7.856666666666669
"{'edge0': 1, 'edge1': 4, 'edge2': 4, 'edge3': 0, 'edge4': 2, 'edge5': 3, 'metric': 'fpga_latency'}",425.9595081419993,4.57296,8.245000000000005
"{'edge0': 1, 'edge1': 3, 'edge2': 0, 'edge3': 4, 'edge4': 2, 'edge5': 4, 'metric': 'fpga_latency'}",440.9891093549995,4.57296,7.709999999999994
"{'edge0': 3, 'edge1': 4, 'edge2': 4, 'edge3': 2, 'edge4': 1, 'edge5': 4, 'metric': 'fpga_latency'}",456.0423269929997,5.83056,7.129999999999996
"{'edge0': 1, 'edge1': 4, 'edge2': 4, 'edge3': 2, 'edge4': 4, 'edge5': 4, 'metric': 'fpga_latency'}",471.084388018,6.57296,7.163333333333341
"{'edge0': 3, 'edge1': 2, 'edge2': 2, 'edge3': 4, 'edge4': 1, 'edge5': 2, 'metric': 'fpga_latency'}",486.1122947370004,4.13456,9.920000000000002
"{'edge0': 1, 'edge1': 3, 'edge2': 2, 'edge3': 1, 'edge4': 0, 'edge5': 4, 'metric': 'fpga_latency'}",501.1606528709999,3.31536,8.173333333333332
