configs,runtime_traj,latency,error
"{'edge0': 0, 'edge1': 0, 'edge2': 0, 'edge3': 0, 'edge4': 0, 'edge5': 0, 'metric': 'fpga_latency'}",15.114623928999208,1.13296,90.0
"{'edge0': 0, 'edge1': 0, 'edge2': 3, 'edge3': 1, 'edge4': 1, 'edge5': 3, 'metric': 'fpga_latency'}",15.116416957999718,2.16336,13.324999999999989
"{'edge0': 3, 'edge1': 4, 'edge2': 4, 'edge3': 1, 'edge4': 2, 'edge5': 0, 'metric': 'fpga_latency'}",15.116556216999925,4.57296,10.409999999999997
"{'edge0': 2, 'edge1': 0, 'edge2': 4, 'edge3': 0, 'edge4': 1, 'edge5': 4, 'metric': 'fpga_latency'}",15.116580646999864,4.05776,12.233333333333334
"{'edge0': 1, 'edge1': 0, 'edge2': 4, 'edge3': 0, 'edge4': 2, 'edge5': 0, 'metric': 'fpga_latency'}",15.116383687999589,2.80016,24.376666666666665
"{'edge0': 4, 'edge1': 1, 'edge2': 4, 'edge3': 1, 'edge4': 1, 'edge5': 4, 'metric': 'fpga_latency'}",15.116535216999182,4.90576,6.384999999999991
"{'edge0': 2, 'edge1': 4, 'edge2': 2, 'edge3': 3, 'edge4': 1, 'edge5': 1, 'metric': 'fpga_latency'}",15.116467706999174,3.72496,12.899999999999991
"{'edge0': 3, 'edge1': 1, 'edge2': 4, 'edge3': 3, 'edge4': 0, 'edge5': 0, 'metric': 'fpga_latency'}",15.11644332800006,3.42096,11.105000000000004
"{'edge0': 0, 'edge1': 4, 'edge2': 1, 'edge3': 1, 'edge4': 4, 'edge5': 0, 'metric': 'fpga_latency'}",15.11651254699973,3.64816,13.450000000000005
"{'edge0': 4, 'edge1': 1, 'edge2': 2, 'edge3': 3, 'edge4': 3, 'edge5': 3, 'metric': 'fpga_latency'}",15.11649071699958,4.34576,7.326666666666668
"{'edge0': 0, 'edge1': 3, 'edge2': 1, 'edge3': 2, 'edge4': 2, 'edge5': 4, 'metric': 'fpga_latency'}",30.137825400999645,3.72496,8.574999999999989
"{'edge0': 1, 'edge1': 4, 'edge2': 0, 'edge3': 4, 'edge4': 1, 'edge5': 0, 'metric': 'fpga_latency'}",30.13785544099937,3.64816,7.989999999999995
"{'edge0': 1, 'edge1': 1, 'edge2': 2, 'edge3': 2, 'edge4': 2, 'edge5': 2, 'metric': 'fpga_latency'}",30.137657071999456,2.77136,48.31333333333333
"{'edge0': 1, 'edge1': 2, 'edge2': 2, 'edge3': 4, 'edge4': 1, 'edge5': 0, 'metric': 'fpga_latency'}",30.1378901399994,3.20976,8.226666666666674
"{'edge0': 0, 'edge1': 3, 'edge2': 4, 'edge3': 1, 'edge4': 3, 'edge5': 0, 'metric': 'fpga_latency'}",30.137795070999346,3.42096,13.443333333333328
"{'edge0': 1, 'edge1': 1, 'edge2': 2, 'edge3': 0, 'edge4': 3, 'edge5': 2, 'metric': 'fpga_latency'}",30.13773124099953,2.46736,14.616666666666674
"{'edge0': 0, 'edge1': 1, 'edge2': 2, 'edge3': 3, 'edge4': 2, 'edge5': 4, 'metric': 'fpga_latency'}",30.136076400999627,3.72496,8.064999999999998
"{'edge0': 0, 'edge1': 1, 'edge2': 3, 'edge3': 0, 'edge4': 1, 'edge5': 3, 'metric': 'fpga_latency'}",30.13769751199925,2.16336,11.08999999999999
"{'edge0': 2, 'edge1': 4, 'edge2': 0, 'edge3': 1, 'edge4': 3, 'edge5': 3, 'metric': 'fpga_latency'}",30.137926509999488,3.83056,6.769999999999996
"{'edge0': 4, 'edge1': 1, 'edge2': 0, 'edge3': 0, 'edge4': 0, 'edge5': 4, 'metric': 'fpga_latency'}",30.137763470999744,3.64816,8.239999999999995
"{'edge0': 0, 'edge1': 3, 'edge2': 0, 'edge3': 1, 'edge4': 3, 'edge5': 1, 'metric': 'fpga_latency'}",45.17274250699938,2.16336,10.430000000000009
"{'edge0': 0, 'edge1': 2, 'edge2': 1, 'edge3': 3, 'edge4': 2, 'edge5': 0, 'metric': 'fpga_latency'}",45.17280588699941,2.46736,11.370000000000005
"{'edge0': 3, 'edge1': 3, 'edge2': 0, 'edge3': 0, 'edge4': 4, 'edge5': 2, 'metric': 'fpga_latency'}",45.17262123799992,3.83056,8.509999999999991
"{'edge0': 0, 'edge1': 0, 'edge2': 1, 'edge3': 3, 'edge4': 3, 'edge5': 2, 'metric': 'fpga_latency'}",45.17283714599944,2.57296,11.379999999999995
"{'edge0': 4, 'edge1': 1, 'edge2': 3, 'edge3': 0, 'edge4': 3, 'edge5': 4, 'metric': 'fpga_latency'}",45.1727749469992,4.67856,6.884999999999991
"{'edge0': 4, 'edge1': 3, 'edge2': 0, 'edge3': 4, 'edge4': 4, 'edge5': 0, 'metric': 'fpga_latency'}",45.17289783599972,5.42096,6.909999999999997
