configs,runtime_traj,latency,error
"{'edge0': 0, 'edge1': 0, 'edge2': 0, 'edge3': 0, 'edge4': 0, 'edge5': 0, 'metric': 'titanx_256_latency'}",15.119454854999276,13.159713745117188,90.0
"{'edge0': 1, 'edge1': 4, 'edge2': 1, 'edge3': 4, 'edge4': 2, 'edge5': 3, 'metric': 'titanx_256_latency'}",15.119552033999751,26.299409866333008,7.613333333333344
"{'edge0': 4, 'edge1': 4, 'edge2': 0, 'edge3': 3, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",15.116107179999744,22.997093200683597,7.519999999999996
"{'edge0': 1, 'edge1': 4, 'edge2': 4, 'edge3': 0, 'edge4': 3, 'edge5': 4, 'metric': 'titanx_256_latency'}",15.119062528999166,28.13572883605957,6.890000000000001
"{'edge0': 0, 'edge1': 1, 'edge2': 1, 'edge3': 1, 'edge4': 0, 'edge5': 2, 'metric': 'titanx_256_latency'}",15.11895990999983,14.229516983032228,20.013333333333332
"{'edge0': 2, 'edge1': 0, 'edge2': 0, 'edge3': 3, 'edge4': 4, 'edge5': 4, 'metric': 'titanx_256_latency'}",15.11960338299923,27.676119804382324,8.939999999999998
"{'edge0': 4, 'edge1': 3, 'edge2': 1, 'edge3': 2, 'edge4': 0, 'edge5': 3, 'metric': 'titanx_256_latency'}",15.119336025999472,25.106520652771,8.11
"{'edge0': 0, 'edge1': 1, 'edge2': 0, 'edge3': 4, 'edge4': 4, 'edge5': 3, 'metric': 'titanx_256_latency'}",15.119505203999324,23.58243465423584,7.516666666666666
"{'edge0': 3, 'edge1': 4, 'edge2': 3, 'edge3': 1, 'edge4': 3, 'edge5': 3, 'metric': 'titanx_256_latency'}",15.119152127999769,26.74668312072754,6.719999999999985
"{'edge0': 3, 'edge1': 3, 'edge2': 2, 'edge3': 3, 'edge4': 1, 'edge5': 3, 'metric': 'titanx_256_latency'}",15.119403425999735,25.797247886657715,9.620000000000005
"{'edge0': 2, 'edge1': 3, 'edge2': 2, 'edge3': 1, 'edge4': 3, 'edge5': 4, 'metric': 'titanx_256_latency'}",30.14754423999966,28.43153953552246,8.099999999999994
"{'edge0': 3, 'edge1': 4, 'edge2': 3, 'edge3': 0, 'edge4': 4, 'edge5': 0, 'metric': 'titanx_256_latency'}",30.14748489099929,26.92984104156494,8.780000000000001
"{'edge0': 1, 'edge1': 0, 'edge2': 2, 'edge3': 3, 'edge4': 4, 'edge5': 2, 'metric': 'titanx_256_latency'}",30.147432320999545,26.427159309387207,9.546666666666669
"{'edge0': 0, 'edge1': 0, 'edge2': 3, 'edge3': 2, 'edge4': 3, 'edge5': 1, 'metric': 'titanx_256_latency'}",30.14757088999977,20.40746688842773,24.260000000000005
"{'edge0': 4, 'edge1': 1, 'edge2': 4, 'edge3': 1, 'edge4': 0, 'edge5': 4, 'metric': 'titanx_256_latency'}",30.14582044799954,25.005784034729004,6.310000000000002
"{'edge0': 3, 'edge1': 1, 'edge2': 3, 'edge3': 2, 'edge4': 4, 'edge5': 0, 'metric': 'titanx_256_latency'}",30.147336451999763,25.29306411743164,8.670000000000002
"{'edge0': 4, 'edge1': 3, 'edge2': 3, 'edge3': 0, 'edge4': 4, 'edge5': 4, 'metric': 'titanx_256_latency'}",30.147457850999672,31.77794933319092,7.545000000000002
"{'edge0': 2, 'edge1': 4, 'edge2': 0, 'edge3': 0, 'edge4': 1, 'edge5': 2, 'metric': 'titanx_256_latency'}",30.147512850999192,23.405542373657227,11.363333333333344
"{'edge0': 3, 'edge1': 4, 'edge2': 4, 'edge3': 2, 'edge4': 4, 'edge5': 0, 'metric': 'titanx_256_latency'}",30.147375411999747,32.58455753326416,8.664999999999992
"{'edge0': 0, 'edge1': 2, 'edge2': 1, 'edge3': 3, 'edge4': 4, 'edge5': 2, 'metric': 'titanx_256_latency'}",30.147404951999302,25.91222286224365,11.11
"{'edge0': 3, 'edge1': 4, 'edge2': 1, 'edge3': 0, 'edge4': 3, 'edge5': 0, 'metric': 'titanx_256_latency'}",45.18319561399949,21.780385971069336,13.796666666666669
"{'edge0': 0, 'edge1': 1, 'edge2': 0, 'edge3': 0, 'edge4': 2, 'edge5': 0, 'metric': 'titanx_256_latency'}",45.1833817429997,15.760135650634766,90.0
"{'edge0': 0, 'edge1': 3, 'edge2': 2, 'edge3': 4, 'edge4': 3, 'edge5': 3, 'metric': 'titanx_256_latency'}",45.18323671399958,28.31301689147949,7.560000000000002
"{'edge0': 2, 'edge1': 2, 'edge2': 3, 'edge3': 1, 'edge4': 0, 'edge5': 2, 'metric': 'titanx_256_latency'}",45.18327464399954,25.01859188079834,15.403333333333322
"{'edge0': 2, 'edge1': 3, 'edge2': 1, 'edge3': 0, 'edge4': 3, 'edge5': 1, 'metric': 'titanx_256_latency'}",45.18334628299999,19.682655334472656,11.290000000000006
"{'edge0': 4, 'edge1': 2, 'edge2': 4, 'edge3': 0, 'edge4': 4, 'edge5': 0, 'metric': 'titanx_256_latency'}",45.18331138299982,30.02532958984375,9.099999999999994
"{'edge0': 1, 'edge1': 4, 'edge2': 2, 'edge3': 2, 'edge4': 1, 'edge5': 4, 'metric': 'titanx_256_latency'}",45.183146404999206,27.887592315673828,11.709999999999994
"{'edge0': 2, 'edge1': 4, 'edge2': 3, 'edge3': 1, 'edge4': 0, 'edge5': 0, 'metric': 'titanx_256_latency'}",45.18152133199965,22.802958488464355,12.924999999999995
"{'edge0': 2, 'edge1': 3, 'edge2': 1, 'edge3': 0, 'edge4': 4, 'edge5': 1, 'metric': 'titanx_256_latency'}",45.18341812199924,21.36678695678711,9.349999999999994
"{'edge0': 3, 'edge1': 2, 'edge2': 4, 'edge3': 0, 'edge4': 2, 'edge5': 2, 'metric': 'titanx_256_latency'}",45.18308916599926,30.3836727142334,11.944999999999991
"{'edge0': 1, 'edge1': 2, 'edge2': 0, 'edge3': 4, 'edge4': 3, 'edge5': 4, 'metric': 'titanx_256_latency'}",60.21501652399911,27.123656272888184,7.616666666666674
"{'edge0': 1, 'edge1': 2, 'edge2': 2, 'edge3': 4, 'edge4': 2, 'edge5': 0, 'metric': 'titanx_256_latency'}",60.21706649399948,27.2123384475708,8.796666666666667
"{'edge0': 2, 'edge1': 1, 'edge2': 3, 'edge3': 4, 'edge4': 4, 'edge5': 3, 'metric': 'titanx_256_latency'}",60.21733176099952,29.48371410369873,7.585000000000008
"{'edge0': 0, 'edge1': 3, 'edge2': 3, 'edge3': 1, 'edge4': 0, 'edge5': 3, 'metric': 'titanx_256_latency'}",60.21745358999942,19.058351516723636,9.14
"{'edge0': 4, 'edge1': 0, 'edge2': 3, 'edge3': 2, 'edge4': 4, 'edge5': 4, 'metric': 'titanx_256_latency'}",60.21693225499985,33.08133125305176,7.060000000000002
"{'edge0': 0, 'edge1': 1, 'edge2': 1, 'edge3': 2, 'edge4': 3, 'edge5': 3, 'metric': 'titanx_256_latency'}",60.21720376199937,19.635252952575684,11.090000000000003
"{'edge0': 2, 'edge1': 2, 'edge2': 3, 'edge3': 0, 'edge4': 3, 'edge5': 4, 'metric': 'titanx_256_latency'}",60.217392959999415,29.13296222686768,14.543333333333337
"{'edge0': 1, 'edge1': 4, 'edge2': 3, 'edge3': 0, 'edge4': 3, 'edge5': 3, 'metric': 'titanx_256_latency'}",60.217268871999295,24.262757301330566,7.536666666666676
"{'edge0': 4, 'edge1': 4, 'edge2': 2, 'edge3': 0, 'edge4': 3, 'edge5': 4, 'metric': 'titanx_256_latency'}",60.217132472999765,32.63704299926758,7.579999999999998
"{'edge0': 1, 'edge1': 4, 'edge2': 3, 'edge3': 2, 'edge4': 2, 'edge5': 2, 'metric': 'titanx_256_latency'}",60.21699834399988,29.37192440032959,13.796666666666669
"{'edge0': 0, 'edge1': 1, 'edge2': 2, 'edge3': 1, 'edge4': 3, 'edge5': 1, 'metric': 'titanx_256_latency'}",75.26437664899913,16.496024131774902,15.925000000000011
"{'edge0': 2, 'edge1': 3, 'edge2': 0, 'edge3': 0, 'edge4': 4, 'edge5': 0, 'metric': 'titanx_256_latency'}",75.26412673099912,23.561367988586422,15.840000000000003
"{'edge0': 1, 'edge1': 3, 'edge2': 3, 'edge3': 2, 'edge4': 0, 'edge5': 4, 'metric': 'titanx_256_latency'}",75.26416809099919,23.657231330871586,8.91000000000001
"{'edge0': 1, 'edge1': 1, 'edge2': 1, 'edge3': 1, 'edge4': 2, 'edge5': 4, 'metric': 'titanx_256_latency'}",75.26430093899944,17.61514663696289,11.689999999999998
"{'edge0': 3, 'edge1': 2, 'edge2': 0, 'edge3': 1, 'edge4': 3, 'edge5': 3, 'metric': 'titanx_256_latency'}",75.26426075999916,23.189616203308105,9.194999999999991
"{'edge0': 0, 'edge1': 2, 'edge2': 0, 'edge3': 3, 'edge4': 2, 'edge5': 0, 'metric': 'titanx_256_latency'}",75.26194455299992,22.47213363647461,11.426666666666677
"{'edge0': 1, 'edge1': 4, 'edge2': 3, 'edge3': 3, 'edge4': 0, 'edge5': 2, 'metric': 'titanx_256_latency'}",75.26421684999968,27.09588050842285,8.736666666666679
"{'edge0': 4, 'edge1': 1, 'edge2': 3, 'edge3': 1, 'edge4': 4, 'edge5': 1, 'metric': 'titanx_256_latency'}",75.26408180199996,23.34659576416016,9.704999999999998
"{'edge0': 4, 'edge1': 1, 'edge2': 0, 'edge3': 0, 'edge4': 3, 'edge5': 3, 'metric': 'titanx_256_latency'}",75.2643399489998,21.634540557861328,7.519999999999996
"{'edge0': 3, 'edge1': 1, 'edge2': 0, 'edge3': 0, 'edge4': 1, 'edge5': 0, 'metric': 'titanx_256_latency'}",75.26402382199922,13.842005729675291,11.200000000000005
"{'edge0': 3, 'edge1': 4, 'edge2': 4, 'edge3': 0, 'edge4': 2, 'edge5': 0, 'metric': 'titanx_256_latency'}",90.31039454599976,28.710970878601078,13.876666666666663
"{'edge0': 4, 'edge1': 4, 'edge2': 1, 'edge3': 1, 'edge4': 3, 'edge5': 4, 'metric': 'titanx_256_latency'}",90.31029016699996,27.69326686859131,6.204999999999998
"{'edge0': 2, 'edge1': 1, 'edge2': 2, 'edge3': 0, 'edge4': 2, 'edge5': 1, 'metric': 'titanx_256_latency'}",90.31034647699926,21.529216766357425,42.495
"{'edge0': 4, 'edge1': 2, 'edge2': 0, 'edge3': 0, 'edge4': 0, 'edge5': 2, 'metric': 'titanx_256_latency'}",90.31048236599965,24.0875244140625,31.89
"{'edge0': 4, 'edge1': 3, 'edge2': 2, 'edge3': 2, 'edge4': 3, 'edge5': 4, 'metric': 'titanx_256_latency'}",90.310523225,33.58757972717285,7.22999999999999
"{'edge0': 3, 'edge1': 2, 'edge2': 4, 'edge3': 1, 'edge4': 0, 'edge5': 3, 'metric': 'titanx_256_latency'}",90.31064688399964,25.337767601013184,7.555000000000007
"{'edge0': 0, 'edge1': 2, 'edge2': 0, 'edge3': 1, 'edge4': 1, 'edge5': 0, 'metric': 'titanx_256_latency'}",90.31056460499984,14.72930908203125,13.870000000000005
"{'edge0': 3, 'edge1': 1, 'edge2': 0, 'edge3': 4, 'edge4': 1, 'edge5': 2, 'metric': 'titanx_256_latency'}",90.30790056099976,21.83133602142334,8.373333333333335
"{'edge0': 4, 'edge1': 4, 'edge2': 4, 'edge3': 4, 'edge4': 4, 'edge5': 3, 'metric': 'titanx_256_latency'}",90.31043961599973,38.65332126617432,6.439999999999998
"{'edge0': 1, 'edge1': 2, 'edge2': 4, 'edge3': 1, 'edge4': 3, 'edge5': 1, 'metric': 'titanx_256_latency'}",90.31060694399912,21.420717239379883,12.126666666666663
"{'edge0': 0, 'edge1': 1, 'edge2': 0, 'edge3': 4, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",105.36539851599991,15.005192756652832,8.233333333333334
"{'edge0': 0, 'edge1': 3, 'edge2': 2, 'edge3': 4, 'edge4': 3, 'edge5': 4, 'metric': 'titanx_256_latency'}",105.36277972099924,30.222268104553223,7.36333333333333
"{'edge0': 3, 'edge1': 1, 'edge2': 4, 'edge3': 0, 'edge4': 1, 'edge5': 1, 'metric': 'titanx_256_latency'}",110.39975013999992,17.630348205566406,7.495000000000003
"{'edge0': 2, 'edge1': 1, 'edge2': 0, 'edge3': 4, 'edge4': 4, 'edge5': 3, 'metric': 'titanx_256_latency'}",110.39959016099964,27.4069881439209,7.646666666666661
"{'edge0': 3, 'edge1': 4, 'edge2': 4, 'edge3': 0, 'edge4': 1, 'edge5': 0, 'metric': 'titanx_256_latency'}",110.39964632099964,23.504939079284668,11.090000000000003
"{'edge0': 0, 'edge1': 1, 'edge2': 4, 'edge3': 4, 'edge4': 2, 'edge5': 3, 'metric': 'titanx_256_latency'}",110.3996222809992,27.278947830200195,7.519999999999996
"{'edge0': 2, 'edge1': 3, 'edge2': 0, 'edge3': 2, 'edge4': 4, 'edge5': 0, 'metric': 'titanx_256_latency'}",110.39973053999984,26.76694393157959,15.299999999999995
"{'edge0': 1, 'edge1': 2, 'edge2': 4, 'edge3': 2, 'edge4': 4, 'edge5': 3, 'metric': 'titanx_256_latency'}",110.39966817099958,30.575976371765137,7.616666666666674
"{'edge0': 0, 'edge1': 0, 'edge2': 2, 'edge3': 1, 'edge4': 4, 'edge5': 0, 'metric': 'titanx_256_latency'}",110.39971066999988,20.010361671447757,13.569999999999991
