configs,runtime_traj,latency,error
"{'edge0': 0, 'edge1': 0, 'edge2': 0, 'edge3': 0, 'edge4': 0, 'edge5': 0, 'metric': 'fpga_latency'}",15.120969595000131,1.13296,90.0
"{'edge0': 1, 'edge1': 4, 'edge2': 1, 'edge3': 4, 'edge4': 2, 'edge5': 3, 'metric': 'fpga_latency'}",15.120736036999917,4.57296,7.613333333333344
"{'edge0': 4, 'edge1': 4, 'edge2': 0, 'edge3': 3, 'edge4': 1, 'edge5': 1, 'metric': 'fpga_latency'}",15.120925115999851,4.16336,7.519999999999996
"{'edge0': 1, 'edge1': 4, 'edge2': 4, 'edge3': 0, 'edge4': 3, 'edge5': 4, 'metric': 'fpga_latency'}",15.12078721600028,5.42096,6.890000000000001
"{'edge0': 0, 'edge1': 1, 'edge2': 1, 'edge3': 1, 'edge4': 0, 'edge5': 2, 'metric': 'fpga_latency'}",15.121044255000015,1.54256,20.013333333333332
"{'edge0': 2, 'edge1': 0, 'edge2': 0, 'edge3': 3, 'edge4': 4, 'edge5': 4, 'metric': 'fpga_latency'}",15.12065143700056,4.57296,8.939999999999998
"{'edge0': 4, 'edge1': 3, 'edge2': 1, 'edge3': 2, 'edge4': 0, 'edge5': 3, 'metric': 'fpga_latency'}",15.120873876000587,3.83056,8.11
"{'edge0': 0, 'edge1': 1, 'edge2': 0, 'edge3': 4, 'edge4': 4, 'edge5': 3, 'metric': 'fpga_latency'}",15.121008735000032,4.16336,7.516666666666666
"{'edge0': 3, 'edge1': 4, 'edge2': 3, 'edge3': 1, 'edge4': 3, 'edge5': 3, 'metric': 'fpga_latency'}",15.116699388000598,4.45136,6.719999999999985
"{'edge0': 3, 'edge1': 3, 'edge2': 2, 'edge3': 3, 'edge4': 1, 'edge5': 3, 'metric': 'fpga_latency'}",15.120831805999842,3.60336,9.620000000000005
"{'edge0': 1, 'edge1': 0, 'edge2': 2, 'edge3': 3, 'edge4': 4, 'edge5': 2, 'metric': 'fpga_latency'}",32.25736609500018,3.72496,9.546666666666669
"{'edge0': 2, 'edge1': 3, 'edge2': 4, 'edge3': 1, 'edge4': 3, 'edge5': 3, 'metric': 'fpga_latency'}",32.25748858499992,4.34576,7.626666666666665
"{'edge0': 3, 'edge1': 4, 'edge2': 1, 'edge3': 1, 'edge4': 3, 'edge5': 3, 'metric': 'fpga_latency'}",32.25744536500042,3.93616,6.506666666666661
"{'edge0': 4, 'edge1': 4, 'edge2': 1, 'edge3': 1, 'edge4': 3, 'edge5': 3, 'metric': 'fpga_latency'}",32.25753081400035,4.67856,6.185000000000002
"{'edge0': 4, 'edge1': 2, 'edge2': 4, 'edge3': 3, 'edge4': 0, 'edge5': 1, 'metric': 'fpga_latency'}",32.25739814500048,4.57296,7.215000000000003
"{'edge0': 1, 'edge1': 2, 'edge2': 3, 'edge3': 4, 'edge4': 0, 'edge5': 1, 'metric': 'fpga_latency'}",32.257509814000514,3.31536,8.549999999999997
"{'edge0': 3, 'edge1': 1, 'edge2': 2, 'edge3': 0, 'edge4': 0, 'edge5': 4, 'metric': 'fpga_latency'}",32.2574228350004,3.31536,8.296666666666667
"{'edge0': 1, 'edge1': 2, 'edge2': 4, 'edge3': 4, 'edge4': 0, 'edge5': 1, 'metric': 'fpga_latency'}",32.256364230000145,4.05776,8.459999999999994
"{'edge0': 3, 'edge1': 0, 'edge2': 2, 'edge3': 0, 'edge4': 0, 'edge5': 4, 'metric': 'fpga_latency'}",32.25746732500011,3.31536,12.989999999999997
"{'edge0': 3, 'edge1': 0, 'edge2': 4, 'edge3': 3, 'edge4': 1, 'edge5': 3, 'metric': 'fpga_latency'}",32.25755325400041,3.93616,7.420000000000002
"{'edge0': 0, 'edge1': 4, 'edge2': 2, 'edge3': 0, 'edge4': 0, 'edge5': 0, 'metric': 'fpga_latency'}",48.30999326100027,2.80016,90.0
"{'edge0': 3, 'edge1': 4, 'edge2': 3, 'edge3': 3, 'edge4': 0, 'edge5': 0, 'metric': 'fpga_latency'}",48.311379593999845,3.93616,11.329999999999998
"{'edge0': 2, 'edge1': 4, 'edge2': 3, 'edge3': 2, 'edge4': 0, 'edge5': 0, 'metric': 'fpga_latency'}",48.31135776400061,3.72496,23.985
"{'edge0': 0, 'edge1': 3, 'edge2': 4, 'edge3': 4, 'edge4': 0, 'edge5': 0, 'metric': 'fpga_latency'}",48.311461543000405,4.16336,7.789999999999992
"{'edge0': 3, 'edge1': 4, 'edge2': 1, 'edge3': 2, 'edge4': 0, 'edge5': 0, 'metric': 'fpga_latency'}",48.31142126299983,3.31536,24.070000000000007
"{'edge0': 0, 'edge1': 4, 'edge2': 3, 'edge3': 4, 'edge4': 0, 'edge5': 0, 'metric': 'fpga_latency'}",48.31133485400005,4.16336,8.040000000000006
"{'edge0': 3, 'edge1': 1, 'edge2': 0, 'edge3': 4, 'edge4': 0, 'edge5': 2, 'metric': 'fpga_latency'}",48.31144151300032,3.31536,8.864999999999995
"{'edge0': 0, 'edge1': 4, 'edge2': 2, 'edge3': 2, 'edge4': 0, 'edge5': 0, 'metric': 'fpga_latency'}",48.31140006399983,3.20976,24.465000000000003
"{'edge0': 3, 'edge1': 1, 'edge2': 1, 'edge3': 0, 'edge4': 0, 'edge5': 0, 'metric': 'fpga_latency'}",48.31131055400056,1.64816,90.0
"{'edge0': 4, 'edge1': 2, 'edge2': 3, 'edge3': 1, 'edge4': 0, 'edge5': 2, 'metric': 'fpga_latency'}",48.31127913399996,3.72496,10.884999999999993
"{'edge0': 0, 'edge1': 2, 'edge2': 2, 'edge3': 2, 'edge4': 0, 'edge5': 2, 'metric': 'fpga_latency'}",64.52598179400047,2.77136,30.016666666666666
"{'edge0': 3, 'edge1': 1, 'edge2': 1, 'edge3': 2, 'edge4': 0, 'edge5': 2, 'metric': 'fpga_latency'}",64.52754273600021,2.46736,14.923333333333332
"{'edge0': 3, 'edge1': 2, 'edge2': 1, 'edge3': 2, 'edge4': 0, 'edge5': 2, 'metric': 'fpga_latency'}",64.52771864500028,2.87696,15.685000000000002
"{'edge0': 1, 'edge1': 1, 'edge2': 3, 'edge3': 2, 'edge4': 0, 'edge5': 1, 'metric': 'fpga_latency'}",64.52740475600058,2.05776,12.66333333333334
"{'edge0': 3, 'edge1': 0, 'edge2': 1, 'edge3': 3, 'edge4': 3, 'edge5': 1, 'metric': 'fpga_latency'}",64.52767716500057,2.67856,10.655
"{'edge0': 3, 'edge1': 1, 'edge2': 0, 'edge3': 4, 'edge4': 0, 'edge5': 0, 'metric': 'fpga_latency'}",64.52750068600017,2.90576,8.013333333333321
"{'edge0': 1, 'edge1': 3, 'edge2': 2, 'edge3': 2, 'edge4': 0, 'edge5': 2, 'metric': 'fpga_latency'}",64.52775846500026,2.87696,16.986666666666665
"{'edge0': 0, 'edge1': 2, 'edge2': 2, 'edge3': 3, 'edge4': 3, 'edge5': 1, 'metric': 'fpga_latency'}",64.52759297500052,2.98256,11.069999999999991
"{'edge0': 3, 'edge1': 1, 'edge2': 3, 'edge3': 2, 'edge4': 0, 'edge5': 3, 'metric': 'fpga_latency'}",64.52745662600046,3.08816,10.476666666666674
"{'edge0': 2, 'edge1': 3, 'edge2': 2, 'edge3': 2, 'edge4': 0, 'edge5': 2, 'metric': 'fpga_latency'}",64.52763688499999,3.28656,16.61
"{'edge0': 2, 'edge1': 2, 'edge2': 2, 'edge3': 1, 'edge4': 0, 'edge5': 4, 'metric': 'fpga_latency'}",82.00638383000023,3.61936,10.726666666666674
"{'edge0': 1, 'edge1': 2, 'edge2': 2, 'edge3': 3, 'edge4': 3, 'edge5': 3, 'metric': 'fpga_latency'}",82.0064876890001,3.49776,9.920000000000002
"{'edge0': 1, 'edge1': 2, 'edge2': 2, 'edge3': 1, 'edge4': 0, 'edge5': 4, 'metric': 'fpga_latency'}",82.00490434800031,3.20976,9.809999999999988
"{'edge0': 0, 'edge1': 3, 'edge2': 0, 'edge3': 1, 'edge4': 0, 'edge5': 4, 'metric': 'fpga_latency'}",82.00645633000022,2.90576,7.466666666666654
