candidate_evaluations,hypervolume_contributions
"[{'F1': 8.1, 'Latency': 26.0}, {'F1': 8.5, 'Latency': 25.0}, {'F1': 7.9, 'Latency': 30.0}, {'F1': 7.5, 'Latency': 32.0}, {'F1': 8.2, 'Latency': 29.0}]","[0.026726125711847182, 0.03128894571653529, 0.023659976639021085, 0.06321663313489978, 0.0]"
"[{'F1': 8.05, 'Latency': 26.5}, {'F1': 8.2, 'Latency': 29.0}, {'F1': 8.6, 'Latency': 24.0}, {'F1': 8.15, 'Latency': 30.0}, {'F1': 7.9, 'Latency': 23.5}]","[0.013125431310451852, 0.0, 0.0, 0.0, 0.09362001850387136]"
"[{'F1': 8.5, 'Latency': 26.0}, {'F1': 9.2, 'Latency': 24.5}, {'F1': 8.7, 'Latency': 27.0}, {'F1': 8.0, 'Latency': 29.0}, {'F1': 9.1, 'Latency': 25.0}]","[0.0, 0.0, 0.0, 0.013872737300184124, 0.0]"
"[{'F1': 9.2, 'Latency': 22.3}, {'F1': 9.5, 'Latency': 21.4}, {'F1': 8.9, 'Latency': 23.0}, {'F1': 8.75, 'Latency': 24.0}, {'F1': 8.3, 'Latency': 25.5}]","[0.0, 0.018746763630757002, 0.0, 0.0, 0.0]"
"[{'F1': 8.5, 'Latency': 24.0}, {'F1': 9.0, 'Latency': 22.5}, {'F1': 8.75, 'Latency': 21.0}, {'F1': 8.3, 'Latency': 23.0}, {'F1': 9.25, 'Latency': 20.0}]","[0.0, 0.0, 0.05169939896452114, 0.0, 0.10573861394878548]"
"[{'F1': 10.5, 'Latency': 22.5}, {'F1': 9.0, 'Latency': 24.0}, {'F1': 8.5, 'Latency': 21.0}, {'F1': 8.0, 'Latency': 20.5}, {'F1': 8.75, 'Latency': 23.0}]","[0.0, 0.0, 0.012696808952810557, 0.03231120823563649, 0.0]"
"[{'F1': 9.5, 'Latency': 22.5}, {'F1': 8.75, 'Latency': 23.0}, {'F1': 7.9, 'Latency': 28.0}, {'F1': 10.15, 'Latency': 21.0}, {'F1': 8.1, 'Latency': 27.0}]","[0.0, 0.0, 0.004738186567348146, 0.005698011144746884, 0.0]"
"[{'F1': 9.5, 'Latency': 20.8}, {'F1': 10.15, 'Latency': 21.5}, {'F1': 8.85, 'Latency': 19.75}, {'F1': 9.6, 'Latency': 23.0}, {'F1': 8.3, 'Latency': 22.8}]","[0.010379165160784298, 0.0024564020509447726, 0.02715884085917364, 0.0, 0.0]"
"[{'F1': 5.0, 'Latency': 30.0}, {'F1': 9.0, 'Latency': 24.0}, {'F1': 8.0, 'Latency': 25.0}, {'F1': 6.0, 'Latency': 28.0}, {'F1': 7.5, 'Latency': 26.0}]","[0.07960740529913979, 0.0, 0.0018711573674905502, 0.06648086898916583, 0.019278059359762345]"
"[{'F1': 9.5, 'Latency': 21.0}, {'F1': 12.0, 'Latency': 17.5}, {'F1': 8.0, 'Latency': 26.0}, {'F1': 10.5, 'Latency': 18.0}, {'F1': 11.0, 'Latency': 20.0}]","[0.0010158572174989722, 6.613696631174726e-05, 0.00028306244771525435, 0.002234200449462209, 0.0005374784142897493]"
"[{'F1': 8.5, 'Latency': 26.0}, {'F1': 8.95, 'Latency': 24.5}, {'F1': 9.15, 'Latency': 22.8}, {'F1': 10.2, 'Latency': 18.9}, {'F1': 9.4, 'Latency': 21.0}]","[0.0, 0.0, 0.0, 0.0009150253348964021, 0.0]"
"[{'F1': 8.25, 'Latency': 28.55}, {'F1': 10.0, 'Latency': 22.02}, {'F1': 8.07, 'Latency': 27.53}, {'F1': 10.23, 'Latency': 21.96}, {'F1': 9.1, 'Latency': 20.12}]","[0.0, 0.0, 0.0, 0.0, 1.6660195578666048e-07]"
"[{'F1': 9.0, 'Latency': 15.0}, {'F1': 8.5, 'Latency': 22.0}, {'F1': 11.0, 'Latency': 19.5}, {'F1': 8.8, 'Latency': 20.5}, {'F1': 9.5, 'Latency': 21.0}]","[0.010401558954733048, 0.0, 0.00017739293433427505, 0.00023986659582719838, 0.0]"
"[{'F1': 9.5, 'Latency': 24.3}, {'F1': 11.0, 'Latency': 22.0}, {'F1': 7.9, 'Latency': 20.5}, {'F1': 13.0, 'Latency': 17.0}, {'F1': 9.75, 'Latency': 22.15}]","[0.0, 0.0, 0.0021805197930790943, 0.00014455635921817311, 0.0]"
"[{'F1': 10.5, 'Latency': 22.5}, {'F1': 9.5, 'Latency': 21.8}, {'F1': 11.0, 'Latency': 23.0}, {'F1': 8.8, 'Latency': 24.0}, {'F1': 7.5, 'Latency': 26.0}]","[0.0, 0.0, 0.0, 0.0, 0.0033237002142978422]"
"[{'F1': 10.5, 'Latency': 22.0}, {'F1': 8.5, 'Latency': 26.0}, {'F1': 10.0, 'Latency': 23.0}, {'F1': 9.0, 'Latency': 24.5}, {'F1': 12.0, 'Latency': 20.0}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 8.56, 'Latency': 24.1}, {'F1': 9.15, 'Latency': 21.75}, {'F1': 12.34, 'Latency': 18.9}, {'F1': 13.77, 'Latency': 15.25}, {'F1': 10.85, 'Latency': 20.6}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 10.5, 'Latency': 22.0}, {'F1': 9.5, 'Latency': 21.0}, {'F1': 8.0, 'Latency': 15.0}, {'F1': 10.0, 'Latency': 20.5}, {'F1': 12.0, 'Latency': 19.0}]","[0.0, 0.0, 0.014900639202253929, 0.0, 0.0]"
"[{'F1': 25.0, 'Latency': 22.0}, {'F1': 10.5, 'Latency': 26.5}, {'F1': 9.5, 'Latency': 20.5}, {'F1': 14.0, 'Latency': 19.0}, {'F1': 7.5, 'Latency': 30.0}]","[0.0, 0.0, 0.0, 0.0, 0.0018853701919874233]"
"[{'F1': 13.0, 'Latency': 20.5}, {'F1': 10.5, 'Latency': 22.0}, {'F1': 10.0, 'Latency': 21.5}, {'F1': 11.0, 'Latency': 19.0}, {'F1': 9.5, 'Latency': 22.5}]","[0.0, 0.0, 0.0, 0.00028596369636235686, 0.0]"
"[{'F1': 10.5, 'Latency': 22.5}, {'F1': 12.0, 'Latency': 21.0}, {'F1': 10.0, 'Latency': 21.5}, {'F1': 11.0, 'Latency': 20.0}, {'F1': 9.5, 'Latency': 23.0}]","[0.0, 0.0, 0.0, 3.066633181703082e-05, 0.0]"
"[{'F1': 10.0, 'Latency': 22.5}, {'F1': 9.5, 'Latency': 23.0}, {'F1': 15.0, 'Latency': 18.0}, {'F1': 8.5, 'Latency': 20.5}, {'F1': 9.0, 'Latency': 21.0}]","[0.0, 0.0, 0.0, 0.00042813975247146807, 4.5481892518850486e-05]"
"[{'F1': 13.0, 'Latency': 15.0}, {'F1': 10.5, 'Latency': 22.0}, {'F1': 8.5, 'Latency': 21.0}, {'F1': 11.5, 'Latency': 19.0}, {'F1': 12.0, 'Latency': 17.0}]","[0.0005740552906945418, 0.0, 0.0002728913551128809, 0.0, 0.0004290328731488824]"
"[{'F1': 11.49, 'Latency': 22.12}, {'F1': 20.3, 'Latency': 18.45}, {'F1': 10.18, 'Latency': 21.22}, {'F1': 8.63, 'Latency': 25.45}, {'F1': 9.1, 'Latency': 20.12}]","[0.0, 0.0, 0.0, 0.0, 1.486845628839717e-07]"
"[{'F1': 13.43, 'Latency': 14.99}, {'F1': 9.02, 'Latency': 23.82}, {'F1': 10.23, 'Latency': 21.96}, {'F1': 7.78, 'Latency': 34.14}, {'F1': 10.18, 'Latency': 21.22}]","[0.0, 0.0, 0.0, 1.2162515267588603e-05, 0.0]"
"[{'F1': 12.0, 'Latency': 19.0}, {'F1': 10.5, 'Latency': 24.0}, {'F1': 11.0, 'Latency': 21.0}, {'F1': 14.0, 'Latency': 18.0}, {'F1': 9.5, 'Latency': 22.0}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 20.3, 'Latency': 18.45}, {'F1': 11.49, 'Latency': 17.58}, {'F1': 8.76, 'Latency': 23.7}, {'F1': 13.29, 'Latency': 10.65}, {'F1': 12.62, 'Latency': 23.59}]","[0.0, 0.0, 0.0, 1.4133028261476e-05, 0.0]"
