surrogate_model_prediction,benchmark_evaluation
"{'F1': 7.5, 'Latency': 32.0}","{'f1': 8.24666666666667, 'latency': 21.878886222839355}"
"{'F1': 7.9, 'Latency': 23.5}","{'f1': 9.015, 'latency': 23.823509216308594}"
"{'F1': 8.0, 'Latency': 29.0}","{'f1': 10.22999999999999, 'latency': 21.95857048034668}"
"{'F1': 9.5, 'Latency': 21.4}","{'f1': 20.299999999999997, 'latency': 18.44691276550293}"
"{'F1': 9.25, 'Latency': 20.0}","{'f1': 11.49333333333334, 'latency': 17.579760551452637}"
"{'F1': 8.0, 'Latency': 20.5}","{'f1': 8.060000000000002, 'latency': 22.653794288635254}"
"{'F1': 10.15, 'Latency': 21.0}","{'f1': 8.716666666666654, 'latency': 22.12273597717285}"
"{'F1': 8.85, 'Latency': 19.75}","{'f1': 13.430000000000007, 'latency': 14.988808631896973}"
"{'F1': 5.0, 'Latency': 30.0}","{'f1': 90.0, 'latency': 13.159713745117188}"
"{'F1': 10.5, 'Latency': 18.0}","{'f1': 9.099999999999994, 'latency': 20.12012004852295}"
"{'F1': 10.2, 'Latency': 18.9}","{'f1': 24.340000000000003, 'latency': 23.510379791259766}"
"{'F1': 9.1, 'Latency': 20.12}","{'f1': 8.08999999999999, 'latency': 22.9262113571167}"
"{'F1': 9.0, 'Latency': 15.0}","{'f1': 13.556666666666672, 'latency': 14.63632583618164}"
"{'F1': 7.9, 'Latency': 20.5}","{'f1': 11.363333333333344, 'latency': 23.405542373657227}"
"{'F1': 7.5, 'Latency': 26.0}","{'f1': 8.760000000000005, 'latency': 23.696036338806152}"
"{'F1': 10.5, 'Latency': 22.0}","{'f1': 8.826666666666668, 'latency': 22.014188766479492}"
"{'F1': 8.56, 'Latency': 24.1}","{'f1': 10.183333333333337, 'latency': 21.223483085632324}"
"{'F1': 8.0, 'Latency': 15.0}","{'f1': 90.0, 'latency': 10.631942749023438}"
"{'F1': 7.5, 'Latency': 30.0}","{'f1': 12.623333333333335, 'latency': 23.592090606689453}"
"{'F1': 11.0, 'Latency': 19.0}","{'f1': 8.61, 'latency': 22.691597938537598}"
"{'F1': 11.0, 'Latency': 20.0}","{'f1': 26.61500000000001, 'latency': 19.98490810394287}"
"{'F1': 8.5, 'Latency': 20.5}","{'f1': 13.50333333333333, 'latency': 19.449825286865234}"
"{'F1': 13.0, 'Latency': 15.0}","{'f1': 13.289999999999992, 'latency': 10.651845932006836}"
"{'F1': 9.1, 'Latency': 20.12}","{'f1': 19.88666666666667, 'latency': 17.397804260253906}"
"{'F1': 7.78, 'Latency': 34.14}","{'f1': 29.08, 'latency': 9.05116081237793}"
"{'F1': 12.0, 'Latency': 19.0}","{'f1': 10.430000000000007, 'latency': 13.076543807983398}"
"{'F1': 13.29, 'Latency': 10.65}","{'f1': 24.226666666666674, 'latency': 14.764847755432129}"
"{'F1': 10.0, 'Latency': 14.5}","{'f1': 90.0, 'latency': 19.278230667114258}"
"{'F1': 12.5, 'Latency': 20.5}","{'f1': 13.424999999999997, 'latency': 17.39041805267334}"
"{'F1': 8.0, 'Latency': 22.5}","{'f1': 13.456666666666663, 'latency': 18.500266075134277}"
"{'F1': 10.18, 'Latency': 21.22}","{'f1': 9.673333333333332, 'latency': 21.964612007141113}"
"{'F1': 29.08, 'Latency': 9.05}","{'f1': 26.623333333333335, 'latency': 14.026637077331543}"
"{'F1': 19.89, 'Latency': 17.4}","{'f1': 30.976666666666674, 'latency': 13.180460929870605}"
"{'F1': 10.0, 'Latency': 22.0}","{'f1': 10.980000000000004, 'latency': 22.35084056854248}"
"{'F1': 9.1, 'Latency': 20.12}","{'f1': 90.0, 'latency': 22.431893348693848}"
"{'F1': 12.34, 'Latency': 15.67}","{'f1': 19.765, 'latency': 13.957290649414062}"
"{'F1': 29.08, 'Latency': 9.05}","{'f1': 45.70333333333334, 'latency': 8.148136138916016}"
"{'F1': 13.5, 'Latency': 14.99}","{'f1': 13.466666666666654, 'latency': 13.070135116577148}"
"{'F1': 19.89, 'Latency': 17.4}","{'f1': 13.203333333333333, 'latency': 15.92061996459961}"
"{'F1': 27.0, 'Latency': 10.0}","{'f1': 22.956666666666663, 'latency': 11.480674743652344}"
"{'F1': 10.23, 'Latency': 21.96}","{'f1': 12.745000000000005, 'latency': 16.646113395690918}"
"{'F1': 10.0, 'Latency': 22.02}","{'f1': 11.133333333333326, 'latency': 20.716309547424316}"
"{'F1': 15.0, 'Latency': 15.8}","{'f1': 13.456666666666663, 'latency': 19.124479293823242}"
"{'F1': 10.98, 'Latency': 19.28}","{'f1': 17.66666666666667, 'latency': 21.40511989593506}"
"{'F1': 13.67, 'Latency': 16.45}","{'f1': 20.133333333333326, 'latency': 16.320228576660156}"
"{'F1': 20.13, 'Latency': 16.32}","{'f1': 24.126666666666665, 'latency': 17.905902862548828}"
"{'F1': 11.13, 'Latency': 20.72}","{'f1': 11.263333333333335, 'latency': 20.034236907958984}"
"{'F1': 13.29, 'Latency': 10.65}","{'f1': 13.203333333333333, 'latency': 10.671820640563965}"
"{'F1': 13.2, 'Latency': 10.67}","{'f1': 13.34333333333332, 'latency': 10.633678436279297}"
"{'F1': 13.56, 'Latency': 14.99}","{'f1': 90.0, 'latency': 14.820308685302734}"
"{'F1': 13.29, 'Latency': 10.65}","{'f1': 13.366666666666674, 'latency': 13.054814338684082}"
"{'F1': 13.42, 'Latency': 18.45}","{'f1': 13.599999999999994, 'latency': 18.3327579498291}"
