candidate_evaluations,hypervolume_contributions
"[{'F1': 7.5, 'Latency': 27.5}, {'F1': 7.2, 'Latency': 28.0}, {'F1': 8.0, 'Latency': 22.0}, {'F1': 8.5, 'Latency': 27.5}, {'F1': 9.0, 'Latency': 27.5}]","[0.0, 0.000387334569885045, 0.0, 0.0, 0.0]"
"[{'F1': 8.5, 'Latency': 24}, {'F1': 8.0, 'Latency': 25}, {'F1': 7.8, 'Latency': 23}, {'F1': 18.0, 'Latency': 27}, {'F1': 8.9, 'Latency': 26}]","[0.0, 0.0, 0.0020863151753327536, 0.0, 0.0]"
"[{'F1': 8.0, 'Latency': 25.0}, {'F1': 8.5, 'Latency': 28.0}, {'F1': 8.8, 'Latency': 27.0}, {'F1': 7.8, 'Latency': 24.0}, {'F1': 7.3, 'Latency': 25.0}]","[0.0, 0.0, 0.0, 0.0015433120999164274, 0.00677132262738489]"
"[{'F1': 8.9, 'Latency': 30.5}, {'F1': 7.8, 'Latency': 22.5}, {'F1': 8.5, 'Latency': 25.0}, {'F1': 7.5, 'Latency': 24.0}, {'F1': 8.9, 'Latency': 30.8}]","[0.0, 0.0023578167130411387, 0.0, 0.006885546291934608, 0.0]"
"[{'F1': 8.0, 'Latency': 21.5}, {'F1': 9.5, 'Latency': 22.0}, {'F1': 10.5, 'Latency': 24.0}, {'F1': 7.5, 'Latency': 24.0}, {'F1': 8.5, 'Latency': 21.5}]","[0.0, 0.0, 0.0, 0.006841759397993696, 0.0]"
"[{'F1': 10.5, 'Latency': 27.0}, {'F1': 15.0, 'Latency': 27.5}, {'F1': 7.0, 'Latency': 26.5}, {'F1': 6.0, 'Latency': 21.5}, {'F1': 3.5, 'Latency': 25.0}]","[0.0, 0.0, 0.00740903920891367, 0.08577795403889343, 0.15069772874692133]"
"[{'F1': 9.5, 'Latency': 27.5}, {'F1': 8.2, 'Latency': 26.3}, {'F1': 8.7, 'Latency': 29.8}, {'F1': 8.4, 'Latency': 28.6}, {'F1': 8.9, 'Latency': 30.2}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 10.5, 'Latency': 25.0}, {'F1': 8.5, 'Latency': 26.0}, {'F1': 8.0, 'Latency': 21.5}, {'F1': 8.2, 'Latency': 23.0}, {'F1': 9.8, 'Latency': 24.0}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 8.5, 'Latency': 24.8}, {'F1': 10.2, 'Latency': 27.3}, {'F1': 8.1, 'Latency': 25.5}, {'F1': 9.3, 'Latency': 28.1}, {'F1': 7.6, 'Latency': 24.2}]","[0.0, 0.0, 0.0, 0.0, 0.002544719018128694]"
"[{'F1': 9.5, 'Latency': 20}, {'F1': 8.5, 'Latency': 24}, {'F1': 12.0, 'Latency': 25}, {'F1': 10.0, 'Latency': 18}, {'F1': 15.0, 'Latency': 27}]","[0.005135147456996059, 0.0, 0.0, 0.005163132612623356, 0.0]"
