surrogate_model_prediction,benchmark_evaluation
"{'F1': 5.5, 'Latency': 26.5}","{'f1': 6.089999999999989, 'latency': 29.65549945831299}"
"{'F1': 18.5, 'Latency': 21.5}","{'f1': 13.980000000000004, 'latency': 23.29911231994629}"
"{'F1': 12.5, 'Latency': 24.5}","{'f1': 9.175000000000011, 'latency': 22.555623054504395}"
"{'F1': 17.2, 'Latency': 21.5}","{'f1': 10.929999999999993, 'latency': 23.256072998046875}"
"{'F1': 14.2, 'Latency': 22.3}","{'f1': 10.900000000000006, 'latency': 30.679373741149902}"
"{'F1': 19.0, 'Latency': 22.0}","{'f1': 12.926666666666662, 'latency': 18.810429573059082}"
"{'F1': 13.5, 'Latency': 19.5}","{'f1': 12.66000000000001, 'latency': 18.653268814086914}"
"{'F1': 14.0, 'Latency': 22.0}","{'f1': 9.386666666666656, 'latency': 22.383298873901367}"
"{'F1': 13.0, 'Latency': 23.0}","{'f1': 6.759999999999991, 'latency': 25.31513214111328}"
"{'F1': 12.0, 'Latency': 19.0}","{'f1': 10.453333333333333, 'latency': 19.971318244934082}"
"{'F1': 10.0, 'Latency': 25.0}","{'f1': 7.969999999999985, 'latency': 26.74640655517578}"
"{'F1': 10.5, 'Latency': 24.5}","{'f1': 9.00666666666666, 'latency': 28.480215072631836}"
"{'F1': 12.5, 'Latency': 18.7}","{'f1': 12.533333333333346, 'latency': 14.778585433959961}"
"{'F1': 10.5, 'Latency': 25.2}","{'f1': 19.760000000000005, 'latency': 21.943564414978027}"
"{'F1': 12.66, 'Latency': 18.65}","{'f1': 10.563333333333333, 'latency': 22.62516498565674}"
"{'F1': 10.5, 'Latency': 14.5}","{'f1': 45.70333333333334, 'latency': 8.148136138916016}"
"{'F1': 12.66, 'Latency': 14.0}","{'f1': 10.476666666666674, 'latency': 15.417947769165039}"
"{'F1': 8.2, 'Latency': 25.5}","{'f1': 7.773333333333326, 'latency': 27.164363861083984}"
"{'F1': 10.5, 'Latency': 22.0}","{'f1': 8.626666666666665, 'latency': 21.90528392791748}"
"{'F1': 13.2, 'Latency': 21.5}","{'f1': 11.826666666666668, 'latency': 23.501887321472168}"
"{'F1': 12.5, 'Latency': 15.0}","{'f1': 12.970000000000013, 'latency': 18.816637992858887}"
"{'F1': 12.97, 'Latency': 18.82}","{'f1': 11.34333333333332, 'latency': 19.73468780517578}"
"{'F1': 6.5, 'Latency': 29.0}","{'f1': 10.420000000000002, 'latency': 30.66023826599121}"
"{'F1': 11.5, 'Latency': 25.0}","{'f1': 12.703333333333333, 'latency': 24.994635581970215}"
"{'F1': 11.5, 'Latency': 22.0}","{'f1': 17.86666666666666, 'latency': 24.236087799072266}"
"{'F1': 9.5, 'Latency': 25}","{'f1': 9.310000000000002, 'latency': 25.434365272521973}"
"{'F1': 8.0, 'Latency': 18.0}","{'f1': 19.723333333333343, 'latency': 17.28611946105957}"
"{'F1': 6.5, 'Latency': 26.5}","{'f1': 9.110000000000014, 'latency': 28.4559965133667}"
"{'F1': 18, 'Latency': 21}","{'f1': 21.186666666666667, 'latency': 19.769182205200195}"
"{'F1': 22.0, 'Latency': 14.0}","{'f1': 23.120000000000005, 'latency': 11.428093910217285}"
"{'F1': 18.0, 'Latency': 20.0}","{'f1': 13.616666666666674, 'latency': 23.373737335205078}"
"{'F1': 12.5, 'Latency': 25}","{'f1': 8.806666666666658, 'latency': 24.177818298339844}"
"{'F1': 5.0, 'Latency': 30.0}","{'f1': 8.163333333333341, 'latency': 25.899152755737305}"
"{'F1': 15.3, 'Latency': 24.5}","{'f1': 5.914999999999992, 'latency': 29.671916961669922}"
"{'F1': 10.0, 'Latency': 18.0}","{'f1': 11.060000000000002, 'latency': 23.95636558532715}"
"{'F1': 14.0, 'Latency': 23.3}","{'f1': 13.636666666666656, 'latency': 22.963433265686035}"
"{'F1': 19.7, 'Latency': 22.4}","{'f1': 9.886666666666656, 'latency': 28.633556365966797}"
"{'F1': 12.3, 'Latency': 22.5}","{'f1': 10.790000000000006, 'latency': 17.270407676696777}"
"{'F1': 10.5, 'Latency': 25.5}","{'f1': 9.806666666666658, 'latency': 21.802449226379395}"
"{'F1': 12.5, 'Latency': 22.0}","{'f1': 22.25, 'latency': 23.85831356048584}"
"{'F1': 11.5, 'Latency': 22.5}","{'f1': 11.963333333333324, 'latency': 22.98110008239746}"
"{'F1': 9.5, 'Latency': 25.5}","{'f1': 12.836666666666659, 'latency': 25.295028686523438}"
"{'F1': 10.5, 'Latency': 27.0}","{'f1': 8.125, 'latency': 24.540958404541016}"
"{'F1': 13.0, 'Latency': 20.0}","{'f1': 12.980000000000004, 'latency': 15.605525970458984}"
"{'F1': 18.5, 'Latency': 20.5}","{'f1': 22.15666666666668, 'latency': 19.87091064453125}"
