prompt_tokens,completion_tokens,total_tokens
977,2298,3275
1335,5989,7324
1068,4396,5464
1426,10000,11426
1426,10000,11426
1426,6565,7991
1159,4016,5175
1159,3343,4502
1159,4411,5570
1517,4714,6231
1250,2807,4057
1608,6223,7831
1342,2799,4141
1700,9135,10835
1433,4233,5666
1791,6525,8316
1791,5004,6795
1525,5455,6980
1883,10000,11883
1883,5981,7864
1618,2101,3719
1976,9868,11844
1709,3882,5591
2067,3506,5573
1803,3813,5616
2161,6476,8637
1895,3494,5389
2253,3864,6117
1988,3029,5017
2346,4556,6902
2081,3493,5574
2439,6087,8526
2174,4409,6583
2532,3554,6086
2265,4215,6480
2623,5609,8232
2359,3304,5663
2359,4580,6939
2717,6511,9228
2717,6308,9025
2452,2115,4567
2810,3427,6237
2546,2352,4898
2904,4436,7340
2637,3412,6049
2637,3385,6022
2995,7975,10970
2731,2532,5263
3089,3045,6134
2824,2966,5790
3182,7750,10932
3182,3659,6841
2918,3332,6250
3276,3514,6790
3012,2497,5509
3370,4041,7411
3104,3461,6565
3462,5712,9174
3195,3683,6878
3553,7253,10806
3553,5468,9021
3286,1664,4950
3286,1917,5203
3644,8952,12596
3377,3558,6935
3377,3576,6953
3735,7726,11461
3469,4019,7488
3469,3234,6703
3827,5073,8900
3561,2178,5739
3919,4244,8163
3655,2265,5920
3655,2012,5667
3655,2287,5942
4013,4792,8805
3746,4403,8149
3746,4308,8054
4104,4479,8583
3839,2534,6373
3839,2690,6529
4197,6037,10234
3930,3704,7634
4288,4852,9140
4022,4351,8373
4380,5661,10041
4114,2439,6553
4472,3189,7661
4206,2310,6516
4206,3349,7555
4564,4711,9275
4298,3141,7439
4656,4153,8809
4389,2420,6809
4747,5857,10604
4747,6965,11712
4482,1652,6134
4840,2986,7826
4575,3788,8363
4933,3217,8150
4668,3799,8467
5026,6573,11599
4761,2760,7521
4761,4184,8945
5119,3846,8965
4854,2112,6966
4854,2352,7206
5212,3182,8394
4947,4481,9428
4947,3396,8343
4947,4285,9232
5305,4746,10051
5039,2276,7315
5397,4894,10291
5131,3797,8928
5489,6231,11720
5223,3909,9132
5581,2384,7965
5314,3028,8342
5672,4822,10494
5406,3207,8613
5406,3116,8522
5764,5398,11162
5498,4322,9820
5856,4779,10635
5591,1678,7269
5591,4339,9930
5591,2674,8265
5591,2868,8459
5591,4051,9642
5949,2894,8843
5685,2093,7778
6043,5725,11768
5776,3383,9159
5776,2129,7905
6134,4793,10927
5868,2849,8717
6226,4172,10398
5962,2477,8439
6320,5426,11746
6054,2721,8775
6412,3749,10161
6145,3390,9535
6503,3873,10376
6236,3329,9565
6236,2427,8663
6236,4187,10423
6236,3333,9569
6594,3872,10466
6330,3842,10172
6330,2287,8617
6688,10000,16688
6688,6369,13057
6423,2131,8554
6423,3596,10019
6781,4743,11524
6515,1773,8288
6873,4996,11869
6608,2416,9024
6966,6708,13674
6966,1609,8575
6699,2344,9043
6699,4307,11006
7057,5603,12660
6790,3702,10492
6790,3924,10714
7148,3947,11095
6882,3667,10549
7240,3593,10833
6973,3632,10605
6973,3731,10704
7331,4289,11620
7331,4388,11719
7331,7724,15055
7331,6849,14180
7067,3853,10920
7067,2041,9108
7425,7249,14674
7159,1598,8757
7517,4036,11553
7250,4386,11636
7250,1376,8626
7608,3416,11024
7343,2369,9712
7343,1780,9123
7701,9829,17530
7436,2245,9681
7436,4484,11920
7794,7511,15305
7530,2282,9812
7888,4268,12156
7888,5368,13256
7624,2838,10462
7982,5927,13909
7716,1979,9695
7716,2370,10086
8074,1411,9485
7809,2246,10055
7809,2784,10593
7809,1889,9698
8167,7958,16125
7902,2269,10171
7902,5173,13075
7902,4385,12287
7902,3236,11138
8260,3382,11642
8260,2626,10886
8260,3886,12146
7995,1910,9905
7995,2562,10557
8353,5952,14305
8353,3554,11907
8088,2670,10758
8446,3402,11848
8179,3055,11234
8537,5567,14104
8537,5542,14079
8537,1845,10382
8271,3420,11691
8271,3642,11913
8629,3043,11672
8363,1804,10167
8721,6611,15332
8721,3558,12279
8457,3309,11766
8457,2233,10690
8815,1937,10752
8549,3676,12225
8907,5989,14896
8639,2394,11033
8997,3157,12154
8730,2293,11023
8730,4020,12750
9088,5010,14098
8823,2475,11298
8823,3684,12507
9181,2972,12153
8917,3881,12798
8917,3528,12445
9275,4666,13941
9275,7363,16638
9275,6965,16240
9275,3240,12515
9008,3236,12244
9008,3786,12794
9008,2519,11527
9008,3724,12732
9366,6270,15636
9366,3166,12532
9101,2188,11289
9101,1219,10320
9101,3826,12927
9459,4573,14032
9193,2649,11842
9551,5529,15080
9286,3765,13051
9286,3423,12709
9286,2935,12221
9286,3771,13057
9644,3809,13453
9379,3266,12645
9737,8355,18092
9472,2815,12287
9830,9592,19422
9566,1660,11226
9566,3073,12639
9566,4340,13906
9924,4650,14574
9660,2505,12165
9660,2341,12001
9660,3670,13330
10018,2298,12316
9752,1647,11399
10110,4479,14589
10110,4169,14279
10110,5847,15957
