candidate_evaluations,hypervolume_contributions
"[{'F1': 8.5, 'Latency': 25.5}, {'F1': 7.0, 'Latency': 30.0}, {'F1': 9.5, 'Latency': 24.0}, {'F1': 7.5, 'Latency': 28.0}, {'F1': 10.0, 'Latency': 31.0}]","[0.0, 0.0041589503176329146, 0.0, 0.00886076811341363, 0.0]"
"[{'F1': 7.25, 'Latency': 28.0}, {'F1': 8.15, 'Latency': 29.5}, {'F1': 9.35, 'Latency': 21.5}, {'F1': 9.75, 'Latency': 31.0}, {'F1': 8.45, 'Latency': 26.5}]","[0.014929787369176495, 0.0, 0.023984400981589493, 0.0, 0.0]"
"[{'F1': 8.25, 'Latency': 25.5}, {'F1': 10.5, 'Latency': 31.0}, {'F1': 8.5, 'Latency': 24.0}, {'F1': 9.0, 'Latency': 27.0}, {'F1': 9.5, 'Latency': 29.5}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 8.5, 'Latency': 25}, {'F1': 9.5, 'Latency': 27}, {'F1': 12, 'Latency': 31}, {'F1': 7.5, 'Latency': 23}, {'F1': 10, 'Latency': 29}]","[0.0, 0.0, 0.0, 0.010692895334769137, 0.0]"
"[{'F1': 10.5, 'Latency': 25.5}, {'F1': 12.0, 'Latency': 27.0}, {'F1': 13.5, 'Latency': 28.5}, {'F1': 9.0, 'Latency': 23.0}, {'F1': 11.0, 'Latency': 26.0}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 7.5, 'Latency': 25}, {'F1': 8, 'Latency': 24}, {'F1': 7.8, 'Latency': 22}, {'F1': 8.5, 'Latency': 29}, {'F1': 7.2, 'Latency': 26}]","[0.004137964277618034, 0.0, 0.030314835925504324, 0.0, 0.003461486691446636]"
"[{'F1': 7.5, 'Latency': 25.5}, {'F1': 8.0, 'Latency': 28.0}, {'F1': 7.8, 'Latency': 27.5}, {'F1': 8.2, 'Latency': 26.0}, {'F1': 7.6, 'Latency': 29.0}]","[0.002872541549323371, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 7.5, 'Latency': 23.5}, {'F1': 8.5, 'Latency': 25.0}, {'F1': 7.0, 'Latency': 24.0}, {'F1': 11.0, 'Latency': 30.0}, {'F1': 7.2, 'Latency': 22.0}]","[0.008916436504663228, 0.0, 0.023220062484849757, 0.0, 0.05653874385522206]"
"[{'F1': 8.58, 'Latency': 31.07}, {'F1': 6.45, 'Latency': 30.49}, {'F1': 8.81, 'Latency': 24.18}, {'F1': 7.87, 'Latency': 22.92}, {'F1': 11.43, 'Latency': 32.25}]","[0.0, 0.00022446943546716724, 0.0, 0.0, 0.0]"
"[{'F1': 8.0, 'Latency': 30.0}, {'F1': 7.5, 'Latency': 32.0}, {'F1': 8.2, 'Latency': 24.5}, {'F1': 12.0, 'Latency': 21.0}, {'F1': 11.5, 'Latency': 22.5}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 7.5, 'Latency': 25.5}, {'F1': 11.5, 'Latency': 31.5}, {'F1': 7.8, 'Latency': 24.5}, {'F1': 11.0, 'Latency': 32.0}, {'F1': 7.0, 'Latency': 29.0}]","[0.002444847816324369, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 9.0, 'Latency': 28.0}, {'F1': 7.0, 'Latency': 25.0}, {'F1': 12.0, 'Latency': 26.0}, {'F1': 7.5, 'Latency': 27.0}, {'F1': 8.0, 'Latency': 24.0}]","[0.0, 0.011542109390628053, 0.0, 0.0, 0.0]"
"[{'F1': 9.25, 'Latency': 26.5}, {'F1': 7.32, 'Latency': 28.0}, {'F1': 8.75, 'Latency': 27.5}, {'F1': 7.15, 'Latency': 26.25}, {'F1': 8.05, 'Latency': 27.75}]","[0.0, 0.0, 0.0, 0.0020644963262377303, 0.0]"
"[{'F1': 7.92, 'Latency': 25.36}, {'F1': 6.45, 'Latency': 30.49}, {'F1': 8.7, 'Latency': 26.75}, {'F1': 11.43, 'Latency': 32.25}, {'F1': 7.76, 'Latency': 24.46}]","[0.0, 0.0, 0.0, 0.0, 9.551732211843245e-07]"
"[{'F1': 9.0, 'Latency': 28.0}, {'F1': 12.0, 'Latency': 22.0}, {'F1': 11.0, 'Latency': 30.0}, {'F1': 12.5, 'Latency': 29.0}, {'F1': 8.0, 'Latency': 25.0}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 8.5, 'Latency': 26.0}, {'F1': 7.5, 'Latency': 27.0}, {'F1': 10.5, 'Latency': 31.5}, {'F1': 8.5, 'Latency': 27.0}, {'F1': 9.0, 'Latency': 28.0}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 7.76, 'Latency': 24.46}, {'F1': 8.44, 'Latency': 24.28}, {'F1': 12.29, 'Latency': 21.25}, {'F1': 7.02, 'Latency': 30.12}, {'F1': 8.81, 'Latency': 24.18}]","[9.555206523792492e-07, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 8.44, 'Latency': 24.28}, {'F1': 7.02, 'Latency': 30.12}, {'F1': 15.17, 'Latency': 29.23}, {'F1': 7.92, 'Latency': 24.27}, {'F1': 8.81, 'Latency': 24.18}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 7.5, 'Latency': 25.5}, {'F1': 8.5, 'Latency': 24.5}, {'F1': 7.0, 'Latency': 26.0}, {'F1': 9.0, 'Latency': 30.0}, {'F1': 8.0, 'Latency': 25.0}]","[0.001903545251312977, 0.0, 0.0025851099825437984, 0.0, 0.0]"
"[{'F1': 7.09, 'Latency': 26.64}, {'F1': 7.74, 'Latency': 25.36}, {'F1': 11.09, 'Latency': 20.46}, {'F1': 8.44, 'Latency': 24.28}, {'F1': 7.76, 'Latency': 24.46}]","[0.0, 7.557226275878293e-07, 0.0, 0.0, 9.555206523792492e-07]"
"[{'F1': 7.0, 'Latency': 29.0}, {'F1': 7.5, 'Latency': 24.5}, {'F1': 7.2, 'Latency': 28.0}, {'F1': 7.8, 'Latency': 25.0}, {'F1': 7.3, 'Latency': 26.5}]","[0.0, 0.00020786358363911184, 0.0, 0.0, 0.0]"
"[{'F1': 7.28, 'Latency': 26.76}, {'F1': 7.74, 'Latency': 25.36}, {'F1': 7.92, 'Latency': 24.27}, {'F1': 6.56, 'Latency': 26.38}, {'F1': 6.45, 'Latency': 30.49}]","[0.0, 0.0, 0.0, 6.161812725880011e-05, 0.0]"
"[{'F1': 8.81, 'Latency': 24.18}, {'F1': 7.92, 'Latency': 24.27}, {'F1': 8.96, 'Latency': 30.52}, {'F1': 8.58, 'Latency': 31.07}, {'F1': 8.58, 'Latency': 31.07}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 8.81, 'Latency': 24.18}, {'F1': 7.76, 'Latency': 24.46}, {'F1': 8.58, 'Latency': 31.07}, {'F1': 7.26, 'Latency': 26.76}, {'F1': 6.56, 'Latency': 26.38}]","[0.0, 9.555206523792492e-07, 0.0, 0.0, 6.161812725880011e-05]"
"[{'F1': 7.5, 'Latency': 25.5}, {'F1': 6.0, 'Latency': 28.0}, {'F1': 7.0, 'Latency': 30.0}, {'F1': 8.5, 'Latency': 27.0}, {'F1': 7.5, 'Latency': 26.0}]","[0.0, 0.0007662455824883896, 0.0, 0.0, 0.0]"
