surrogate_model_prediction,benchmark_evaluation
"{'F1': 20.0, 'Latency': 24.0}","{'f1': 8.549999999999997, 'latency': 21.839022636413574}"
"{'F1': 8.0, 'Latency': 22.0}","{'f1': 12.553333333333327, 'latency': 18.957276344299316}"
"{'F1': 8.2, 'Latency': 21.5}","{'f1': 10.899999999999991, 'latency': 20.811829566955566}"
"{'F1': 11.0, 'Latency': 19.0}","{'f1': 12.16000000000001, 'latency': 22.946910858154297}"
"{'F1': 10.0, 'Latency': 25.0}","{'f1': 8.956666666666663, 'latency': 30.515546798706055}"
"{'F1': 7.5, 'Latency': 21.5}","{'f1': 8.129999999999995, 'latency': 30.40107250213623}"
"{'F1': 6.0, 'Latency': 29.0}","{'f1': 7.109999999999999, 'latency': 29.421329498291016}"
"{'F1': 7.2, 'Latency': 27.5}","{'f1': 7.030000000000001, 'latency': 29.72601890563965}"
"{'F1': 10.9, 'Latency': 20.81}","{'f1': 7.490000000000009, 'latency': 24.966626167297363}"
"{'F1': 12.55, 'Latency': 18.96}","{'f1': 8.123333333333335, 'latency': 28.52132797241211}"
"{'F1': 7.2, 'Latency': 28.5}","{'f1': 7.390000000000001, 'latency': 25.394563674926758}"
"{'F1': 12.55, 'Latency': 18.96}","{'f1': 6.960000000000008, 'latency': 30.232057571411133}"
"{'F1': 9.5, 'Latency': 23.5}","{'f1': 20.164999999999992, 'latency': 21.611108779907227}"
"{'F1': 8.5, 'Latency': 28.0}","{'f1': 9.715000000000003, 'latency': 30.867938995361328}"
"{'F1': 9.72, 'Latency': 30.87}","{'f1': 7.266666666666666, 'latency': 29.846477508544922}"
"{'F1': 8.55, 'Latency': 21.84}","{'f1': 8.886666666666656, 'latency': 21.87819004058838}"
"{'F1': 8.5, 'Latency': 21.8}","{'f1': 7.233333333333334, 'latency': 24.852147102355957}"
"{'F1': 10.9, 'Latency': 20.81}","{'f1': 7.796666666666681, 'latency': 24.71137046813965}"
"{'F1': 7.23, 'Latency': 24.85}","{'f1': 7.883333333333326, 'latency': 26.670851707458496}"
"{'F1': 7.27, 'Latency': 29.85}","{'f1': 6.736666666666665, 'latency': 24.162912368774414}"
"{'F1': 7.1, 'Latency': 29.5}","{'f1': 8.373333333333335, 'latency': 30.79887866973877}"
"{'F1': 8.5, 'Latency': 22.0}","{'f1': 7.819999999999993, 'latency': 21.965789794921875}"
"{'F1': 7.5, 'Latency': 25.5}","{'f1': 8.700000000000003, 'latency': 26.747326850891113}"
"{'F1': 7.0, 'Latency': 29.0}","{'f1': 6.976666666666674, 'latency': 29.966120719909668}"
"{'F1': 6.4, 'Latency': 22.65}","{'f1': 9.663333333333341, 'latency': 26.468658447265625}"
"{'F1': 8.37, 'Latency': 30.8}","{'f1': 6.564999999999998, 'latency': 26.38371467590332}"
"{'F1': 7.27, 'Latency': 28.52}","{'f1': 8.549999999999997, 'latency': 28.57370376586914}"
"{'F1': 8.89, 'Latency': 18.96}","{'f1': 7.189999999999998, 'latency': 26.58029556274414}"
"{'F1': 8.96, 'Latency': 30.52}","{'f1': 9.530000000000015, 'latency': 28.538222312927246}"
"{'F1': 7.23, 'Latency': 24.85}","{'f1': 9.783333333333346, 'latency': 24.548873901367188}"
"{'F1': 6.98, 'Latency': 29.97}","{'f1': 6.6699999999999875, 'latency': 30.10063648223877}"
"{'F1': 9.53, 'Latency': 28.54}","{'f1': 8.444999999999993, 'latency': 28.217668533325195}"
"{'F1': 9.72, 'Latency': 30.87}","{'f1': 9.806666666666658, 'latency': 28.873438835144043}"
"{'F1': 7.0, 'Latency': 29.5}","{'f1': 6.2549999999999955, 'latency': 30.072011947631836}"
"{'F1': 6.25, 'Latency': 30.07}","{'f1': 6.360000000000014, 'latency': 29.933366775512695}"
"{'F1': 6.36, 'Latency': 29.93}","{'f1': 9.995000000000005, 'latency': 30.79031467437744}"
"{'F1': 7.8, 'Latency': 24.71}","{'f1': 5.914999999999992, 'latency': 29.671916961669922}"
"{'F1': 8.37, 'Latency': 30.8}","{'f1': 7.289999999999992, 'latency': 26.43205165863037}"
"{'F1': 8.55, 'Latency': 28.57}","{'f1': 10.900000000000006, 'latency': 24.57249164581299}"
"{'F1': 8.55, 'Latency': 24.55}","{'f1': 12.74666666666667, 'latency': 25.319409370422363}"
"{'F1': 9.72, 'Latency': 24.57}","{'f1': 9.223333333333343, 'latency': 25.70265769958496}"
"{'F1': 6.36, 'Latency': 30.93}","{'f1': 7.344999999999999, 'latency': 25.997285842895508}"
"{'F1': 6.98, 'Latency': 29.97}","{'f1': 6.25, 'latency': 30.023751258850098}"
"{'F1': 9.72, 'Latency': 30.87}","{'f1': 8.576666666666668, 'latency': 31.065030097961426}"
"{'F1': 7.29, 'Latency': 26.43}","{'f1': 6.859999999999999, 'latency': 26.360979080200195}"
"{'F1': 6.25, 'Latency': 30.07}","{'f1': 6.175000000000011, 'latency': 27.39851474761963}"
"{'F1': 7.82, 'Latency': 21.97}","{'f1': 9.620000000000005, 'latency': 25.947437286376953}"
"{'F1': 12.55, 'Latency': 18.96}","{'f1': 8.636666666666656, 'latency': 26.27358913421631}"
"{'F1': 8.7, 'Latency': 26.75}","{'f1': 9.826666666666668, 'latency': 24.335060119628906}"
"{'F1': 8.55, 'Latency': 24.57}","{'f1': 9.280000000000001, 'latency': 25.242996215820312}"
"{'F1': 5.91, 'Latency': 29.67}","{'f1': 6.864999999999995, 'latency': 30.082411766052246}"
"{'F1': 7.8, 'Latency': 24.71}","{'f1': 8.823333333333338, 'latency': 24.410653114318848}"
"{'F1': 9.28, 'Latency': 25.24}","{'f1': 9.310000000000002, 'latency': 25.434365272521973}"
"{'F1': 8.58, 'Latency': 31.07}","{'f1': 7.795000000000002, 'latency': 26.689977645874023}"
"{'F1': 9.53, 'Latency': 28.54}","{'f1': 12.775000000000006, 'latency': 25.453157424926758}"
"{'F1': 10.9, 'Latency': 24.57}","{'f1': 11.329999999999998, 'latency': 28.919739723205566}"
"{'F1': 8.44, 'Latency': 28.22}","{'f1': 10.980000000000004, 'latency': 24.418163299560547}"
"{'F1': 9.72, 'Latency': 30.87}","{'f1': 9.615000000000009, 'latency': 30.60701847076416}"
"{'F1': 9.66, 'Latency': 26.47}","{'f1': 12.623333333333335, 'latency': 25.206055641174316}"
"{'F1': 7.8, 'Latency': 24.7}","{'f1': 7.280000000000015, 'latency': 24.587221145629883}"
"{'F1': 6.7, 'Latency': 27.17}","{'f1': 7.773333333333326, 'latency': 27.164363861083984}"
"{'F1': 5.91, 'Latency': 29.67}","{'f1': 8.40666666666668, 'latency': 30.3200101852417}"
"{'F1': 9.72, 'Latency': 30.87}","{'f1': 6.534999999999997, 'latency': 30.10197162628174}"
