candidate_evaluations,hypervolume_contributions
"[{'Performance': 11.69, 'Latency': 4.4674}, {'Performance': 13.56, 'Latency': 3.6482}, {'Performance': 7.73, 'Latency': 4.573}, {'Performance': 11.0033, 'Latency': 2.1634}, {'Performance': 13.7267, 'Latency': 2.9826}]","[0.0, 0.0, 1.1102230246251565e-16, 5.558395909766034e-06, 0.0]"
"[{'Performance': 11.69, 'Latency': 4.4674}, {'Performance': 13.7267, 'Latency': 2.9826}, {'Performance': 11.0033, 'Latency': 2.1634}, {'Performance': 11.69, 'Latency': 4.4674}, {'Performance': 90.0, 'Latency': 1.5426}]","[0.0, 0.0, 3.2216143397434394e-07, 0.0, 0.0]"
"[{'Performance': 13.56, 'Latency': 3.6482}, {'Performance': 11.0033, 'Latency': 2.1634}, {'Performance': 90.0, 'Latency': 1.5426}, {'Performance': 11.69, 'Latency': 4.4674}, {'Performance': 7.73, 'Latency': 4.573}]","[0.0, 3.221571818201596e-07, 0.0, 0.0, -2.220446049250313e-16]"
"[{'Performance': 13.56, 'Latency': 3.6482}, {'Performance': 11.69, 'Latency': 4.4674}, {'Performance': 90.0, 'Latency': 1.6482}, {'Performance': 11.0033, 'Latency': 2.1634}, {'Performance': 13.7267, 'Latency': 2.9826}]","[0.0, 0.0, 0.0, 3.2216143397434394e-07, 0.0]"
"[{'Performance': 11.69, 'Latency': 4.4674}, {'Performance': 11.69, 'Latency': 4.4674}, {'Performance': 90.0, 'Latency': 1.6482}, {'Performance': 13.56, 'Latency': 3.6482}, {'Performance': 13.325, 'Latency': 1.9522}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'Performance': 0.0, 'Latency': 1.0}, {'Performance': 10.0, 'Latency': 1.5}, {'Performance': 15.0, 'Latency': 1.2}, {'Performance': 5.0, 'Latency': 1.3}, {'Performance': 20.0, 'Latency': 1.4}]","[0.4052409338623142, 0.12457345028473954, 0.19460336034665304, 0.24248241399823933, 0.12817620800069696]"
"[{'Performance': 13.56, 'Latency': 3.6482}, {'Performance': 11.69, 'Latency': 4.4674}, {'Performance': 90.0, 'Latency': 1.5426}, {'Performance': 20.5833, 'Latency': 1.9522}, {'Performance': 11.0033, 'Latency': 2.1634}]","[0.0, 0.0, 0.0, 0.0, 2.838018584583324e-07]"
"[{'Performance': 11.0033, 'Latency': 2.1634}, {'Performance': 90.0, 'Latency': 1.133}, {'Performance': 20.5833, 'Latency': 1.9522}, {'Performance': 26.9667, 'Latency': 3.6194}, {'Performance': 13.13, 'Latency': 2.573}]","[2.838018584583324e-07, 0.0, 0.0, 0.0, 0.0]"
"[{'Performance': 11.0033, 'Latency': 2.1634}, {'Performance': 20.5833, 'Latency': 1.9522}, {'Performance': 90.0, 'Latency': 1.5426}, {'Performance': 13.7267, 'Latency': 2.9826}, {'Performance': 13.13, 'Latency': 2.573}]","[7.499861842674704e-08, 0.0, 0.0, 0.0, 0.0]"
"[{'Performance': 15.68, 'Latency': 1.133}, {'Performance': 26.9667, 'Latency': 3.6194}, {'Performance': 20.5833, 'Latency': 1.9522}, {'Performance': 13.13, 'Latency': 2.573}, {'Performance': 13.7267, 'Latency': 2.9826}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'Performance': 90.0, 'Latency': 1.133}, {'Performance': 13.0, 'Latency': 1.5426}, {'Performance': 20.5833, 'Latency': 1.9522}, {'Performance': 90.0, 'Latency': 1.133}, {'Performance': 90.0, 'Latency': 1.5426}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'Performance': 13.325, 'Latency': 1.9522}, {'Performance': 11.0033, 'Latency': 2.1634}, {'Performance': 20.5833, 'Latency': 1.9522}, {'Performance': 13.56, 'Latency': 3.6482}, {'Performance': 15.68, 'Latency': 1.133}]","[0.0, 7.499861842674704e-08, 0.0, 0.0, 0.0]"
"[{'Performance': 13.0, 'Latency': 1.5426}, {'Performance': 90.0, 'Latency': 1.6482}, {'Performance': 20.5833, 'Latency': 1.9522}, {'Performance': 13.13, 'Latency': 2.573}, {'Performance': 13.7267, 'Latency': 2.9826}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
