candidate_evaluations,hypervolume_contributions
"[{'Performance': 10.0967, 'Latency': 20.6981}, {'Performance': 6.9167, 'Latency': 25.4688}, {'Performance': 9.15, 'Latency': 27.2396}, {'Performance': 7.0533, 'Latency': 25.4677}, {'Performance': 12.7433, 'Latency': 25.2749}]","[1.8211999754935704e-06, 0.0, 0.0, 1.9811002907044184e-06, 0.0]"
"[{'Performance': 10.0967, 'Latency': 20.6981}, {'Performance': 24.19, 'Latency': 21.6851}, {'Performance': 12.7433, 'Latency': 25.2749}, {'Performance': 10.0967, 'Latency': 20.6981}, {'Performance': 7.0533, 'Latency': 25.4677}]","[2.82800248441184e-06, 0.0, 0.0, 2.82800248441184e-06, 6.682700171012357e-07]"
"[{'Performance': 10.0, 'Latency': 20.0}, {'Performance': 12.0, 'Latency': 22.0}, {'Performance': 0.0, 'Latency': 15.0}, {'Performance': 1.0, 'Latency': 16.0}, {'Performance': 5.0, 'Latency': 14.0}]","[0.04725766647457874, 0.0, 0.5054383533064774, 0.4092694428791924, 0.5294089081763546]"
"[{'Performance': 10.0967, 'Latency': 20.6981}, {'Performance': 90.0, 'Latency': 12.3271}, {'Performance': 12.7433, 'Latency': 25.2749}, {'Performance': 24.19, 'Latency': 21.6851}, {'Performance': 6.9167, 'Latency': 25.4688}]","[1.174370848344708e-06, 0.0, 0.0, 0.0, 0.0]"
"[{'Performance': 12.7433, 'Latency': 25.2749}, {'Performance': 90.0, 'Latency': 15.5947}, {'Performance': 90.0, 'Latency': 12.3271}, {'Performance': 13.38, 'Latency': 10.6626}, {'Performance': 9.15, 'Latency': 27.2396}]","[0.0, 0.0, 0.0, 2.2869902660538344e-07, 0.0]"
"[{'Performance': 90.0, 'Latency': 12.3271}, {'Performance': 10.0967, 'Latency': 20.6981}, {'Performance': 19.905, 'Latency': 18.1346}, {'Performance': 12.7433, 'Latency': 25.2749}, {'Performance': 9.15, 'Latency': 27.2396}]","[0.0, 4.341068060575992e-08, 0.0, 0.0, 0.0]"
"[{'Performance': 19.905, 'Latency': 18.1346}, {'Performance': 10.0967, 'Latency': 20.6981}, {'Performance': 10.0967, 'Latency': 20.6981}, {'Performance': 12.7433, 'Latency': 25.2749}, {'Performance': 10.0967, 'Latency': 20.6981}]","[0.0, 4.341071990765499e-08, 4.341071990765499e-08, 0.0, 4.341071990765499e-08]"
"[{'Performance': 90.0, 'Latency': 12.3271}, {'Performance': 13.38, 'Latency': 10.6626}, {'Performance': 7.0533, 'Latency': 25.4677}, {'Performance': 13.7, 'Latency': 15.7922}, {'Performance': 20.47, 'Latency': 17.0984}]","[0.0, 2.2869923488322286e-07, 5.482588139038569e-08, 0.0, 0.0]"
"[{'Performance': 13.6267, 'Latency': 11.5097}, {'Performance': 19.905, 'Latency': 18.1346}, {'Performance': 13.7, 'Latency': 15.7922}, {'Performance': 12.7433, 'Latency': 25.2749}, {'Performance': 13.38, 'Latency': 10.6626}]","[0.0, 0.0, 0.0, 0.0, 2.2869923488322286e-07]"
"[{'Performance': 12.7433, 'Latency': 25.2749}, {'Performance': 24.19, 'Latency': 21.6851}, {'Performance': 20.47, 'Latency': 17.0984}, {'Performance': 19.905, 'Latency': 18.1346}, {'Performance': 13.6267, 'Latency': 11.5097}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'Performance': 13.6267, 'Latency': 11.5097}, {'Performance': 19.905, 'Latency': 18.1346}, {'Performance': 90.0, 'Latency': 15.5947}, {'Performance': 19.7067, 'Latency': 17.5259}, {'Performance': 7.0533, 'Latency': 25.4677}]","[0.0, 0.0, 0.0, 0.0, 5.482589227057133e-08]"
"[{'Performance': 13.38, 'Latency': 10.6626}, {'Performance': 31.2033, 'Latency': 23.5348}, {'Performance': 10.0967, 'Latency': 20.6981}, {'Performance': 90.0, 'Latency': 12.3271}, {'Performance': 24.19, 'Latency': 21.6851}]","[2.2869923488322286e-07, 0.0, 4.3410711025870796e-08, 0.0, 0.0]"
"[{'Performance': 20.47, 'Latency': 17.0984}, {'Performance': 13.7, 'Latency': 15.7922}, {'Performance': 19.905, 'Latency': 18.1346}, {'Performance': 10.0967, 'Latency': 20.6981}, {'Performance': 19.7067, 'Latency': 17.5259}]","[0.0, 0.0, 0.0, 3.944681381540249e-08, 0.0]"
"[{'Performance': 19.7067, 'Latency': 17.5259}, {'Performance': 31.2033, 'Latency': 23.5348}, {'Performance': 20.47, 'Latency': 17.0984}, {'Performance': 13.6267, 'Latency': 11.5097}, {'Performance': 90.0, 'Latency': 12.3271}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'Performance': 19.905, 'Latency': 18.1346}, {'Performance': 20.47, 'Latency': 17.0984}, {'Performance': 23.785, 'Latency': 21.4512}, {'Performance': 10.0967, 'Latency': 20.6981}, {'Performance': 19.7067, 'Latency': 17.5259}]","[0.0, 0.0, 0.0, 3.944681381540249e-08, 0.0]"
"[{'Performance': 23.955, 'Latency': 21.3402}, {'Performance': 13.7, 'Latency': 15.7922}, {'Performance': 19.905, 'Latency': 18.1346}, {'Performance': 19.7067, 'Latency': 17.5259}, {'Performance': 31.2033, 'Latency': 23.5348}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'Performance': 19.92, 'Latency': 13.2233}, {'Performance': 90.0, 'Latency': 12.3271}, {'Performance': 20.47, 'Latency': 17.0984}, {'Performance': 13.7, 'Latency': 15.7922}, {'Performance': 6.9167, 'Latency': 25.4688}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'Performance': 13.7, 'Latency': 15.7922}, {'Performance': 20.47, 'Latency': 17.0984}, {'Performance': 31.2033, 'Latency': 23.5348}, {'Performance': 19.7067, 'Latency': 17.5259}, {'Performance': 90.0, 'Latency': 12.3271}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'Performance': 23.955, 'Latency': 21.3402}, {'Performance': 12.7433, 'Latency': 25.2749}, {'Performance': 90.0, 'Latency': 12.3271}, {'Performance': 19.905, 'Latency': 18.1346}, {'Performance': 19.92, 'Latency': 13.2233}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'Performance': 19.92, 'Latency': 13.2233}, {'Performance': 90.0, 'Latency': 12.3271}, {'Performance': 19.7067, 'Latency': 17.5259}, {'Performance': 23.785, 'Latency': 21.4512}, {'Performance': 19.6233, 'Latency': 13.9761}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
