surrogate_model_prediction,benchmark_evaluation
"{'Performance': 11.0033, 'Latency': 2.1634}","{'error': 90.0, 'latency': 1.54256}"
"{'Performance': 11.0033, 'Latency': 2.1634}","{'error': 13.324999999999989, 'latency': 1.95216}"
"{'Performance': 11.0033, 'Latency': 2.1634}","{'error': 90.0, 'latency': 1.64816}"
"{'Performance': 11.0033, 'Latency': 2.1634}","{'error': 13.129999999999995, 'latency': 2.57296}"
"{'Performance': 11.69, 'Latency': 4.4674}","{'error': 20.58333333333333, 'latency': 1.95216}"
"{'Performance': 0.0, 'Latency': 1.0}","{'error': 90.0, 'latency': 1.13296}"
"{'Performance': 11.0033, 'Latency': 2.1634}","{'error': 26.96666666666667, 'latency': 3.61936}"
"{'Performance': 11.0033, 'Latency': 2.1634}","{'error': 8.666666666666671, 'latency': 2.80016}"
"{'Performance': 11.0033, 'Latency': 2.1634}","{'error': 15.680000000000007, 'latency': 1.13296}"
"{'Performance': 15.68, 'Latency': 1.133}","{'error': 13.0, 'latency': 1.54256}"
"{'Performance': 90.0, 'Latency': 1.133}","{'error': 90.0, 'latency': 1.54256}"
"{'Performance': 11.0033, 'Latency': 2.1634}","{'error': 10.586666666666659, 'latency': 2.05776}"
"{'Performance': 13.0, 'Latency': 1.5426}","{'error': 21.0, 'latency': 1.95216}"
"{'Performance': 11.69, 'Latency': 4.4674}","{'error': 7.913333333333341, 'latency': 2.39056}"
"{'Performance': 15.68, 'Latency': 1.133}","{'error': 44.16, 'latency': 2.77136}"
"{'Performance': 11.69, 'Latency': 4.4674}","{'error': 90.0, 'latency': 1.95216}"
"{'Performance': 21.0, 'Latency': 1.9522}","{'error': 13.61, 'latency': 1.13296}"
"{'Performance': 15.68, 'Latency': 1.133}","{'error': 15.883333333333326, 'latency': 1.13296}"
"{'Performance': 13.0, 'Latency': 1.5426}","{'error': 90.0, 'latency': 1.13296}"
"{'Performance': 26.9667, 'Latency': 3.6194}","{'error': 48.28666666666667, 'latency': 2.36176}"
"{'Performance': 13.13, 'Latency': 2.573}","{'error': 23.810000000000002, 'latency': 2.05776}"
"{'Performance': 13.7267, 'Latency': 2.9826}","{'error': 21.91666666666667, 'latency': 2.87696}"
"{'Performance': 11.69, 'Latency': 4.4674}","{'error': 11.009999999999991, 'latency': 3.70896}"
"{'Performance': 15.8833, 'Latency': 1.133}","{'error': 15.88000000000001, 'latency': 1.13296}"
"{'Performance': 90.0, 'Latency': 1.9522}","{'error': 31.826666666666668, 'latency': 2.36176}"
"{'Performance': 13.0, 'Latency': 1.5426}","{'error': 23.52000000000001, 'latency': 2.05776}"
"{'Performance': 20.5833, 'Latency': 1.9522}","{'error': 90.0, 'latency': 1.54256}"
"{'Performance': 48.2867, 'Latency': 2.3618}","{'error': 12.853333333333339, 'latency': 2.05776}"
"{'Performance': 13.61, 'Latency': 1.133}","{'error': 13.563333333333347, 'latency': 1.64816}"
"{'Performance': 90.0, 'Latency': 1.133}","{'error': 24.209999999999994, 'latency': 1.95216}"
"{'Performance': 20.5833, 'Latency': 1.9522}","{'error': 19.766666666666666, 'latency': 1.95216}"
"{'Performance': 20.5833, 'Latency': 1.9522}","{'error': 24.65333333333332, 'latency': 1.95216}"
"{'Performance': 24.21, 'Latency': 1.9522}","{'error': 31.150000000000006, 'latency': 2.36176}"
"{'Performance': 24.21, 'Latency': 1.9522}","{'error': 24.095, 'latency': 1.95216}"
"{'Performance': 13.5633, 'Latency': 1.6482}","{'error': 15.783333333333346, 'latency': 2.05776}"
"{'Performance': 11.0033, 'Latency': 2.1634}","{'error': 13.570000000000007, 'latency': 1.64816}"
"{'Performance': 7.9133, 'Latency': 2.3906}","{'error': 90.0, 'latency': 3.64816}"
"{'Performance': 13.61, 'Latency': 1.133}","{'error': 13.453333333333333, 'latency': 1.54256}"
"{'Performance': 90.0, 'Latency': 1.5426}","{'error': 13.700000000000003, 'latency': 1.54256}"
"{'Performance': 31.15, 'Latency': 2.3618}","{'error': 20.205000000000013, 'latency': 1.95216}"
"{'Performance': 20.205, 'Latency': 1.9522}","{'error': 24.849999999999994, 'latency': 1.95216}"
"{'Performance': 13.61, 'Latency': 1.133}","{'error': 13.35499999999999, 'latency': 1.64816}"
"{'Performance': 13.61, 'Latency': 1.133}","{'error': 24.436666666666667, 'latency': 1.54256}"
"{'Performance': 24.4367, 'Latency': 1.5426}","{'error': 19.769999999999996, 'latency': 1.95216}"
"{'Performance': 90.0, 'Latency': 1.133}","{'error': 90.0, 'latency': 1.64816}"
"{'Performance': 90.0, 'Latency': 1.133}","{'error': 90.0, 'latency': 1.64816}"
"{'Performance': 13.57, 'Latency': 1.6482}","{'error': 17.763333333333335, 'latency': 2.05776}"
"{'Performance': 90.0, 'Latency': 1.133}","{'error': 90.0, 'latency': 1.54256}"
"{'Performance': 8.6667, 'Latency': 2.8002}","{'error': 24.540000000000006, 'latency': 1.95216}"
"{'Performance': 24.4367, 'Latency': 1.5426}","{'error': 11.060000000000002, 'latency': 1.64816}"
"{'Performance': 20.5833, 'Latency': 1.9522}","{'error': 24.533333333333346, 'latency': 1.54256}"
"{'Performance': 31.8267, 'Latency': 2.3618}","{'error': 13.480000000000004, 'latency': 1.95216}"
"{'Performance': 15.7833, 'Latency': 2.0578}","{'error': 26.38666666666667, 'latency': 2.36176}"
"{'Performance': 15.68, 'Latency': 1.133}","{'error': 24.226666666666674, 'latency': 1.54256}"
"{'Performance': 20.205, 'Latency': 1.9522}","{'error': 13.49666666666667, 'latency': 1.54256}"
"{'Performance': 20.205, 'Latency': 1.9522}","{'error': 10.224999999999994, 'latency': 2.46736}"
"{'Performance': 15.88, 'Latency': 1.133}","{'error': 29.483333333333334, 'latency': 1.13296}"
"{'Performance': 90.0, 'Latency': 1.133}","{'error': 13.61, 'latency': 1.13296}"
