surrogate_model_prediction,benchmark_evaluation
"{'Performance': 6.0, 'Latency': 26.0}","{'error': 90.0, 'latency': 12.314319610595703}"
"{'Performance': 5.0, 'Latency': 15.0}","{'error': 90.0, 'latency': 14.809584617614746}"
"{'Performance': 90.0, 'Latency': 12.3143}","{'error': 13.49666666666667, 'latency': 14.782347679138184}"
"{'Performance': 13.4967, 'Latency': 14.7823}","{'error': 13.64333333333333, 'latency': 17.424468994140625}"
"{'Performance': 13.4967, 'Latency': 14.7823}","{'error': 24.523333333333326, 'latency': 19.008169174194336}"
"{'Performance': 13.4967, 'Latency': 14.7823}","{'error': 20.010000000000005, 'latency': 21.886777877807617}"
"{'Performance': 13.4967, 'Latency': 14.7823}","{'error': 13.430000000000007, 'latency': 14.988808631896973}"
"{'Performance': 90.0, 'Latency': 12.3143}","{'error': 90.0, 'latency': 13.159713745117188}"
"{'Performance': 13.4967, 'Latency': 14.7823}","{'error': 19.926666666666662, 'latency': 20.85376262664795}"
"{'Performance': 7.865, 'Latency': 25.0333}","{'error': 24.25, 'latency': 18.136205673217773}"
"{'Performance': 13.4967, 'Latency': 14.7823}","{'error': 13.430000000000007, 'latency': 14.012479782104492}"
"{'Performance': 13.6433, 'Latency': 17.4245}","{'error': 24.473333333333343, 'latency': 15.649724006652832}"
"{'Performance': 13.6433, 'Latency': 17.4245}","{'error': 90.0, 'latency': 10.631942749023438}"
"{'Performance': 13.43, 'Latency': 14.0125}","{'error': 13.24333333333334, 'latency': 13.914785385131836}"
"{'Performance': 24.25, 'Latency': 18.1362}","{'error': 14.0, 'latency': 18.94566535949707}"
"{'Performance': 90.0, 'Latency': 10.6319}","{'error': 13.386666666666656, 'latency': 13.160238265991211}"
"{'Performance': 13.43, 'Latency': 14.9888}","{'error': 10.930000000000007, 'latency': 17.09643840789795}"
"{'Performance': 10.93, 'Latency': 17.0964}","{'error': 15.776666666666657, 'latency': 13.998589515686035}"
"{'Performance': 7.865, 'Latency': 25.0333}","{'error': 9.193333333333328, 'latency': 18.94237518310547}"
"{'Performance': 19.9267, 'Latency': 20.8538}","{'error': 11.215000000000003, 'latency': 14.617676734924316}"
"{'Performance': 13.6433, 'Latency': 17.4245}","{'error': 20.183333333333323, 'latency': 14.13839340209961}"
"{'Performance': 13.3867, 'Latency': 13.1602}","{'error': 20.439999999999998, 'latency': 13.912715911865234}"
"{'Performance': 9.1933, 'Latency': 18.9424}","{'error': 12.894999999999996, 'latency': 16.446142196655273}"
"{'Performance': 13.43, 'Latency': 14.9888}","{'error': 13.284999999999997, 'latency': 18.114628791809082}"
"{'Performance': 90.0, 'Latency': 12.3143}","{'error': 13.34333333333332, 'latency': 10.633678436279297}"
"{'Performance': 9.1933, 'Latency': 18.9424}","{'error': 11.226666666666674, 'latency': 17.083797454833984}"
"{'Performance': 24.4733, 'Latency': 15.6497}","{'error': 33.89, 'latency': 17.39429473876953}"
"{'Performance': 13.3433, 'Latency': 10.6337}","{'error': 24.75333333333333, 'latency': 14.029316902160645}"
"{'Performance': 90.0, 'Latency': 10.6319}","{'error': 45.70333333333334, 'latency': 8.148136138916016}"
"{'Performance': 45.7033, 'Latency': 8.1481}","{'error': 13.686666666666667, 'latency': 9.83133316040039}"
"{'Performance': 13.3433, 'Latency': 10.6337}","{'error': 15.769999999999996, 'latency': 9.819540977478027}"
"{'Performance': 13.6867, 'Latency': 9.8313}","{'error': 13.459999999999994, 'latency': 11.464896202087402}"
"{'Performance': 15.77, 'Latency': 9.8195}","{'error': 20.25999999999999, 'latency': 16.26898765563965}"
"{'Performance': 20.44, 'Latency': 13.9127}","{'error': 20.14999999999999, 'latency': 14.085378646850586}"
"{'Performance': 13.3433, 'Latency': 10.6337}","{'error': 13.294999999999987, 'latency': 10.640363693237305}"
"{'Performance': 15.77, 'Latency': 9.8195}","{'error': 13.61, 'latency': 9.78945255279541}"
"{'Performance': 24.7533, 'Latency': 14.0293}","{'error': 24.659999999999997, 'latency': 19.07088279724121}"
"{'Performance': 24.7533, 'Latency': 14.0293}","{'error': 13.453333333333333, 'latency': 14.175882339477539}"
"{'Performance': 13.6867, 'Latency': 9.8313}","{'error': 15.993333333333325, 'latency': 9.806761741638184}"
"{'Performance': 10.93, 'Latency': 18.9424}","{'error': 10.426666666666677, 'latency': 17.60880470275879}"
"{'Performance': 13.3433, 'Latency': 10.6337}","{'error': 24.310000000000002, 'latency': 14.873089790344238}"
"{'Performance': 10.93, 'Latency': 17.0964}","{'error': 23.849999999999994, 'latency': 17.930188179016113}"
"{'Performance': 90.0, 'Latency': 12.3143}","{'error': 90.0, 'latency': 12.289891242980957}"
"{'Performance': 24.5233, 'Latency': 19.0082}","{'error': 31.64500000000001, 'latency': 18.876590728759766}"
"{'Performance': 20.01, 'Latency': 21.8868}","{'error': 13.870000000000005, 'latency': 14.72930908203125}"
"{'Performance': 24.66, 'Latency': 19.0709}","{'error': 24.49333333333334, 'latency': 18.303003311157227}"
"{'Performance': 20.01, 'Latency': 21.8868}","{'error': 23.955, 'latency': 23.658695220947266}"
"{'Performance': 45.7033, 'Latency': 8.1481}","{'error': 29.08, 'latency': 9.05116081237793}"
"{'Performance': 13.61, 'Latency': 9.7895}","{'error': 13.586666666666659, 'latency': 10.695037841796875}"
"{'Performance': 24.4933, 'Latency': 18.303}","{'error': 24.16333333333334, 'latency': 18.365139961242676}"
"{'Performance': 29.08, 'Latency': 9.0512}","{'error': 30.976666666666674, 'latency': 13.180460929870605}"
"{'Performance': 13.46, 'Latency': 11.4649}","{'error': 13.626666666666665, 'latency': 11.509718894958496}"
"{'Performance': 13.43, 'Latency': 14.9888}","{'error': 13.579999999999998, 'latency': 17.36696720123291}"
"{'Performance': 11.2267, 'Latency': 17.0838}","{'error': 10.939999999999998, 'latency': 14.722599983215332}"
"{'Performance': 24.7533, 'Latency': 14.0293}","{'error': 90.0, 'latency': 19.21804428100586}"
"{'Performance': 13.3433, 'Latency': 10.6337}","{'error': 24.155, 'latency': 14.806547164916992}"
"{'Performance': 13.6867, 'Latency': 9.8313}","{'error': 13.379999999999995, 'latency': 10.662603378295898}"
"{'Performance': 13.43, 'Latency': 14.9888}","{'error': 24.42, 'latency': 15.510635375976562}"
"{'Performance': 24.7533, 'Latency': 14.0293}","{'error': 19.94666666666666, 'latency': 13.10370922088623}"
"{'Performance': 13.3433, 'Latency': 10.6337}","{'error': 13.61, 'latency': 9.81755256652832}"
"{'Performance': 13.61, 'Latency': 9.7895}","{'error': 15.476666666666674, 'latency': 9.806408882141113}"
"{'Performance': 45.7033, 'Latency': 8.1481}","{'error': 45.45333333333334, 'latency': 16.579861640930176}"
"{'Performance': 13.61, 'Latency': 9.8176}","{'error': 90.0, 'latency': 10.680837631225586}"
"{'Performance': 24.31, 'Latency': 14.8731}","{'error': 24.473333333333343, 'latency': 14.935145378112793}"
"{'Performance': 10.93, 'Latency': 17.0964}","{'error': 11.236666666666679, 'latency': 16.236658096313477}"
"{'Performance': 45.7033, 'Latency': 8.1481}","{'error': 43.586666666666666, 'latency': 12.446327209472656}"
"{'Performance': 20.1833, 'Latency': 14.1384}","{'error': 31.723333333333343, 'latency': 13.266730308532715}"
"{'Performance': 20.15, 'Latency': 14.0854}","{'error': 13.486666666666679, 'latency': 14.884014129638672}"
"{'Performance': 13.43, 'Latency': 14.9888}","{'error': 13.41000000000001, 'latency': 14.870767593383789}"
"{'Performance': 10.93, 'Latency': 17.0964}","{'error': 10.633333333333326, 'latency': 19.69876766204834}"
"{'Performance': 24.42, 'Latency': 15.5106}","{'error': 90.0, 'latency': 14.879074096679688}"
"{'Performance': 15.4767, 'Latency': 9.8064}","{'error': 19.765, 'latency': 13.957290649414062}"
"{'Performance': 45.7033, 'Latency': 8.1481}","{'error': 48.583333333333336, 'latency': 20.420856475830078}"
"{'Performance': 29.08, 'Latency': 9.0512}","{'error': 29.39666666666666, 'latency': 8.985953330993652}"
"{'Performance': 90.0, 'Latency': 12.2899}","{'error': 90.0, 'latency': 11.500082015991211}"
"{'Performance': 19.9467, 'Latency': 13.1037}","{'error': 24.279999999999987, 'latency': 18.05647373199463}"
"{'Performance': 24.25, 'Latency': 18.1362}","{'error': 13.544999999999987, 'latency': 14.828481674194336}"
"{'Performance': 24.5233, 'Latency': 19.0082}","{'error': 90.0, 'latency': 19.89811420440674}"
"{'Performance': 24.7533, 'Latency': 14.0293}","{'error': 13.266666666666666, 'latency': 16.302385330200195}"
"{'Performance': 90.0, 'Latency': 10.6808}","{'error': 90.0, 'latency': 11.464042663574219}"
"{'Performance': 29.08, 'Latency': 9.0512}","{'error': 20.400000000000006, 'latency': 13.769545555114746}"
"{'Performance': 15.7767, 'Latency': 13.9986}","{'error': 15.780000000000001, 'latency': 14.523491859436035}"
"{'Performance': 24.66, 'Latency': 19.0709}","{'error': 13.620000000000005, 'latency': 14.061284065246582}"
"{'Performance': 24.5233, 'Latency': 19.0082}","{'error': 13.383333333333326, 'latency': 14.125375747680664}"
"{'Performance': 13.4533, 'Latency': 14.1759}","{'error': 24.436666666666667, 'latency': 13.976888656616211}"
"{'Performance': 13.61, 'Latency': 9.8176}","{'error': 13.490000000000009, 'latency': 11.472864151000977}"
"{'Performance': 6.5767, 'Latency': 32.6636}","{'error': 10.629999999999995, 'latency': 28.94207000732422}"
"{'Performance': 24.4733, 'Latency': 14.9351}","{'error': 11.260000000000005, 'latency': 17.349071502685547}"
"{'Performance': 24.4933, 'Latency': 18.303}","{'error': 24.273333333333326, 'latency': 22.577519416809082}"
"{'Performance': 20.1833, 'Latency': 14.1384}","{'error': 13.386666666666656, 'latency': 14.014787673950195}"
"{'Performance': 13.61, 'Latency': 9.8176}","{'error': 90.0, 'latency': 10.595459938049316}"
"{'Performance': 48.5833, 'Latency': 20.4209}","{'error': 43.23, 'latency': 16.688694953918457}"
"{'Performance': 43.23, 'Latency': 16.6887}","{'error': 32.08, 'latency': 13.070368766784668}"
"{'Performance': 24.5233, 'Latency': 19.0082}","{'error': 13.299999999999997, 'latency': 18.760881423950195}"
"{'Performance': 24.28, 'Latency': 18.0565}","{'error': 24.709999999999994, 'latency': 18.07537078857422}"
"{'Performance': 24.4367, 'Latency': 13.9769}","{'error': 24.269999999999996, 'latency': 14.680442810058594}"
