prompt_tokens,completion_tokens,total_tokens
1158,342,1500
1214,93,1307
1245,342,1587
1301,88,1389
1332,342,1674
1388,95,1483
1418,342,1760
1474,88,1562
1503,342,1845
1559,93,1652
1590,342,1932
1646,89,1735
1677,342,2019
1733,98,1831
1762,342,2104
1818,96,1914
1849,342,2191
1905,93,1998
1935,342,2277
1991,96,2087
2022,342,2364
2078,94,2172
2108,342,2450
2164,93,2257
2195,342,2537
2251,94,2345
2282,342,2624
2338,97,2435
2369,342,2711
2425,95,2520
2456,342,2798
2512,94,2606
2541,342,2883
2597,95,2692
2627,342,2969
2683,99,2782
2713,342,3055
2769,95,2864
2798,342,3140
2854,99,2953
2885,342,3227
2941,95,3036
2972,342,3314
3028,95,3123
3058,342,3400
3114,95,3209
3145,342,3487
3201,92,3293
3230,342,3572
3286,94,3380
3317,342,3659
3373,94,3467
3404,342,3746
3460,99,3559
3491,342,3833
3547,92,3639
3577,342,3919
3633,92,3725
3663,342,4005
3719,93,3812
3750,342,4092
3806,95,3901
3836,342,4178
3892,95,3987
3921,342,4263
3977,93,4070
4007,342,4349
4007,72,4079
4063,94,4157
4092,342,4434
4148,96,4244
4178,342,4520
4234,96,4330
4264,342,4606
4320,98,4418
4350,342,4692
4406,95,4501
4436,342,4778
4492,99,4591
4522,342,4864
4522,72,4594
4578,95,4673
4608,342,4950
4664,93,4757
4694,342,5036
4750,93,4843
4780,342,5122
4836,94,4930
4866,342,5208
4866,72,4938
4922,94,5016
4953,342,5295
5009,93,5102
5039,342,5381
5095,92,5187
5125,342,5467
5181,94,5275
5211,342,5553
5267,94,5361
5296,342,5638
5352,93,5445
5382,342,5724
5438,92,5530
5469,342,5811
5525,93,5618
5555,342,5897
5611,94,5705
5642,342,5984
5698,94,5792
5728,342,6070
5728,72,5800
5784,92,5876
5814,342,6156
5870,92,5962
5900,342,6242
5956,93,6049
5986,342,6328
6042,94,6136
6073,342,6415
6129,92,6221
6160,342,6502
6160,141,6301
6216,93,6309
6246,342,6588
6302,93,6395
6333,342,6675
6389,92,6481
6419,342,6761
6475,95,6570
6505,342,6847
6561,92,6653
6592,342,6934
6648,94,6742
6679,342,7021
6735,92,6827
6764,342,7106
6820,95,6915
6849,342,7191
6905,92,6997
6934,342,7276
6990,96,7086
7020,342,7362
7020,72,7092
7076,92,7168
7107,342,7449
7107,141,7248
7107,72,7179
7107,72,7179
7163,93,7256
7193,342,7535
7193,72,7265
7249,93,7342
7279,342,7621
7279,72,7351
7335,92,7427
7365,342,7707
7421,89,7510
7451,342,7793
7507,95,7602
7538,342,7880
7594,93,7687
7625,342,7967
7681,94,7775
7711,342,8053
7767,94,7861
7797,342,8139
7853,90,7943
7883,342,8225
7883,72,7955
7939,92,8031
7969,342,8311
8025,93,8118
8054,342,8396
8110,93,8203
8140,342,8482
8140,72,8212
8140,72,8212
8196,95,8291
8227,342,8569
8227,72,8299
8283,95,8378
8313,342,8655
8369,93,8462
8399,342,8741
8399,72,8471
8455,93,8548
8484,342,8826
8484,72,8556
8484,72,8556
8540,92,8632
8569,342,8911
8625,90,8715
8655,342,8997
8655,141,8796
8655,72,8727
8655,72,8727
8655,72,8727
8711,94,8805
8741,342,9083
8741,72,8813
8797,90,8887
8828,342,9170
8884,92,8976
8913,342,9255
8913,72,8985
8913,72,8985
8969,94,9063
9000,342,9342
9056,94,9150
9086,342,9428
9086,141,9227
9086,72,9158
9142,92,9234
9172,342,9514
9172,72,9244
9228,91,9319
9259,342,9601
9259,141,9400
9315,93,9408
9345,342,9687
9345,72,9417
9345,72,9417
9401,96,9497
