prompt_tokens,completion_tokens,total_tokens
1161,342,1503
1217,88,1305
1248,342,1590
1304,91,1395
1334,342,1676
1390,100,1490
1420,342,1762
1476,88,1564
1507,342,1849
1563,95,1658
1593,342,1935
1649,98,1747
1680,342,2022
1736,96,1832
1765,342,2107
1821,88,1909
1852,342,2194
1908,95,2003
1938,342,2280
1994,88,2082
2024,342,2366
2080,92,2172
2110,342,2452
2166,94,2260
2196,342,2538
2252,93,2345
2282,342,2624
2338,98,2436
2368,342,2710
2424,94,2518
2455,342,2797
2511,96,2607
2540,342,2882
2596,93,2689
2626,342,2968
2682,95,2777
2711,342,3053
2767,92,2859
2797,342,3139
2853,92,2945
2883,342,3225
2939,99,3038
2969,342,3311
3025,95,3120
3055,342,3397
3111,93,3204
3141,342,3483
3197,96,3293
3227,342,3569
3283,93,3376
3314,342,3656
3370,95,3465
3401,342,3743
3457,92,3549
3488,342,3830
3544,96,3640
3574,342,3916
3630,98,3728
3660,342,4002
3716,93,3809
3747,342,4089
3803,92,3895
3833,342,4175
3889,95,3984
3919,342,4261
3975,97,4072
4005,342,4347
4061,95,4156
4090,342,4432
4146,93,4239
4176,342,4518
4176,72,4248
4232,93,4325
4262,342,4604
4318,92,4410
4348,342,4690
4348,72,4420
4404,94,4498
4434,342,4776
4490,95,4585
4521,342,4863
4577,94,4671
4606,342,4948
4662,92,4754
4693,342,5035
4749,95,4844
4780,342,5122
4836,92,4928
4866,342,5208
4922,95,5017
4952,342,5294
5008,95,5103
5038,342,5380
5094,93,5187
5124,342,5466
5180,92,5272
5209,342,5551
5209,72,5281
5265,94,5359
5295,342,5637
5351,92,5443
5382,342,5724
5382,72,5454
5438,93,5531
5468,342,5810
5524,96,5620
5555,342,5897
5555,72,5627
5611,92,5703
5641,342,5983
5641,72,5713
5697,93,5790
5727,342,6069
5727,141,5868
5783,94,5877
5813,342,6155
5813,72,5885
5869,94,5963
5899,342,6241
5899,72,5971
5899,72,5971
5955,93,6048
5986,342,6328
6042,93,6135
6072,342,6414
6128,94,6222
6158,342,6500
6158,141,6299
6214,94,6308
6244,342,6586
6244,72,6316
6244,72,6316
6300,93,6393
6330,342,6672
6330,141,6471
6330,72,6402
6386,86,6472
6417,342,6759
6473,92,6565
6504,342,6846
6560,94,6654
6591,342,6933
6591,72,6663
6591,72,6663
6647,94,6741
6677,342,7019
6677,72,6749
6677,72,6749
6677,72,6749
6733,95,6828
6763,342,7105
6819,94,6913
6849,342,7191
6849,72,6921
6849,72,6921
6905,94,6999
6934,342,7276
6934,72,7006
6990,87,7077
7021,342,7363
7077,93,7170
7107,342,7449
7107,72,7179
7163,92,7255
7193,342,7535
7249,94,7343
7279,342,7621
7279,141,7420
7335,100,7435
7366,342,7708
7366,72,7438
7422,93,7515
7452,342,7794
7508,94,7602
7538,342,7880
7538,72,7610
7538,72,7610
7594,94,7688
7624,342,7966
7624,72,7696
7680,94,7774
7711,342,8053
7711,141,7852
7711,72,7783
7711,72,7783
7767,93,7860
7797,342,8139
7853,92,7945
7883,342,8225
7939,95,8034
7968,342,8310
7968,72,8040
8024,95,8119
8055,342,8397
8111,94,8205
8142,342,8484
8142,141,8283
8142,72,8214
8142,72,8214
8142,72,8214
8142,72,8214
8198,92,8290
8228,342,8570
8228,72,8300
8228,72,8300
8284,91,8375
8314,342,8656
8314,72,8386
8314,72,8386
8370,93,8463
8401,342,8743
8457,93,8550
8487,342,8829
8487,72,8559
8543,95,8638
8574,342,8916
8574,141,8715
8574,72,8646
8630,94,8724
8661,342,9003
8661,72,8733
8717,94,8811
8748,342,9090
8748,72,8820
8804,93,8897
8834,342,9176
8890,95,8985
8920,342,9262
8920,141,9061
8976,96,9072
9007,342,9349
9063,92,9155
9094,342,9436
9094,72,9166
9094,72,9166
9150,94,9244
9181,342,9523
9237,96,9333
9266,342,9608
9266,141,9407
9322,93,9415
9353,342,9695
9409,94,9503
