candidate_evaluations,hypervolume_contributions
"[{'F1': 8.75, 'Latency': 25.33}, {'F1': 12.1, 'Latency': 29.5}, {'F1': 10.9, 'Latency': 23.0}, {'F1': 9.5, 'Latency': 27.4}, {'F1': 7.8, 'Latency': 31.0}, {'F1': 15.0, 'Latency': 22.5}, {'F1': 12.0, 'Latency': 23.0}, {'F1': 18.0, 'Latency': 25.0}, {'F1': 11.0, 'Latency': 24.5}, {'F1': 14.0, 'Latency': 21.0}, {'F1': 10.56, 'Latency': 25.12}, {'F1': 8.34, 'Latency': 29.45}, {'F1': 15.23, 'Latency': 22.18}, {'F1': 12.89, 'Latency': 28.67}, {'F1': 7.95, 'Latency': 30.12}, {'F1': 18.0, 'Latency': 22.5}, {'F1': 15.0, 'Latency': 24.0}, {'F1': 12.0, 'Latency': 25.5}, {'F1': 16.5, 'Latency': 23.0}, {'F1': 14.0, 'Latency': 24.5}]","[0.0, 0.0, 0.030442402128439072, 0.0, 0.0, 0.032642307116953484, 0.02559722254175667, 0.0, 0.0, 0.11056803366810763, 0.0, 0.0, 0.04217516215535966, 0.0, 0.0, 0.014739762080233199, 0.0, 0.0, 0.010781214566344843, 0.0]"
"[{'F1': 8.75, 'Latency': 25.33}, {'F1': 12.1, 'Latency': 29.5}, {'F1': 10.9, 'Latency': 23.0}, {'F1': 9.5, 'Latency': 27.4}, {'F1': 7.8, 'Latency': 31.0}, {'F1': 15.0, 'Latency': 22.5}, {'F1': 12.0, 'Latency': 23.0}, {'F1': 18.0, 'Latency': 25.0}, {'F1': 11.0, 'Latency': 24.5}, {'F1': 14.0, 'Latency': 21.0}, {'F1': 10.56, 'Latency': 25.12}, {'F1': 8.34, 'Latency': 29.45}, {'F1': 15.23, 'Latency': 22.18}, {'F1': 12.89, 'Latency': 28.67}, {'F1': 7.95, 'Latency': 30.12}, {'F1': 18.0, 'Latency': 22.5}, {'F1': 15.0, 'Latency': 24.0}, {'F1': 12.0, 'Latency': 25.5}, {'F1': 16.5, 'Latency': 23.0}, {'F1': 14.0, 'Latency': 24.5}]","[0.0, 0.0, 0.030442402128439072, 0.0, 0.0, 0.032642307116953484, 0.02559722254175667, 0.0, 0.0, 0.11056803366810763, 0.0, 0.0, 0.04217516215535966, 0.0, 0.0, 0.014739762080233199, 0.0, 0.0, 0.010781214566344843, 0.0]"
"[{'F1': 8.75, 'Latency': 25.33}, {'F1': 12.1, 'Latency': 29.5}, {'F1': 10.9, 'Latency': 23.0}, {'F1': 9.5, 'Latency': 27.4}, {'F1': 7.8, 'Latency': 31.0}, {'F1': 15.0, 'Latency': 22.5}, {'F1': 12.0, 'Latency': 23.0}, {'F1': 18.0, 'Latency': 25.0}, {'F1': 11.0, 'Latency': 24.5}, {'F1': 14.0, 'Latency': 21.0}, {'F1': 10.56, 'Latency': 25.12}, {'F1': 8.34, 'Latency': 29.45}, {'F1': 15.23, 'Latency': 22.18}, {'F1': 12.89, 'Latency': 28.67}, {'F1': 7.95, 'Latency': 30.12}, {'F1': 18.0, 'Latency': 22.5}, {'F1': 15.0, 'Latency': 24.0}, {'F1': 12.0, 'Latency': 25.5}, {'F1': 16.5, 'Latency': 23.0}, {'F1': 14.0, 'Latency': 24.5}]","[0.0, 0.0, 0.030442402128439072, 0.0, 0.0, 0.032642307116953484, 0.02559722254175667, 0.0, 0.0, 0.11056803366810763, 0.0, 0.0, 0.04217516215535966, 0.0, 0.0, 0.014739762080233199, 0.0, 0.0, 0.010781214566344843, 0.0]"
"[{'F1': 8.75, 'Latency': 25.33}, {'F1': 12.1, 'Latency': 29.5}, {'F1': 10.9, 'Latency': 23.0}, {'F1': 9.5, 'Latency': 27.4}, {'F1': 7.8, 'Latency': 31.0}, {'F1': 15.0, 'Latency': 22.5}, {'F1': 12.0, 'Latency': 23.0}, {'F1': 18.0, 'Latency': 25.0}, {'F1': 11.0, 'Latency': 24.5}, {'F1': 14.0, 'Latency': 21.0}, {'F1': 10.56, 'Latency': 25.12}, {'F1': 8.34, 'Latency': 29.45}, {'F1': 15.23, 'Latency': 22.18}, {'F1': 12.89, 'Latency': 28.67}, {'F1': 7.95, 'Latency': 30.12}, {'F1': 18.0, 'Latency': 22.5}, {'F1': 15.0, 'Latency': 24.0}, {'F1': 12.0, 'Latency': 25.5}, {'F1': 16.5, 'Latency': 23.0}, {'F1': 14.0, 'Latency': 24.5}]","[0.0, 0.0, 0.030442402128439072, 0.0, 0.0, 0.032642307116953484, 0.02559722254175667, 0.0, 0.0, 0.11056803366810763, 0.0, 0.0, 0.04217516215535966, 0.0, 0.0, 0.014739762080233199, 0.0, 0.0, 0.010781214566344843, 0.0]"
"[{'F1': 10.0, 'Latency': 19.0}, {'F1': 9.0, 'Latency': 18.5}, {'F1': 12.0, 'Latency': 21.0}, {'F1': 7.5, 'Latency': 22.0}, {'F1': 15.0, 'Latency': 20.0}, {'F1': 12.34, 'Latency': 18.5}, {'F1': 15.67, 'Latency': 20.1}, {'F1': 8.45, 'Latency': 23.0}, {'F1': 5.5, 'Latency': 29.0}, {'F1': 10.0, 'Latency': 22.0}, {'F1': 12.0, 'Latency': 19.5}, {'F1': 10.5, 'Latency': 21.0}, {'F1': 15.0, 'Latency': 20.0}, {'F1': 9.5, 'Latency': 22.0}, {'F1': 14.0, 'Latency': 18.5}, {'F1': 18.27, 'Latency': 21.53}, {'F1': 10.0, 'Latency': 30.0}, {'F1': 5.5, 'Latency': 32.5}, {'F1': 12.0, 'Latency': 21.0}, {'F1': 16.0, 'Latency': 19.5}, {'F1': 11.0, 'Latency': 22.0}, {'F1': 17.0, 'Latency': 20.0}, {'F1': 14.0, 'Latency': 21.0}, {'F1': 10.5, 'Latency': 23.0}, {'F1': 18.0, 'Latency': 20.5}]","[0.015654455228718334, 0.03250656847952893, 0.0, 0.012548748438789392, 0.0, 0.0, 0.0, 0.0006575471697687352, 0.017005454622113003, 0.002529479878969676, 0.0, 0.00406701755445793, 0.0, 0.0035689921579982187, 0.0, 0.0, 0.0, 0.0059937650825441224, 0.0, 0.0, 0.0004504553209123685, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 10.0, 'Latency': 19.0}, {'F1': 9.0, 'Latency': 18.5}, {'F1': 12.0, 'Latency': 21.0}, {'F1': 7.5, 'Latency': 22.0}, {'F1': 15.0, 'Latency': 20.0}, {'F1': 12.34, 'Latency': 18.5}, {'F1': 15.67, 'Latency': 20.1}, {'F1': 8.45, 'Latency': 23.0}, {'F1': 5.5, 'Latency': 29.0}, {'F1': 10.0, 'Latency': 22.0}, {'F1': 12.0, 'Latency': 19.5}, {'F1': 10.5, 'Latency': 21.0}, {'F1': 15.0, 'Latency': 20.0}, {'F1': 9.5, 'Latency': 22.0}, {'F1': 14.0, 'Latency': 18.5}, {'F1': 18.27, 'Latency': 21.53}, {'F1': 10.0, 'Latency': 30.0}, {'F1': 5.5, 'Latency': 32.5}, {'F1': 12.0, 'Latency': 21.0}, {'F1': 16.0, 'Latency': 19.5}, {'F1': 11.0, 'Latency': 22.0}, {'F1': 17.0, 'Latency': 20.0}, {'F1': 14.0, 'Latency': 21.0}, {'F1': 10.5, 'Latency': 23.0}, {'F1': 18.0, 'Latency': 20.5}]","[0.015654455228718334, 0.03250656847952893, 0.0, 0.012548748438789392, 0.0, 0.0, 0.0, 0.0006575471697687352, 0.017005454622113003, 0.002529479878969676, 0.0, 0.00406701755445793, 0.0, 0.0035689921579982187, 0.0, 0.0, 0.0, 0.0059937650825441224, 0.0, 0.0, 0.0004504553209123685, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 10.0, 'Latency': 19.0}, {'F1': 9.0, 'Latency': 18.5}, {'F1': 12.0, 'Latency': 21.0}, {'F1': 7.5, 'Latency': 22.0}, {'F1': 15.0, 'Latency': 20.0}, {'F1': 12.34, 'Latency': 18.5}, {'F1': 15.67, 'Latency': 20.1}, {'F1': 8.45, 'Latency': 23.0}, {'F1': 5.5, 'Latency': 29.0}, {'F1': 10.0, 'Latency': 22.0}, {'F1': 12.0, 'Latency': 19.5}, {'F1': 10.5, 'Latency': 21.0}, {'F1': 15.0, 'Latency': 20.0}, {'F1': 9.5, 'Latency': 22.0}, {'F1': 14.0, 'Latency': 18.5}, {'F1': 18.27, 'Latency': 21.53}, {'F1': 10.0, 'Latency': 30.0}, {'F1': 5.5, 'Latency': 32.5}, {'F1': 12.0, 'Latency': 21.0}, {'F1': 16.0, 'Latency': 19.5}, {'F1': 11.0, 'Latency': 22.0}, {'F1': 17.0, 'Latency': 20.0}, {'F1': 14.0, 'Latency': 21.0}, {'F1': 10.5, 'Latency': 23.0}, {'F1': 18.0, 'Latency': 20.5}]","[0.015654455228718334, 0.03250656847952893, 0.0, 0.012548748438789392, 0.0, 0.0, 0.0, 0.0006575471697687352, 0.017005454622113003, 0.002529479878969676, 0.0, 0.00406701755445793, 0.0, 0.0035689921579982187, 0.0, 0.0, 0.0, 0.0059937650825441224, 0.0, 0.0, 0.0004504553209123685, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 10.0, 'Latency': 19.0}, {'F1': 9.0, 'Latency': 18.5}, {'F1': 12.0, 'Latency': 21.0}, {'F1': 7.5, 'Latency': 22.0}, {'F1': 15.0, 'Latency': 20.0}, {'F1': 12.34, 'Latency': 18.5}, {'F1': 15.67, 'Latency': 20.1}, {'F1': 8.45, 'Latency': 23.0}, {'F1': 5.5, 'Latency': 29.0}, {'F1': 10.0, 'Latency': 22.0}, {'F1': 12.0, 'Latency': 19.5}, {'F1': 10.5, 'Latency': 21.0}, {'F1': 15.0, 'Latency': 20.0}, {'F1': 9.5, 'Latency': 22.0}, {'F1': 14.0, 'Latency': 18.5}, {'F1': 18.27, 'Latency': 21.53}, {'F1': 10.0, 'Latency': 30.0}, {'F1': 5.5, 'Latency': 32.5}, {'F1': 12.0, 'Latency': 21.0}, {'F1': 16.0, 'Latency': 19.5}, {'F1': 11.0, 'Latency': 22.0}, {'F1': 17.0, 'Latency': 20.0}, {'F1': 14.0, 'Latency': 21.0}, {'F1': 10.5, 'Latency': 23.0}, {'F1': 18.0, 'Latency': 20.5}]","[0.015654455228718334, 0.03250656847952893, 0.0, 0.012548748438789392, 0.0, 0.0, 0.0, 0.0006575471697687352, 0.017005454622113003, 0.002529479878969676, 0.0, 0.00406701755445793, 0.0, 0.0035689921579982187, 0.0, 0.0, 0.0, 0.0059937650825441224, 0.0, 0.0, 0.0004504553209123685, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 12.15, 'Latency': 18.27}, {'F1': 10.67, 'Latency': 19.5}, {'F1': 15.89, 'Latency': 20.12}, {'F1': 14.34, 'Latency': 21.88}, {'F1': 15.0, 'Latency': 22.45}, {'F1': 18.25, 'Latency': 19.5}, {'F1': 14.25, 'Latency': 20.1}, {'F1': 15.9, 'Latency': 18.8}, {'F1': 12.75, 'Latency': 21.0}, {'F1': 17.0, 'Latency': 20.8}, {'F1': 12.34, 'Latency': 18.5}, {'F1': 14.12, 'Latency': 19.2}, {'F1': 10.75, 'Latency': 20.3}, {'F1': 7.89, 'Latency': 24.0}, {'F1': 15.67, 'Latency': 22.1}, {'F1': 10.38, 'Latency': 16.38}, {'F1': 14.54, 'Latency': 21.0}, {'F1': 14.63, 'Latency': 20.0}, {'F1': 5.0, 'Latency': 15.0}, {'F1': 12.0, 'Latency': 20.0}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2691472230730376, 0.0]"
"[{'F1': 12.15, 'Latency': 18.27}, {'F1': 10.67, 'Latency': 19.5}, {'F1': 15.89, 'Latency': 20.12}, {'F1': 14.34, 'Latency': 21.88}, {'F1': 15.0, 'Latency': 22.45}, {'F1': 18.25, 'Latency': 19.5}, {'F1': 14.25, 'Latency': 20.1}, {'F1': 15.9, 'Latency': 18.8}, {'F1': 12.75, 'Latency': 21.0}, {'F1': 17.0, 'Latency': 20.8}, {'F1': 12.34, 'Latency': 18.5}, {'F1': 14.12, 'Latency': 19.2}, {'F1': 10.75, 'Latency': 20.3}, {'F1': 7.89, 'Latency': 24.0}, {'F1': 15.67, 'Latency': 22.1}, {'F1': 10.38, 'Latency': 16.38}, {'F1': 14.54, 'Latency': 21.0}, {'F1': 14.63, 'Latency': 20.0}, {'F1': 5.0, 'Latency': 15.0}, {'F1': 12.0, 'Latency': 20.0}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2691472230730376, 0.0]"
