surrogate_model_prediction,benchmark_evaluation
"{'F1': 9.0, 'Latency': 20.5}","{'f1': 19.766666666666666, 'latency': 17.41806983947754}"
"{'F1': 9.0, 'Latency': 20.5}","{'f1': 15.769999999999996, 'latency': 9.819540977478027}"
"{'F1': 9.0, 'Latency': 20.5}","{'f1': 15.36333333333333, 'latency': 10.837492942810059}"
"{'F1': 9.0, 'Latency': 20.5}","{'f1': 11.026666666666657, 'latency': 21.436009407043457}"
"{'F1': 14.0, 'Latency': 12.0}","{'f1': 24.436666666666667, 'latency': 13.976888656616211}"
"{'F1': 14.0, 'Latency': 12.0}","{'f1': 24.676666666666662, 'latency': 18.791980743408203}"
"{'F1': 14.0, 'Latency': 12.0}","{'f1': 12.386666666666656, 'latency': 22.54143714904785}"
"{'F1': 14.0, 'Latency': 12.0}","{'f1': 24.210000000000008, 'latency': 24.710540771484375}"
"{'F1': 5.0, 'Latency': 8.0}","{'f1': 90.0, 'latency': 13.159713745117188}"
"{'F1': 5.0, 'Latency': 8.0}","{'f1': 90.0, 'latency': 17.80351161956787}"
"{'F1': 5.0, 'Latency': 8.0}","{'f1': 90.0, 'latency': 14.803299903869629}"
"{'F1': 5.0, 'Latency': 8.0}","{'f1': 11.269999999999996, 'latency': 17.27001190185547}"
"{'F1': 15.0, 'Latency': 13.5}","{'f1': 90.0, 'latency': 11.493821144104004}"
"{'F1': 15.0, 'Latency': 13.5}","{'f1': 13.424999999999997, 'latency': 15.77159881591797}"
"{'F1': 15.0, 'Latency': 13.5}","{'f1': 13.510000000000005, 'latency': 17.271742820739746}"
"{'F1': 15.0, 'Latency': 13.5}","{'f1': 11.710000000000008, 'latency': 17.13681697845459}"
"{'F1': 15.36, 'Latency': 10.84}","{'f1': 30.189999999999998, 'latency': 21.518802642822266}"
"{'F1': 15.36, 'Latency': 10.84}","{'f1': 11.299999999999997, 'latency': 17.26761817932129}"
"{'F1': 15.36, 'Latency': 10.84}","{'f1': 21.823333333333338, 'latency': 19.670119285583496}"
"{'F1': 15.36, 'Latency': 10.84}","{'f1': 20.584999999999994, 'latency': 27.07505226135254}"
"{'F1': 7.0, 'Latency': 12.0}","{'f1': 90.0, 'latency': 16.65478229522705}"
"{'F1': 7.0, 'Latency': 12.0}","{'f1': 90.0, 'latency': 11.464042663574219}"
"{'F1': 7.0, 'Latency': 12.0}","{'f1': 24.42, 'latency': 15.510635375976562}"
"{'F1': 7.0, 'Latency': 12.0}","{'f1': 13.689999999999998, 'latency': 11.496109962463379}"
"{'F1': 15.36, 'Latency': 10.84}","{'f1': 13.623333333333335, 'latency': 10.687804222106934}"
"{'F1': 15.36, 'Latency': 10.84}","{'f1': 8.879999999999995, 'latency': 26.310720443725586}"
"{'F1': 15.36, 'Latency': 10.84}","{'f1': 20.943333333333328, 'latency': 20.12192726135254}"
"{'F1': 15.36, 'Latency': 10.84}","{'f1': 24.11333333333333, 'latency': 17.215733528137207}"
"{'F1': 10.0, 'Latency': 12.0}","{'f1': 24.310000000000002, 'latency': 14.873089790344238}"
"{'F1': 10.0, 'Latency': 12.0}","{'f1': 7.709999999999994, 'latency': 24.315667152404785}"
"{'F1': 10.0, 'Latency': 12.0}","{'f1': 90.0, 'latency': 10.595459938049316}"
"{'F1': 10.0, 'Latency': 12.0}","{'f1': 8.146666666666661, 'latency': 22.693510055541992}"
"{'F1': 8.15, 'Latency': 22.69}","{'f1': 13.676666666666662, 'latency': 27.95719623565674}"
"{'F1': 8.15, 'Latency': 22.69}","{'f1': 13.239999999999995, 'latency': 20.427260398864746}"
"{'F1': 8.15, 'Latency': 22.69}","{'f1': 33.765, 'latency': 22.326064109802246}"
"{'F1': 8.15, 'Latency': 22.69}","{'f1': 14.913333333333327, 'latency': 24.06477451324463}"
"{'F1': 10.8, 'Latency': 20.0}","{'f1': 15.835000000000008, 'latency': 13.9677095413208}"
"{'F1': 10.8, 'Latency': 20.0}","{'f1': 11.126666666666665, 'latency': 16.518168449401855}"
"{'F1': 10.8, 'Latency': 20.0}","{'f1': 11.173333333333332, 'latency': 17.176508903503418}"
"{'F1': 10.8, 'Latency': 20.0}","{'f1': 14.036666666666676, 'latency': 22.923903465270996}"
"{'F1': 12.13, 'Latency': 14.97}","{'f1': 7.8700000000000045, 'latency': 16.579842567443848}"
"{'F1': 12.13, 'Latency': 14.97}","{'f1': 90.0, 'latency': 12.289891242980957}"
"{'F1': 12.13, 'Latency': 14.97}","{'f1': 90.0, 'latency': 15.760135650634766}"
"{'F1': 12.13, 'Latency': 14.97}","{'f1': 24.423333333333332, 'latency': 19.878597259521484}"
"{'F1': 6.5, 'Latency': 22.0}","{'f1': 7.969999999999999, 'latency': 24.179744720458984}"
"{'F1': 6.5, 'Latency': 22.0}","{'f1': 7.513333333333335, 'latency': 24.968791007995605}"
"{'F1': 6.5, 'Latency': 22.0}","{'f1': 15.883333333333326, 'latency': 9.892287254333496}"
"{'F1': 6.5, 'Latency': 22.0}","{'f1': 19.91666666666667, 'latency': 17.474470138549805}"
"{'F1': 7.0, 'Latency': 20.0}","{'f1': 90.0, 'latency': 16.351380348205566}"
"{'F1': 7.0, 'Latency': 20.0}","{'f1': 19.83666666666666, 'latency': 13.977012634277344}"
"{'F1': 7.0, 'Latency': 20.0}","{'f1': 10.236666666666679, 'latency': 20.668845176696777}"
"{'F1': 7.0, 'Latency': 20.0}","{'f1': 10.875, 'latency': 18.307552337646484}"
"{'F1': 24.42, 'Latency': 17.47}","{'f1': 13.493333333333325, 'latency': 13.9024019241333}"
"{'F1': 24.42, 'Latency': 17.47}","{'f1': 13.519999999999996, 'latency': 13.924636840820312}"
"{'F1': 24.42, 'Latency': 17.47}","{'f1': 13.34333333333332, 'latency': 10.633678436279297}"
"{'F1': 24.42, 'Latency': 17.47}","{'f1': 90.0, 'latency': 10.680837631225586}"
"{'F1': 12.0, 'Latency': 14.0}","{'f1': 90.0, 'latency': 11.500082015991211}"
"{'F1': 12.0, 'Latency': 14.0}","{'f1': 11.060000000000002, 'latency': 13.069753646850586}"
"{'F1': 12.0, 'Latency': 14.0}","{'f1': 13.733333333333334, 'latency': 15.722479820251465}"
"{'F1': 12.0, 'Latency': 14.0}","{'f1': 90.0, 'latency': 16.51853084564209}"
"{'F1': 10.5, 'Latency': 13.0}","{'f1': 90.0, 'latency': 14.889073371887207}"
"{'F1': 10.5, 'Latency': 13.0}","{'f1': 8.733333333333348, 'latency': 21.98146343231201}"
"{'F1': 10.5, 'Latency': 13.0}","{'f1': 24.379999999999995, 'latency': 23.60464572906494}"
"{'F1': 10.5, 'Latency': 13.0}","{'f1': 13.469999999999999, 'latency': 18.118610382080078}"
"{'F1': 10.98, 'Latency': 12.45}","{'f1': 90.0, 'latency': 10.631942749023438}"
