candidate_evaluations,hypervolume_contributions
"[{'Error': 8.7, 'Latency': 22.5}, {'Error': 13.5, 'Latency': 27.2}, {'Error': 9.5, 'Latency': 19.8}, {'Error': 8.0, 'Latency': 18.9}, {'Error': 9.8, 'Latency': 18.3}, {'Error': 9.0, 'Latency': 19.5}, {'Error': 8.5, 'Latency': 19.3}, {'Error': 8.3, 'Latency': 19.0}, {'Error': 8.0, 'Latency': 19.5}, {'Error': 8.3, 'Latency': 22.0}]","[0.0, 0.0, 0.0, 0.06193576441445203, 0.07958657386640455, 0.0, 0.00383768238419524, 0.03315180265849338, 0.018459948679411697, 0.0]"
"[{'Error': 8.7, 'Latency': 22.5}, {'Error': 13.5, 'Latency': 27.2}, {'Error': 9.5, 'Latency': 19.8}, {'Error': 8.0, 'Latency': 18.9}, {'Error': 9.8, 'Latency': 18.3}, {'Error': 9.0, 'Latency': 19.5}, {'Error': 8.5, 'Latency': 19.3}, {'Error': 8.3, 'Latency': 19.0}, {'Error': 8.0, 'Latency': 19.5}, {'Error': 8.3, 'Latency': 22.0}]","[0.0, 0.0, 0.0, 0.06193576441445203, 0.07958657386640455, 0.0, 0.00383768238419524, 0.03315180265849338, 0.018459948679411697, 0.0]"
"[{'Error': 8.7, 'Latency': 22.5}, {'Error': 13.5, 'Latency': 27.2}, {'Error': 9.5, 'Latency': 19.8}, {'Error': 8.0, 'Latency': 18.9}, {'Error': 9.8, 'Latency': 18.3}, {'Error': 9.0, 'Latency': 19.5}, {'Error': 8.5, 'Latency': 19.3}, {'Error': 8.3, 'Latency': 19.0}, {'Error': 8.0, 'Latency': 19.5}, {'Error': 8.3, 'Latency': 22.0}]","[0.0, 0.0, 0.0, 0.06193576441445203, 0.07958657386640455, 0.0, 0.00383768238419524, 0.03315180265849338, 0.018459948679411697, 0.0]"
"[{'Error': 8.7, 'Latency': 22.5}, {'Error': 13.5, 'Latency': 27.2}, {'Error': 9.5, 'Latency': 19.8}, {'Error': 8.0, 'Latency': 18.9}, {'Error': 9.8, 'Latency': 18.3}, {'Error': 9.0, 'Latency': 19.5}, {'Error': 8.5, 'Latency': 19.3}, {'Error': 8.3, 'Latency': 19.0}, {'Error': 8.0, 'Latency': 19.5}, {'Error': 8.3, 'Latency': 22.0}]","[0.0, 0.0, 0.0, 0.06193576441445203, 0.07958657386640455, 0.0, 0.00383768238419524, 0.03315180265849338, 0.018459948679411697, 0.0]"
"[{'Error': 8.4, 'Latency': 19.0}, {'Error': 8.5, 'Latency': 19.5}, {'Error': 12.5, 'Latency': 25.0}, {'Error': 11.0, 'Latency': 20.0}, {'Error': 10.0, 'Latency': 22.0}, {'Error': 9.2, 'Latency': 20.5}, {'Error': 8.4, 'Latency': 18.8}, {'Error': 9.8, 'Latency': 19.0}, {'Error': 8.3, 'Latency': 18.5}, {'Error': 10.5, 'Latency': 20.0}, {'Error': 13.5, 'Latency': 16.0}, {'Error': 13.0, 'Latency': 15.5}, {'Error': 12.0, 'Latency': 18.0}, {'Error': 12.5, 'Latency': 16.5}, {'Error': 14.0, 'Latency': 20.0}]","[0.01290376586382913, 0.0, 0.0, 0.0, 0.0, 0.0, 0.020198625898821376, 0.008254779650143096, 0.03248546766379401, 0.0, 0.0, 0.0, 0.006317050025121507, 0.0008360369996545103, 0.0]"
"[{'Error': 8.4, 'Latency': 19.0}, {'Error': 8.5, 'Latency': 19.5}, {'Error': 12.5, 'Latency': 25.0}, {'Error': 11.0, 'Latency': 20.0}, {'Error': 10.0, 'Latency': 22.0}, {'Error': 9.2, 'Latency': 20.5}, {'Error': 8.4, 'Latency': 18.8}, {'Error': 9.8, 'Latency': 19.0}, {'Error': 8.3, 'Latency': 18.5}, {'Error': 10.5, 'Latency': 20.0}, {'Error': 13.5, 'Latency': 16.0}, {'Error': 13.0, 'Latency': 15.5}, {'Error': 12.0, 'Latency': 18.0}, {'Error': 12.5, 'Latency': 16.5}, {'Error': 14.0, 'Latency': 20.0}]","[0.01290376586382913, 0.0, 0.0, 0.0, 0.0, 0.0, 0.020198625898821376, 0.008254779650143096, 0.03248546766379401, 0.0, 0.0, 0.0, 0.006317050025121507, 0.0008360369996545103, 0.0]"
"[{'Error': 8.4, 'Latency': 19.0}, {'Error': 8.5, 'Latency': 19.5}, {'Error': 12.5, 'Latency': 25.0}, {'Error': 11.0, 'Latency': 20.0}, {'Error': 10.0, 'Latency': 22.0}, {'Error': 9.2, 'Latency': 20.5}, {'Error': 8.4, 'Latency': 18.8}, {'Error': 9.8, 'Latency': 19.0}, {'Error': 8.3, 'Latency': 18.5}, {'Error': 10.5, 'Latency': 20.0}, {'Error': 13.5, 'Latency': 16.0}, {'Error': 13.0, 'Latency': 15.5}, {'Error': 12.0, 'Latency': 18.0}, {'Error': 12.5, 'Latency': 16.5}, {'Error': 14.0, 'Latency': 20.0}]","[0.01290376586382913, 0.0, 0.0, 0.0, 0.0, 0.0, 0.020198625898821376, 0.008254779650143096, 0.03248546766379401, 0.0, 0.0, 0.0, 0.006317050025121507, 0.0008360369996545103, 0.0]"
"[{'Error': 8.4, 'Latency': 19.0}, {'Error': 8.5, 'Latency': 19.5}, {'Error': 12.5, 'Latency': 25.0}, {'Error': 11.0, 'Latency': 20.0}, {'Error': 10.0, 'Latency': 22.0}, {'Error': 9.2, 'Latency': 20.5}, {'Error': 8.4, 'Latency': 18.8}, {'Error': 9.8, 'Latency': 19.0}, {'Error': 8.3, 'Latency': 18.5}, {'Error': 10.5, 'Latency': 20.0}, {'Error': 13.5, 'Latency': 16.0}, {'Error': 13.0, 'Latency': 15.5}, {'Error': 12.0, 'Latency': 18.0}, {'Error': 12.5, 'Latency': 16.5}, {'Error': 14.0, 'Latency': 20.0}]","[0.01290376586382913, 0.0, 0.0, 0.0, 0.0, 0.0, 0.020198625898821376, 0.008254779650143096, 0.03248546766379401, 0.0, 0.0, 0.0, 0.006317050025121507, 0.0008360369996545103, 0.0]"
"[{'Error': 8.1, 'Latency': 14}, {'Error': 8.3, 'Latency': 18.5}, {'Error': 10.6, 'Latency': 21}, {'Error': 10.0, 'Latency': 22}, {'Error': 8.1, 'Latency': 18}, {'Error': 10.66, 'Latency': 22.0}, {'Error': 9.31, 'Latency': 18.39}, {'Error': 8.2, 'Latency': 20.0}, {'Error': 10.59, 'Latency': 21.28}, {'Error': 8.05, 'Latency': 17.06}, {'Error': 10.6, 'Latency': 21.2}, {'Error': 8.11, 'Latency': 18.29}, {'Error': 9.5, 'Latency': 16.0}, {'Error': 8.5, 'Latency': 18.0}, {'Error': 15.0, 'Latency': 14.0}, {'Error': 12.5, 'Latency': 15.0}, {'Error': 8.5, 'Latency': 17.5}, {'Error': 8.11, 'Latency': 15.06}, {'Error': 9.5, 'Latency': 18.0}, {'Error': 10.5, 'Latency': 17.0}]","[0.06610545790727618, 0.0, 0.0, 0.0, 2.9345128415902977e-05, 0.0, 0.0, 0.0, 0.0, 0.0006593921338868824, 0.0, 0.0, 0.0, 0.0, 0.010629044114790709, 1.738409386153883e-05, 0.0, 9.763469902668298e-05, 0.0, 0.0]"
"[{'Error': 8.1, 'Latency': 14}, {'Error': 8.3, 'Latency': 18.5}, {'Error': 10.6, 'Latency': 21}, {'Error': 10.0, 'Latency': 22}, {'Error': 8.1, 'Latency': 18}, {'Error': 10.66, 'Latency': 22.0}, {'Error': 9.31, 'Latency': 18.39}, {'Error': 8.2, 'Latency': 20.0}, {'Error': 10.59, 'Latency': 21.28}, {'Error': 8.05, 'Latency': 17.06}, {'Error': 10.6, 'Latency': 21.2}, {'Error': 8.11, 'Latency': 18.29}, {'Error': 9.5, 'Latency': 16.0}, {'Error': 8.5, 'Latency': 18.0}, {'Error': 15.0, 'Latency': 14.0}, {'Error': 12.5, 'Latency': 15.0}, {'Error': 8.5, 'Latency': 17.5}, {'Error': 8.11, 'Latency': 15.06}, {'Error': 9.5, 'Latency': 18.0}, {'Error': 10.5, 'Latency': 17.0}]","[0.06610545790727618, 0.0, 0.0, 0.0, 2.9345128415902977e-05, 0.0, 0.0, 0.0, 0.0, 0.0006593921338868824, 0.0, 0.0, 0.0, 0.0, 0.010629044114790709, 1.738409386153883e-05, 0.0, 9.763469902668298e-05, 0.0, 0.0]"
