surrogate_model_prediction,benchmark_evaluation
"{'Error': 9.8, 'Latency': 18.3}","{'error': 12.533333333333346, 'latency': 14.778585433959961}"
"{'Error': 9.8, 'Latency': 18.3}","{'error': 10.664999999999992, 'latency': 21.283555030822754}"
"{'Error': 9.8, 'Latency': 18.3}","{'error': 10.664999999999992, 'latency': 21.283555030822754}"
"{'Error': 9.8, 'Latency': 18.3}","{'error': 10.585000000000008, 'latency': 20.124282836914062}"
"{'Error': 8.3, 'Latency': 18.5}","{'error': 8.126666666666665, 'latency': 18.349809646606445}"
"{'Error': 8.3, 'Latency': 18.5}","{'error': 8.106666666666683, 'latency': 18.286032676696777}"
"{'Error': 8.3, 'Latency': 18.5}","{'error': 8.030000000000001, 'latency': 18.385777473449707}"
"{'Error': 8.3, 'Latency': 18.5}","{'error': 8.11, 'latency': 15.062651634216309}"
"{'Error': 8.1, 'Latency': 14}","{'error': 29.08, 'latency': 9.05116081237793}"
"{'Error': 8.1, 'Latency': 14}","{'error': 13.453333333333333, 'latency': 10.651569366455078}"
"{'Error': 8.1, 'Latency': 14}","{'error': 7.450000000000003, 'latency': 18.542017936706543}"
"{'Error': 8.1, 'Latency': 14}","{'error': 10.25333333333333, 'latency': 18.474559783935547}"
"{'Error': 10.25, 'Latency': 14.0}","{'error': 11.783333333333317, 'latency': 13.984127044677734}"
"{'Error': 10.25, 'Latency': 14.0}","{'error': 15.883333333333326, 'latency': 9.892287254333496}"
"{'Error': 10.25, 'Latency': 14.0}","{'error': 13.375, 'latency': 15.75223445892334}"
"{'Error': 10.25, 'Latency': 14.0}","{'error': 8.159999999999997, 'latency': 14.981913566589355}"
"{'Error': 8.2, 'Latency': 14.0}","{'error': 7.89500000000001, 'latency': 15.848603248596191}"
"{'Error': 8.2, 'Latency': 14.0}","{'error': 9.25, 'latency': 19.158525466918945}"
"{'Error': 8.2, 'Latency': 14.0}","{'error': 12.745000000000005, 'latency': 16.44132137298584}"
"{'Error': 8.2, 'Latency': 14.0}","{'error': 8.189999999999998, 'latency': 15.083951950073242}"
"{'Error': 8.3, 'Latency': 14.7}","{'error': 8.033333333333346, 'latency': 16.58912181854248}"
"{'Error': 8.3, 'Latency': 14.7}","{'error': 11.200000000000003, 'latency': 13.842005729675293}"
"{'Error': 8.3, 'Latency': 14.7}","{'error': 8.60666666666667, 'latency': 19.203810691833496}"
"{'Error': 8.3, 'Latency': 14.7}","{'error': 8.110000000000014, 'latency': 19.858016967773438}"
"{'Error': 12.7, 'Latency': 10.5}","{'error': 8.010000000000005, 'latency': 16.759033203125}"
"{'Error': 12.7, 'Latency': 10.5}","{'error': 15.929999999999993, 'latency': 9.824671745300293}"
"{'Error': 12.7, 'Latency': 10.5}","{'error': 22.956666666666663, 'latency': 11.480674743652344}"
"{'Error': 12.7, 'Latency': 10.5}","{'error': 13.459999999999994, 'latency': 11.464896202087402}"
