candidate_evaluations,hypervolume_contributions
"[{'F1': 9.0, 'Latency': 25.0}, {'F1': 10.0, 'Latency': 24.0}, {'F1': 8.5, 'Latency': 23.0}, {'F1': 11.0, 'Latency': 26.0}, {'F1': 9.5, 'Latency': 24.5}, {'F1': 9.23, 'Latency': 25.1}, {'F1': 8.97, 'Latency': 26.3}, {'F1': 9.65, 'Latency': 24.8}, {'F1': 8.79, 'Latency': 23.5}, {'F1': 9.41, 'Latency': 25.2}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 9.0, 'Latency': 25.0}, {'F1': 10.0, 'Latency': 24.0}, {'F1': 8.5, 'Latency': 23.0}, {'F1': 11.0, 'Latency': 26.0}, {'F1': 9.5, 'Latency': 24.5}, {'F1': 9.23, 'Latency': 25.1}, {'F1': 8.97, 'Latency': 26.3}, {'F1': 9.65, 'Latency': 24.8}, {'F1': 8.79, 'Latency': 23.5}, {'F1': 9.41, 'Latency': 25.2}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 9.0, 'Latency': 25.0}, {'F1': 10.0, 'Latency': 24.0}, {'F1': 8.5, 'Latency': 23.0}, {'F1': 11.0, 'Latency': 26.0}, {'F1': 9.5, 'Latency': 24.5}, {'F1': 9.23, 'Latency': 25.1}, {'F1': 8.97, 'Latency': 26.3}, {'F1': 9.65, 'Latency': 24.8}, {'F1': 8.79, 'Latency': 23.5}, {'F1': 9.41, 'Latency': 25.2}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 9.0, 'Latency': 25.0}, {'F1': 10.0, 'Latency': 24.0}, {'F1': 8.5, 'Latency': 23.0}, {'F1': 11.0, 'Latency': 26.0}, {'F1': 9.5, 'Latency': 24.5}, {'F1': 9.23, 'Latency': 25.1}, {'F1': 8.97, 'Latency': 26.3}, {'F1': 9.65, 'Latency': 24.8}, {'F1': 8.79, 'Latency': 23.5}, {'F1': 9.41, 'Latency': 25.2}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 8.0, 'Latency': 25.0}, {'F1': 8.5, 'Latency': 26.0}, {'F1': 9.0, 'Latency': 24.0}, {'F1': 7.5, 'Latency': 23.0}, {'F1': 9.5, 'Latency': 27.0}, {'F1': 7.25, 'Latency': 24.5}, {'F1': 12.75, 'Latency': 24.75}, {'F1': 8.25, 'Latency': 22.5}, {'F1': 9.5, 'Latency': 26.5}, {'F1': 8.5, 'Latency': 23.5}, {'F1': 7.54, 'Latency': 24.4}, {'F1': 7.07, 'Latency': 29.66}, {'F1': 7.55, 'Latency': 24.68}, {'F1': 9.47, 'Latency': 27.52}, {'F1': 7.94, 'Latency': 22.01}]","[0.0, 0.0, 0.0, 0.009976162199183403, 0.0, 0.01834526665612768, 0.0, 0.0, 0.0, 0.0, 2.911396251636944e-06, 2.2950750075967363e-06, 0.0, 0.0, 0.0]"
"[{'F1': 8.0, 'Latency': 25.0}, {'F1': 8.5, 'Latency': 26.0}, {'F1': 9.0, 'Latency': 24.0}, {'F1': 7.5, 'Latency': 23.0}, {'F1': 9.5, 'Latency': 27.0}, {'F1': 7.25, 'Latency': 24.5}, {'F1': 12.75, 'Latency': 24.75}, {'F1': 8.25, 'Latency': 22.5}, {'F1': 9.5, 'Latency': 26.5}, {'F1': 8.5, 'Latency': 23.5}, {'F1': 7.54, 'Latency': 24.4}, {'F1': 7.07, 'Latency': 29.66}, {'F1': 7.55, 'Latency': 24.68}, {'F1': 9.47, 'Latency': 27.52}, {'F1': 7.94, 'Latency': 22.01}]","[0.0, 0.0, 0.0, 0.009976162199183403, 0.0, 0.01834526665612768, 0.0, 0.0, 0.0, 0.0, 2.911396251636944e-06, 2.2950750075967363e-06, 0.0, 0.0, 0.0]"
"[{'F1': 8.0, 'Latency': 25.0}, {'F1': 8.5, 'Latency': 26.0}, {'F1': 9.0, 'Latency': 24.0}, {'F1': 7.5, 'Latency': 23.0}, {'F1': 9.5, 'Latency': 27.0}, {'F1': 7.25, 'Latency': 24.5}, {'F1': 12.75, 'Latency': 24.75}, {'F1': 8.25, 'Latency': 22.5}, {'F1': 9.5, 'Latency': 26.5}, {'F1': 8.5, 'Latency': 23.5}, {'F1': 7.54, 'Latency': 24.4}, {'F1': 7.07, 'Latency': 29.66}, {'F1': 7.55, 'Latency': 24.68}, {'F1': 9.47, 'Latency': 27.52}, {'F1': 7.94, 'Latency': 22.01}]","[0.0, 0.0, 0.0, 0.009976162199183403, 0.0, 0.01834526665612768, 0.0, 0.0, 0.0, 0.0, 2.911396251636944e-06, 2.2950750075967363e-06, 0.0, 0.0, 0.0]"
"[{'F1': 8.0, 'Latency': 25.0}, {'F1': 8.5, 'Latency': 26.0}, {'F1': 9.0, 'Latency': 24.0}, {'F1': 7.5, 'Latency': 23.0}, {'F1': 9.5, 'Latency': 27.0}, {'F1': 7.25, 'Latency': 24.5}, {'F1': 12.75, 'Latency': 24.75}, {'F1': 8.25, 'Latency': 22.5}, {'F1': 9.5, 'Latency': 26.5}, {'F1': 8.5, 'Latency': 23.5}, {'F1': 7.54, 'Latency': 24.4}, {'F1': 7.07, 'Latency': 29.66}, {'F1': 7.55, 'Latency': 24.68}, {'F1': 9.47, 'Latency': 27.52}, {'F1': 7.94, 'Latency': 22.01}]","[0.0, 0.0, 0.0, 0.009976162199183403, 0.0, 0.01834526665612768, 0.0, 0.0, 0.0, 0.0, 2.911396251636944e-06, 2.2950750075967363e-06, 0.0, 0.0, 0.0]"
"[{'F1': 7.8, 'Latency': 26.5}, {'F1': 8.2, 'Latency': 28.5}, {'F1': 8.0, 'Latency': 27.0}, {'F1': 8.1, 'Latency': 25.5}, {'F1': 8.4, 'Latency': 24.0}, {'F1': 8.0, 'Latency': 25.0}, {'F1': 8.5, 'Latency': 26.0}, {'F1': 9.0, 'Latency': 27.0}, {'F1': 7.5, 'Latency': 24.0}, {'F1': 9.5, 'Latency': 28.0}, {'F1': 8.2, 'Latency': 26.5}, {'F1': 9.1, 'Latency': 28.3}, {'F1': 7.7, 'Latency': 27.1}, {'F1': 7.4, 'Latency': 23.9}, {'F1': 10.5, 'Latency': 25.4}, {'F1': 9.0, 'Latency': 26.0}, {'F1': 11.0, 'Latency': 23.0}, {'F1': 7.7, 'Latency': 22.5}, {'F1': 12.0, 'Latency': 24.0}, {'F1': 13.0, 'Latency': 28.0}, {'F1': 7.55, 'Latency': 24.68}, {'F1': 8.7, 'Latency': 21.72}, {'F1': 11.61, 'Latency': 22.75}, {'F1': 7.07, 'Latency': 29.66}, {'F1': 8.85, 'Latency': 25.88}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0023187301460052545, 0.0, 0.0, 0.0, 0.0, 0.004000497676173165, 0.0, 0.0, 0.0, 0.005446881241557122, 0.0, 0.0, 0.0, 0.00025987544016148334, 0.0, 7.843738816237789e-07, 0.0]"
"[{'F1': 7.8, 'Latency': 26.5}, {'F1': 8.2, 'Latency': 28.5}, {'F1': 8.0, 'Latency': 27.0}, {'F1': 8.1, 'Latency': 25.5}, {'F1': 8.4, 'Latency': 24.0}, {'F1': 8.0, 'Latency': 25.0}, {'F1': 8.5, 'Latency': 26.0}, {'F1': 9.0, 'Latency': 27.0}, {'F1': 7.5, 'Latency': 24.0}, {'F1': 9.5, 'Latency': 28.0}, {'F1': 8.2, 'Latency': 26.5}, {'F1': 9.1, 'Latency': 28.3}, {'F1': 7.7, 'Latency': 27.1}, {'F1': 7.4, 'Latency': 23.9}, {'F1': 10.5, 'Latency': 25.4}, {'F1': 9.0, 'Latency': 26.0}, {'F1': 11.0, 'Latency': 23.0}, {'F1': 7.7, 'Latency': 22.5}, {'F1': 12.0, 'Latency': 24.0}, {'F1': 13.0, 'Latency': 28.0}, {'F1': 7.55, 'Latency': 24.68}, {'F1': 8.7, 'Latency': 21.72}, {'F1': 11.61, 'Latency': 22.75}, {'F1': 7.07, 'Latency': 29.66}, {'F1': 8.85, 'Latency': 25.88}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0023187301460052545, 0.0, 0.0, 0.0, 0.0, 0.004000497676173165, 0.0, 0.0, 0.0, 0.005446881241557122, 0.0, 0.0, 0.0, 0.00025987544016148334, 0.0, 7.843738816237789e-07, 0.0]"
