surrogate_model_prediction,benchmark_evaluation
"{'F1': 7.2, 'Latency': 25.0}","{'f1': 9.180000000000007, 'latency': 22.026000022888184}"
"{'F1': 7.2, 'Latency': 25.0}","{'f1': 7.189999999999998, 'latency': 26.58029556274414}"
"{'F1': 7.2, 'Latency': 25.0}","{'f1': 10.900000000000006, 'latency': 24.57249164581299}"
"{'F1': 7.2, 'Latency': 25.0}","{'f1': 7.974999999999994, 'latency': 25.493783950805664}"
"{'F1': 8.0, 'Latency': 24.0}","{'f1': 12.623333333333335, 'latency': 24.688196182250977}"
"{'F1': 8.0, 'Latency': 24.0}","{'f1': 7.450000000000003, 'latency': 24.564504623413086}"
"{'F1': 8.0, 'Latency': 24.0}","{'f1': 7.959999999999994, 'latency': 29.21308994293213}"
"{'F1': 8.0, 'Latency': 24.0}","{'f1': 7.219999999999999, 'latency': 25.426173210144043}"
"{'F1': 8.0, 'Latency': 24.0}","{'f1': 10.35499999999999, 'latency': 25.28757095336914}"
"{'F1': 8.0, 'Latency': 24.0}","{'f1': 12.450000000000003, 'latency': 27.23341941833496}"
"{'F1': 8.0, 'Latency': 24.0}","{'f1': 7.59666666666665, 'latency': 24.834485054016113}"
"{'F1': 8.0, 'Latency': 24.0}","{'f1': 9.840000000000003, 'latency': 27.51884937286377}"
"{'F1': 9.5, 'Latency': 25}","{'f1': 10.055000000000007, 'latency': 28.463611602783203}"
"{'F1': 9.5, 'Latency': 25}","{'f1': 7.814999999999998, 'latency': 27.03939914703369}"
"{'F1': 9.5, 'Latency': 25}","{'f1': 10.916666666666671, 'latency': 25.704774856567383}"
"{'F1': 9.5, 'Latency': 25}","{'f1': 5.914999999999992, 'latency': 29.671916961669922}"
"{'F1': 5.91, 'Latency': 29.67}","{'f1': 6.1766666666666765, 'latency': 30.124506950378418}"
"{'F1': 5.91, 'Latency': 29.67}","{'f1': 7.8799999999999955, 'latency': 29.548988342285156}"
"{'F1': 5.91, 'Latency': 29.67}","{'f1': 7.650000000000006, 'latency': 24.457364082336426}"
"{'F1': 5.91, 'Latency': 29.67}","{'f1': 7.776666666666685, 'latency': 26.229004859924316}"
"{'F1': 6.5, 'Latency': 28}","{'f1': 7.1966666666666725, 'latency': 29.87816333770752}"
"{'F1': 6.5, 'Latency': 28}","{'f1': 7.074999999999989, 'latency': 29.86060619354248}"
"{'F1': 6.5, 'Latency': 28}","{'f1': 8.36, 'latency': 27.66942024230957}"
"{'F1': 6.5, 'Latency': 28}","{'f1': 7.819999999999993, 'latency': 26.346054077148438}"
"{'F1': 5.91, 'Latency': 29.67}","{'f1': 8.223333333333343, 'latency': 29.932098388671875}"
"{'F1': 5.91, 'Latency': 29.67}","{'f1': 7.590000000000003, 'latency': 26.24675750732422}"
"{'F1': 5.91, 'Latency': 29.67}","{'f1': 6.789999999999992, 'latency': 26.53803825378418}"
"{'F1': 5.91, 'Latency': 29.67}","{'f1': 7.069999999999993, 'latency': 29.660396575927734}"
"{'F1': 5.91, 'Latency': 29.67}","{'f1': 7.240000000000009, 'latency': 33.8029146194458}"
"{'F1': 5.91, 'Latency': 29.67}","{'f1': 10.50333333333333, 'latency': 26.55958652496338}"
"{'F1': 5.91, 'Latency': 29.67}","{'f1': 10.283333333333346, 'latency': 28.6106538772583}"
"{'F1': 5.91, 'Latency': 29.67}","{'f1': 9.616666666666674, 'latency': 28.60227108001709}"
"{'F1': 7.59, 'Latency': 26.25}","{'f1': 7.85499999999999, 'latency': 27.61568546295166}"
"{'F1': 7.59, 'Latency': 26.25}","{'f1': 8.823333333333338, 'latency': 24.410653114318848}"
"{'F1': 7.59, 'Latency': 26.25}","{'f1': 12.74333333333334, 'latency': 25.27493953704834}"
"{'F1': 7.59, 'Latency': 26.25}","{'f1': 12.439999999999998, 'latency': 25.21101951599121}"
"{'F1': 5.91, 'Latency': 29.67}","{'f1': 7.266666666666666, 'latency': 29.846477508544922}"
"{'F1': 5.91, 'Latency': 29.67}","{'f1': 9.080000000000013, 'latency': 24.547042846679688}"
"{'F1': 5.91, 'Latency': 29.67}","{'f1': 9.574999999999989, 'latency': 26.11192226409912}"
"{'F1': 5.91, 'Latency': 29.67}","{'f1': 8.670000000000002, 'latency': 25.45229434967041}"
"{'F1': 7.45, 'Latency': 24.56}","{'f1': 10.980000000000004, 'latency': 24.418163299560547}"
"{'F1': 7.45, 'Latency': 24.56}","{'f1': 8.723333333333315, 'latency': 30.299406051635742}"
"{'F1': 7.45, 'Latency': 24.56}","{'f1': 7.280000000000015, 'latency': 24.587221145629883}"
"{'F1': 7.45, 'Latency': 24.56}","{'f1': 7.384999999999991, 'latency': 29.638800621032715}"
"{'F1': 7.45, 'Latency': 24.56}","{'f1': 7.939999999999998, 'latency': 24.95159149169922}"
"{'F1': 7.45, 'Latency': 24.56}","{'f1': 11.329999999999998, 'latency': 28.919739723205566}"
"{'F1': 7.45, 'Latency': 24.56}","{'f1': 12.540000000000006, 'latency': 25.32120704650879}"
"{'F1': 7.45, 'Latency': 24.56}","{'f1': 7.7933333333333366, 'latency': 27.135038375854492}"
"{'F1': 7.2, 'Latency': 25.5}","{'f1': 9.319999999999993, 'latency': 24.80177402496338}"
"{'F1': 7.2, 'Latency': 25.5}","{'f1': 9.980000000000004, 'latency': 24.386301040649414}"
