candidate_evaluations,hypervolume_contributions
"[{'Error': 10.25, 'Latency': 25.0}, {'Error': 12.5, 'Latency': 20.3}, {'Error': 11.75, 'Latency': 22.1}, {'Error': 8.5, 'Latency': 29.0}, {'Error': 12.0, 'Latency': 26.5}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 9.53, 'Latency': 32.35}, {'Error': 12.09, 'Latency': 28.64}, {'Error': 6.93, 'Latency': 27.05}, {'Error': 13.25, 'Latency': 29.57}]","[0.04730842335377461, 0.03739073756225941, 0.0168894505574001, 0.0, 7.183420880430003e-05, 0.0001269961725586244, 0.0, 0.0, 6.661338147750939e-16, 0.0]"
"[{'Error': 10.25, 'Latency': 25.0}, {'Error': 12.5, 'Latency': 20.3}, {'Error': 11.75, 'Latency': 22.1}, {'Error': 8.5, 'Latency': 29.0}, {'Error': 12.0, 'Latency': 26.5}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 9.53, 'Latency': 32.35}, {'Error': 12.09, 'Latency': 28.64}, {'Error': 6.93, 'Latency': 27.05}, {'Error': 13.25, 'Latency': 29.57}]","[0.04730842335377461, 0.03739073756225941, 0.0168894505574001, 0.0, 7.183420880430003e-05, 0.0001269961725586244, 0.0, 0.0, 6.661338147750939e-16, 0.0]"
"[{'Error': 10.25, 'Latency': 25.0}, {'Error': 12.5, 'Latency': 20.3}, {'Error': 11.75, 'Latency': 22.1}, {'Error': 8.5, 'Latency': 29.0}, {'Error': 12.0, 'Latency': 26.5}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 9.53, 'Latency': 32.35}, {'Error': 12.09, 'Latency': 28.64}, {'Error': 6.93, 'Latency': 27.05}, {'Error': 13.25, 'Latency': 29.57}]","[0.04730842335377461, 0.03739073756225941, 0.0168894505574001, 0.0, 7.183420880430003e-05, 0.0001269961725586244, 0.0, 0.0, 6.661338147750939e-16, 0.0]"
"[{'Error': 10.25, 'Latency': 25.0}, {'Error': 12.5, 'Latency': 20.3}, {'Error': 11.75, 'Latency': 22.1}, {'Error': 8.5, 'Latency': 29.0}, {'Error': 12.0, 'Latency': 26.5}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 9.53, 'Latency': 32.35}, {'Error': 12.09, 'Latency': 28.64}, {'Error': 6.93, 'Latency': 27.05}, {'Error': 13.25, 'Latency': 29.57}]","[0.04730842335377461, 0.03739073756225941, 0.0168894505574001, 0.0, 7.183420880430003e-05, 0.0001269961725586244, 0.0, 0.0, 6.661338147750939e-16, 0.0]"
"[{'Error': 19.91, 'Latency': 17.06}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 13.14, 'Latency': 21.2}, {'Error': 10.58, 'Latency': 16.56}, {'Error': 90.0, 'Latency': 19.77}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 10.58, 'Latency': 16.56}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 9.53, 'Latency': 32.35}, {'Error': 12.09, 'Latency': 28.64}]","[0.0, 0.0, 0.0, 0.00019351024930314153, 0.0, 0.0, 0.00019351024930314153, 0.0, 0.0, 0.0]"
"[{'Error': 19.91, 'Latency': 17.06}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 13.14, 'Latency': 21.2}, {'Error': 10.58, 'Latency': 16.56}, {'Error': 90.0, 'Latency': 19.77}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 10.58, 'Latency': 16.56}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 9.53, 'Latency': 32.35}, {'Error': 12.09, 'Latency': 28.64}]","[0.0, 0.0, 0.0, 0.00019351024930314153, 0.0, 0.0, 0.00019351024930314153, 0.0, 0.0, 0.0]"
"[{'Error': 19.91, 'Latency': 17.06}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 13.14, 'Latency': 21.2}, {'Error': 10.58, 'Latency': 16.56}, {'Error': 90.0, 'Latency': 19.77}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 10.58, 'Latency': 16.56}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 9.53, 'Latency': 32.35}, {'Error': 12.09, 'Latency': 28.64}]","[0.0, 0.0, 0.0, 0.00019351024930314153, 0.0, 0.0, 0.00019351024930314153, 0.0, 0.0, 0.0]"
"[{'Error': 19.91, 'Latency': 17.06}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 13.14, 'Latency': 21.2}, {'Error': 10.58, 'Latency': 16.56}, {'Error': 90.0, 'Latency': 19.77}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 10.58, 'Latency': 16.56}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 9.53, 'Latency': 32.35}, {'Error': 12.09, 'Latency': 28.64}]","[0.0, 0.0, 0.0, 0.00019351024930314153, 0.0, 0.0, 0.00019351024930314153, 0.0, 0.0, 0.0]"
"[{'Error': 19.91, 'Latency': 17.06}, {'Error': 10.58, 'Latency': 16.56}, {'Error': 12.09, 'Latency': 28.64}, {'Error': 13.14, 'Latency': 21.2}, {'Error': 6.93, 'Latency': 27.05}, {'Error': 12.65, 'Latency': 20.59}, {'Error': 10.58, 'Latency': 16.56}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 11.18, 'Latency': 19.72}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 12.09, 'Latency': 28.64}, {'Error': 10.48, 'Latency': 16.63}, {'Error': 90.0, 'Latency': 19.77}, {'Error': 13.14, 'Latency': 21.2}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 90.0, 'Latency': 19.77}, {'Error': 13.14, 'Latency': 21.2}, {'Error': 11.18, 'Latency': 19.72}, {'Error': 19.91, 'Latency': 17.06}]","[0.0, 3.525438856577523e-05, 0.0, 0.0, 0.0, 0.0, 3.525438856577523e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'Error': 19.91, 'Latency': 17.06}, {'Error': 10.58, 'Latency': 16.56}, {'Error': 12.09, 'Latency': 28.64}, {'Error': 13.14, 'Latency': 21.2}, {'Error': 6.93, 'Latency': 27.05}, {'Error': 12.65, 'Latency': 20.59}, {'Error': 10.58, 'Latency': 16.56}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 11.18, 'Latency': 19.72}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 12.09, 'Latency': 28.64}, {'Error': 10.48, 'Latency': 16.63}, {'Error': 90.0, 'Latency': 19.77}, {'Error': 13.14, 'Latency': 21.2}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 90.0, 'Latency': 19.77}, {'Error': 13.14, 'Latency': 21.2}, {'Error': 11.18, 'Latency': 19.72}, {'Error': 19.91, 'Latency': 17.06}]","[0.0, 3.525438856577523e-05, 0.0, 0.0, 0.0, 0.0, 3.525438856577523e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'Error': 19.91, 'Latency': 17.06}, {'Error': 10.58, 'Latency': 16.56}, {'Error': 12.09, 'Latency': 28.64}, {'Error': 13.14, 'Latency': 21.2}, {'Error': 6.93, 'Latency': 27.05}, {'Error': 12.65, 'Latency': 20.59}, {'Error': 10.58, 'Latency': 16.56}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 11.18, 'Latency': 19.72}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 12.09, 'Latency': 28.64}, {'Error': 10.48, 'Latency': 16.63}, {'Error': 90.0, 'Latency': 19.77}, {'Error': 13.14, 'Latency': 21.2}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 90.0, 'Latency': 19.77}, {'Error': 13.14, 'Latency': 21.2}, {'Error': 11.18, 'Latency': 19.72}, {'Error': 19.91, 'Latency': 17.06}]","[0.0, 3.525438856577523e-05, 0.0, 0.0, 0.0, 0.0, 3.525438856577523e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'Error': 19.91, 'Latency': 17.06}, {'Error': 10.58, 'Latency': 16.56}, {'Error': 12.09, 'Latency': 28.64}, {'Error': 13.14, 'Latency': 21.2}, {'Error': 6.93, 'Latency': 27.05}, {'Error': 12.65, 'Latency': 20.59}, {'Error': 10.58, 'Latency': 16.56}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 11.18, 'Latency': 19.72}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 12.09, 'Latency': 28.64}, {'Error': 10.48, 'Latency': 16.63}, {'Error': 90.0, 'Latency': 19.77}, {'Error': 13.14, 'Latency': 21.2}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 90.0, 'Latency': 19.77}, {'Error': 13.14, 'Latency': 21.2}, {'Error': 11.18, 'Latency': 19.72}, {'Error': 19.91, 'Latency': 17.06}]","[0.0, 3.525438856577523e-05, 0.0, 0.0, 0.0, 0.0, 3.525438856577523e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'Error': 19.58, 'Latency': 16.97}, {'Error': 24.52, 'Latency': 19.21}, {'Error': 46.42, 'Latency': 16.35}, {'Error': 90.0, 'Latency': 19.77}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 10.58, 'Latency': 16.56}, {'Error': 13.25, 'Latency': 29.57}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 24.52, 'Latency': 19.21}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 19.58, 'Latency': 16.97}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 12.65, 'Latency': 20.59}, {'Error': 90.0, 'Latency': 19.77}, {'Error': 19.58, 'Latency': 16.97}, {'Error': 10.48, 'Latency': 16.63}, {'Error': 90.0, 'Latency': 19.77}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 12.65, 'Latency': 20.59}]","[0.0, 0.0, 0.0, 0.0, 0.0, 8.97492710261183e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'Error': 19.58, 'Latency': 16.97}, {'Error': 24.52, 'Latency': 19.21}, {'Error': 46.42, 'Latency': 16.35}, {'Error': 90.0, 'Latency': 19.77}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 10.58, 'Latency': 16.56}, {'Error': 13.25, 'Latency': 29.57}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 24.52, 'Latency': 19.21}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 19.58, 'Latency': 16.97}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 12.65, 'Latency': 20.59}, {'Error': 90.0, 'Latency': 19.77}, {'Error': 19.58, 'Latency': 16.97}, {'Error': 10.48, 'Latency': 16.63}, {'Error': 90.0, 'Latency': 19.77}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 12.65, 'Latency': 20.59}]","[0.0, 0.0, 0.0, 0.0, 0.0, 8.97492710261183e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'Error': 19.58, 'Latency': 16.97}, {'Error': 24.52, 'Latency': 19.21}, {'Error': 46.42, 'Latency': 16.35}, {'Error': 90.0, 'Latency': 19.77}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 10.58, 'Latency': 16.56}, {'Error': 13.25, 'Latency': 29.57}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 24.52, 'Latency': 19.21}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 19.58, 'Latency': 16.97}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 12.65, 'Latency': 20.59}, {'Error': 90.0, 'Latency': 19.77}, {'Error': 19.58, 'Latency': 16.97}, {'Error': 10.48, 'Latency': 16.63}, {'Error': 90.0, 'Latency': 19.77}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 12.65, 'Latency': 20.59}]","[0.0, 0.0, 0.0, 0.0, 0.0, 8.97492710261183e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'Error': 19.58, 'Latency': 16.97}, {'Error': 24.52, 'Latency': 19.21}, {'Error': 46.42, 'Latency': 16.35}, {'Error': 90.0, 'Latency': 19.77}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 10.58, 'Latency': 16.56}, {'Error': 13.25, 'Latency': 29.57}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 24.52, 'Latency': 19.21}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 19.58, 'Latency': 16.97}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 12.65, 'Latency': 20.59}, {'Error': 90.0, 'Latency': 19.77}, {'Error': 19.58, 'Latency': 16.97}, {'Error': 10.48, 'Latency': 16.63}, {'Error': 90.0, 'Latency': 19.77}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 12.65, 'Latency': 20.59}]","[0.0, 0.0, 0.0, 0.0, 0.0, 8.97492710261183e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'Error': 24.52, 'Latency': 19.21}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 19.58, 'Latency': 16.97}, {'Error': 19.58, 'Latency': 16.97}, {'Error': 11.23, 'Latency': 17.22}, {'Error': 24.52, 'Latency': 19.21}, {'Error': 15.88, 'Latency': 9.89}, {'Error': 10.48, 'Latency': 16.63}, {'Error': 12.09, 'Latency': 28.64}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 19.58, 'Latency': 16.97}, {'Error': 46.42, 'Latency': 16.35}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 12.65, 'Latency': 20.59}, {'Error': 10.48, 'Latency': 16.63}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 90.0, 'Latency': 11.47}, {'Error': 15.97, 'Latency': 13.24}, {'Error': 12.65, 'Latency': 20.59}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001231569149748868, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'Error': 24.52, 'Latency': 19.21}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 19.58, 'Latency': 16.97}, {'Error': 19.58, 'Latency': 16.97}, {'Error': 11.23, 'Latency': 17.22}, {'Error': 24.52, 'Latency': 19.21}, {'Error': 15.88, 'Latency': 9.89}, {'Error': 10.48, 'Latency': 16.63}, {'Error': 12.09, 'Latency': 28.64}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 19.58, 'Latency': 16.97}, {'Error': 46.42, 'Latency': 16.35}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 12.65, 'Latency': 20.59}, {'Error': 10.48, 'Latency': 16.63}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 90.0, 'Latency': 11.47}, {'Error': 15.97, 'Latency': 13.24}, {'Error': 12.65, 'Latency': 20.59}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001231569149748868, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'Error': 24.52, 'Latency': 19.21}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 19.58, 'Latency': 16.97}, {'Error': 19.58, 'Latency': 16.97}, {'Error': 11.23, 'Latency': 17.22}, {'Error': 24.52, 'Latency': 19.21}, {'Error': 15.88, 'Latency': 9.89}, {'Error': 10.48, 'Latency': 16.63}, {'Error': 12.09, 'Latency': 28.64}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 19.58, 'Latency': 16.97}, {'Error': 46.42, 'Latency': 16.35}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 12.65, 'Latency': 20.59}, {'Error': 10.48, 'Latency': 16.63}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 90.0, 'Latency': 11.47}, {'Error': 15.97, 'Latency': 13.24}, {'Error': 12.65, 'Latency': 20.59}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001231569149748868, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'Error': 24.52, 'Latency': 19.21}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 19.58, 'Latency': 16.97}, {'Error': 19.58, 'Latency': 16.97}, {'Error': 11.23, 'Latency': 17.22}, {'Error': 24.52, 'Latency': 19.21}, {'Error': 15.88, 'Latency': 9.89}, {'Error': 10.48, 'Latency': 16.63}, {'Error': 12.09, 'Latency': 28.64}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 19.58, 'Latency': 16.97}, {'Error': 46.42, 'Latency': 16.35}, {'Error': 31.72, 'Latency': 13.27}, {'Error': 12.65, 'Latency': 20.59}, {'Error': 10.48, 'Latency': 16.63}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 90.0, 'Latency': 11.47}, {'Error': 15.97, 'Latency': 13.24}, {'Error': 12.65, 'Latency': 20.59}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001231569149748868, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'Error': 11.18, 'Latency': 19.72}, {'Error': 46.42, 'Latency': 16.35}, {'Error': 19.58, 'Latency': 16.97}, {'Error': 90.0, 'Latency': 11.47}, {'Error': 12.09, 'Latency': 28.64}, {'Error': 90.0, 'Latency': 11.47}, {'Error': 11.23, 'Latency': 17.22}, {'Error': 15.97, 'Latency': 13.24}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 24.52, 'Latency': 19.21}, {'Error': 15.97, 'Latency': 13.24}, {'Error': 12.09, 'Latency': 28.64}, {'Error': 10.84, 'Latency': 14.13}, {'Error': 12.65, 'Latency': 20.59}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 15.97, 'Latency': 13.24}, {'Error': 19.58, 'Latency': 16.97}, {'Error': 19.91, 'Latency': 17.06}, {'Error': 12.01, 'Latency': 21.71}, {'Error': 15.88, 'Latency': 9.89}, {'Error': 24.52, 'Latency': 19.21}, {'Error': 10.84, 'Latency': 14.13}, {'Error': 12.65, 'Latency': 20.59}, {'Error': 10.84, 'Latency': 14.13}, {'Error': 46.42, 'Latency': 16.35}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00011690650523421553, 0.0, 0.0, 0.0, 0.0, 0.0]"
