surrogate_model_prediction,benchmark_evaluation
"{'Error': 10.25, 'Latency': 25.0}","{'error': 10.579999999999998, 'latency': 16.56264305114746}"
"{'Error': 10.25, 'Latency': 25.0}","{'error': 90.0, 'latency': 19.76691246032715}"
"{'Error': 10.25, 'Latency': 25.0}","{'error': 13.139999999999986, 'latency': 21.20429039001465}"
"{'Error': 10.25, 'Latency': 25.0}","{'error': 19.914999999999992, 'latency': 17.063016891479492}"
"{'Error': 10.58, 'Latency': 16.56}","{'error': 31.723333333333343, 'latency': 13.266730308532715}"
"{'Error': 10.58, 'Latency': 16.56}","{'error': 11.179999999999993, 'latency': 19.71574306488037}"
"{'Error': 10.58, 'Latency': 16.56}","{'error': 12.64500000000001, 'latency': 20.591578483581543}"
"{'Error': 10.58, 'Latency': 16.56}","{'error': 10.476666666666674, 'latency': 16.627111434936523}"
"{'Error': 10.58, 'Latency': 16.56}","{'error': 19.576666666666654, 'latency': 16.966066360473633}"
"{'Error': 10.58, 'Latency': 16.56}","{'error': 46.425, 'latency': 16.346735954284668}"
"{'Error': 10.58, 'Latency': 16.56}","{'error': 15.969999999999999, 'latency': 13.240456581115723}"
"{'Error': 10.58, 'Latency': 16.56}","{'error': 24.516666666666666, 'latency': 19.213838577270508}"
"{'Error': 10.58, 'Latency': 16.56}","{'error': 33.254999999999995, 'latency': 17.235960960388184}"
"{'Error': 10.58, 'Latency': 16.56}","{'error': 15.883333333333326, 'latency': 9.892287254333496}"
"{'Error': 10.58, 'Latency': 16.56}","{'error': 90.0, 'latency': 11.465206146240234}"
"{'Error': 10.58, 'Latency': 16.56}","{'error': 11.226666666666674, 'latency': 17.2206974029541}"
"{'Error': 15.88, 'Latency': 9.89}","{'error': 10.835000000000008, 'latency': 14.129056930541992}"
"{'Error': 15.88, 'Latency': 9.89}","{'error': 13.296666666666667, 'latency': 13.06434154510498}"
"{'Error': 15.88, 'Latency': 9.89}","{'error': 90.0, 'latency': 14.879074096679688}"
"{'Error': 15.88, 'Latency': 9.89}","{'error': 33.89, 'latency': 17.196450233459473}"
"{'Error': 15.88, 'Latency': 9.89}","{'error': 90.0, 'latency': 11.464042663574219}"
"{'Error': 15.88, 'Latency': 9.89}","{'error': 42.833333333333336, 'latency': 16.568922996520996}"
"{'Error': 15.88, 'Latency': 9.89}","{'error': 9.85499999999999, 'latency': 19.306607246398926}"
"{'Error': 15.88, 'Latency': 9.89}","{'error': 36.58666666666667, 'latency': 12.441768646240234}"
"{'Error': 15.88, 'Latency': 9.89}","{'error': 19.97, 'latency': 18.000125885009766}"
"{'Error': 15.88, 'Latency': 9.89}","{'error': 8.219999999999999, 'latency': 19.29938316345215}"
"{'Error': 15.88, 'Latency': 9.89}","{'error': 11.146666666666661, 'latency': 20.52983283996582}"
"{'Error': 15.88, 'Latency': 9.89}","{'error': 29.10333333333334, 'latency': 8.994145393371582}"
"{'Error': 29.1, 'Latency': 8.99}","{'error': 13.58999999999999, 'latency': 11.495680809020996}"
