candidate_evaluations,hypervolume_contributions
"[{'F1': 9.5, 'Latency': 28.0}, {'F1': 8.5, 'Latency': 20.0}, {'F1': 9.9, 'Latency': 22.5}, {'F1': 10.0, 'Latency': 25.0}, {'F1': 8.0, 'Latency': 18.0}, {'F1': 6.5, 'Latency': 35.0}, {'F1': 9.0, 'Latency': 28.0}, {'F1': 8.0, 'Latency': 30.0}, {'F1': 10.0, 'Latency': 25.0}, {'F1': 7.5, 'Latency': 27.0}, {'F1': 10.0, 'Latency': 20.0}, {'F1': 9.5, 'Latency': 25.0}, {'F1': 9.0, 'Latency': 22.0}, {'F1': 9.25, 'Latency': 21.5}, {'F1': 10.5, 'Latency': 18.0}]","[0.0, 0.05144726050213255, 0.0, 0.0, 0.13702658547495083, 0.03292683629283777, 0.0, 0.0013530070365168623, 0.0, 0.025834331485848683, 0.02228949321502971, 0.0, 0.0, 0.007903088037420902, 0.02573782041998507]"
"[{'F1': 9.5, 'Latency': 28.0}, {'F1': 8.5, 'Latency': 20.0}, {'F1': 9.9, 'Latency': 22.5}, {'F1': 10.0, 'Latency': 25.0}, {'F1': 8.0, 'Latency': 18.0}, {'F1': 6.5, 'Latency': 35.0}, {'F1': 9.0, 'Latency': 28.0}, {'F1': 8.0, 'Latency': 30.0}, {'F1': 10.0, 'Latency': 25.0}, {'F1': 7.5, 'Latency': 27.0}, {'F1': 10.0, 'Latency': 20.0}, {'F1': 9.5, 'Latency': 25.0}, {'F1': 9.0, 'Latency': 22.0}, {'F1': 9.25, 'Latency': 21.5}, {'F1': 10.5, 'Latency': 18.0}]","[0.0, 0.05144726050213255, 0.0, 0.0, 0.13702658547495083, 0.03292683629283777, 0.0, 0.0013530070365168623, 0.0, 0.025834331485848683, 0.02228949321502971, 0.0, 0.0, 0.007903088037420902, 0.02573782041998507]"
"[{'F1': 9.5, 'Latency': 28.0}, {'F1': 8.5, 'Latency': 20.0}, {'F1': 9.9, 'Latency': 22.5}, {'F1': 10.0, 'Latency': 25.0}, {'F1': 8.0, 'Latency': 18.0}, {'F1': 6.5, 'Latency': 35.0}, {'F1': 9.0, 'Latency': 28.0}, {'F1': 8.0, 'Latency': 30.0}, {'F1': 10.0, 'Latency': 25.0}, {'F1': 7.5, 'Latency': 27.0}, {'F1': 10.0, 'Latency': 20.0}, {'F1': 9.5, 'Latency': 25.0}, {'F1': 9.0, 'Latency': 22.0}, {'F1': 9.25, 'Latency': 21.5}, {'F1': 10.5, 'Latency': 18.0}]","[0.0, 0.05144726050213255, 0.0, 0.0, 0.13702658547495083, 0.03292683629283777, 0.0, 0.0013530070365168623, 0.0, 0.025834331485848683, 0.02228949321502971, 0.0, 0.0, 0.007903088037420902, 0.02573782041998507]"
"[{'F1': 9.5, 'Latency': 28.0}, {'F1': 8.5, 'Latency': 20.0}, {'F1': 9.9, 'Latency': 22.5}, {'F1': 10.0, 'Latency': 25.0}, {'F1': 8.0, 'Latency': 18.0}, {'F1': 6.5, 'Latency': 35.0}, {'F1': 9.0, 'Latency': 28.0}, {'F1': 8.0, 'Latency': 30.0}, {'F1': 10.0, 'Latency': 25.0}, {'F1': 7.5, 'Latency': 27.0}, {'F1': 10.0, 'Latency': 20.0}, {'F1': 9.5, 'Latency': 25.0}, {'F1': 9.0, 'Latency': 22.0}, {'F1': 9.25, 'Latency': 21.5}, {'F1': 10.5, 'Latency': 18.0}]","[0.0, 0.05144726050213255, 0.0, 0.0, 0.13702658547495083, 0.03292683629283777, 0.0, 0.0013530070365168623, 0.0, 0.025834331485848683, 0.02228949321502971, 0.0, 0.0, 0.007903088037420902, 0.02573782041998507]"
"[{'F1': 9.12, 'Latency': 23.45}, {'F1': 8.67, 'Latency': 25.6}, {'F1': 10.5, 'Latency': 24.75}, {'F1': 6.95, 'Latency': 30.25}, {'F1': 9.75, 'Latency': 22.1}, {'F1': 10.25, 'Latency': 25.0}, {'F1': 9.5, 'Latency': 23.0}, {'F1': 10.8, 'Latency': 26.5}, {'F1': 8.9, 'Latency': 24.0}, {'F1': 11.0, 'Latency': 22.0}, {'F1': 9.5, 'Latency': 23.0}, {'F1': 12.0, 'Latency': 25.0}, {'F1': 10.0, 'Latency': 19.0}, {'F1': 10.5, 'Latency': 20.0}, {'F1': 8.5, 'Latency': 22.0}, {'F1': 9.5, 'Latency': 25.0}, {'F1': 10.3, 'Latency': 21.5}, {'F1': 11.0, 'Latency': 20.0}, {'F1': 9.8, 'Latency': 24.0}, {'F1': 10.5, 'Latency': 22.0}]","[0.0, 0.0, 0.0, 0.005573747645173599, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02092378098633807, 0.006187890442184818, 0.0, 0.0, 0.0, 0.0014034390693615784, 0.0, 0.0]"
"[{'F1': 9.12, 'Latency': 23.45}, {'F1': 8.67, 'Latency': 25.6}, {'F1': 10.5, 'Latency': 24.75}, {'F1': 6.95, 'Latency': 30.25}, {'F1': 9.75, 'Latency': 22.1}, {'F1': 10.25, 'Latency': 25.0}, {'F1': 9.5, 'Latency': 23.0}, {'F1': 10.8, 'Latency': 26.5}, {'F1': 8.9, 'Latency': 24.0}, {'F1': 11.0, 'Latency': 22.0}, {'F1': 9.5, 'Latency': 23.0}, {'F1': 12.0, 'Latency': 25.0}, {'F1': 10.0, 'Latency': 19.0}, {'F1': 10.5, 'Latency': 20.0}, {'F1': 8.5, 'Latency': 22.0}, {'F1': 9.5, 'Latency': 25.0}, {'F1': 10.3, 'Latency': 21.5}, {'F1': 11.0, 'Latency': 20.0}, {'F1': 9.8, 'Latency': 24.0}, {'F1': 10.5, 'Latency': 22.0}]","[0.0, 0.0, 0.0, 0.005573747645173599, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02092378098633807, 0.006187890442184818, 0.0, 0.0, 0.0, 0.0014034390693615784, 0.0, 0.0]"
"[{'F1': 9.12, 'Latency': 23.45}, {'F1': 8.67, 'Latency': 25.6}, {'F1': 10.5, 'Latency': 24.75}, {'F1': 6.95, 'Latency': 30.25}, {'F1': 9.75, 'Latency': 22.1}, {'F1': 10.25, 'Latency': 25.0}, {'F1': 9.5, 'Latency': 23.0}, {'F1': 10.8, 'Latency': 26.5}, {'F1': 8.9, 'Latency': 24.0}, {'F1': 11.0, 'Latency': 22.0}, {'F1': 9.5, 'Latency': 23.0}, {'F1': 12.0, 'Latency': 25.0}, {'F1': 10.0, 'Latency': 19.0}, {'F1': 10.5, 'Latency': 20.0}, {'F1': 8.5, 'Latency': 22.0}, {'F1': 9.5, 'Latency': 25.0}, {'F1': 10.3, 'Latency': 21.5}, {'F1': 11.0, 'Latency': 20.0}, {'F1': 9.8, 'Latency': 24.0}, {'F1': 10.5, 'Latency': 22.0}]","[0.0, 0.0, 0.0, 0.005573747645173599, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02092378098633807, 0.006187890442184818, 0.0, 0.0, 0.0, 0.0014034390693615784, 0.0, 0.0]"
"[{'F1': 9.12, 'Latency': 23.45}, {'F1': 8.67, 'Latency': 25.6}, {'F1': 10.5, 'Latency': 24.75}, {'F1': 6.95, 'Latency': 30.25}, {'F1': 9.75, 'Latency': 22.1}, {'F1': 10.25, 'Latency': 25.0}, {'F1': 9.5, 'Latency': 23.0}, {'F1': 10.8, 'Latency': 26.5}, {'F1': 8.9, 'Latency': 24.0}, {'F1': 11.0, 'Latency': 22.0}, {'F1': 9.5, 'Latency': 23.0}, {'F1': 12.0, 'Latency': 25.0}, {'F1': 10.0, 'Latency': 19.0}, {'F1': 10.5, 'Latency': 20.0}, {'F1': 8.5, 'Latency': 22.0}, {'F1': 9.5, 'Latency': 25.0}, {'F1': 10.3, 'Latency': 21.5}, {'F1': 11.0, 'Latency': 20.0}, {'F1': 9.8, 'Latency': 24.0}, {'F1': 10.5, 'Latency': 22.0}]","[0.0, 0.0, 0.0, 0.005573747645173599, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02092378098633807, 0.006187890442184818, 0.0, 0.0, 0.0, 0.0014034390693615784, 0.0, 0.0]"
"[{'F1': 10.15, 'Latency': 22.11}, {'F1': 12.88, 'Latency': 20.34}, {'F1': 13.77, 'Latency': 22.4}, {'F1': 9.23, 'Latency': 25.89}, {'F1': 10.05, 'Latency': 21.5}, {'F1': 10.42, 'Latency': 22.15}, {'F1': 12.55, 'Latency': 20.59}, {'F1': 8.67, 'Latency': 21.75}, {'F1': 10.99, 'Latency': 23.45}, {'F1': 11.73, 'Latency': 20.25}, {'F1': 11.0, 'Latency': 20.0}, {'F1': 13.5, 'Latency': 19.0}, {'F1': 9.5, 'Latency': 25.0}, {'F1': 8.0, 'Latency': 22.0}, {'F1': 12.0, 'Latency': 18.0}, {'F1': 10.12, 'Latency': 22.34}, {'F1': 11.56, 'Latency': 21.12}, {'F1': 7.88, 'Latency': 28.67}, {'F1': 12.34, 'Latency': 20.01}, {'F1': 8.92, 'Latency': 23.45}]","[0.0, 0.0, 0.0, 0.0, 0.00016129743844772726, 0.0, 0.0, 0.0007124393157349473, 0.0, 0.0, 0.0005304053668071518, 0.0, 0.0, 0.0019705658566651074, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 10.15, 'Latency': 22.11}, {'F1': 12.88, 'Latency': 20.34}, {'F1': 13.77, 'Latency': 22.4}, {'F1': 9.23, 'Latency': 25.89}, {'F1': 10.05, 'Latency': 21.5}, {'F1': 10.42, 'Latency': 22.15}, {'F1': 12.55, 'Latency': 20.59}, {'F1': 8.67, 'Latency': 21.75}, {'F1': 10.99, 'Latency': 23.45}, {'F1': 11.73, 'Latency': 20.25}, {'F1': 11.0, 'Latency': 20.0}, {'F1': 13.5, 'Latency': 19.0}, {'F1': 9.5, 'Latency': 25.0}, {'F1': 8.0, 'Latency': 22.0}, {'F1': 12.0, 'Latency': 18.0}, {'F1': 10.12, 'Latency': 22.34}, {'F1': 11.56, 'Latency': 21.12}, {'F1': 7.88, 'Latency': 28.67}, {'F1': 12.34, 'Latency': 20.01}, {'F1': 8.92, 'Latency': 23.45}]","[0.0, 0.0, 0.0, 0.0, 0.00016129743844772726, 0.0, 0.0, 0.0007124393157349473, 0.0, 0.0, 0.0005304053668071518, 0.0, 0.0, 0.0019705658566651074, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
