surrogate_model_prediction,benchmark_evaluation
"{'F1': 5.0, 'Latency': 10.0}","{'f1': 90.0, 'latency': 13.159713745117188}"
"{'F1': 5.0, 'Latency': 10.0}","{'f1': 24.423333333333332, 'latency': 19.878597259521484}"
"{'F1': 5.0, 'Latency': 10.0}","{'f1': 20.25999999999999, 'latency': 16.630167961120605}"
"{'F1': 5.0, 'Latency': 10.0}","{'f1': 8.954999999999998, 'latency': 20.34893035888672}"
"{'F1': 9.0, 'Latency': 21.0}","{'f1': 10.766666666666666, 'latency': 25.903091430664062}"
"{'F1': 9.0, 'Latency': 21.0}","{'f1': 12.930000000000007, 'latency': 16.413540840148926}"
"{'F1': 9.0, 'Latency': 21.0}","{'f1': 10.563333333333333, 'latency': 16.526589393615723}"
"{'F1': 9.0, 'Latency': 21.0}","{'f1': 11.116666666666674, 'latency': 20.52478790283203}"
"{'F1': 9.5, 'Latency': 15.0}","{'f1': 14.0, 'latency': 18.94566535949707}"
"{'F1': 9.5, 'Latency': 15.0}","{'f1': 11.146666666666661, 'latency': 16.59600257873535}"
"{'F1': 9.5, 'Latency': 15.0}","{'f1': 19.86, 'latency': 17.27565288543701}"
"{'F1': 9.5, 'Latency': 15.0}","{'f1': 14.170000000000002, 'latency': 16.39850616455078}"
"{'F1': 11.56, 'Latency': 16.75}","{'f1': 20.516666666666666, 'latency': 18.052668571472168}"
"{'F1': 11.56, 'Latency': 16.75}","{'f1': 13.24333333333334, 'latency': 13.914785385131836}"
"{'F1': 11.56, 'Latency': 16.75}","{'f1': 20.450000000000003, 'latency': 18.07939052581787}"
"{'F1': 11.56, 'Latency': 16.75}","{'f1': 26.53, 'latency': 18.219103813171387}"
"{'F1': 8.0, 'Latency': 14.0}","{'f1': 90.0, 'latency': 18.112053871154785}"
"{'F1': 8.0, 'Latency': 14.0}","{'f1': 11.216666666666654, 'latency': 17.34729766845703}"
"{'F1': 8.0, 'Latency': 14.0}","{'f1': 20.78, 'latency': 24.404397010803223}"
"{'F1': 8.0, 'Latency': 14.0}","{'f1': 24.60333333333334, 'latency': 17.982006072998047}"
"{'F1': 10.0, 'Latency': 14.5}","{'f1': 90.0, 'latency': 11.526975631713867}"
"{'F1': 10.0, 'Latency': 14.5}","{'f1': 15.623333333333335, 'latency': 10.68089485168457}"
"{'F1': 10.0, 'Latency': 14.5}","{'f1': 13.626666666666665, 'latency': 11.509718894958496}"
"{'F1': 10.0, 'Latency': 14.5}","{'f1': 11.39, 'latency': 22.236785888671875}"
"{'F1': 13.24, 'Latency': 13.91}","{'f1': 13.686666666666667, 'latency': 9.83133316040039}"
"{'F1': 13.24, 'Latency': 13.91}","{'f1': 90.0, 'latency': 14.820308685302734}"
"{'F1': 13.24, 'Latency': 13.91}","{'f1': 10.513333333333335, 'latency': 12.991013526916504}"
"{'F1': 13.24, 'Latency': 13.91}","{'f1': 10.379999999999995, 'latency': 21.45864963531494}"
"{'F1': 13.69, 'Latency': 9.83}","{'f1': 20.284999999999997, 'latency': 16.248412132263184}"
"{'F1': 13.69, 'Latency': 9.83}","{'f1': 19.870000000000005, 'latency': 17.407755851745605}"
"{'F1': 13.69, 'Latency': 9.83}","{'f1': 90.0, 'latency': 18.10192108154297}"
"{'F1': 13.69, 'Latency': 9.83}","{'f1': 31.61999999999999, 'latency': 24.505929946899414}"
"{'F1': 7.63, 'Latency': 26.63}","{'f1': 12.61, 'latency': 20.854263305664062}"
"{'F1': 7.63, 'Latency': 26.63}","{'f1': 20.35333333333334, 'latency': 13.12258243560791}"
"{'F1': 7.63, 'Latency': 26.63}","{'f1': 13.386666666666656, 'latency': 14.014787673950195}"
"{'F1': 7.63, 'Latency': 26.63}","{'f1': 30.74666666666667, 'latency': 13.1290864944458}"
"{'F1': 13.69, 'Latency': 9.83}","{'f1': 29.39666666666666, 'latency': 8.985953330993652}"
"{'F1': 13.69, 'Latency': 9.83}","{'f1': 13.719999999999999, 'latency': 19.676871299743652}"
