prompt_tokens,completion_tokens,total_tokens
966,342,1308
1283,97,1380
966,342,1308
1283,97,1380
966,342,1308
1283,97,1380
966,342,1308
1283,97,1380
966,342,1308
966,342,1308
1283,97,1380
1283,97,1380
1310,342,1652
1627,97,1724
1310,342,1652
1627,97,1724
1310,342,1652
1627,97,1724
1310,342,1652
1627,97,1724
1310,342,1652
1310,342,1652
1310,342,1652
1627,97,1724
1627,97,1724
1310,342,1652
1627,97,1724
1627,97,1724
1654,342,1996
1971,97,2068
1654,342,1996
1971,97,2068
1654,342,1996
1971,97,2068
1654,342,1996
1971,97,2068
1654,342,1996
1971,97,2068
1654,342,1996
1654,342,1996
1971,97,2068
1654,342,1996
1971,97,2068
1971,97,2068
1998,342,2340
2315,97,2412
1998,342,2340
2315,97,2412
1998,342,2340
2315,97,2412
1998,342,2340
2315,97,2412
1998,342,2340
2315,97,2412
1998,342,2340
1998,342,2340
1998,342,2340
1998,342,2340
2315,97,2412
1998,342,2340
2315,97,2412
2315,97,2412
2315,97,2412
2315,97,2412
2342,342,2684
2659,97,2756
2342,342,2684
2659,97,2756
2342,342,2684
2659,97,2756
2342,342,2684
2659,97,2756
2342,342,2684
2659,97,2756
2342,342,2684
2342,342,2684
2342,342,2684
2342,342,2684
2659,97,2756
2659,97,2756
2659,97,2756
2342,342,2684
2659,97,2756
2659,97,2756
2686,342,3028
3003,97,3100
2686,342,3028
3003,97,3100
2686,342,3028
3003,97,3100
2686,342,3028
3003,97,3100
2686,342,3028
3003,97,3100
2686,342,3028
2686,342,3028
3003,97,3100
3003,97,3100
2686,342,3028
2686,342,3028
3003,97,3100
2686,342,3028
3003,97,3100
3003,97,3100
3030,342,3372
3347,97,3444
3030,342,3372
3347,97,3444
3030,342,3372
3347,97,3444
3030,342,3372
3347,97,3444
3030,342,3372
3347,97,3444
3030,342,3372
3030,342,3372
3030,342,3372
3347,97,3444
3347,97,3444
3030,342,3372
3347,97,3444
3030,342,3372
3347,97,3444
3347,97,3444
3374,342,3716
3691,97,3788
3374,342,3716
3691,97,3788
3374,342,3716
3691,97,3788
3374,342,3716
3691,97,3788
3374,342,3716
3691,97,3788
3374,342,3716
3374,342,3716
3374,342,3716
3691,97,3788
3374,342,3716
3691,97,3788
3691,97,3788
3374,342,3716
3691,97,3788
3691,97,3788
3718,342,4060
4035,97,4132
3718,342,4060
4035,97,4132
3718,342,4060
4035,97,4132
3718,342,4060
4035,97,4132
3718,342,4060
4035,97,4132
3718,342,4060
3718,342,4060
3718,342,4060
4035,97,4132
4035,97,4132
4035,97,4132
3718,342,4060
3718,342,4060
4035,97,4132
4035,97,4132
4062,342,4404
4379,97,4476
4062,342,4404
4379,97,4476
4062,342,4404
4379,97,4476
4062,342,4404
4379,97,4476
4062,342,4404
4379,97,4476
4062,342,4404
4062,342,4404
4062,342,4404
4379,97,4476
4062,342,4404
4062,342,4404
4379,97,4476
4379,97,4476
4379,97,4476
4379,97,4476
4406,342,4748
4723,97,4820
4406,342,4748
4723,97,4820
4406,342,4748
4723,97,4820
4406,342,4748
4723,97,4820
4406,342,4748
4723,97,4820
4406,342,4748
4406,342,4748
4406,342,4748
4723,97,4820
4723,97,4820
4406,342,4748
4723,97,4820
4723,97,4820
4406,342,4748
4723,97,4820
4750,342,5092
5067,97,5164
4750,342,5092
5067,97,5164
4750,342,5092
5067,97,5164
4750,342,5092
5067,97,5164
4750,342,5092
5067,97,5164
4750,342,5092
4750,342,5092
4750,342,5092
4750,342,5092
4750,342,5092
5067,97,5164
5067,97,5164
5067,97,5164
5067,97,5164
5067,97,5164
5094,342,5436
5411,97,5508
5094,342,5436
5411,97,5508
5094,342,5436
5411,97,5508
5094,342,5436
5411,97,5508
5094,342,5436
5411,97,5508
5094,342,5436
5094,342,5436
5094,342,5436
5411,97,5508
5411,97,5508
5411,97,5508
5094,342,5436
5411,97,5508
5094,342,5436
5411,97,5508
5438,342,5780
5755,97,5852
5438,342,5780
5755,97,5852
5438,342,5780
5755,97,5852
5438,342,5780
5755,97,5852
5438,342,5780
5755,97,5852
5438,342,5780
5438,342,5780
5438,342,5780
5438,342,5780
5755,97,5852
5755,97,5852
5755,97,5852
5755,97,5852
5438,342,5780
5755,97,5852
5782,342,6124
6099,97,6196
5782,342,6124
6099,97,6196
5782,342,6124
6099,97,6196
5782,342,6124
6099,97,6196
5782,342,6124
6099,97,6196
5782,342,6124
5782,342,6124
5782,342,6124
6099,97,6196
6099,97,6196
5782,342,6124
6099,97,6196
6099,97,6196
5782,342,6124
5782,72,5854
6099,97,6196
6126,342,6468
6443,97,6540
6126,342,6468
6443,97,6540
6126,342,6468
6443,97,6540
6126,342,6468
6443,97,6540
6126,342,6468
6443,97,6540
6126,342,6468
6126,342,6468
6126,342,6468
6126,342,6468
6443,97,6540
6126,72,6198
6126,342,6468
6443,97,6540
6443,97,6540
6443,97,6540
6443,97,6540
6470,342,6812
6787,97,6884
6470,342,6812
6787,97,6884
6470,342,6812
6787,97,6884
6470,342,6812
6787,97,6884
6470,342,6812
6787,97,6884
6470,342,6812
6470,342,6812
6470,342,6812
6470,342,6812
6787,97,6884
6787,97,6884
6787,97,6884
6470,342,6812
6787,97,6884
6787,97,6884
6814,342,7156
6814,72,6886
7131,97,7228
6814,342,7156
7131,97,7228
6814,342,7156
7131,97,7228
6814,342,7156
7131,97,7228
6814,342,7156
7131,97,7228
6814,342,7156
6814,342,7156
6814,342,7156
6814,342,7156
7131,97,7228
7131,97,7228
7131,97,7228
6814,342,7156
7131,97,7228
7131,97,7228
7158,342,7500
7475,97,7572
7158,342,7500
7475,97,7572
7158,342,7500
7475,97,7572
7158,342,7500
7475,97,7572
7158,342,7500
7475,97,7572
7158,342,7500
7158,342,7500
7158,342,7500
7158,342,7500
7158,342,7500
7158,72,7230
7475,97,7572
7475,97,7572
7475,97,7572
7158,72,7230
7475,97,7572
7475,97,7572
7502,342,7844
7819,97,7916
7502,342,7844
7819,97,7916
7502,342,7844
7819,97,7916
7502,342,7844
7819,97,7916
7502,342,7844
7819,97,7916
7502,342,7844
7502,342,7844
7502,342,7844
7502,342,7844
7819,97,7916
7819,97,7916
7502,342,7844
7819,97,7916
7502,141,7643
7819,97,7916
7819,97,7916
