candidate_evaluations,hypervolume_contributions
"[{'F1': 8.0, 'Latency': 30.0}, {'F1': 7.0, 'Latency': 33.0}, {'F1': 9.5, 'Latency': 29.0}, {'F1': 9.0, 'Latency': 31.0}, {'F1': 7.5, 'Latency': 30.5}, {'F1': 7.5, 'Latency': 34.0}, {'F1': 7.0, 'Latency': 33.5}, {'F1': 7.2, 'Latency': 34.5}, {'F1': 6.5, 'Latency': 32.0}, {'F1': 7.8, 'Latency': 34.8}, {'F1': 7.0, 'Latency': 30.0}, {'F1': 8.0, 'Latency': 31.0}, {'F1': 7.5, 'Latency': 34.0}, {'F1': 6.5, 'Latency': 32.0}, {'F1': 7.2, 'Latency': 33.0}, {'F1': 7.25, 'Latency': 34.5}, {'F1': 9.0, 'Latency': 31.5}, {'F1': 7.5, 'Latency': 29.5}, {'F1': 6.5, 'Latency': 35.0}, {'F1': 8.0, 'Latency': 30.0}]","[0.007736519733447689, 0.007404188079484508, 0.0, 0.0, 0.011539685771750574, 0.003057741530090863, 0.0059544052298879935, 0.002662354794417232, 0.014051598884356697, 0.001062073124952212, 0.01808098558595095, 0.005929723976562995, 0.003057741530090863, 0.014051598884356697, 0.006452900531799144, 0.0025642336103478547, 0.0, 0.014277819547648063, 0.002120599512286492, 0.007736519733447689]"
"[{'F1': 8.0, 'Latency': 30.0}, {'F1': 7.0, 'Latency': 33.0}, {'F1': 9.5, 'Latency': 29.0}, {'F1': 9.0, 'Latency': 31.0}, {'F1': 7.5, 'Latency': 30.5}, {'F1': 7.5, 'Latency': 34.0}, {'F1': 7.0, 'Latency': 33.5}, {'F1': 7.2, 'Latency': 34.5}, {'F1': 6.5, 'Latency': 32.0}, {'F1': 7.8, 'Latency': 34.8}, {'F1': 7.0, 'Latency': 30.0}, {'F1': 8.0, 'Latency': 31.0}, {'F1': 7.5, 'Latency': 34.0}, {'F1': 6.5, 'Latency': 32.0}, {'F1': 7.2, 'Latency': 33.0}, {'F1': 7.25, 'Latency': 34.5}, {'F1': 9.0, 'Latency': 31.5}, {'F1': 7.5, 'Latency': 29.5}, {'F1': 6.5, 'Latency': 35.0}, {'F1': 8.0, 'Latency': 30.0}]","[0.007736519733447689, 0.007404188079484508, 0.0, 0.0, 0.011539685771750574, 0.003057741530090863, 0.0059544052298879935, 0.002662354794417232, 0.014051598884356697, 0.001062073124952212, 0.01808098558595095, 0.005929723976562995, 0.003057741530090863, 0.014051598884356697, 0.006452900531799144, 0.0025642336103478547, 0.0, 0.014277819547648063, 0.002120599512286492, 0.007736519733447689]"
"[{'F1': 8.0, 'Latency': 30.0}, {'F1': 7.0, 'Latency': 33.0}, {'F1': 9.5, 'Latency': 29.0}, {'F1': 9.0, 'Latency': 31.0}, {'F1': 7.5, 'Latency': 30.5}, {'F1': 7.5, 'Latency': 34.0}, {'F1': 7.0, 'Latency': 33.5}, {'F1': 7.2, 'Latency': 34.5}, {'F1': 6.5, 'Latency': 32.0}, {'F1': 7.8, 'Latency': 34.8}, {'F1': 7.0, 'Latency': 30.0}, {'F1': 8.0, 'Latency': 31.0}, {'F1': 7.5, 'Latency': 34.0}, {'F1': 6.5, 'Latency': 32.0}, {'F1': 7.2, 'Latency': 33.0}, {'F1': 7.25, 'Latency': 34.5}, {'F1': 9.0, 'Latency': 31.5}, {'F1': 7.5, 'Latency': 29.5}, {'F1': 6.5, 'Latency': 35.0}, {'F1': 8.0, 'Latency': 30.0}]","[0.007736519733447689, 0.007404188079484508, 0.0, 0.0, 0.011539685771750574, 0.003057741530090863, 0.0059544052298879935, 0.002662354794417232, 0.014051598884356697, 0.001062073124952212, 0.01808098558595095, 0.005929723976562995, 0.003057741530090863, 0.014051598884356697, 0.006452900531799144, 0.0025642336103478547, 0.0, 0.014277819547648063, 0.002120599512286492, 0.007736519733447689]"
"[{'F1': 8.0, 'Latency': 30.0}, {'F1': 7.0, 'Latency': 33.0}, {'F1': 9.5, 'Latency': 29.0}, {'F1': 9.0, 'Latency': 31.0}, {'F1': 7.5, 'Latency': 30.5}, {'F1': 7.5, 'Latency': 34.0}, {'F1': 7.0, 'Latency': 33.5}, {'F1': 7.2, 'Latency': 34.5}, {'F1': 6.5, 'Latency': 32.0}, {'F1': 7.8, 'Latency': 34.8}, {'F1': 7.0, 'Latency': 30.0}, {'F1': 8.0, 'Latency': 31.0}, {'F1': 7.5, 'Latency': 34.0}, {'F1': 6.5, 'Latency': 32.0}, {'F1': 7.2, 'Latency': 33.0}, {'F1': 7.25, 'Latency': 34.5}, {'F1': 9.0, 'Latency': 31.5}, {'F1': 7.5, 'Latency': 29.5}, {'F1': 6.5, 'Latency': 35.0}, {'F1': 8.0, 'Latency': 30.0}]","[0.007736519733447689, 0.007404188079484508, 0.0, 0.0, 0.011539685771750574, 0.003057741530090863, 0.0059544052298879935, 0.002662354794417232, 0.014051598884356697, 0.001062073124952212, 0.01808098558595095, 0.005929723976562995, 0.003057741530090863, 0.014051598884356697, 0.006452900531799144, 0.0025642336103478547, 0.0, 0.014277819547648063, 0.002120599512286492, 0.007736519733447689]"
"[{'F1': 7.5, 'Latency': 30}, {'F1': 8.5, 'Latency': 28}, {'F1': 8.0, 'Latency': 29}, {'F1': 7.0, 'Latency': 31}, {'F1': 8.2, 'Latency': 27}, {'F1': 8.2, 'Latency': 31.0}, {'F1': 8.6, 'Latency': 27.5}, {'F1': 12.2, 'Latency': 23.4}, {'F1': 7.0, 'Latency': 35.0}, {'F1': 7.5, 'Latency': 34.0}, {'F1': 7.0, 'Latency': 32.0}, {'F1': 8.0, 'Latency': 27.0}, {'F1': 8.5, 'Latency': 28.0}, {'F1': 6.5, 'Latency': 34.0}, {'F1': 10.0, 'Latency': 25.0}, {'F1': 7.6, 'Latency': 31.5}, {'F1': 8.5, 'Latency': 28.5}, {'F1': 7.2, 'Latency': 30.5}, {'F1': 8.3, 'Latency': 29.5}, {'F1': 8.8, 'Latency': 27.5}, {'F1': 8.7, 'Latency': 26.75}, {'F1': 7.46, 'Latency': 30.21}, {'F1': 6.85, 'Latency': 35.63}, {'F1': 6.28, 'Latency': 35.55}, {'F1': 8.56, 'Latency': 32.57}]","[0.0002327163939936927, 0.0, 0.00023594091177758791, 0.003901047432793847, 0.000103288721004402, 0.0, 0.0, 0.0, 0.00047422939782548745, 0.0, 0.0030443429240518682, 0.0007499587220249904, 0.0, 0.0027776011963149827, 0.006682005503660937, 0.0, 0.0, 0.0024470519970933857, 0.0, 0.0, 0.0, 0.0, 0.0, 3.459078273371219e-05, 0.0]"
"[{'F1': 7.5, 'Latency': 30}, {'F1': 8.5, 'Latency': 28}, {'F1': 8.0, 'Latency': 29}, {'F1': 7.0, 'Latency': 31}, {'F1': 8.2, 'Latency': 27}, {'F1': 8.2, 'Latency': 31.0}, {'F1': 8.6, 'Latency': 27.5}, {'F1': 12.2, 'Latency': 23.4}, {'F1': 7.0, 'Latency': 35.0}, {'F1': 7.5, 'Latency': 34.0}, {'F1': 7.0, 'Latency': 32.0}, {'F1': 8.0, 'Latency': 27.0}, {'F1': 8.5, 'Latency': 28.0}, {'F1': 6.5, 'Latency': 34.0}, {'F1': 10.0, 'Latency': 25.0}, {'F1': 7.6, 'Latency': 31.5}, {'F1': 8.5, 'Latency': 28.5}, {'F1': 7.2, 'Latency': 30.5}, {'F1': 8.3, 'Latency': 29.5}, {'F1': 8.8, 'Latency': 27.5}, {'F1': 8.7, 'Latency': 26.75}, {'F1': 7.46, 'Latency': 30.21}, {'F1': 6.85, 'Latency': 35.63}, {'F1': 6.28, 'Latency': 35.55}, {'F1': 8.56, 'Latency': 32.57}]","[0.0002327163939936927, 0.0, 0.00023594091177758791, 0.003901047432793847, 0.000103288721004402, 0.0, 0.0, 0.0, 0.00047422939782548745, 0.0, 0.0030443429240518682, 0.0007499587220249904, 0.0, 0.0027776011963149827, 0.006682005503660937, 0.0, 0.0, 0.0024470519970933857, 0.0, 0.0, 0.0, 0.0, 0.0, 3.459078273371219e-05, 0.0]"
"[{'F1': 7.5, 'Latency': 30}, {'F1': 8.5, 'Latency': 28}, {'F1': 8.0, 'Latency': 29}, {'F1': 7.0, 'Latency': 31}, {'F1': 8.2, 'Latency': 27}, {'F1': 8.2, 'Latency': 31.0}, {'F1': 8.6, 'Latency': 27.5}, {'F1': 12.2, 'Latency': 23.4}, {'F1': 7.0, 'Latency': 35.0}, {'F1': 7.5, 'Latency': 34.0}, {'F1': 7.0, 'Latency': 32.0}, {'F1': 8.0, 'Latency': 27.0}, {'F1': 8.5, 'Latency': 28.0}, {'F1': 6.5, 'Latency': 34.0}, {'F1': 10.0, 'Latency': 25.0}, {'F1': 7.6, 'Latency': 31.5}, {'F1': 8.5, 'Latency': 28.5}, {'F1': 7.2, 'Latency': 30.5}, {'F1': 8.3, 'Latency': 29.5}, {'F1': 8.8, 'Latency': 27.5}, {'F1': 8.7, 'Latency': 26.75}, {'F1': 7.46, 'Latency': 30.21}, {'F1': 6.85, 'Latency': 35.63}, {'F1': 6.28, 'Latency': 35.55}, {'F1': 8.56, 'Latency': 32.57}]","[0.0002327163939936927, 0.0, 0.00023594091177758791, 0.003901047432793847, 0.000103288721004402, 0.0, 0.0, 0.0, 0.00047422939782548745, 0.0, 0.0030443429240518682, 0.0007499587220249904, 0.0, 0.0027776011963149827, 0.006682005503660937, 0.0, 0.0, 0.0024470519970933857, 0.0, 0.0, 0.0, 0.0, 0.0, 3.459078273371219e-05, 0.0]"
"[{'F1': 7.5, 'Latency': 30}, {'F1': 8.5, 'Latency': 28}, {'F1': 8.0, 'Latency': 29}, {'F1': 7.0, 'Latency': 31}, {'F1': 8.2, 'Latency': 27}, {'F1': 8.2, 'Latency': 31.0}, {'F1': 8.6, 'Latency': 27.5}, {'F1': 12.2, 'Latency': 23.4}, {'F1': 7.0, 'Latency': 35.0}, {'F1': 7.5, 'Latency': 34.0}, {'F1': 7.0, 'Latency': 32.0}, {'F1': 8.0, 'Latency': 27.0}, {'F1': 8.5, 'Latency': 28.0}, {'F1': 6.5, 'Latency': 34.0}, {'F1': 10.0, 'Latency': 25.0}, {'F1': 7.6, 'Latency': 31.5}, {'F1': 8.5, 'Latency': 28.5}, {'F1': 7.2, 'Latency': 30.5}, {'F1': 8.3, 'Latency': 29.5}, {'F1': 8.8, 'Latency': 27.5}, {'F1': 8.7, 'Latency': 26.75}, {'F1': 7.46, 'Latency': 30.21}, {'F1': 6.85, 'Latency': 35.63}, {'F1': 6.28, 'Latency': 35.55}, {'F1': 8.56, 'Latency': 32.57}]","[0.0002327163939936927, 0.0, 0.00023594091177758791, 0.003901047432793847, 0.000103288721004402, 0.0, 0.0, 0.0, 0.00047422939782548745, 0.0, 0.0030443429240518682, 0.0007499587220249904, 0.0, 0.0027776011963149827, 0.006682005503660937, 0.0, 0.0, 0.0024470519970933857, 0.0, 0.0, 0.0, 0.0, 0.0, 3.459078273371219e-05, 0.0]"
"[{'F1': 7.5, 'Latency': 29.5}, {'F1': 8.5, 'Latency': 25.5}, {'F1': 7.0, 'Latency': 34.0}, {'F1': 8.0, 'Latency': 22.5}, {'F1': 8.5, 'Latency': 27.0}, {'F1': 7.5, 'Latency': 25.5}, {'F1': 7.0, 'Latency': 32.0}, {'F1': 8.5, 'Latency': 24.5}, {'F1': 6.5, 'Latency': 34.5}, {'F1': 8.0, 'Latency': 26.0}, {'F1': 8.5, 'Latency': 26.0}, {'F1': 7.5, 'Latency': 24.0}, {'F1': 7.0, 'Latency': 32.0}, {'F1': 7.2, 'Latency': 34.0}, {'F1': 8.0, 'Latency': 28.0}, {'F1': 7.5, 'Latency': 29.5}, {'F1': 7.0, 'Latency': 32.0}, {'F1': 8.5, 'Latency': 24.5}, {'F1': 8.8, 'Latency': 26.5}, {'F1': 7.2, 'Latency': 31.0}, {'F1': 7.46, 'Latency': 30.21}, {'F1': 8.11, 'Latency': 27.11}, {'F1': 6.85, 'Latency': 35.63}, {'F1': 8.7, 'Latency': 26.75}, {'F1': 8.7, 'Latency': 26.75}]","[0.0, 0.0, 0.0008970506753724905, 0.06271565333850004, 0.0, 0.0, 0.002051889926772521, 0.0, 0.0015895358020747707, 0.0, 0.0, 0.0011328793797309444, 0.002051889926772521, 0.00031830830416446076, 0.0, 0.0, 0.002051889926772521, 0.0, 0.0, 0.0009329808089417746, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 7.5, 'Latency': 29.5}, {'F1': 8.5, 'Latency': 25.5}, {'F1': 7.0, 'Latency': 34.0}, {'F1': 8.0, 'Latency': 22.5}, {'F1': 8.5, 'Latency': 27.0}, {'F1': 7.5, 'Latency': 25.5}, {'F1': 7.0, 'Latency': 32.0}, {'F1': 8.5, 'Latency': 24.5}, {'F1': 6.5, 'Latency': 34.5}, {'F1': 8.0, 'Latency': 26.0}, {'F1': 8.5, 'Latency': 26.0}, {'F1': 7.5, 'Latency': 24.0}, {'F1': 7.0, 'Latency': 32.0}, {'F1': 7.2, 'Latency': 34.0}, {'F1': 8.0, 'Latency': 28.0}, {'F1': 7.5, 'Latency': 29.5}, {'F1': 7.0, 'Latency': 32.0}, {'F1': 8.5, 'Latency': 24.5}, {'F1': 8.8, 'Latency': 26.5}, {'F1': 7.2, 'Latency': 31.0}, {'F1': 7.46, 'Latency': 30.21}, {'F1': 8.11, 'Latency': 27.11}, {'F1': 6.85, 'Latency': 35.63}, {'F1': 8.7, 'Latency': 26.75}, {'F1': 8.7, 'Latency': 26.75}]","[0.0, 0.0, 0.0008970506753724905, 0.06271565333850004, 0.0, 0.0, 0.002051889926772521, 0.0, 0.0015895358020747707, 0.0, 0.0, 0.0011328793797309444, 0.002051889926772521, 0.00031830830416446076, 0.0, 0.0, 0.002051889926772521, 0.0, 0.0, 0.0009329808089417746, 0.0, 0.0, 0.0, 0.0, 0.0]"
