surrogate_model_prediction,benchmark_evaluation
"{'F1': 13.0, 'Latency': 19.0}","{'f1': 6.27000000000001, 'latency': 26.76736831665039}"
"{'F1': 13.0, 'Latency': 19.0}","{'f1': 7.663333333333341, 'latency': 28.976826667785645}"
"{'F1': 13.0, 'Latency': 19.0}","{'f1': 8.306666666666658, 'latency': 24.49230194091797}"
"{'F1': 13.0, 'Latency': 19.0}","{'f1': 6.680000000000007, 'latency': 27.32478141784668}"
"{'F1': 8.0, 'Latency': 24.0}","{'f1': 12.806666666666658, 'latency': 25.47931671142578}"
"{'F1': 8.0, 'Latency': 24.0}","{'f1': 7.234999999999999, 'latency': 29.393105506896973}"
"{'F1': 8.0, 'Latency': 24.0}","{'f1': 8.995000000000005, 'latency': 28.806371688842773}"
"{'F1': 8.0, 'Latency': 24.0}","{'f1': 11.15333333333335, 'latency': 23.84573459625244}"
"{'F1': 6.0, 'Latency': 26.0}","{'f1': 6.99666666666667, 'latency': 22.848687171936035}"
"{'F1': 6.0, 'Latency': 26.0}","{'f1': 8.004999999999995, 'latency': 26.31229877471924}"
"{'F1': 6.0, 'Latency': 26.0}","{'f1': 8.310000000000002, 'latency': 25.025134086608887}"
"{'F1': 6.0, 'Latency': 26.0}","{'f1': 8.116666666666674, 'latency': 24.31704044342041}"
"{'F1': 11.04, 'Latency': 19.74}","{'f1': 7.980000000000004, 'latency': 27.891697883605957}"
"{'F1': 11.04, 'Latency': 19.74}","{'f1': 7.099999999999994, 'latency': 25.87271213531494}"
"{'F1': 11.04, 'Latency': 19.74}","{'f1': 6.373333333333335, 'latency': 26.431584358215332}"
"{'F1': 11.04, 'Latency': 19.74}","{'f1': 7.819999999999993, 'latency': 25.41332721710205}"
"{'F1': 8.5, 'Latency': 22.5}","{'f1': 9.033333333333346, 'latency': 21.99631690979004}"
"{'F1': 8.5, 'Latency': 22.5}","{'f1': 8.236666666666679, 'latency': 26.155529022216797}"
"{'F1': 8.5, 'Latency': 22.5}","{'f1': 8.373333333333335, 'latency': 30.79887866973877}"
"{'F1': 8.5, 'Latency': 22.5}","{'f1': 8.823333333333338, 'latency': 24.410653114318848}"
"{'F1': 11.04, 'Latency': 19.74}","{'f1': 7.439999999999998, 'latency': 29.25907611846924}"
"{'F1': 11.04, 'Latency': 19.74}","{'f1': 7.310000000000002, 'latency': 23.369088172912598}"
"{'F1': 11.04, 'Latency': 19.74}","{'f1': 7.590000000000003, 'latency': 24.257655143737793}"
"{'F1': 11.04, 'Latency': 19.74}","{'f1': 7.3700000000000045, 'latency': 27.102174758911133}"
"{'F1': 11.04, 'Latency': 20.0}","{'f1': 8.736666666666679, 'latency': 27.09588050842285}"
"{'F1': 11.04, 'Latency': 20.0}","{'f1': 6.6699999999999875, 'latency': 30.10063648223877}"
"{'F1': 11.04, 'Latency': 20.0}","{'f1': 7.733333333333334, 'latency': 29.835152626037598}"
"{'F1': 11.04, 'Latency': 20.0}","{'f1': 7.2450000000000045, 'latency': 30.038728713989258}"
"{'F1': 8.0, 'Latency': 22.0}","{'f1': 9.280000000000001, 'latency': 25.242996215820312}"
"{'F1': 8.0, 'Latency': 22.0}","{'f1': 12.536666666666676, 'latency': 25.533599853515625}"
"{'F1': 8.0, 'Latency': 22.0}","{'f1': 9.784999999999997, 'latency': 24.131407737731934}"
"{'F1': 8.0, 'Latency': 22.0}","{'f1': 9.769999999999982, 'latency': 30.345253944396973}"
"{'F1': 6.27, 'Latency': 26.77}","{'f1': 7.133333333333326, 'latency': 27.52716064453125}"
"{'F1': 6.27, 'Latency': 26.77}","{'f1': 7.280000000000015, 'latency': 24.587221145629883}"
"{'F1': 6.27, 'Latency': 26.77}","{'f1': 20.760000000000005, 'latency': 26.494603157043457}"
"{'F1': 6.27, 'Latency': 26.77}","{'f1': 7.810000000000002, 'latency': 25.11427879333496}"
"{'F1': 9.03, 'Latency': 22.0}","{'f1': 11.430000000000007, 'latency': 21.748428344726562}"
"{'F1': 9.03, 'Latency': 22.0}","{'f1': 7.260000000000005, 'latency': 26.759014129638672}"
"{'F1': 9.03, 'Latency': 22.0}","{'f1': 6.65000000000002, 'latency': 27.33902931213379}"
"{'F1': 9.03, 'Latency': 22.0}","{'f1': 9.980000000000004, 'latency': 24.386301040649414}"
"{'F1': 11.04, 'Latency': 19.74}","{'f1': 15.079999999999998, 'latency': 25.8431339263916}"
"{'F1': 11.04, 'Latency': 19.74}","{'f1': 7.989999999999995, 'latency': 25.577588081359863}"
"{'F1': 11.04, 'Latency': 19.74}","{'f1': 13.779999999999987, 'latency': 23.46205234527588}"
"{'F1': 11.04, 'Latency': 19.74}","{'f1': 7.963333333333324, 'latency': 21.93660259246826}"
"{'F1': 6.5, 'Latency': 26.0}","{'f1': 7.525000000000006, 'latency': 23.66762638092041}"
"{'F1': 6.5, 'Latency': 26.0}","{'f1': 9.280000000000001, 'latency': 19.67777729034424}"
"{'F1': 6.5, 'Latency': 26.0}","{'f1': 7.060000000000002, 'latency': 27.109270095825195}"
"{'F1': 6.5, 'Latency': 26.0}","{'f1': 8.713333333333324, 'latency': 22.197489738464355}"
"{'F1': 6.37, 'Latency': 26.43}","{'f1': 6.8700000000000045, 'latency': 25.53699493408203}"
"{'F1': 6.37, 'Latency': 26.43}","{'f1': 9.886666666666656, 'latency': 28.633556365966797}"
"{'F1': 6.37, 'Latency': 26.43}","{'f1': 8.636666666666656, 'latency': 26.27358913421631}"
"{'F1': 6.37, 'Latency': 26.43}","{'f1': 12.840000000000003, 'latency': 25.28409481048584}"
"{'F1': 6.5, 'Latency': 26.0}","{'f1': 8.120000000000005, 'latency': 27.642006874084473}"
"{'F1': 6.5, 'Latency': 26.0}","{'f1': 6.859999999999999, 'latency': 26.360979080200195}"
"{'F1': 6.5, 'Latency': 26.0}","{'f1': 9.783333333333346, 'latency': 24.548873901367188}"
"{'F1': 6.5, 'Latency': 26.0}","{'f1': 10.063333333333333, 'latency': 28.37881565093994}"
"{'F1': 6.86, 'Latency': 26.36}","{'f1': 10.263333333333321, 'latency': 25.262064933776855}"
"{'F1': 6.86, 'Latency': 26.36}","{'f1': 8.349999999999994, 'latency': 28.372783660888672}"
"{'F1': 6.86, 'Latency': 26.36}","{'f1': 8.049999999999997, 'latency': 25.06040096282959}"
"{'F1': 6.86, 'Latency': 26.36}","{'f1': 7.923333333333332, 'latency': 24.267687797546387}"
"{'F1': 7.96, 'Latency': 21.94}","{'f1': 11.759999999999991, 'latency': 23.539419174194336}"
"{'F1': 7.96, 'Latency': 21.94}","{'f1': 7.534999999999997, 'latency': 30.603113174438477}"
"{'F1': 7.96, 'Latency': 21.94}","{'f1': 9.620000000000005, 'latency': 28.372478485107422}"
