candidate_evaluations,hypervolume_contributions
"[{'F1': 12.34, 'Latency': 22.78}, {'F1': 10.5, 'Latency': 21.1}, {'F1': 8.2, 'Latency': 18.75}, {'F1': 9.8, 'Latency': 20.0}, {'F1': 7.6, 'Latency': 23.5}, {'F1': 8.5, 'Latency': 30.0}, {'F1': 9.2, 'Latency': 25.5}, {'F1': 7.8, 'Latency': 28.0}, {'F1': 6.5, 'Latency': 26.5}, {'F1': 8.0, 'Latency': 27.0}, {'F1': 12.5, 'Latency': 25.0}, {'F1': 15.0, 'Latency': 28.0}, {'F1': 9.5, 'Latency': 30.0}, {'F1': 11.0, 'Latency': 22.0}, {'F1': 13.5, 'Latency': 27.0}, {'F1': 9.5, 'Latency': 25.0}, {'F1': 20.5, 'Latency': 30.0}, {'F1': 8.0, 'Latency': 35.0}, {'F1': 6.5, 'Latency': 18.0}, {'F1': 10.0, 'Latency': 32.0}, {'F1': 12.5, 'Latency': 25.0}, {'F1': 18.5, 'Latency': 32.0}, {'F1': 15.0, 'Latency': 28.0}, {'F1': 9.5, 'Latency': 34.0}, {'F1': 14.0, 'Latency': 30.0}]","[0.0, 0.0, 0.042019479277586536, 0.0, 0.0, 0.0, 0.0, 0.0, 0.034052595617139136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14658136276748523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 12.34, 'Latency': 22.78}, {'F1': 10.5, 'Latency': 21.1}, {'F1': 8.2, 'Latency': 18.75}, {'F1': 9.8, 'Latency': 20.0}, {'F1': 7.6, 'Latency': 23.5}, {'F1': 8.5, 'Latency': 30.0}, {'F1': 9.2, 'Latency': 25.5}, {'F1': 7.8, 'Latency': 28.0}, {'F1': 6.5, 'Latency': 26.5}, {'F1': 8.0, 'Latency': 27.0}, {'F1': 12.5, 'Latency': 25.0}, {'F1': 15.0, 'Latency': 28.0}, {'F1': 9.5, 'Latency': 30.0}, {'F1': 11.0, 'Latency': 22.0}, {'F1': 13.5, 'Latency': 27.0}, {'F1': 9.5, 'Latency': 25.0}, {'F1': 20.5, 'Latency': 30.0}, {'F1': 8.0, 'Latency': 35.0}, {'F1': 6.5, 'Latency': 18.0}, {'F1': 10.0, 'Latency': 32.0}, {'F1': 12.5, 'Latency': 25.0}, {'F1': 18.5, 'Latency': 32.0}, {'F1': 15.0, 'Latency': 28.0}, {'F1': 9.5, 'Latency': 34.0}, {'F1': 14.0, 'Latency': 30.0}]","[0.0, 0.0, 0.042019479277586536, 0.0, 0.0, 0.0, 0.0, 0.0, 0.034052595617139136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14658136276748523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 12.34, 'Latency': 22.78}, {'F1': 10.5, 'Latency': 21.1}, {'F1': 8.2, 'Latency': 18.75}, {'F1': 9.8, 'Latency': 20.0}, {'F1': 7.6, 'Latency': 23.5}, {'F1': 8.5, 'Latency': 30.0}, {'F1': 9.2, 'Latency': 25.5}, {'F1': 7.8, 'Latency': 28.0}, {'F1': 6.5, 'Latency': 26.5}, {'F1': 8.0, 'Latency': 27.0}, {'F1': 12.5, 'Latency': 25.0}, {'F1': 15.0, 'Latency': 28.0}, {'F1': 9.5, 'Latency': 30.0}, {'F1': 11.0, 'Latency': 22.0}, {'F1': 13.5, 'Latency': 27.0}, {'F1': 9.5, 'Latency': 25.0}, {'F1': 20.5, 'Latency': 30.0}, {'F1': 8.0, 'Latency': 35.0}, {'F1': 6.5, 'Latency': 18.0}, {'F1': 10.0, 'Latency': 32.0}, {'F1': 12.5, 'Latency': 25.0}, {'F1': 18.5, 'Latency': 32.0}, {'F1': 15.0, 'Latency': 28.0}, {'F1': 9.5, 'Latency': 34.0}, {'F1': 14.0, 'Latency': 30.0}]","[0.0, 0.0, 0.042019479277586536, 0.0, 0.0, 0.0, 0.0, 0.0, 0.034052595617139136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14658136276748523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 12.34, 'Latency': 22.78}, {'F1': 10.5, 'Latency': 21.1}, {'F1': 8.2, 'Latency': 18.75}, {'F1': 9.8, 'Latency': 20.0}, {'F1': 7.6, 'Latency': 23.5}, {'F1': 8.5, 'Latency': 30.0}, {'F1': 9.2, 'Latency': 25.5}, {'F1': 7.8, 'Latency': 28.0}, {'F1': 6.5, 'Latency': 26.5}, {'F1': 8.0, 'Latency': 27.0}, {'F1': 12.5, 'Latency': 25.0}, {'F1': 15.0, 'Latency': 28.0}, {'F1': 9.5, 'Latency': 30.0}, {'F1': 11.0, 'Latency': 22.0}, {'F1': 13.5, 'Latency': 27.0}, {'F1': 9.5, 'Latency': 25.0}, {'F1': 20.5, 'Latency': 30.0}, {'F1': 8.0, 'Latency': 35.0}, {'F1': 6.5, 'Latency': 18.0}, {'F1': 10.0, 'Latency': 32.0}, {'F1': 12.5, 'Latency': 25.0}, {'F1': 18.5, 'Latency': 32.0}, {'F1': 15.0, 'Latency': 28.0}, {'F1': 9.5, 'Latency': 34.0}, {'F1': 14.0, 'Latency': 30.0}]","[0.0, 0.0, 0.042019479277586536, 0.0, 0.0, 0.0, 0.0, 0.0, 0.034052595617139136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14658136276748523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 15.25, 'Latency': 22.12}, {'F1': 22.85, 'Latency': 17.34}, {'F1': 26.4, 'Latency': 21.5}, {'F1': 27.73, 'Latency': 25.18}, {'F1': 18.6, 'Latency': 19.94}, {'F1': 28.45, 'Latency': 18.0}, {'F1': 15.78, 'Latency': 19.5}, {'F1': 5.0, 'Latency': 10.0}, {'F1': 12.5, 'Latency': 20.0}, {'F1': 18.3, 'Latency': 16.5}, {'F1': 20.35, 'Latency': 19.5}, {'F1': 25.0, 'Latency': 18.75}, {'F1': 12.5, 'Latency': 21.0}, {'F1': 15.0, 'Latency': 17.0}, {'F1': 22.0, 'Latency': 20.5}, {'F1': 15.0, 'Latency': 15.0}, {'F1': 12.5, 'Latency': 18.0}, {'F1': 14.0, 'Latency': 17.0}, {'F1': 10.0, 'Latency': 20.0}, {'F1': 16.0, 'Latency': 14.0}, {'F1': 10.5, 'Latency': 20.5}, {'F1': 15.0, 'Latency': 22.0}, {'F1': 12.0, 'Latency': 19.0}, {'F1': 8.5, 'Latency': 17.5}, {'F1': 6.0, 'Latency': 15.0}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21630017705434001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017155052393698078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008843080663720748, 0.013960614816903139, 0.0932393601777255]"
"[{'F1': 15.25, 'Latency': 22.12}, {'F1': 22.85, 'Latency': 17.34}, {'F1': 26.4, 'Latency': 21.5}, {'F1': 27.73, 'Latency': 25.18}, {'F1': 18.6, 'Latency': 19.94}, {'F1': 28.45, 'Latency': 18.0}, {'F1': 15.78, 'Latency': 19.5}, {'F1': 5.0, 'Latency': 10.0}, {'F1': 12.5, 'Latency': 20.0}, {'F1': 18.3, 'Latency': 16.5}, {'F1': 20.35, 'Latency': 19.5}, {'F1': 25.0, 'Latency': 18.75}, {'F1': 12.5, 'Latency': 21.0}, {'F1': 15.0, 'Latency': 17.0}, {'F1': 22.0, 'Latency': 20.5}, {'F1': 15.0, 'Latency': 15.0}, {'F1': 12.5, 'Latency': 18.0}, {'F1': 14.0, 'Latency': 17.0}, {'F1': 10.0, 'Latency': 20.0}, {'F1': 16.0, 'Latency': 14.0}, {'F1': 10.5, 'Latency': 20.5}, {'F1': 15.0, 'Latency': 22.0}, {'F1': 12.0, 'Latency': 19.0}, {'F1': 8.5, 'Latency': 17.5}, {'F1': 6.0, 'Latency': 15.0}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21630017705434001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017155052393698078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008843080663720748, 0.013960614816903139, 0.0932393601777255]"
"[{'F1': 15.25, 'Latency': 22.12}, {'F1': 22.85, 'Latency': 17.34}, {'F1': 26.4, 'Latency': 21.5}, {'F1': 27.73, 'Latency': 25.18}, {'F1': 18.6, 'Latency': 19.94}, {'F1': 28.45, 'Latency': 18.0}, {'F1': 15.78, 'Latency': 19.5}, {'F1': 5.0, 'Latency': 10.0}, {'F1': 12.5, 'Latency': 20.0}, {'F1': 18.3, 'Latency': 16.5}, {'F1': 20.35, 'Latency': 19.5}, {'F1': 25.0, 'Latency': 18.75}, {'F1': 12.5, 'Latency': 21.0}, {'F1': 15.0, 'Latency': 17.0}, {'F1': 22.0, 'Latency': 20.5}, {'F1': 15.0, 'Latency': 15.0}, {'F1': 12.5, 'Latency': 18.0}, {'F1': 14.0, 'Latency': 17.0}, {'F1': 10.0, 'Latency': 20.0}, {'F1': 16.0, 'Latency': 14.0}, {'F1': 10.5, 'Latency': 20.5}, {'F1': 15.0, 'Latency': 22.0}, {'F1': 12.0, 'Latency': 19.0}, {'F1': 8.5, 'Latency': 17.5}, {'F1': 6.0, 'Latency': 15.0}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21630017705434001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017155052393698078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008843080663720748, 0.013960614816903139, 0.0932393601777255]"
"[{'F1': 15.25, 'Latency': 22.12}, {'F1': 22.85, 'Latency': 17.34}, {'F1': 26.4, 'Latency': 21.5}, {'F1': 27.73, 'Latency': 25.18}, {'F1': 18.6, 'Latency': 19.94}, {'F1': 28.45, 'Latency': 18.0}, {'F1': 15.78, 'Latency': 19.5}, {'F1': 5.0, 'Latency': 10.0}, {'F1': 12.5, 'Latency': 20.0}, {'F1': 18.3, 'Latency': 16.5}, {'F1': 20.35, 'Latency': 19.5}, {'F1': 25.0, 'Latency': 18.75}, {'F1': 12.5, 'Latency': 21.0}, {'F1': 15.0, 'Latency': 17.0}, {'F1': 22.0, 'Latency': 20.5}, {'F1': 15.0, 'Latency': 15.0}, {'F1': 12.5, 'Latency': 18.0}, {'F1': 14.0, 'Latency': 17.0}, {'F1': 10.0, 'Latency': 20.0}, {'F1': 16.0, 'Latency': 14.0}, {'F1': 10.5, 'Latency': 20.5}, {'F1': 15.0, 'Latency': 22.0}, {'F1': 12.0, 'Latency': 19.0}, {'F1': 8.5, 'Latency': 17.5}, {'F1': 6.0, 'Latency': 15.0}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21630017705434001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017155052393698078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008843080663720748, 0.013960614816903139, 0.0932393601777255]"
"[{'F1': 22.0, 'Latency': 16.0}, {'F1': 25.0, 'Latency': 17.5}, {'F1': 24.0, 'Latency': 15.5}, {'F1': 19.0, 'Latency': 14.5}, {'F1': 23.0, 'Latency': 18.0}, {'F1': 25.0, 'Latency': 18.0}, {'F1': 15.0, 'Latency': 25.0}, {'F1': 20.0, 'Latency': 20.0}, {'F1': 12.0, 'Latency': 22.0}, {'F1': 23.0, 'Latency': 19.0}, {'F1': 18.5, 'Latency': 12.3}, {'F1': 28.0, 'Latency': 15.5}, {'F1': 22.0, 'Latency': 17.2}, {'F1': 26.0, 'Latency': 18.8}, {'F1': 15.0, 'Latency': 14.5}, {'F1': 29.08, 'Latency': 9.05}, {'F1': 20.21, 'Latency': 14.0}, {'F1': 24.49, 'Latency': 18.3}, {'F1': 10.63, 'Latency': 20.42}, {'F1': 26.86, 'Latency': 18.06}, {'F1': 20.21, 'Latency': 18.06}, {'F1': 30.18, 'Latency': 18.12}, {'F1': 10.63, 'Latency': 20.42}, {'F1': 29.08, 'Latency': 9.05}, {'F1': 24.49, 'Latency': 18.3}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.921196814449246e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.921196814449246e-05, 0.0]"
"[{'F1': 22.0, 'Latency': 16.0}, {'F1': 25.0, 'Latency': 17.5}, {'F1': 24.0, 'Latency': 15.5}, {'F1': 19.0, 'Latency': 14.5}, {'F1': 23.0, 'Latency': 18.0}, {'F1': 25.0, 'Latency': 18.0}, {'F1': 15.0, 'Latency': 25.0}, {'F1': 20.0, 'Latency': 20.0}, {'F1': 12.0, 'Latency': 22.0}, {'F1': 23.0, 'Latency': 19.0}, {'F1': 18.5, 'Latency': 12.3}, {'F1': 28.0, 'Latency': 15.5}, {'F1': 22.0, 'Latency': 17.2}, {'F1': 26.0, 'Latency': 18.8}, {'F1': 15.0, 'Latency': 14.5}, {'F1': 29.08, 'Latency': 9.05}, {'F1': 20.21, 'Latency': 14.0}, {'F1': 24.49, 'Latency': 18.3}, {'F1': 10.63, 'Latency': 20.42}, {'F1': 26.86, 'Latency': 18.06}, {'F1': 20.21, 'Latency': 18.06}, {'F1': 30.18, 'Latency': 18.12}, {'F1': 10.63, 'Latency': 20.42}, {'F1': 29.08, 'Latency': 9.05}, {'F1': 24.49, 'Latency': 18.3}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.921196814449246e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.921196814449246e-05, 0.0]"
"[{'F1': 22.0, 'Latency': 16.0}, {'F1': 25.0, 'Latency': 17.5}, {'F1': 24.0, 'Latency': 15.5}, {'F1': 19.0, 'Latency': 14.5}, {'F1': 23.0, 'Latency': 18.0}, {'F1': 25.0, 'Latency': 18.0}, {'F1': 15.0, 'Latency': 25.0}, {'F1': 20.0, 'Latency': 20.0}, {'F1': 12.0, 'Latency': 22.0}, {'F1': 23.0, 'Latency': 19.0}, {'F1': 18.5, 'Latency': 12.3}, {'F1': 28.0, 'Latency': 15.5}, {'F1': 22.0, 'Latency': 17.2}, {'F1': 26.0, 'Latency': 18.8}, {'F1': 15.0, 'Latency': 14.5}, {'F1': 29.08, 'Latency': 9.05}, {'F1': 20.21, 'Latency': 14.0}, {'F1': 24.49, 'Latency': 18.3}, {'F1': 10.63, 'Latency': 20.42}, {'F1': 26.86, 'Latency': 18.06}, {'F1': 20.21, 'Latency': 18.06}, {'F1': 30.18, 'Latency': 18.12}, {'F1': 10.63, 'Latency': 20.42}, {'F1': 29.08, 'Latency': 9.05}, {'F1': 24.49, 'Latency': 18.3}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.921196814449246e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.921196814449246e-05, 0.0]"
"[{'F1': 22.0, 'Latency': 16.0}, {'F1': 25.0, 'Latency': 17.5}, {'F1': 24.0, 'Latency': 15.5}, {'F1': 19.0, 'Latency': 14.5}, {'F1': 23.0, 'Latency': 18.0}, {'F1': 25.0, 'Latency': 18.0}, {'F1': 15.0, 'Latency': 25.0}, {'F1': 20.0, 'Latency': 20.0}, {'F1': 12.0, 'Latency': 22.0}, {'F1': 23.0, 'Latency': 19.0}, {'F1': 18.5, 'Latency': 12.3}, {'F1': 28.0, 'Latency': 15.5}, {'F1': 22.0, 'Latency': 17.2}, {'F1': 26.0, 'Latency': 18.8}, {'F1': 15.0, 'Latency': 14.5}, {'F1': 29.08, 'Latency': 9.05}, {'F1': 20.21, 'Latency': 14.0}, {'F1': 24.49, 'Latency': 18.3}, {'F1': 10.63, 'Latency': 20.42}, {'F1': 26.86, 'Latency': 18.06}, {'F1': 20.21, 'Latency': 18.06}, {'F1': 30.18, 'Latency': 18.12}, {'F1': 10.63, 'Latency': 20.42}, {'F1': 29.08, 'Latency': 9.05}, {'F1': 24.49, 'Latency': 18.3}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.921196814449246e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.921196814449246e-05, 0.0]"
"[{'F1': 22.5, 'Latency': 15.0}, {'F1': 25.0, 'Latency': 14.0}, {'F1': 28.0, 'Latency': 12.0}, {'F1': 30.0, 'Latency': 17.0}, {'F1': 24.0, 'Latency': 16.0}, {'F1': 20.0, 'Latency': 13.92}, {'F1': 24.62, 'Latency': 29.62}, {'F1': 20.21, 'Latency': 14.0}, {'F1': 7.1, 'Latency': 36.73}, {'F1': 24.49, 'Latency': 18.3}, {'F1': 24.62, 'Latency': 29.62}, {'F1': 10.63, 'Latency': 20.42}, {'F1': 15.83, 'Latency': 13.18}, {'F1': 20.21, 'Latency': 14.0}, {'F1': 15.0, 'Latency': 19.0}, {'F1': 20.0, 'Latency': 13.92}, {'F1': 24.62, 'Latency': 29.62}, {'F1': 26.86, 'Latency': 18.06}, {'F1': 21.0, 'Latency': 12.5}, {'F1': 20.21, 'Latency': 14.0}, {'F1': 20.5, 'Latency': 15.5}, {'F1': 15.0, 'Latency': 21.0}, {'F1': 10.0, 'Latency': 20.5}, {'F1': 25.0, 'Latency': 17.0}, {'F1': 22.5, 'Latency': 19.0}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 22.5, 'Latency': 15.0}, {'F1': 25.0, 'Latency': 14.0}, {'F1': 28.0, 'Latency': 12.0}, {'F1': 30.0, 'Latency': 17.0}, {'F1': 24.0, 'Latency': 16.0}, {'F1': 20.0, 'Latency': 13.92}, {'F1': 24.62, 'Latency': 29.62}, {'F1': 20.21, 'Latency': 14.0}, {'F1': 7.1, 'Latency': 36.73}, {'F1': 24.49, 'Latency': 18.3}, {'F1': 24.62, 'Latency': 29.62}, {'F1': 10.63, 'Latency': 20.42}, {'F1': 15.83, 'Latency': 13.18}, {'F1': 20.21, 'Latency': 14.0}, {'F1': 15.0, 'Latency': 19.0}, {'F1': 20.0, 'Latency': 13.92}, {'F1': 24.62, 'Latency': 29.62}, {'F1': 26.86, 'Latency': 18.06}, {'F1': 21.0, 'Latency': 12.5}, {'F1': 20.21, 'Latency': 14.0}, {'F1': 20.5, 'Latency': 15.5}, {'F1': 15.0, 'Latency': 21.0}, {'F1': 10.0, 'Latency': 20.5}, {'F1': 25.0, 'Latency': 17.0}, {'F1': 22.5, 'Latency': 19.0}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 22.5, 'Latency': 15.0}, {'F1': 25.0, 'Latency': 14.0}, {'F1': 28.0, 'Latency': 12.0}, {'F1': 30.0, 'Latency': 17.0}, {'F1': 24.0, 'Latency': 16.0}, {'F1': 20.0, 'Latency': 13.92}, {'F1': 24.62, 'Latency': 29.62}, {'F1': 20.21, 'Latency': 14.0}, {'F1': 7.1, 'Latency': 36.73}, {'F1': 24.49, 'Latency': 18.3}, {'F1': 24.62, 'Latency': 29.62}, {'F1': 10.63, 'Latency': 20.42}, {'F1': 15.83, 'Latency': 13.18}, {'F1': 20.21, 'Latency': 14.0}, {'F1': 15.0, 'Latency': 19.0}, {'F1': 20.0, 'Latency': 13.92}, {'F1': 24.62, 'Latency': 29.62}, {'F1': 26.86, 'Latency': 18.06}, {'F1': 21.0, 'Latency': 12.5}, {'F1': 20.21, 'Latency': 14.0}, {'F1': 20.5, 'Latency': 15.5}, {'F1': 15.0, 'Latency': 21.0}, {'F1': 10.0, 'Latency': 20.5}, {'F1': 25.0, 'Latency': 17.0}, {'F1': 22.5, 'Latency': 19.0}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
