surrogate_model_prediction,benchmark_evaluation
"{'F1': 9.5, 'Latency': 20.0}","{'f1': 10.950000000000003, 'latency': 17.980470657348633}"
"{'F1': 9.5, 'Latency': 20.0}","{'f1': 25.200000000000003, 'latency': 14.722414016723633}"
"{'F1': 9.5, 'Latency': 20.0}","{'f1': 11.349999999999994, 'latency': 20.931239128112793}"
"{'F1': 9.5, 'Latency': 20.0}","{'f1': 8.803333333333327, 'latency': 22.70683765411377}"
"{'F1': 30.0, 'Latency': 12.0}","{'f1': 90.0, 'latency': 13.159713745117188}"
"{'F1': 30.0, 'Latency': 12.0}","{'f1': 90.0, 'latency': 18.050718307495117}"
"{'F1': 30.0, 'Latency': 12.0}","{'f1': 19.345, 'latency': 17.89703369140625}"
"{'F1': 30.0, 'Latency': 12.0}","{'f1': 20.620000000000005, 'latency': 17.82083511352539}"
"{'F1': 6.0, 'Latency': 27.0}","{'f1': 7.560000000000002, 'latency': 21.855058670043945}"
"{'F1': 6.0, 'Latency': 27.0}","{'f1': 15.039999999999992, 'latency': 23.677635192871094}"
"{'F1': 6.0, 'Latency': 27.0}","{'f1': 24.400000000000006, 'latency': 16.742706298828125}"
"{'F1': 6.0, 'Latency': 27.0}","{'f1': 24.595, 'latency': 17.288742065429688}"
"{'F1': 25.0, 'Latency': 14.5}","{'f1': 90.0, 'latency': 15.760135650634766}"
"{'F1': 25.0, 'Latency': 14.5}","{'f1': 13.620000000000005, 'latency': 14.061284065246582}"
"{'F1': 25.0, 'Latency': 14.5}","{'f1': 13.483333333333348, 'latency': 10.646724700927734}"
"{'F1': 25.0, 'Latency': 14.5}","{'f1': 26.17500000000001, 'latency': 18.81302833557129}"
"{'F1': 11.0, 'Latency': 16.0}","{'f1': 13.670000000000002, 'latency': 14.909992218017578}"
"{'F1': 11.0, 'Latency': 16.0}","{'f1': 24.489999999999995, 'latency': 21.301474571228027}"
"{'F1': 11.0, 'Latency': 16.0}","{'f1': 12.689999999999998, 'latency': 16.476106643676758}"
"{'F1': 11.0, 'Latency': 16.0}","{'f1': 11.123333333333335, 'latency': 15.970883369445803}"
"{'F1': 8.5, 'Latency': 19.0}","{'f1': 10.49666666666667, 'latency': 13.158020973205566}"
"{'F1': 8.5, 'Latency': 19.0}","{'f1': 24.08999999999999, 'latency': 14.069790840148926}"
"{'F1': 8.5, 'Latency': 19.0}","{'f1': 11.35666666666667, 'latency': 17.3349666595459}"
"{'F1': 8.5, 'Latency': 19.0}","{'f1': 12.516666666666666, 'latency': 12.19775676727295}"
"{'F1': 13.48, 'Latency': 10.65}","{'f1': 90.0, 'latency': 15.6007719039917}"
"{'F1': 13.48, 'Latency': 10.65}","{'f1': 13.34333333333332, 'latency': 10.633678436279297}"
"{'F1': 13.48, 'Latency': 10.65}","{'f1': 90.0, 'latency': 13.759875297546387}"
"{'F1': 13.48, 'Latency': 10.65}","{'f1': 20.180000000000007, 'latency': 14.04973030090332}"
"{'F1': 8.5, 'Latency': 20.0}","{'f1': 41.1, 'latency': 17.385659217834473}"
"{'F1': 8.5, 'Latency': 20.0}","{'f1': 37.00666666666667, 'latency': 17.432146072387695}"
"{'F1': 8.5, 'Latency': 20.0}","{'f1': 13.016666666666666, 'latency': 20.545454025268555}"
"{'F1': 8.5, 'Latency': 20.0}","{'f1': 11.34666666666665, 'latency': 17.342586517333984}"
"{'F1': 11.35, 'Latency': 20.93}","{'f1': 15.36333333333333, 'latency': 10.837492942810059}"
"{'F1': 11.35, 'Latency': 20.93}","{'f1': 26.995000000000005, 'latency': 24.88215446472168}"
"{'F1': 11.35, 'Latency': 20.93}","{'f1': 14.25, 'latency': 16.24919891357422}"
"{'F1': 11.35, 'Latency': 20.93}","{'f1': 13.466666666666654, 'latency': 13.070135116577148}"
"{'F1': 13.34, 'Latency': 10.63}","{'f1': 90.0, 'latency': 11.500082015991211}"
"{'F1': 13.34, 'Latency': 10.63}","{'f1': 90.0, 'latency': 11.500082015991211}"
"{'F1': 13.34, 'Latency': 10.63}","{'f1': 31.713333333333324, 'latency': 19.120783805847168}"
"{'F1': 13.34, 'Latency': 10.63}","{'f1': 9.094999999999999, 'latency': 20.766935348510742}"
"{'F1': 13.34, 'Latency': 10.63}","{'f1': 13.765, 'latency': 11.487650871276855}"
"{'F1': 13.34, 'Latency': 10.63}","{'f1': 15.769999999999996, 'latency': 9.819540977478027}"
"{'F1': 13.34, 'Latency': 10.63}","{'f1': 20.205000000000013, 'latency': 18.206605911254883}"
"{'F1': 13.34, 'Latency': 10.63}","{'f1': 13.579999999999998, 'latency': 17.36696720123291}"
"{'F1': 25.0, 'Latency': 17.0}","{'f1': 13.280000000000001, 'latency': 13.82321834564209}"
"{'F1': 25.0, 'Latency': 17.0}","{'f1': 20.306666666666672, 'latency': 14.005270004272461}"
"{'F1': 25.0, 'Latency': 17.0}","{'f1': 24.436666666666667, 'latency': 13.976888656616211}"
"{'F1': 25.0, 'Latency': 17.0}","{'f1': 19.86, 'latency': 21.23195171356201}"
"{'F1': 13.34, 'Latency': 10.63}","{'f1': 90.0, 'latency': 11.486797332763672}"
"{'F1': 13.34, 'Latency': 10.63}","{'f1': 17.38499999999999, 'latency': 21.169986724853516}"
"{'F1': 13.34, 'Latency': 10.63}","{'f1': 37.61333333333334, 'latency': 17.258615493774414}"
"{'F1': 13.34, 'Latency': 10.63}","{'f1': 13.436666666666667, 'latency': 10.647377967834473}"
"{'F1': 10.0, 'Latency': 18.0}","{'f1': 10.530000000000001, 'latency': 17.260589599609375}"
"{'F1': 10.0, 'Latency': 18.0}","{'f1': 13.689999999999998, 'latency': 11.496109962463379}"
"{'F1': 10.0, 'Latency': 18.0}","{'f1': 13.366666666666674, 'latency': 12.976531982421875}"
"{'F1': 10.0, 'Latency': 18.0}","{'f1': 10.600000000000009, 'latency': 17.233867645263672}"
"{'F1': 13.44, 'Latency': 14.06}","{'f1': 11.296666666666667, 'latency': 18.099522590637207}"
"{'F1': 13.44, 'Latency': 14.06}","{'f1': 26.489999999999995, 'latency': 18.29637050628662}"
"{'F1': 13.44, 'Latency': 14.06}","{'f1': 13.549999999999997, 'latency': 10.658411979675293}"
"{'F1': 13.44, 'Latency': 14.06}","{'f1': 13.490000000000009, 'latency': 11.472864151000977}"
"{'F1': 11.0, 'Latency': 12.0}","{'f1': 13.376666666666665, 'latency': 14.795775413513184}"
"{'F1': 11.0, 'Latency': 12.0}","{'f1': 9.736666666666679, 'latency': 20.0150728225708}"
"{'F1': 11.0, 'Latency': 12.0}","{'f1': 13.583333333333329, 'latency': 18.174233436584473}"
"{'F1': 11.0, 'Latency': 12.0}","{'f1': 15.680000000000007, 'latency': 9.829578399658203}"
"{'F1': 12.0, 'Latency': 12.0}","{'f1': 13.719999999999985, 'latency': 13.851761817932129}"
"{'F1': 12.0, 'Latency': 12.0}","{'f1': 13.294999999999987, 'latency': 10.640363693237305}"
"{'F1': 12.0, 'Latency': 12.0}","{'f1': 19.5, 'latency': 17.144227027893066}"
"{'F1': 12.0, 'Latency': 12.0}","{'f1': 90.0, 'latency': 14.931344985961914}"
"{'F1': 13.55, 'Latency': 10.66}","{'f1': 90.0, 'latency': 16.51853084564209}"
"{'F1': 13.55, 'Latency': 10.66}","{'f1': 19.810000000000002, 'latency': 18.719348907470703}"
"{'F1': 13.55, 'Latency': 10.66}","{'f1': 29.39666666666666, 'latency': 8.985953330993652}"
"{'F1': 13.55, 'Latency': 10.66}","{'f1': 13.61, 'latency': 9.81755256652832}"
"{'F1': 22.11, 'Latency': 16.34}","{'f1': 23.629999999999995, 'latency': 17.341556549072266}"
"{'F1': 22.11, 'Latency': 16.34}","{'f1': 11.790000000000006, 'latency': 24.749774932861328}"
"{'F1': 22.11, 'Latency': 16.34}","{'f1': 11.463333333333324, 'latency': 17.161035537719727}"
"{'F1': 22.11, 'Latency': 16.34}","{'f1': 19.576666666666654, 'latency': 16.966066360473633}"
"{'F1': 13.34, 'Latency': 10.63}","{'f1': 13.344999999999999, 'latency': 11.473932266235352}"
"{'F1': 13.34, 'Latency': 10.63}","{'f1': 24.423333333333332, 'latency': 19.878597259521484}"
"{'F1': 13.34, 'Latency': 10.63}","{'f1': 20.436666666666653, 'latency': 18.197379112243652}"
"{'F1': 13.34, 'Latency': 10.63}","{'f1': 24.310000000000002, 'latency': 14.873089790344238}"
