candidate_evaluations,hypervolume_contributions
"[{'F1': 9.5, 'Latency': 23.5}, {'F1': 8.0, 'Latency': 22.5}, {'F1': 7.5, 'Latency': 25.0}, {'F1': 9.0, 'Latency': 21.0}, {'F1': 8.5, 'Latency': 24.0}, {'F1': 9.5, 'Latency': 23.5}, {'F1': 10.2, 'Latency': 24.1}, {'F1': 8.7, 'Latency': 22.5}, {'F1': 9.8, 'Latency': 23.2}, {'F1': 10.1, 'Latency': 24.0}, {'F1': 8.15, 'Latency': 25.0}, {'F1': 7.7, 'Latency': 26.5}, {'F1': 8.6, 'Latency': 23.0}, {'F1': 8.3, 'Latency': 24.5}, {'F1': 7.5, 'Latency': 27.0}]","[0.0, 0.0, 0.005786721346362711, 0.0431609573665257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001853449199188173, 0.0, 0.0, 0.002372925593772779]"
"[{'F1': 9.5, 'Latency': 23.5}, {'F1': 8.0, 'Latency': 22.5}, {'F1': 7.5, 'Latency': 25.0}, {'F1': 9.0, 'Latency': 21.0}, {'F1': 8.5, 'Latency': 24.0}, {'F1': 9.5, 'Latency': 23.5}, {'F1': 10.2, 'Latency': 24.1}, {'F1': 8.7, 'Latency': 22.5}, {'F1': 9.8, 'Latency': 23.2}, {'F1': 10.1, 'Latency': 24.0}, {'F1': 8.15, 'Latency': 25.0}, {'F1': 7.7, 'Latency': 26.5}, {'F1': 8.6, 'Latency': 23.0}, {'F1': 8.3, 'Latency': 24.5}, {'F1': 7.5, 'Latency': 27.0}]","[0.0, 0.0, 0.005786721346362711, 0.0431609573665257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001853449199188173, 0.0, 0.0, 0.002372925593772779]"
"[{'F1': 9.5, 'Latency': 23.5}, {'F1': 8.0, 'Latency': 22.5}, {'F1': 7.5, 'Latency': 25.0}, {'F1': 9.0, 'Latency': 21.0}, {'F1': 8.5, 'Latency': 24.0}, {'F1': 9.5, 'Latency': 23.5}, {'F1': 10.2, 'Latency': 24.1}, {'F1': 8.7, 'Latency': 22.5}, {'F1': 9.8, 'Latency': 23.2}, {'F1': 10.1, 'Latency': 24.0}, {'F1': 8.15, 'Latency': 25.0}, {'F1': 7.7, 'Latency': 26.5}, {'F1': 8.6, 'Latency': 23.0}, {'F1': 8.3, 'Latency': 24.5}, {'F1': 7.5, 'Latency': 27.0}]","[0.0, 0.0, 0.005786721346362711, 0.0431609573665257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001853449199188173, 0.0, 0.0, 0.002372925593772779]"
"[{'F1': 9.5, 'Latency': 23.5}, {'F1': 8.0, 'Latency': 22.5}, {'F1': 7.5, 'Latency': 25.0}, {'F1': 9.0, 'Latency': 21.0}, {'F1': 8.5, 'Latency': 24.0}, {'F1': 9.5, 'Latency': 23.5}, {'F1': 10.2, 'Latency': 24.1}, {'F1': 8.7, 'Latency': 22.5}, {'F1': 9.8, 'Latency': 23.2}, {'F1': 10.1, 'Latency': 24.0}, {'F1': 8.15, 'Latency': 25.0}, {'F1': 7.7, 'Latency': 26.5}, {'F1': 8.6, 'Latency': 23.0}, {'F1': 8.3, 'Latency': 24.5}, {'F1': 7.5, 'Latency': 27.0}]","[0.0, 0.0, 0.005786721346362711, 0.0431609573665257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001853449199188173, 0.0, 0.0, 0.002372925593772779]"
"[{'F1': 7.5, 'Latency': 25.0}, {'F1': 7.0, 'Latency': 27.0}, {'F1': 8.5, 'Latency': 22.0}, {'F1': 7.2, 'Latency': 26.0}, {'F1': 7.8, 'Latency': 24.0}, {'F1': 7.5, 'Latency': 32.0}, {'F1': 7.5, 'Latency': 30.0}, {'F1': 11.5, 'Latency': 22.0}, {'F1': 7.5, 'Latency': 31.0}, {'F1': 7.5, 'Latency': 29.0}, {'F1': 9.5, 'Latency': 25.0}, {'F1': 7.5, 'Latency': 30.0}, {'F1': 10.0, 'Latency': 24.0}, {'F1': 9.0, 'Latency': 26.0}, {'F1': 11.5, 'Latency': 22.0}, {'F1': 12.5, 'Latency': 22.5}, {'F1': 10.0, 'Latency': 24.0}, {'F1': 8.0, 'Latency': 28.0}, {'F1': 11.5, 'Latency': 22.5}, {'F1': 11.0, 'Latency': 23.0}, {'F1': 10.5, 'Latency': 25.5}, {'F1': 12.5, 'Latency': 22.5}, {'F1': 8.5, 'Latency': 27.5}, {'F1': 11.5, 'Latency': 29.5}, {'F1': 14.5, 'Latency': 21.5}]","[0.004527800045140085, 0.012861189136559092, 0.0, 0.010147882163833222, 0.0021207884734428806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 7.5, 'Latency': 25.0}, {'F1': 7.0, 'Latency': 27.0}, {'F1': 8.5, 'Latency': 22.0}, {'F1': 7.2, 'Latency': 26.0}, {'F1': 7.8, 'Latency': 24.0}, {'F1': 7.5, 'Latency': 32.0}, {'F1': 7.5, 'Latency': 30.0}, {'F1': 11.5, 'Latency': 22.0}, {'F1': 7.5, 'Latency': 31.0}, {'F1': 7.5, 'Latency': 29.0}, {'F1': 9.5, 'Latency': 25.0}, {'F1': 7.5, 'Latency': 30.0}, {'F1': 10.0, 'Latency': 24.0}, {'F1': 9.0, 'Latency': 26.0}, {'F1': 11.5, 'Latency': 22.0}, {'F1': 12.5, 'Latency': 22.5}, {'F1': 10.0, 'Latency': 24.0}, {'F1': 8.0, 'Latency': 28.0}, {'F1': 11.5, 'Latency': 22.5}, {'F1': 11.0, 'Latency': 23.0}, {'F1': 10.5, 'Latency': 25.5}, {'F1': 12.5, 'Latency': 22.5}, {'F1': 8.5, 'Latency': 27.5}, {'F1': 11.5, 'Latency': 29.5}, {'F1': 14.5, 'Latency': 21.5}]","[0.004527800045140085, 0.012861189136559092, 0.0, 0.010147882163833222, 0.0021207884734428806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 7.5, 'Latency': 25.0}, {'F1': 7.0, 'Latency': 27.0}, {'F1': 8.5, 'Latency': 22.0}, {'F1': 7.2, 'Latency': 26.0}, {'F1': 7.8, 'Latency': 24.0}, {'F1': 7.5, 'Latency': 32.0}, {'F1': 7.5, 'Latency': 30.0}, {'F1': 11.5, 'Latency': 22.0}, {'F1': 7.5, 'Latency': 31.0}, {'F1': 7.5, 'Latency': 29.0}, {'F1': 9.5, 'Latency': 25.0}, {'F1': 7.5, 'Latency': 30.0}, {'F1': 10.0, 'Latency': 24.0}, {'F1': 9.0, 'Latency': 26.0}, {'F1': 11.5, 'Latency': 22.0}, {'F1': 12.5, 'Latency': 22.5}, {'F1': 10.0, 'Latency': 24.0}, {'F1': 8.0, 'Latency': 28.0}, {'F1': 11.5, 'Latency': 22.5}, {'F1': 11.0, 'Latency': 23.0}, {'F1': 10.5, 'Latency': 25.5}, {'F1': 12.5, 'Latency': 22.5}, {'F1': 8.5, 'Latency': 27.5}, {'F1': 11.5, 'Latency': 29.5}, {'F1': 14.5, 'Latency': 21.5}]","[0.004527800045140085, 0.012861189136559092, 0.0, 0.010147882163833222, 0.0021207884734428806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 7.5, 'Latency': 25.0}, {'F1': 7.0, 'Latency': 27.0}, {'F1': 8.5, 'Latency': 22.0}, {'F1': 7.2, 'Latency': 26.0}, {'F1': 7.8, 'Latency': 24.0}, {'F1': 7.5, 'Latency': 32.0}, {'F1': 7.5, 'Latency': 30.0}, {'F1': 11.5, 'Latency': 22.0}, {'F1': 7.5, 'Latency': 31.0}, {'F1': 7.5, 'Latency': 29.0}, {'F1': 9.5, 'Latency': 25.0}, {'F1': 7.5, 'Latency': 30.0}, {'F1': 10.0, 'Latency': 24.0}, {'F1': 9.0, 'Latency': 26.0}, {'F1': 11.5, 'Latency': 22.0}, {'F1': 12.5, 'Latency': 22.5}, {'F1': 10.0, 'Latency': 24.0}, {'F1': 8.0, 'Latency': 28.0}, {'F1': 11.5, 'Latency': 22.5}, {'F1': 11.0, 'Latency': 23.0}, {'F1': 10.5, 'Latency': 25.5}, {'F1': 12.5, 'Latency': 22.5}, {'F1': 8.5, 'Latency': 27.5}, {'F1': 11.5, 'Latency': 29.5}, {'F1': 14.5, 'Latency': 21.5}]","[0.004527800045140085, 0.012861189136559092, 0.0, 0.010147882163833222, 0.0021207884734428806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 8.0, 'Latency': 24.0}, {'F1': 10.0, 'Latency': 22.0}, {'F1': 12.0, 'Latency': 20.0}, {'F1': 11.0, 'Latency': 21.0}, {'F1': 9.0, 'Latency': 23.0}, {'F1': 11.05, 'Latency': 23.74}, {'F1': 7.54, 'Latency': 33.6}, {'F1': 8.4, 'Latency': 34.14}, {'F1': 7.44, 'Latency': 31.46}, {'F1': 11.85, 'Latency': 21.05}, {'F1': 7.44, 'Latency': 35.45}, {'F1': 8.99, 'Latency': 24.27}, {'F1': 8.4, 'Latency': 34.14}, {'F1': 7.97, 'Latency': 21.68}, {'F1': 7.44, 'Latency': 35.45}, {'F1': 7.97, 'Latency': 21.68}, {'F1': 7.54, 'Latency': 33.6}, {'F1': 11.85, 'Latency': 21.05}, {'F1': 7.44, 'Latency': 28.39}, {'F1': 8.99, 'Latency': 24.27}, {'F1': 11.05, 'Latency': 23.74}, {'F1': 7.19, 'Latency': 30.06}, {'F1': 7.44, 'Latency': 28.39}, {'F1': 11.85, 'Latency': 21.05}, {'F1': 13.66, 'Latency': 19.48}]","[0.0, 0.0, 0.004058573119781528, 0.001566303891461951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2383741383015234e-05, 0.0, 0.0, 0.0, 2.0084711271239897e-05, 0.0, 2.0084711271239897e-05, 0.0, 1.2383741383015234e-05, 1.9555862145193004e-05, 0.0, 0.0, 0.0, 1.9555862145193004e-05, 1.2383741383015234e-05, 1.215011534605459e-05]"
"[{'F1': 8.0, 'Latency': 24.0}, {'F1': 10.0, 'Latency': 22.0}, {'F1': 12.0, 'Latency': 20.0}, {'F1': 11.0, 'Latency': 21.0}, {'F1': 9.0, 'Latency': 23.0}, {'F1': 11.05, 'Latency': 23.74}, {'F1': 7.54, 'Latency': 33.6}, {'F1': 8.4, 'Latency': 34.14}, {'F1': 7.44, 'Latency': 31.46}, {'F1': 11.85, 'Latency': 21.05}, {'F1': 7.44, 'Latency': 35.45}, {'F1': 8.99, 'Latency': 24.27}, {'F1': 8.4, 'Latency': 34.14}, {'F1': 7.97, 'Latency': 21.68}, {'F1': 7.44, 'Latency': 35.45}, {'F1': 7.97, 'Latency': 21.68}, {'F1': 7.54, 'Latency': 33.6}, {'F1': 11.85, 'Latency': 21.05}, {'F1': 7.44, 'Latency': 28.39}, {'F1': 8.99, 'Latency': 24.27}, {'F1': 11.05, 'Latency': 23.74}, {'F1': 7.19, 'Latency': 30.06}, {'F1': 7.44, 'Latency': 28.39}, {'F1': 11.85, 'Latency': 21.05}, {'F1': 13.66, 'Latency': 19.48}]","[0.0, 0.0, 0.004058573119781528, 0.001566303891461951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2383741383015234e-05, 0.0, 0.0, 0.0, 2.0084711271239897e-05, 0.0, 2.0084711271239897e-05, 0.0, 1.2383741383015234e-05, 1.9555862145193004e-05, 0.0, 0.0, 0.0, 1.9555862145193004e-05, 1.2383741383015234e-05, 1.215011534605459e-05]"
"[{'F1': 8.0, 'Latency': 24.0}, {'F1': 10.0, 'Latency': 22.0}, {'F1': 12.0, 'Latency': 20.0}, {'F1': 11.0, 'Latency': 21.0}, {'F1': 9.0, 'Latency': 23.0}, {'F1': 11.05, 'Latency': 23.74}, {'F1': 7.54, 'Latency': 33.6}, {'F1': 8.4, 'Latency': 34.14}, {'F1': 7.44, 'Latency': 31.46}, {'F1': 11.85, 'Latency': 21.05}, {'F1': 7.44, 'Latency': 35.45}, {'F1': 8.99, 'Latency': 24.27}, {'F1': 8.4, 'Latency': 34.14}, {'F1': 7.97, 'Latency': 21.68}, {'F1': 7.44, 'Latency': 35.45}, {'F1': 7.97, 'Latency': 21.68}, {'F1': 7.54, 'Latency': 33.6}, {'F1': 11.85, 'Latency': 21.05}, {'F1': 7.44, 'Latency': 28.39}, {'F1': 8.99, 'Latency': 24.27}, {'F1': 11.05, 'Latency': 23.74}, {'F1': 7.19, 'Latency': 30.06}, {'F1': 7.44, 'Latency': 28.39}, {'F1': 11.85, 'Latency': 21.05}, {'F1': 13.66, 'Latency': 19.48}]","[0.0, 0.0, 0.004058573119781528, 0.001566303891461951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2383741383015234e-05, 0.0, 0.0, 0.0, 2.0084711271239897e-05, 0.0, 2.0084711271239897e-05, 0.0, 1.2383741383015234e-05, 1.9555862145193004e-05, 0.0, 0.0, 0.0, 1.9555862145193004e-05, 1.2383741383015234e-05, 1.215011534605459e-05]"
