surrogate_model_prediction,benchmark_evaluation
"{'F1': 9.0, 'Latency': 21.0}","{'f1': 11.850000000000009, 'latency': 21.05294704437256}"
"{'F1': 9.0, 'Latency': 21.0}","{'f1': 7.435000000000002, 'latency': 31.46233558654785}"
"{'F1': 9.0, 'Latency': 21.0}","{'f1': 13.663333333333341, 'latency': 19.47981834411621}"
"{'F1': 9.0, 'Latency': 21.0}","{'f1': 11.046666666666667, 'latency': 23.738784790039062}"
"{'F1': 7.0, 'Latency': 27.0}","{'f1': 6.414999999999992, 'latency': 35.44575214385986}"
"{'F1': 7.0, 'Latency': 27.0}","{'f1': 7.539999999999992, 'latency': 33.59745979309082}"
"{'F1': 7.0, 'Latency': 27.0}","{'f1': 8.400000000000006, 'latency': 34.139413833618164}"
"{'F1': 7.0, 'Latency': 27.0}","{'f1': 7.185000000000002, 'latency': 30.057029724121094}"
"{'F1': 12.0, 'Latency': 20.0}","{'f1': 7.884999999999991, 'latency': 21.098384857177734}"
"{'F1': 12.0, 'Latency': 20.0}","{'f1': 8.806666666666658, 'latency': 24.177818298339844}"
"{'F1': 12.0, 'Latency': 20.0}","{'f1': 9.239999999999995, 'latency': 30.85841655731201}"
"{'F1': 12.0, 'Latency': 20.0}","{'f1': 7.219999999999999, 'latency': 29.443483352661133}"
"{'F1': 12.0, 'Latency': 20.0}","{'f1': 8.920000000000002, 'latency': 25.860977172851562}"
"{'F1': 12.0, 'Latency': 20.0}","{'f1': 9.216666666666683, 'latency': 28.86899471282959}"
"{'F1': 12.0, 'Latency': 20.0}","{'f1': 7.930000000000007, 'latency': 20.803866386413574}"
"{'F1': 12.0, 'Latency': 20.0}","{'f1': 6.696666666666658, 'latency': 36.0810661315918}"
"{'F1': 7.0, 'Latency': 31.0}","{'f1': 11.329999999999998, 'latency': 28.919739723205566}"
"{'F1': 7.0, 'Latency': 31.0}","{'f1': 7.2450000000000045, 'latency': 30.038728713989258}"
"{'F1': 7.0, 'Latency': 31.0}","{'f1': 7.090000000000003, 'latency': 30.168213844299316}"
"{'F1': 7.0, 'Latency': 31.0}","{'f1': 7.765000000000001, 'latency': 26.61825180053711}"
"{'F1': 7.0, 'Latency': 29.0}","{'f1': 8.590000000000003, 'latency': 27.464847564697266}"
"{'F1': 7.0, 'Latency': 29.0}","{'f1': 8.316666666666663, 'latency': 34.57043647766113}"
"{'F1': 7.0, 'Latency': 29.0}","{'f1': 10.39, 'latency': 25.193519592285156}"
"{'F1': 7.0, 'Latency': 29.0}","{'f1': 10.35499999999999, 'latency': 25.28757095336914}"
"{'F1': 7.44, 'Latency': 28.39}","{'f1': 8.40666666666668, 'latency': 30.3200101852417}"
"{'F1': 7.44, 'Latency': 28.39}","{'f1': 13.620000000000005, 'latency': 25.16289710998535}"
"{'F1': 7.44, 'Latency': 28.39}","{'f1': 6.819999999999993, 'latency': 30.823211669921875}"
"{'F1': 7.44, 'Latency': 28.39}","{'f1': 12.360000000000014, 'latency': 26.684980392456055}"
"{'F1': 7.44, 'Latency': 28.39}","{'f1': 7.773333333333326, 'latency': 27.164363861083984}"
"{'F1': 7.44, 'Latency': 28.39}","{'f1': 8.576666666666668, 'latency': 31.065030097961426}"
"{'F1': 7.44, 'Latency': 28.39}","{'f1': 9.663333333333341, 'latency': 26.468658447265625}"
"{'F1': 7.44, 'Latency': 28.39}","{'f1': 8.476666666666645, 'latency': 25.302419662475586}"
"{'F1': 7.99, 'Latency': 24.2}","{'f1': 10.420000000000002, 'latency': 30.66023826599121}"
"{'F1': 7.99, 'Latency': 24.2}","{'f1': 8.873333333333335, 'latency': 28.62934112548828}"
"{'F1': 7.99, 'Latency': 24.2}","{'f1': 9.310000000000002, 'latency': 25.434365272521973}"
"{'F1': 7.99, 'Latency': 24.2}","{'f1': 12.775000000000006, 'latency': 25.453157424926758}"
"{'F1': 7.5, 'Latency': 29.0}","{'f1': 7.780000000000001, 'latency': 27.591614723205566}"
"{'F1': 7.5, 'Latency': 29.0}","{'f1': 7.469999999999985, 'latency': 30.01486301422119}"
"{'F1': 7.5, 'Latency': 29.0}","{'f1': 6.1299999999999955, 'latency': 29.54442024230957}"
"{'F1': 7.5, 'Latency': 29.0}","{'f1': 7.099999999999994, 'latency': 25.87271213531494}"
"{'F1': 8.0, 'Latency': 26.0}","{'f1': 7.566666666666663, 'latency': 33.611111640930176}"
"{'F1': 8.0, 'Latency': 26.0}","{'f1': 8.629999999999995, 'latency': 34.318809509277344}"
"{'F1': 8.0, 'Latency': 26.0}","{'f1': 7.150000000000006, 'latency': 33.336753845214844}"
"{'F1': 8.0, 'Latency': 26.0}","{'f1': 9.113333333333344, 'latency': 34.29201602935791}"
"{'F1': 13.66, 'Latency': 19.48}","{'f1': 7.923333333333332, 'latency': 24.267687797546387}"
"{'F1': 13.66, 'Latency': 19.48}","{'f1': 6.140000000000001, 'latency': 29.59730625152588}"
"{'F1': 13.66, 'Latency': 19.48}","{'f1': 7.719999999999985, 'latency': 27.894701957702637}"
"{'F1': 13.66, 'Latency': 19.48}","{'f1': 6.319999999999993, 'latency': 27.656641006469727}"
"{'F1': 7.93, 'Latency': 20.8}","{'f1': 7.680000000000007, 'latency': 24.966492652893066}"
"{'F1': 7.93, 'Latency': 20.8}","{'f1': 10.980000000000004, 'latency': 24.418163299560547}"
"{'F1': 7.93, 'Latency': 20.8}","{'f1': 7.295000000000002, 'latency': 25.349445343017578}"
"{'F1': 7.93, 'Latency': 20.8}","{'f1': 9.805000000000007, 'latency': 26.36636257171631}"
"{'F1': 6.32, 'Latency': 27.5}","{'f1': 6.164999999999992, 'latency': 29.85701084136963}"
"{'F1': 6.32, 'Latency': 27.5}","{'f1': 8.08999999999999, 'latency': 24.78048801422119}"
"{'F1': 6.32, 'Latency': 27.5}","{'f1': 7.650000000000006, 'latency': 30.028057098388672}"
"{'F1': 6.32, 'Latency': 27.5}","{'f1': 10.955000000000013, 'latency': 30.78972816467285}"
"{'F1': 8.41, 'Latency': 30.32}","{'f1': 8.855000000000004, 'latency': 25.086865425109863}"
"{'F1': 8.41, 'Latency': 30.32}","{'f1': 8.08999999999999, 'latency': 27.37419605255127}"
"{'F1': 8.41, 'Latency': 30.32}","{'f1': 10.14, 'latency': 22.052898406982422}"
"{'F1': 8.41, 'Latency': 30.32}","{'f1': 12.89, 'latency': 23.622841835021973}"
"{'F1': 6.3, 'Latency': 28.0}","{'f1': 6.360000000000014, 'latency': 29.933366775512695}"
"{'F1': 6.3, 'Latency': 28.0}","{'f1': 8.090000000000018, 'latency': 26.595945358276367}"
"{'F1': 6.3, 'Latency': 28.0}","{'f1': 7.576666666666668, 'latency': 29.267888069152832}"
"{'F1': 6.3, 'Latency': 28.0}","{'f1': 11.150000000000006, 'latency': 24.52667236328125}"
"{'F1': 8.92, 'Latency': 25.86}","{'f1': 6.6699999999999875, 'latency': 30.10063648223877}"
"{'F1': 8.92, 'Latency': 25.86}","{'f1': 7.576666666666668, 'latency': 25.256552696228027}"
"{'F1': 8.92, 'Latency': 25.86}","{'f1': 9.574999999999989, 'latency': 26.11192226409912}"
"{'F1': 8.92, 'Latency': 25.86}","{'f1': 10.469999999999999, 'latency': 25.03044605255127}"
"{'F1': 6.13, 'Latency': 29.54}","{'f1': 7.290000000000006, 'latency': 26.45714282989502}"
