candidate_evaluations,hypervolume_contributions
"[{'F1': 12.0, 'Latency': 22.5}, {'F1': 10.0, 'Latency': 20.0}, {'F1': 11.5, 'Latency': 24.0}, {'F1': 9.5, 'Latency': 27.0}, {'F1': 12.5, 'Latency': 23.0}, {'F1': 10.2, 'Latency': 26.5}, {'F1': 12.5, 'Latency': 29.0}, {'F1': 9.8, 'Latency': 27.5}, {'F1': 11.5, 'Latency': 25.0}, {'F1': 10.0, 'Latency': 28.0}, {'F1': 12.5, 'Latency': 23.0}, {'F1': 9.0, 'Latency': 27.0}, {'F1': 10.0, 'Latency': 26.0}, {'F1': 8.5, 'Latency': 29.0}, {'F1': 7.0, 'Latency': 30.0}, {'F1': 12.5, 'Latency': 25.0}, {'F1': 10.0, 'Latency': 23.5}, {'F1': 11.5, 'Latency': 24.0}, {'F1': 9.5, 'Latency': 27.0}, {'F1': 10.8, 'Latency': 26.0}, {'F1': 10.0, 'Latency': 22.0}, {'F1': 11.5, 'Latency': 20.5}, {'F1': 9.5, 'Latency': 27.0}, {'F1': 11.0, 'Latency': 22.5}, {'F1': 12.0, 'Latency': 19.0}]","[0.026533680350379618, 0.17515812824265564, 0.009985104645930276, 0.017899917951687994, 0.01283797828982336, 0.012197044011964309, 0.0, 0.008961659048137283, 0.0, 0.003157442876061567, 0.01283797828982336, 0.024292745791576587, 0.019856737347537234, 0.025216732517112428, 0.12008599412181231, 0.0, 0.06540665402179202, 0.009985104645930276, 0.017899917951687994, 0.0022063041497264457, 0.1124430001164477, 0.0710303033249905, 0.017899917951687994, 0.04576098495210401, 0.07134345384883856]"
"[{'F1': 12.0, 'Latency': 22.5}, {'F1': 10.0, 'Latency': 20.0}, {'F1': 11.5, 'Latency': 24.0}, {'F1': 9.5, 'Latency': 27.0}, {'F1': 12.5, 'Latency': 23.0}, {'F1': 10.2, 'Latency': 26.5}, {'F1': 12.5, 'Latency': 29.0}, {'F1': 9.8, 'Latency': 27.5}, {'F1': 11.5, 'Latency': 25.0}, {'F1': 10.0, 'Latency': 28.0}, {'F1': 12.5, 'Latency': 23.0}, {'F1': 9.0, 'Latency': 27.0}, {'F1': 10.0, 'Latency': 26.0}, {'F1': 8.5, 'Latency': 29.0}, {'F1': 7.0, 'Latency': 30.0}, {'F1': 12.5, 'Latency': 25.0}, {'F1': 10.0, 'Latency': 23.5}, {'F1': 11.5, 'Latency': 24.0}, {'F1': 9.5, 'Latency': 27.0}, {'F1': 10.8, 'Latency': 26.0}, {'F1': 10.0, 'Latency': 22.0}, {'F1': 11.5, 'Latency': 20.5}, {'F1': 9.5, 'Latency': 27.0}, {'F1': 11.0, 'Latency': 22.5}, {'F1': 12.0, 'Latency': 19.0}]","[0.026533680350379618, 0.17515812824265564, 0.009985104645930276, 0.017899917951687994, 0.01283797828982336, 0.012197044011964309, 0.0, 0.008961659048137283, 0.0, 0.003157442876061567, 0.01283797828982336, 0.024292745791576587, 0.019856737347537234, 0.025216732517112428, 0.12008599412181231, 0.0, 0.06540665402179202, 0.009985104645930276, 0.017899917951687994, 0.0022063041497264457, 0.1124430001164477, 0.0710303033249905, 0.017899917951687994, 0.04576098495210401, 0.07134345384883856]"
"[{'F1': 12.0, 'Latency': 22.5}, {'F1': 10.0, 'Latency': 20.0}, {'F1': 11.5, 'Latency': 24.0}, {'F1': 9.5, 'Latency': 27.0}, {'F1': 12.5, 'Latency': 23.0}, {'F1': 10.2, 'Latency': 26.5}, {'F1': 12.5, 'Latency': 29.0}, {'F1': 9.8, 'Latency': 27.5}, {'F1': 11.5, 'Latency': 25.0}, {'F1': 10.0, 'Latency': 28.0}, {'F1': 12.5, 'Latency': 23.0}, {'F1': 9.0, 'Latency': 27.0}, {'F1': 10.0, 'Latency': 26.0}, {'F1': 8.5, 'Latency': 29.0}, {'F1': 7.0, 'Latency': 30.0}, {'F1': 12.5, 'Latency': 25.0}, {'F1': 10.0, 'Latency': 23.5}, {'F1': 11.5, 'Latency': 24.0}, {'F1': 9.5, 'Latency': 27.0}, {'F1': 10.8, 'Latency': 26.0}, {'F1': 10.0, 'Latency': 22.0}, {'F1': 11.5, 'Latency': 20.5}, {'F1': 9.5, 'Latency': 27.0}, {'F1': 11.0, 'Latency': 22.5}, {'F1': 12.0, 'Latency': 19.0}]","[0.026533680350379618, 0.17515812824265564, 0.009985104645930276, 0.017899917951687994, 0.01283797828982336, 0.012197044011964309, 0.0, 0.008961659048137283, 0.0, 0.003157442876061567, 0.01283797828982336, 0.024292745791576587, 0.019856737347537234, 0.025216732517112428, 0.12008599412181231, 0.0, 0.06540665402179202, 0.009985104645930276, 0.017899917951687994, 0.0022063041497264457, 0.1124430001164477, 0.0710303033249905, 0.017899917951687994, 0.04576098495210401, 0.07134345384883856]"
"[{'F1': 12.0, 'Latency': 22.5}, {'F1': 10.0, 'Latency': 20.0}, {'F1': 11.5, 'Latency': 24.0}, {'F1': 9.5, 'Latency': 27.0}, {'F1': 12.5, 'Latency': 23.0}, {'F1': 10.2, 'Latency': 26.5}, {'F1': 12.5, 'Latency': 29.0}, {'F1': 9.8, 'Latency': 27.5}, {'F1': 11.5, 'Latency': 25.0}, {'F1': 10.0, 'Latency': 28.0}, {'F1': 12.5, 'Latency': 23.0}, {'F1': 9.0, 'Latency': 27.0}, {'F1': 10.0, 'Latency': 26.0}, {'F1': 8.5, 'Latency': 29.0}, {'F1': 7.0, 'Latency': 30.0}, {'F1': 12.5, 'Latency': 25.0}, {'F1': 10.0, 'Latency': 23.5}, {'F1': 11.5, 'Latency': 24.0}, {'F1': 9.5, 'Latency': 27.0}, {'F1': 10.8, 'Latency': 26.0}, {'F1': 10.0, 'Latency': 22.0}, {'F1': 11.5, 'Latency': 20.5}, {'F1': 9.5, 'Latency': 27.0}, {'F1': 11.0, 'Latency': 22.5}, {'F1': 12.0, 'Latency': 19.0}]","[0.026533680350379618, 0.17515812824265564, 0.009985104645930276, 0.017899917951687994, 0.01283797828982336, 0.012197044011964309, 0.0, 0.008961659048137283, 0.0, 0.003157442876061567, 0.01283797828982336, 0.024292745791576587, 0.019856737347537234, 0.025216732517112428, 0.12008599412181231, 0.0, 0.06540665402179202, 0.009985104645930276, 0.017899917951687994, 0.0022063041497264457, 0.1124430001164477, 0.0710303033249905, 0.017899917951687994, 0.04576098495210401, 0.07134345384883856]"
"[{'F1': 12.5, 'Latency': 22.0}, {'F1': 10.0, 'Latency': 26.0}, {'F1': 15.0, 'Latency': 20.5}, {'F1': 20.0, 'Latency': 18.0}, {'F1': 25.0, 'Latency': 17.0}, {'F1': 15.0, 'Latency': 20.0}, {'F1': 10.5, 'Latency': 22.0}, {'F1': 18.0, 'Latency': 21.0}, {'F1': 15.0, 'Latency': 23.0}, {'F1': 12.0, 'Latency': 19.0}, {'F1': 9.5, 'Latency': 26.0}, {'F1': 80.0, 'Latency': 15.5}, {'F1': 14.0, 'Latency': 29.0}, {'F1': 22.0, 'Latency': 20.0}, {'F1': 15.5, 'Latency': 27.0}, {'F1': 12.0, 'Latency': 22.0}, {'F1': 0.0, 'Latency': 50.0}, {'F1': 15.0, 'Latency': 18.0}, {'F1': 10.0, 'Latency': 20.0}, {'F1': 8.0, 'Latency': 30.0}, {'F1': 24.0, 'Latency': 20.5}, {'F1': 10.5, 'Latency': 27.0}, {'F1': 8.5, 'Latency': 30.0}, {'F1': 12.0, 'Latency': 22.0}, {'F1': 15.0, 'Latency': 26.0}]","[0.0007027030922179822, 0.0006643814417903737, 0.0, 0.0, 0.0, 0.0, 0.0027722811649304457, 0.0, 0.0, 0.0023870621794912505, 0.0010334822427850998, 0.0, 0.0, 0.0, 0.0, 0.001101966212796679, 0.017051873775969284, 0.00019982880932833957, 0.005860570533134046, 0.0015808418458160833, 0.0, 0.00017111677927927893, 0.0007154174776686784, 0.001101966212796679, 0.0]"
"[{'F1': 12.5, 'Latency': 22.0}, {'F1': 10.0, 'Latency': 26.0}, {'F1': 15.0, 'Latency': 20.5}, {'F1': 20.0, 'Latency': 18.0}, {'F1': 25.0, 'Latency': 17.0}, {'F1': 15.0, 'Latency': 20.0}, {'F1': 10.5, 'Latency': 22.0}, {'F1': 18.0, 'Latency': 21.0}, {'F1': 15.0, 'Latency': 23.0}, {'F1': 12.0, 'Latency': 19.0}, {'F1': 9.5, 'Latency': 26.0}, {'F1': 80.0, 'Latency': 15.5}, {'F1': 14.0, 'Latency': 29.0}, {'F1': 22.0, 'Latency': 20.0}, {'F1': 15.5, 'Latency': 27.0}, {'F1': 12.0, 'Latency': 22.0}, {'F1': 0.0, 'Latency': 50.0}, {'F1': 15.0, 'Latency': 18.0}, {'F1': 10.0, 'Latency': 20.0}, {'F1': 8.0, 'Latency': 30.0}, {'F1': 24.0, 'Latency': 20.5}, {'F1': 10.5, 'Latency': 27.0}, {'F1': 8.5, 'Latency': 30.0}, {'F1': 12.0, 'Latency': 22.0}, {'F1': 15.0, 'Latency': 26.0}]","[0.0007027030922179822, 0.0006643814417903737, 0.0, 0.0, 0.0, 0.0, 0.0027722811649304457, 0.0, 0.0, 0.0023870621794912505, 0.0010334822427850998, 0.0, 0.0, 0.0, 0.0, 0.001101966212796679, 0.017051873775969284, 0.00019982880932833957, 0.005860570533134046, 0.0015808418458160833, 0.0, 0.00017111677927927893, 0.0007154174776686784, 0.001101966212796679, 0.0]"
"[{'F1': 12.5, 'Latency': 22.0}, {'F1': 10.0, 'Latency': 26.0}, {'F1': 15.0, 'Latency': 20.5}, {'F1': 20.0, 'Latency': 18.0}, {'F1': 25.0, 'Latency': 17.0}, {'F1': 15.0, 'Latency': 20.0}, {'F1': 10.5, 'Latency': 22.0}, {'F1': 18.0, 'Latency': 21.0}, {'F1': 15.0, 'Latency': 23.0}, {'F1': 12.0, 'Latency': 19.0}, {'F1': 9.5, 'Latency': 26.0}, {'F1': 80.0, 'Latency': 15.5}, {'F1': 14.0, 'Latency': 29.0}, {'F1': 22.0, 'Latency': 20.0}, {'F1': 15.5, 'Latency': 27.0}, {'F1': 12.0, 'Latency': 22.0}, {'F1': 0.0, 'Latency': 50.0}, {'F1': 15.0, 'Latency': 18.0}, {'F1': 10.0, 'Latency': 20.0}, {'F1': 8.0, 'Latency': 30.0}, {'F1': 24.0, 'Latency': 20.5}, {'F1': 10.5, 'Latency': 27.0}, {'F1': 8.5, 'Latency': 30.0}, {'F1': 12.0, 'Latency': 22.0}, {'F1': 15.0, 'Latency': 26.0}]","[0.0007027030922179822, 0.0006643814417903737, 0.0, 0.0, 0.0, 0.0, 0.0027722811649304457, 0.0, 0.0, 0.0023870621794912505, 0.0010334822427850998, 0.0, 0.0, 0.0, 0.0, 0.001101966212796679, 0.017051873775969284, 0.00019982880932833957, 0.005860570533134046, 0.0015808418458160833, 0.0, 0.00017111677927927893, 0.0007154174776686784, 0.001101966212796679, 0.0]"
"[{'F1': 12.5, 'Latency': 22.0}, {'F1': 10.0, 'Latency': 26.0}, {'F1': 15.0, 'Latency': 20.5}, {'F1': 20.0, 'Latency': 18.0}, {'F1': 25.0, 'Latency': 17.0}, {'F1': 15.0, 'Latency': 20.0}, {'F1': 10.5, 'Latency': 22.0}, {'F1': 18.0, 'Latency': 21.0}, {'F1': 15.0, 'Latency': 23.0}, {'F1': 12.0, 'Latency': 19.0}, {'F1': 9.5, 'Latency': 26.0}, {'F1': 80.0, 'Latency': 15.5}, {'F1': 14.0, 'Latency': 29.0}, {'F1': 22.0, 'Latency': 20.0}, {'F1': 15.5, 'Latency': 27.0}, {'F1': 12.0, 'Latency': 22.0}, {'F1': 0.0, 'Latency': 50.0}, {'F1': 15.0, 'Latency': 18.0}, {'F1': 10.0, 'Latency': 20.0}, {'F1': 8.0, 'Latency': 30.0}, {'F1': 24.0, 'Latency': 20.5}, {'F1': 10.5, 'Latency': 27.0}, {'F1': 8.5, 'Latency': 30.0}, {'F1': 12.0, 'Latency': 22.0}, {'F1': 15.0, 'Latency': 26.0}]","[0.0007027030922179822, 0.0006643814417903737, 0.0, 0.0, 0.0, 0.0, 0.0027722811649304457, 0.0, 0.0, 0.0023870621794912505, 0.0010334822427850998, 0.0, 0.0, 0.0, 0.0, 0.001101966212796679, 0.017051873775969284, 0.00019982880932833957, 0.005860570533134046, 0.0015808418458160833, 0.0, 0.00017111677927927893, 0.0007154174776686784, 0.001101966212796679, 0.0]"
"[{'F1': 19.52, 'Latency': 17.21}, {'F1': 15.34, 'Latency': 17.35}, {'F1': 11.82, 'Latency': 15.22}, {'F1': 20.38, 'Latency': 18.45}, {'F1': 12.0, 'Latency': 12.8}, {'F1': 14.0, 'Latency': 15.0}, {'F1': 10.0, 'Latency': 14.5}, {'F1': 25.0, 'Latency': 20.0}, {'F1': 12.0, 'Latency': 23.0}, {'F1': 22.0, 'Latency': 18.0}, {'F1': 15.0, 'Latency': 15.0}, {'F1': 12.5, 'Latency': 18.0}, {'F1': 8.0, 'Latency': 13.5}, {'F1': 10.0, 'Latency': 14.0}, {'F1': 14.0, 'Latency': 16.0}, {'F1': 10.25, 'Latency': 27.75}, {'F1': 9.5, 'Latency': 20.4}, {'F1': 11.5, 'Latency': 26.0}, {'F1': 12.75, 'Latency': 22.1}, {'F1': 8.0, 'Latency': 30.5}, {'F1': 20.0, 'Latency': 18.0}, {'F1': 12.0, 'Latency': 17.0}, {'F1': 15.0, 'Latency': 18.5}, {'F1': 10.0, 'Latency': 16.5}, {'F1': 14.0, 'Latency': 19.0}]","[0.0, 0.0, 0.0, 0.0, 0.01917175474898669, 0.0, 0.00398709354873783, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023675389240015, 0.0041435317851867826, 0.0, 9.268376435200842e-05, 0.004368308565429357, 0.0, 0.0, 0.0024724849557198336, 0.0, 0.0, 0.0, 0.003361340602941354, 0.0]"
"[{'F1': 19.52, 'Latency': 17.21}, {'F1': 15.34, 'Latency': 17.35}, {'F1': 11.82, 'Latency': 15.22}, {'F1': 20.38, 'Latency': 18.45}, {'F1': 12.0, 'Latency': 12.8}, {'F1': 14.0, 'Latency': 15.0}, {'F1': 10.0, 'Latency': 14.5}, {'F1': 25.0, 'Latency': 20.0}, {'F1': 12.0, 'Latency': 23.0}, {'F1': 22.0, 'Latency': 18.0}, {'F1': 15.0, 'Latency': 15.0}, {'F1': 12.5, 'Latency': 18.0}, {'F1': 8.0, 'Latency': 13.5}, {'F1': 10.0, 'Latency': 14.0}, {'F1': 14.0, 'Latency': 16.0}, {'F1': 10.25, 'Latency': 27.75}, {'F1': 9.5, 'Latency': 20.4}, {'F1': 11.5, 'Latency': 26.0}, {'F1': 12.75, 'Latency': 22.1}, {'F1': 8.0, 'Latency': 30.5}, {'F1': 20.0, 'Latency': 18.0}, {'F1': 12.0, 'Latency': 17.0}, {'F1': 15.0, 'Latency': 18.5}, {'F1': 10.0, 'Latency': 16.5}, {'F1': 14.0, 'Latency': 19.0}]","[0.0, 0.0, 0.0, 0.0, 0.01917175474898669, 0.0, 0.00398709354873783, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023675389240015, 0.0041435317851867826, 0.0, 9.268376435200842e-05, 0.004368308565429357, 0.0, 0.0, 0.0024724849557198336, 0.0, 0.0, 0.0, 0.003361340602941354, 0.0]"
