surrogate_model_prediction,benchmark_evaluation
"{'F1': 9.0, 'Latency': 22.0}","{'f1': 7.730000000000004, 'latency': 25.243191719055176}"
"{'F1': 9.0, 'Latency': 22.0}","{'f1': 13.61, 'latency': 9.78945255279541}"
"{'F1': 9.0, 'Latency': 22.0}","{'f1': 20.790000000000006, 'latency': 13.90601634979248}"
"{'F1': 9.0, 'Latency': 22.0}","{'f1': 29.39666666666666, 'latency': 8.985953330993652}"
"{'F1': 7.0, 'Latency': 9.0}","{'f1': 90.0, 'latency': 13.159713745117188}"
"{'F1': 7.0, 'Latency': 9.0}","{'f1': 90.0, 'latency': 12.356963157653809}"
"{'F1': 7.0, 'Latency': 9.0}","{'f1': 90.0, 'latency': 15.6559419631958}"
"{'F1': 7.0, 'Latency': 9.0}","{'f1': 13.324999999999989, 'latency': 17.547249794006348}"
"{'F1': 9.5, 'Latency': 14.0}","{'f1': 13.525000000000006, 'latency': 17.934579849243164}"
"{'F1': 9.5, 'Latency': 14.0}","{'f1': 11.14, 'latency': 18.030595779418945}"
"{'F1': 9.5, 'Latency': 14.0}","{'f1': 40.575, 'latency': 17.47877597808838}"
"{'F1': 9.5, 'Latency': 14.0}","{'f1': 6.275000000000006, 'latency': 20.544896125793457}"
"{'F1': 12.0, 'Latency': 16.0}","{'f1': 15.783333333333346, 'latency': 16.616063117980957}"
"{'F1': 12.0, 'Latency': 16.0}","{'f1': 7.863333333333344, 'latency': 15.097713470458984}"
"{'F1': 12.0, 'Latency': 16.0}","{'f1': 31.835000000000008, 'latency': 25.9218692779541}"
"{'F1': 12.0, 'Latency': 16.0}","{'f1': 38.49333333333333, 'latency': 16.218876838684082}"
"{'F1': 15.0, 'Latency': 16.5}","{'f1': 11.11, 'latency': 26.080360412597656}"
"{'F1': 15.0, 'Latency': 16.5}","{'f1': 11.09666666666665, 'latency': 20.963687896728516}"
"{'F1': 15.0, 'Latency': 16.5}","{'f1': 37.485, 'latency': 17.26029872894287}"
"{'F1': 15.0, 'Latency': 16.5}","{'f1': 15.730000000000004, 'latency': 13.157944679260254}"
