candidate_evaluations,hypervolume_contributions
"[{'F1': 13.0, 'Latency': 20.0}, {'F1': 7.5, 'Latency': 18.5}, {'F1': 9.0, 'Latency': 17.0}, {'F1': 11.0, 'Latency': 19.0}, {'F1': 8.5, 'Latency': 21.0}, {'F1': 13.5, 'Latency': 18.5}, {'F1': 8.5, 'Latency': 21.0}, {'F1': 10.0, 'Latency': 24.0}, {'F1': 9.0, 'Latency': 22.5}, {'F1': 12.0, 'Latency': 19.0}, {'F1': 12.5, 'Latency': 19.5}, {'F1': 8.0, 'Latency': 15.0}, {'F1': 10.5, 'Latency': 22.0}, {'F1': 11.0, 'Latency': 18.0}, {'F1': 9.5, 'Latency': 16.5}, {'F1': 10.5, 'Latency': 18.5}, {'F1': 8.0, 'Latency': 22.0}, {'F1': 9.0, 'Latency': 19.0}, {'F1': 7.0, 'Latency': 25.5}, {'F1': 6.5, 'Latency': 24.0}, {'F1': 8.5, 'Latency': 18.5}, {'F1': 12.0, 'Latency': 19.0}, {'F1': 10.0, 'Latency': 20.5}, {'F1': 9.0, 'Latency': 21.0}, {'F1': 6.0, 'Latency': 15.0}]","[0.0, 0.0002551722082260177, 0.0015802644355660256, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009227264567870819, 0.0, 0.0, 0.0022287243910734666, 0.0, 0.0, 0.0, 0.001253973512797435, 0.004025813693159019, 0.0, 0.0, 0.0, 0.0, 0.0306060318204322]"
"[{'F1': 13.0, 'Latency': 20.0}, {'F1': 7.5, 'Latency': 18.5}, {'F1': 9.0, 'Latency': 17.0}, {'F1': 11.0, 'Latency': 19.0}, {'F1': 8.5, 'Latency': 21.0}, {'F1': 13.5, 'Latency': 18.5}, {'F1': 8.5, 'Latency': 21.0}, {'F1': 10.0, 'Latency': 24.0}, {'F1': 9.0, 'Latency': 22.5}, {'F1': 12.0, 'Latency': 19.0}, {'F1': 12.5, 'Latency': 19.5}, {'F1': 8.0, 'Latency': 15.0}, {'F1': 10.5, 'Latency': 22.0}, {'F1': 11.0, 'Latency': 18.0}, {'F1': 9.5, 'Latency': 16.5}, {'F1': 10.5, 'Latency': 18.5}, {'F1': 8.0, 'Latency': 22.0}, {'F1': 9.0, 'Latency': 19.0}, {'F1': 7.0, 'Latency': 25.5}, {'F1': 6.5, 'Latency': 24.0}, {'F1': 8.5, 'Latency': 18.5}, {'F1': 12.0, 'Latency': 19.0}, {'F1': 10.0, 'Latency': 20.5}, {'F1': 9.0, 'Latency': 21.0}, {'F1': 6.0, 'Latency': 15.0}]","[0.0, 0.0002551722082260177, 0.0015802644355660256, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009227264567870819, 0.0, 0.0, 0.0022287243910734666, 0.0, 0.0, 0.0, 0.001253973512797435, 0.004025813693159019, 0.0, 0.0, 0.0, 0.0, 0.0306060318204322]"
"[{'F1': 13.0, 'Latency': 20.0}, {'F1': 7.5, 'Latency': 18.5}, {'F1': 9.0, 'Latency': 17.0}, {'F1': 11.0, 'Latency': 19.0}, {'F1': 8.5, 'Latency': 21.0}, {'F1': 13.5, 'Latency': 18.5}, {'F1': 8.5, 'Latency': 21.0}, {'F1': 10.0, 'Latency': 24.0}, {'F1': 9.0, 'Latency': 22.5}, {'F1': 12.0, 'Latency': 19.0}, {'F1': 12.5, 'Latency': 19.5}, {'F1': 8.0, 'Latency': 15.0}, {'F1': 10.5, 'Latency': 22.0}, {'F1': 11.0, 'Latency': 18.0}, {'F1': 9.5, 'Latency': 16.5}, {'F1': 10.5, 'Latency': 18.5}, {'F1': 8.0, 'Latency': 22.0}, {'F1': 9.0, 'Latency': 19.0}, {'F1': 7.0, 'Latency': 25.5}, {'F1': 6.5, 'Latency': 24.0}, {'F1': 8.5, 'Latency': 18.5}, {'F1': 12.0, 'Latency': 19.0}, {'F1': 10.0, 'Latency': 20.5}, {'F1': 9.0, 'Latency': 21.0}, {'F1': 6.0, 'Latency': 15.0}]","[0.0, 0.0002551722082260177, 0.0015802644355660256, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009227264567870819, 0.0, 0.0, 0.0022287243910734666, 0.0, 0.0, 0.0, 0.001253973512797435, 0.004025813693159019, 0.0, 0.0, 0.0, 0.0, 0.0306060318204322]"
"[{'F1': 13.0, 'Latency': 20.0}, {'F1': 7.5, 'Latency': 18.5}, {'F1': 9.0, 'Latency': 17.0}, {'F1': 11.0, 'Latency': 19.0}, {'F1': 8.5, 'Latency': 21.0}, {'F1': 13.5, 'Latency': 18.5}, {'F1': 8.5, 'Latency': 21.0}, {'F1': 10.0, 'Latency': 24.0}, {'F1': 9.0, 'Latency': 22.5}, {'F1': 12.0, 'Latency': 19.0}, {'F1': 12.5, 'Latency': 19.5}, {'F1': 8.0, 'Latency': 15.0}, {'F1': 10.5, 'Latency': 22.0}, {'F1': 11.0, 'Latency': 18.0}, {'F1': 9.5, 'Latency': 16.5}, {'F1': 10.5, 'Latency': 18.5}, {'F1': 8.0, 'Latency': 22.0}, {'F1': 9.0, 'Latency': 19.0}, {'F1': 7.0, 'Latency': 25.5}, {'F1': 6.5, 'Latency': 24.0}, {'F1': 8.5, 'Latency': 18.5}, {'F1': 12.0, 'Latency': 19.0}, {'F1': 10.0, 'Latency': 20.5}, {'F1': 9.0, 'Latency': 21.0}, {'F1': 6.0, 'Latency': 15.0}]","[0.0, 0.0002551722082260177, 0.0015802644355660256, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009227264567870819, 0.0, 0.0, 0.0022287243910734666, 0.0, 0.0, 0.0, 0.001253973512797435, 0.004025813693159019, 0.0, 0.0, 0.0, 0.0, 0.0306060318204322]"
"[{'F1': 12.5, 'Latency': 15.5}, {'F1': 10.0, 'Latency': 14.0}, {'F1': 11.0, 'Latency': 18.0}, {'F1': 12.0, 'Latency': 16.0}, {'F1': 9.0, 'Latency': 20.0}, {'F1': 13.19, 'Latency': 14.91}, {'F1': 11.4, 'Latency': 20.3}, {'F1': 7.53, 'Latency': 17.64}, {'F1': 13.67, 'Latency': 14.91}, {'F1': 7.75, 'Latency': 25.0}, {'F1': 13.0, 'Latency': 14.5}, {'F1': 12.5, 'Latency': 13.5}, {'F1': 11.0, 'Latency': 15.0}, {'F1': 8.0, 'Latency': 20.0}, {'F1': 10.0, 'Latency': 16.0}, {'F1': 20.0, 'Latency': 15.5}, {'F1': 18.0, 'Latency': 14.0}, {'F1': 19.0, 'Latency': 16.5}, {'F1': 15.0, 'Latency': 13.5}, {'F1': 12.0, 'Latency': 14.5}, {'F1': 12.5, 'Latency': 16.5}, {'F1': 8.5, 'Latency': 22.0}, {'F1': 10.0, 'Latency': 19.0}, {'F1': 15.0, 'Latency': 15.5}, {'F1': 11.0, 'Latency': 18.0}]","[0.0, 0.004801422537229483, 0.0, 0.0, 0.0, 0.0, 0.0, 1.212903057767889e-06, 0.0, 0.0, 0.0, 0.00039999251725442164, 0.0010009002556938817, 0.0, 0.0021635197379286097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 12.5, 'Latency': 15.5}, {'F1': 10.0, 'Latency': 14.0}, {'F1': 11.0, 'Latency': 18.0}, {'F1': 12.0, 'Latency': 16.0}, {'F1': 9.0, 'Latency': 20.0}, {'F1': 13.19, 'Latency': 14.91}, {'F1': 11.4, 'Latency': 20.3}, {'F1': 7.53, 'Latency': 17.64}, {'F1': 13.67, 'Latency': 14.91}, {'F1': 7.75, 'Latency': 25.0}, {'F1': 13.0, 'Latency': 14.5}, {'F1': 12.5, 'Latency': 13.5}, {'F1': 11.0, 'Latency': 15.0}, {'F1': 8.0, 'Latency': 20.0}, {'F1': 10.0, 'Latency': 16.0}, {'F1': 20.0, 'Latency': 15.5}, {'F1': 18.0, 'Latency': 14.0}, {'F1': 19.0, 'Latency': 16.5}, {'F1': 15.0, 'Latency': 13.5}, {'F1': 12.0, 'Latency': 14.5}, {'F1': 12.5, 'Latency': 16.5}, {'F1': 8.5, 'Latency': 22.0}, {'F1': 10.0, 'Latency': 19.0}, {'F1': 15.0, 'Latency': 15.5}, {'F1': 11.0, 'Latency': 18.0}]","[0.0, 0.004801422537229483, 0.0, 0.0, 0.0, 0.0, 0.0, 1.212903057767889e-06, 0.0, 0.0, 0.0, 0.00039999251725442164, 0.0010009002556938817, 0.0, 0.0021635197379286097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 12.5, 'Latency': 15.5}, {'F1': 10.0, 'Latency': 14.0}, {'F1': 11.0, 'Latency': 18.0}, {'F1': 12.0, 'Latency': 16.0}, {'F1': 9.0, 'Latency': 20.0}, {'F1': 13.19, 'Latency': 14.91}, {'F1': 11.4, 'Latency': 20.3}, {'F1': 7.53, 'Latency': 17.64}, {'F1': 13.67, 'Latency': 14.91}, {'F1': 7.75, 'Latency': 25.0}, {'F1': 13.0, 'Latency': 14.5}, {'F1': 12.5, 'Latency': 13.5}, {'F1': 11.0, 'Latency': 15.0}, {'F1': 8.0, 'Latency': 20.0}, {'F1': 10.0, 'Latency': 16.0}, {'F1': 20.0, 'Latency': 15.5}, {'F1': 18.0, 'Latency': 14.0}, {'F1': 19.0, 'Latency': 16.5}, {'F1': 15.0, 'Latency': 13.5}, {'F1': 12.0, 'Latency': 14.5}, {'F1': 12.5, 'Latency': 16.5}, {'F1': 8.5, 'Latency': 22.0}, {'F1': 10.0, 'Latency': 19.0}, {'F1': 15.0, 'Latency': 15.5}, {'F1': 11.0, 'Latency': 18.0}]","[0.0, 0.004801422537229483, 0.0, 0.0, 0.0, 0.0, 0.0, 1.212903057767889e-06, 0.0, 0.0, 0.0, 0.00039999251725442164, 0.0010009002556938817, 0.0, 0.0021635197379286097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 12.5, 'Latency': 15.5}, {'F1': 10.0, 'Latency': 14.0}, {'F1': 11.0, 'Latency': 18.0}, {'F1': 12.0, 'Latency': 16.0}, {'F1': 9.0, 'Latency': 20.0}, {'F1': 13.19, 'Latency': 14.91}, {'F1': 11.4, 'Latency': 20.3}, {'F1': 7.53, 'Latency': 17.64}, {'F1': 13.67, 'Latency': 14.91}, {'F1': 7.75, 'Latency': 25.0}, {'F1': 13.0, 'Latency': 14.5}, {'F1': 12.5, 'Latency': 13.5}, {'F1': 11.0, 'Latency': 15.0}, {'F1': 8.0, 'Latency': 20.0}, {'F1': 10.0, 'Latency': 16.0}, {'F1': 20.0, 'Latency': 15.5}, {'F1': 18.0, 'Latency': 14.0}, {'F1': 19.0, 'Latency': 16.5}, {'F1': 15.0, 'Latency': 13.5}, {'F1': 12.0, 'Latency': 14.5}, {'F1': 12.5, 'Latency': 16.5}, {'F1': 8.5, 'Latency': 22.0}, {'F1': 10.0, 'Latency': 19.0}, {'F1': 15.0, 'Latency': 15.5}, {'F1': 11.0, 'Latency': 18.0}]","[0.0, 0.004801422537229483, 0.0, 0.0, 0.0, 0.0, 0.0, 1.212903057767889e-06, 0.0, 0.0, 0.0, 0.00039999251725442164, 0.0010009002556938817, 0.0, 0.0021635197379286097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 26.5, 'Latency': 17.5}, {'F1': 14.0, 'Latency': 15.0}, {'F1': 33.0, 'Latency': 19.0}, {'F1': 29.0, 'Latency': 20.0}, {'F1': 15.0, 'Latency': 14.0}, {'F1': 20.0, 'Latency': 15.0}, {'F1': 15.0, 'Latency': 16.0}, {'F1': 10.0, 'Latency': 18.0}, {'F1': 28.0, 'Latency': 14.0}, {'F1': 25.0, 'Latency': 17.0}, {'F1': 28.45, 'Latency': 15.5}, {'F1': 25.3, 'Latency': 16.2}, {'F1': 31.0, 'Latency': 13.5}, {'F1': 29.1, 'Latency': 14.0}, {'F1': 13.9, 'Latency': 12.5}, {'F1': 20.0, 'Latency': 17.5}, {'F1': 25.0, 'Latency': 15.0}, {'F1': 12.0, 'Latency': 13.0}, {'F1': 16.0, 'Latency': 20.0}, {'F1': 10.0, 'Latency': 14.0}, {'F1': 11.04, 'Latency': 14.91}, {'F1': 7.75, 'Latency': 25.0}, {'F1': 13.67, 'Latency': 14.91}, {'F1': 13.19, 'Latency': 25.25}, {'F1': 13.02, 'Latency': 20.3}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001317863027039845, 0.0, 0.004801270273983249, 0.0009323416136024498, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 26.5, 'Latency': 17.5}, {'F1': 14.0, 'Latency': 15.0}, {'F1': 33.0, 'Latency': 19.0}, {'F1': 29.0, 'Latency': 20.0}, {'F1': 15.0, 'Latency': 14.0}, {'F1': 20.0, 'Latency': 15.0}, {'F1': 15.0, 'Latency': 16.0}, {'F1': 10.0, 'Latency': 18.0}, {'F1': 28.0, 'Latency': 14.0}, {'F1': 25.0, 'Latency': 17.0}, {'F1': 28.45, 'Latency': 15.5}, {'F1': 25.3, 'Latency': 16.2}, {'F1': 31.0, 'Latency': 13.5}, {'F1': 29.1, 'Latency': 14.0}, {'F1': 13.9, 'Latency': 12.5}, {'F1': 20.0, 'Latency': 17.5}, {'F1': 25.0, 'Latency': 15.0}, {'F1': 12.0, 'Latency': 13.0}, {'F1': 16.0, 'Latency': 20.0}, {'F1': 10.0, 'Latency': 14.0}, {'F1': 11.04, 'Latency': 14.91}, {'F1': 7.75, 'Latency': 25.0}, {'F1': 13.67, 'Latency': 14.91}, {'F1': 13.19, 'Latency': 25.25}, {'F1': 13.02, 'Latency': 20.3}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001317863027039845, 0.0, 0.004801270273983249, 0.0009323416136024498, 0.0, 0.0, 0.0, 0.0]"
