surrogate_model_prediction,benchmark_evaluation
"{'F1': 6.0, 'Latency': 15.0}","{'f1': 13.670000000000002, 'latency': 14.909992218017578}"
"{'F1': 6.0, 'Latency': 15.0}","{'f1': 13.546666666666667, 'latency': 12.348747253417969}"
"{'F1': 6.0, 'Latency': 15.0}","{'f1': 13.186666666666667, 'latency': 25.24959087371826}"
"{'F1': 6.0, 'Latency': 15.0}","{'f1': 31.723333333333343, 'latency': 13.266730308532715}"
"{'F1': 10.0, 'Latency': 14.0}","{'f1': 90.0, 'latency': 14.684944152832031}"
"{'F1': 10.0, 'Latency': 14.0}","{'f1': 33.89, 'latency': 17.39429473876953}"
"{'F1': 10.0, 'Latency': 14.0}","{'f1': 11.043333333333337, 'latency': 17.886381149291992}"
"{'F1': 10.0, 'Latency': 14.0}","{'f1': 26.290000000000006, 'latency': 18.87166976928711}"
"{'F1': 10.0, 'Latency': 14.0}","{'f1': 13.480000000000004, 'latency': 18.08143138885498}"
"{'F1': 10.0, 'Latency': 14.0}","{'f1': 10.930000000000007, 'latency': 13.923816680908203}"
"{'F1': 10.0, 'Latency': 14.0}","{'f1': 10.533333333333317, 'latency': 11.919198036193848}"
"{'F1': 10.0, 'Latency': 14.0}","{'f1': 20.439999999999998, 'latency': 13.912715911865234}"
"{'F1': 10.53, 'Latency': 11.92}","{'f1': 90.0, 'latency': 11.465206146240234}"
"{'F1': 10.53, 'Latency': 11.92}","{'f1': 15.25, 'latency': 13.073291778564453}"
"{'F1': 10.53, 'Latency': 11.92}","{'f1': 24.226666666666674, 'latency': 14.764847755432129}"
"{'F1': 10.53, 'Latency': 11.92}","{'f1': 24.314999999999998, 'latency': 22.57795810699463}"
"{'F1': 7.53, 'Latency': 17.64}","{'f1': 7.759999999999991, 'latency': 18.447346687316895}"
"{'F1': 7.53, 'Latency': 17.64}","{'f1': 13.563333333333333, 'latency': 10.67023754119873}"
"{'F1': 7.53, 'Latency': 17.64}","{'f1': 90.0, 'latency': 22.08794593811035}"
"{'F1': 7.53, 'Latency': 17.64}","{'f1': 24.473333333333343, 'latency': 14.935145378112793}"
"{'F1': 10.5, 'Latency': 14.0}","{'f1': 13.294999999999987, 'latency': 10.640363693237305}"
"{'F1': 10.5, 'Latency': 14.0}","{'f1': 15.849999999999994, 'latency': 13.04527759552002}"
"{'F1': 10.5, 'Latency': 14.0}","{'f1': 31.935000000000002, 'latency': 18.560032844543457}"
"{'F1': 10.5, 'Latency': 14.0}","{'f1': 22.89, 'latency': 18.431005477905273}"
"{'F1': 13.29, 'Latency': 10.64}","{'f1': 13.620000000000005, 'latency': 14.061284065246582}"
"{'F1': 13.29, 'Latency': 10.64}","{'f1': 13.203333333333333, 'latency': 10.671820640563965}"
"{'F1': 13.29, 'Latency': 10.64}","{'f1': 24.429999999999993, 'latency': 17.14643955230713}"
"{'F1': 13.29, 'Latency': 10.64}","{'f1': 11.144999999999996, 'latency': 19.791808128356934}"
"{'F1': 6.0, 'Latency': 23.0}","{'f1': 9.574999999999989, 'latency': 24.947805404663086}"
"{'F1': 6.0, 'Latency': 23.0}","{'f1': 13.530000000000001, 'latency': 18.49133014678955}"
"{'F1': 6.0, 'Latency': 23.0}","{'f1': 90.0, 'latency': 14.931344985961914}"
"{'F1': 6.0, 'Latency': 23.0}","{'f1': 21.013333333333335, 'latency': 18.15741539001465}"
"{'F1': 31.72, 'Latency': 13.27}","{'f1': 90.0, 'latency': 10.680837631225586}"
"{'F1': 31.72, 'Latency': 13.27}","{'f1': 13.370000000000005, 'latency': 15.669493675231932}"
"{'F1': 31.72, 'Latency': 13.27}","{'f1': 26.950000000000003, 'latency': 18.107409477233887}"
"{'F1': 31.72, 'Latency': 13.27}","{'f1': 13.466666666666654, 'latency': 9.855060577392578}"
"{'F1': 13.29, 'Latency': 10.64}","{'f1': 90.0, 'latency': 11.493821144104004}"
"{'F1': 13.29, 'Latency': 10.64}","{'f1': 15.713333333333338, 'latency': 9.901394844055176}"
"{'F1': 13.29, 'Latency': 10.64}","{'f1': 13.579999999999998, 'latency': 17.36696720123291}"
"{'F1': 13.29, 'Latency': 10.64}","{'f1': 90.0, 'latency': 10.595459938049316}"
"{'F1': 13.29, 'Latency': 10.64}","{'f1': 13.289999999999992, 'latency': 10.651845932006836}"
"{'F1': 13.29, 'Latency': 10.64}","{'f1': 90.0, 'latency': 18.066020011901855}"
"{'F1': 13.29, 'Latency': 10.64}","{'f1': 10.576666666666654, 'latency': 16.51102066040039}"
"{'F1': 13.29, 'Latency': 10.64}","{'f1': 24.61333333333333, 'latency': 18.886585235595703}"
"{'F1': 24.47, 'Latency': 17.15}","{'f1': 90.0, 'latency': 15.6559419631958}"
"{'F1': 24.47, 'Latency': 17.15}","{'f1': 41.21666666666667, 'latency': 16.106739044189453}"
"{'F1': 24.47, 'Latency': 17.15}","{'f1': 20.78333333333333, 'latency': 21.612401008605957}"
"{'F1': 24.47, 'Latency': 17.15}","{'f1': 10.610000000000014, 'latency': 20.87625503540039}"
"{'F1': 13.58, 'Latency': 14.06}","{'f1': 15.819999999999993, 'latency': 27.526631355285645}"
"{'F1': 13.58, 'Latency': 14.06}","{'f1': 20.86, 'latency': 15.76817989349365}"
"{'F1': 13.58, 'Latency': 14.06}","{'f1': 15.97999999999999, 'latency': 14.043636322021484}"
"{'F1': 13.58, 'Latency': 14.06}","{'f1': 24.629999999999995, 'latency': 19.231014251708984}"
"{'F1': 13.02, 'Latency': 20.3}","{'f1': 24.36, 'latency': 15.642895698547363}"
"{'F1': 13.02, 'Latency': 20.3}","{'f1': 20.790000000000006, 'latency': 13.90601634979248}"
"{'F1': 13.02, 'Latency': 20.3}","{'f1': 11.025000000000006, 'latency': 20.638980865478516}"
"{'F1': 13.02, 'Latency': 20.3}","{'f1': 90.0, 'latency': 16.961493492126465}"
"{'F1': 7.76, 'Latency': 10.67}","{'f1': 90.0, 'latency': 14.642596244812012}"
"{'F1': 7.76, 'Latency': 10.67}","{'f1': 15.36333333333333, 'latency': 10.837492942810059}"
"{'F1': 7.76, 'Latency': 10.67}","{'f1': 13.344999999999999, 'latency': 11.473932266235352}"
"{'F1': 7.76, 'Latency': 10.67}","{'f1': 10.579999999999998, 'latency': 16.56264305114746}"
