prompt_tokens,completion_tokens,total_tokens
874,342,1216
1283,97,1380
874,342,1216
1283,97,1380
874,342,1216
1283,97,1380
874,342,1216
1283,97,1380
874,342,1216
1283,97,1380
874,342,1216
874,342,1216
874,342,1216
874,342,1216
874,342,1216
1283,97,1380
1283,97,1380
1283,97,1380
1283,97,1380
1283,97,1380
1218,342,1560
1627,97,1724
1218,342,1560
1627,97,1724
1218,342,1560
1627,97,1724
1218,342,1560
1627,97,1724
1218,342,1560
1627,97,1724
1218,342,1560
1218,342,1560
1218,342,1560
1218,342,1560
1218,342,1560
1627,97,1724
1627,97,1724
1627,97,1724
1627,97,1724
1627,97,1724
1562,342,1904
1971,97,2068
1562,342,1904
1971,97,2068
1562,342,1904
1971,97,2068
1562,342,1904
1971,97,2068
1562,342,1904
1971,97,2068
1562,342,1904
1562,342,1904
1562,342,1904
1562,342,1904
1971,97,2068
1562,342,1904
1971,97,2068
1971,97,2068
1971,97,2068
1971,97,2068
1906,342,2248
2315,97,2412
1906,342,2248
2315,97,2412
1906,342,2248
2315,97,2412
1906,342,2248
2315,97,2412
1906,342,2248
2315,97,2412
1906,342,2248
1906,342,2248
1906,342,2248
1906,342,2248
2315,97,2412
2315,97,2412
2315,97,2412
2315,97,2412
1906,342,2248
2315,97,2412
2250,342,2592
2659,97,2756
2250,342,2592
2659,97,2756
2250,342,2592
2659,97,2756
2250,342,2592
2659,97,2756
2250,342,2592
2659,97,2756
2250,342,2592
2250,342,2592
2250,342,2592
2250,342,2592
2250,342,2592
2659,97,2756
2659,97,2756
2659,97,2756
2659,97,2756
2659,97,2756
2594,342,2936
3003,97,3100
2594,342,2936
3003,97,3100
2594,342,2936
3003,97,3100
2594,342,2936
3003,97,3100
2594,342,2936
3003,97,3100
2594,342,2936
2594,342,2936
2594,342,2936
2594,342,2936
3003,97,3100
3003,97,3100
3003,97,3100
3003,97,3100
2594,342,2936
3003,97,3100
2938,342,3280
3347,97,3444
2938,342,3280
3347,97,3444
2938,342,3280
3347,97,3444
2938,342,3280
3347,97,3444
2938,342,3280
3347,97,3444
2938,342,3280
2938,342,3280
2938,342,3280
3347,97,3444
2938,342,3280
3347,97,3444
3347,97,3444
3347,97,3444
2938,342,3280
3347,97,3444
3282,342,3624
3691,97,3788
3282,342,3624
3691,97,3788
3282,342,3624
3691,97,3788
3282,342,3624
3691,97,3788
3282,342,3624
3691,97,3788
3282,342,3624
3282,342,3624
3282,342,3624
3282,342,3624
3282,342,3624
3691,97,3788
3691,97,3788
3691,97,3788
3691,97,3788
3691,97,3788
3626,342,3968
4035,97,4132
3626,342,3968
4035,97,4132
3626,342,3968
4035,97,4132
3626,342,3968
4035,97,4132
3626,342,3968
4035,97,4132
3626,342,3968
3626,342,3968
3626,342,3968
3626,342,3968
3626,342,3968
3626,72,3698
4035,97,4132
4035,97,4132
4035,97,4132
4035,97,4132
4035,97,4132
3970,342,4312
4379,97,4476
3970,342,4312
4379,97,4476
3970,342,4312
4379,97,4476
3970,342,4312
4379,97,4476
3970,342,4312
4379,97,4476
3970,342,4312
3970,342,4312
3970,342,4312
4379,97,4476
4379,97,4476
4379,97,4476
3970,342,4312
3970,342,4312
4379,97,4476
4379,97,4476
4314,342,4656
4723,97,4820
4314,342,4656
4723,97,4820
4314,342,4656
4314,72,4386
4723,97,4820
4314,342,4656
4723,97,4820
4314,342,4656
4723,97,4820
4314,342,4656
4314,342,4656
4314,72,4386
4314,342,4656
4314,342,4656
4723,97,4820
4723,97,4820
4723,97,4820
4314,342,4656
4723,97,4820
4723,97,4820
4658,342,5000
5067,97,5164
4658,342,5000
5067,97,5164
4658,342,5000
5067,97,5164
4658,342,5000
5067,97,5164
4658,342,5000
5067,97,5164
4658,342,5000
4658,342,5000
4658,342,5000
4658,342,5000
4658,342,5000
5067,97,5164
5067,97,5164
4658,72,4730
5067,97,5164
5067,97,5164
5067,97,5164
5002,342,5344
5411,97,5508
5002,342,5344
5411,97,5508
5002,342,5344
5411,97,5508
5002,342,5344
5002,72,5074
5411,97,5508
5002,342,5344
5411,97,5508
5002,342,5344
5002,342,5344
5002,342,5344
5002,342,5344
5411,97,5508
5411,97,5508
5411,97,5508
5411,97,5508
5002,342,5344
5411,97,5508
5346,342,5688
5346,72,5418
5755,97,5852
5346,342,5688
5755,97,5852
5346,342,5688
5755,97,5852
5346,342,5688
5755,97,5852
5346,342,5688
5755,97,5852
5346,342,5688
5346,342,5688
5346,342,5688
5346,342,5688
5755,97,5852
5755,97,5852
5755,97,5852
5755,97,5852
5346,342,5688
5755,97,5852
5690,342,6032
5690,72,5762
5690,72,5762
6099,97,6196
5690,342,6032
6099,97,6196
5690,342,6032
6099,97,6196
5690,342,6032
6099,97,6196
5690,342,6032
5690,72,5762
6099,97,6196
5690,342,6032
5690,342,6032
5690,342,6032
5690,342,6032
5690,342,6032
6099,97,6196
5690,72,5762
6099,97,6196
6099,97,6196
6099,97,6196
6099,97,6196
