configs,runtime_traj,F1
"{'x0': -0.9144026384596736, 'x1': 12.170842440402367, 'x2': 31.822712056158537, 'x3': -19.949393663608586, 'x4': 5.466467433422785, 'x5': 31.495433558380057, 'x6': -20.94004323025206, 'x7': 13.20344846874722, 'x8': 22.69574238261167, 'x9': 19.445140373721564, 'x10': 23.50307463233125, 'x11': 1.1470216809898304, 'x12': -30.026801012130264, 'x13': -13.330879964485897, 'x14': -23.457556006569853, 'x15': -27.634780488991854, 'x16': 24.059892100639463, 'x17': 10.436201673756315, 'x18': -9.354951938197964, 'x19': 30.505718475299965}",5.017284009001742,21.527
"{'x0': -21.947029464521336, 'x1': 27.473579982619533, 'x2': 18.55129353962013, 'x3': -21.18270073020559, 'x4': 0.3780390673646963, 'x5': -15.88100789934807, 'x6': 32.095376465672416, 'x7': 12.759862563126845, 'x8': 6.479822157915713, 'x9': -27.37054766452609, 'x10': -15.93148387300374, 'x11': 29.82382412210652, 'x12': 15.178579794987016, 'x13': -28.1857438933942, 'x14': -32.715405302705314, 'x15': 30.747025614384874, 'x16': -4.5750756592935495, 'x17': -17.001384828991476, 'x18': -6.219046107893753, 'x19': -23.56649013109586}",5.017259168998862,21.455
"{'x0': 29.56311112621177, 'x1': 29.85058865499495, 'x2': 9.427795785756231, 'x3': -18.571260012933664, 'x4': 2.269814066214174, 'x5': -20.418914416522757, 'x6': 5.265881918359305, 'x7': 7.116753015275947, 'x8': 13.006685510418428, 'x9': -19.229213287701064, 'x10': -22.97416870769316, 'x11': -16.805328458541094, 'x12': -11.26004556316606, 'x13': -18.676387905351323, 'x14': 16.31360808300618, 'x15': -4.912181565283571, 'x16': -8.455928129021334, 'x17': -1.732572687959422, 'x18': 6.62465479717708, 'x19': -25.716138767618816}",5.01731916800054,21.111
"{'x0': -13.572336428197648, 'x1': -17.587085783273686, 'x2': 15.922445968581137, 'x3': 20.63534197467904, 'x4': -10.303312785301504, 'x5': 27.14324795906721, 'x6': -7.379466867271141, 'x7': -3.671027090094228, 'x8': 30.429290421856827, 'x9': -15.896487242277177, 'x10': -11.934261706081228, 'x11': -31.47546694208611, 'x12': 24.47021188930913, 'x13': 10.177130585956114, 'x14': -19.823102344368024, 'x15': -14.542531375009006, 'x16': -17.614925906369912, 'x17': 20.14201782606922, 'x18': -16.16062070648528, 'x19': 18.645158489649795}",5.017302038999333,21.424
"{'x0': 15.151332576014653, 'x1': -14.441560529527417, 'x2': 21.87561187891445, 'x3': 23.98685200270377, 'x4': 11.736823893248996, 'x5': 22.70124140307373, 'x6': 22.291584791280208, 'x7': 19.0212473370821, 'x8': -19.765465067362683, 'x9': 26.32949521952344, 'x10': -5.7394687492272, 'x11': 16.58833997007082, 'x12': 27.641414202601247, 'x13': 21.66329554031787, 'x14': -28.2032278405212, 'x15': -23.17759806856812, 'x16': 5.701720770988644, 'x17': 21.56010267191934, 'x18': 20.001449280330448, 'x19': -0.1266833714238799}",10.024739462998696,21.316
"{'x0': -30.54095916043431, 'x1': -5.921785369303208, 'x2': 2.8643230319935924, 'x3': 26.658416929301616, 'x4': -19.0704367504328, 'x5': 8.614539241646227, 'x6': 28.39415280664188, 'x7': -28.57317202648538, 'x8': 1.6706009657092196, 'x9': 14.377461548190333, 'x10': -32.47433695549914, 'x11': -29.475668736015, 'x12': -12.692369749247089, 'x13': 23.77873998556785, 'x14': 17.44389245081583, 'x15': -27.41094938465085, 'x16': 24.05194933739609, 'x17': -12.629829776515027, 'x18': -22.64846449203742, 'x19': 20.914422389028104}",10.02476734299853,21.717
"{'x0': -17.642768131019025, 'x1': -12.990217269878574, 'x2': 16.180975893737404, 'x3': 27.84064380511393, 'x4': -1.7100973307245226, 'x5': -28.413103102757844, 'x6': -6.105341220461515, 'x7': -21.49519852430056, 'x8': 13.45307106865775, 'x9': -1.684911085476596, 'x10': -17.200465536323982, 'x11': -15.447082674766992, 'x12': 2.46775635461443, 'x13': 14.92885698473956, 'x14': 3.09916462122883, 'x15': 20.026446808307043, 'x16': -6.099505613145006, 'x17': -26.665322668505414, 'x18': 4.467990386779249, 'x19': -29.42872990898833}",10.024786641999526,21.146
"{'x0': -5.8478445032131, 'x1': -3.91415771702496, 'x2': 32.02316274351183, 'x3': -19.395486678360257, 'x4': -27.26265081112225, 'x5': 29.75401535251176, 'x6': -19.660384888396635, 'x7': -18.944864595756524, 'x8': -27.70423387824007, 'x9': -28.73564167922327, 'x10': 0.5952133506392201, 'x11': -16.666294805432255, 'x12': -26.712868994790725, 'x13': -11.833106601144458, 'x14': 24.211909654015336, 'x15': -0.982958785187467, 'x16': -19.83012175165947, 'x17': -18.581143409156844, 'x18': 1.848787384039987, 'x19': 8.727344574197637}",10.0248071720016,21.252
"{'x0': 28.640504658535285, 'x1': 14.846322722642247, 'x2': 17.46627806954004, 'x3': 1.4256155714023748, 'x4': -2.254699564855013, 'x5': -28.847118097670197, 'x6': 27.40663610387692, 'x7': 28.57671837521235, 'x8': 26.58549207183009, 'x9': -0.8140434967847163, 'x10': -27.69091162857132, 'x11': 25.55092477654555, 'x12': 11.71789408300895, 'x13': 31.963022912505068, 'x14': 2.572518204573882, 'x15': -29.513634791951947, 'x16': 13.17701725696724, 'x17': -31.728627467293503, 'x18': -21.60353781139076, 'x19': -29.31306040801391}",15.588845066999056,21.802
"{'x0': 28.10135411903574, 'x1': -29.8357064192546, 'x2': 30.65518192769182, 'x3': 27.700515614797503, 'x4': -28.288073470698382, 'x5': -23.490244889070468, 'x6': 16.41407688779121, 'x7': -30.304373915601644, 'x8': 24.606887266428046, 'x9': 29.970135270286768, 'x10': 29.82561875753725, 'x11': -12.180984878161006, 'x12': 17.392732772982306, 'x13': -11.162995065365116, 'x14': -15.99347386548896, 'x15': -21.43496326899939, 'x16': 12.901988539470215, 'x17': -16.503151147081386, 'x18': -15.821789867141424, 'x19': -31.45346232895664}",15.588871596999525,21.631
