configs,runtime_traj,F1
"{'x0': 22.56075914907995, 'x1': -27.9387639256672, 'x2': 23.78184601115356, 'x3': -11.17496663158306, 'x4': 1.0791806824076389, 'x5': 32.52859947136038, 'x6': -11.36212052220726, 'x7': -18.41834378320372, 'x8': 4.127419574871247, 'x9': 20.53041515489856, 'x10': 29.274561645391422, 'x11': -6.889915269703074, 'x12': 5.9176247626665415, 'x13': -6.625037697341039, 'x14': -16.416504569664642, 'x15': 23.743859317252145, 'x16': 13.936196730986367, 'x17': 8.460762774875256, 'x18': -14.4777241655536, 'x19': 22.797730534420506}",5.001582945998962,21.313
"{'x0': -18.360862124372137, 'x1': -10.917020647001774, 'x2': -27.94372619272312, 'x3': -12.24915531034936, 'x4': 28.544563231783847, 'x5': 18.91829362489358, 'x6': 17.090642447377995, 'x7': -25.482436449555003, 'x8': 1.794810175276382, 'x9': 15.07676780452865, 'x10': -0.4755007310993235, 'x11': -15.558846077814888, 'x12': 6.508832507378443, 'x13': 18.266785595830896, 'x14': 28.00729782229203, 'x15': 31.81114334036121, 'x16': 3.258372724503083, 'x17': -24.597859275473404, 'x18': 29.928960013443977, 'x19': -23.622412634518057}",10.004825345000429,21.383
"{'x0': 2.240122725647474, 'x1': 2.5205316455084983, 'x2': -15.498383907333832, 'x3': -12.131237244945408, 'x4': 10.68453825854423, 'x5': -1.4349797955332484, 'x6': -19.281893962973008, 'x7': -19.20969997175624, 'x8': 22.680333689184785, 'x9': 17.93725030830563, 'x10': 10.898249716642797, 'x11': -1.2900487689626663, 'x12': 31.515551830025785, 'x13': -21.923964347359696, 'x14': -5.294659460482528, 'x15': -15.027927438819823, 'x16': 31.239838817168742, 'x17': 14.580196345232658, 'x18': -1.092042427067696, 'x19': -22.25060967043413}",15.02220855700216,21.061
"{'x0': -8.059715375941355, 'x1': -27.63580239522383, 'x2': 32.431211768861345, 'x3': -18.434050910004125, 'x4': 10.908755159794886, 'x5': 7.971234962395847, 'x6': -30.87836555980449, 'x7': 3.656288264195396, 'x8': -17.54017119211983, 'x9': -22.39064822388696, 'x10': -26.841752670111276, 'x11': 1.2531254069857098, 'x12': -0.1057098535171121, 'x13': 9.860769931088392, 'x14': 14.97390089181809, 'x15': 7.373715782992015, 'x16': 8.461546033502813, 'x17': 27.044015803386152, 'x18': -16.514145586725913, 'x19': 2.320106817155583}",20.02858188500249,21.177
"{'x0': -25.45325795964813, 'x1': -12.07235902288656, 'x2': 24.59159802247013, 'x3': -30.638639283738303, 'x4': -25.93877232063693, 'x5': 7.606111907887055, 'x6': 26.344388242202, 'x7': 29.444373715717468, 'x8': -4.896241440048012, 'x9': 14.695551385028146, 'x10': -25.063722530840074, 'x11': -7.3080088392323965, 'x12': -0.4627846520414209, 'x13': -15.094500652237787, 'x14': 16.23388947272243, 'x15': -16.843836810591185, 'x16': 6.877372914200784, 'x17': -10.330760579798168, 'x18': 6.0515911907160245, 'x19': 31.828726803991216}",25.031706341000245,21.291
"{'x0': 8.35, 'x1': -25.17, 'x2': 28.39, 'x3': -4.91, 'x4': 19.16, 'x5': -13.64, 'x6': -9.07, 'x7': 26.05, 'x8': 1.42, 'x9': 3.18, 'x10': -6.93, 'x11': -27.51, 'x12': 24.71, 'x13': -1.11, 'x14': 17.87, 'x15': 5.83, 'x16': -15.37, 'x17': -21.29, 'x18': 10.64, 'x19': 22.59}",68.94646476699927,21.059
"{'x0': -27.34, 'x1': -10.11, 'x2': 5.27, 'x3': 23.51, 'x4': -21.83, 'x5': -1.09, 'x6': -14.25, 'x7': 9.72, 'x8': 11.36, 'x9': -26.52, 'x10': 20.84, 'x11': -3.15, 'x12': 8.54, 'x13': 16.38, 'x14': 28.76, 'x15': -18.12, 'x16': 13.07, 'x17': -7.81, 'x18': -2.49, 'x19': 17.91}",73.96047528800045,21.003
"{'x0': -15.82, 'x1': -21.54, 'x2': 29.71, 'x3': 7.03, 'x4': -12.96, 'x5': -3.59, 'x6': 16.47, 'x7': -11.83, 'x8': 24.62, 'x9': -19.18, 'x10': -5.73, 'x11': 13.88, 'x12': -26.15, 'x13': 8.41, 'x14': 21.09, 'x15': -14.65, 'x16': -7.91, 'x17': 5.32, 'x18': 10.17, 'x19': -23.84}",78.96407128500141,20.937
"{'x0': -23.67, 'x1': 7.51, 'x2': 18.04, 'x3': -1.92, 'x4': 21.76, 'x5': -17.23, 'x6': -10.68, 'x7': 27.43, 'x8': 5.89, 'x9': 12.31, 'x10': -25.55, 'x11': -6.14, 'x12': 23.29, 'x13': 1.37, 'x14': -21.41, 'x15': 16.72, 'x16': -4.38, 'x17': 8.96, 'x18': -14.91, 'x19': -3.05}",83.97500795900123,20.921
"{'x0': -25.9, 'x1': 7.3, 'x2': -18.5, 'x3': -4.2, 'x4': 23.7, 'x5': 16.1, 'x6': -21.8, 'x7': 11.7, 'x8': -5.1, 'x9': 26.1, 'x10': -12.2, 'x11': 8.1, 'x12': 14.5, 'x13': -24.4, 'x14': -6.6, 'x15': 3.4, 'x16': -10.7, 'x17': 28.8, 'x18': -1.1, 'x19': 15.2}",124.6683674090018,20.95
"{'x0': -23.2, 'x1': -1.5, 'x2': 28.6, 'x3': 17.9, 'x4': -11.4, 'x5': -26.9, 'x6': 5.7, 'x7': -21.3, 'x8': 2.4, 'x9': 12.1, 'x10': -15.8, 'x11': 25.5, 'x12': -7.3, 'x13': -4.1, 'x14': 9.9, 'x15': 8.2, 'x16': 22.3, 'x17': -18.6, 'x18': 16.2, 'x19': -3.6}",129.67962724099925,21.071
