configs,runtime_traj,F1
"{'x0': 5.418836854638812, 'x1': -31.093493474938537, 'x2': 10.630071534769002, 'x3': -7.371264761968625, 'x4': -0.1917715261349784, 'x5': -5.576731041812497, 'x6': -9.773259076295693, 'x7': 3.340888003341142, 'x8': 30.992674971636525, 'x9': -25.377097958157748, 'x10': -12.238289080830292, 'x11': -30.02874528954384, 'x12': 15.623766580979328, 'x13': 10.322731837623104, 'x14': -18.70163172393264, 'x15': -5.455646543358387, 'x16': 9.426824996336109, 'x17': 10.582840227623166, 'x18': -21.5956105800076, 'x19': 25.011960922016883}",0.5574294209991422,21.31
"{'x0': 19.67773129982521, 'x1': 6.672686868428713, 'x2': 17.3644094145614, 'x3': -21.67764113265932, 'x4': -13.564429479481197, 'x5': 1.577246739684668, 'x6': -9.396271112338871, 'x7': -29.774383333677463, 'x8': 31.66394419493029, 'x9': -3.843364005160765, 'x10': 0.2621727951521464, 'x11': -11.564396214045978, 'x12': -15.745367883963628, 'x13': -7.4127844756185155, 'x14': 21.75905953444665, 'x15': 15.515455080832233, 'x16': -7.916056284912848, 'x17': -31.91489582238593, 'x18': 19.49073008444005, 'x19': -15.113335760728804}",0.541482609999548,21.38
"{'x0': 30.44481958472943, 'x1': 0.0005479576513209, 'x2': 25.527586910774552, 'x3': -10.38000765854616, 'x4': 4.400357548209556, 'x5': -4.748347749426131, 'x6': -4.145331370275702, 'x7': 18.124582747969967, 'x8': 2.333355114342403, 'x9': 29.736450585058783, 'x10': 2.897225983466022, 'x11': -27.387827173783972, 'x12': -8.759384363825863, 'x13': 22.99333863043902, 'x14': -6.142358778809495, 'x15': -30.985265748715136, 'x16': -16.568992465069453, 'x17': -28.367626519382934, 'x18': 32.36508542050454, 'x19': 30.839951417486446}",0.5346278929991968,21.423
"{'x0': 0.3438077622159881, 'x1': -28.48938364850156, 'x2': -4.710575138577486, 'x3': -26.441749911266097, 'x4': -24.43444409458508, 'x5': 6.340300569221256, 'x6': -17.956077528400797, 'x7': -25.75920763306096, 'x8': -18.3300124134238, 'x9': -9.84178458602378, 'x10': -2.111079410414373, 'x11': -19.546555923499238, 'x12': 9.20169514368466, 'x13': -1.1095352572804025, 'x14': 0.3431936831356381, 'x15': -7.412603216294098, 'x16': 19.243824214283197, 'x17': 5.243153866935934, 'x18': -22.13159904855236, 'x19': 13.156505787246594}",0.5353951089991824,21.027
"{'x0': -4.194638093221641, 'x1': -31.06889847092732, 'x2': 3.254680150259084, 'x3': -4.238711677368606, 'x4': -5.218775722394319, 'x5': -11.119177170690104, 'x6': -19.356147119695954, 'x7': 7.816542050757093, 'x8': -13.129831306066452, 'x9': -15.281207698858534, 'x10': 7.9386268643685085, 'x11': 1.9098562905400345, 'x12': -23.94816870187444, 'x13': 0.8898557552719595, 'x14': -20.68054896496376, 'x15': 18.69972424731351, 'x16': 23.198124778421537, 'x17': -0.3776946253379805, 'x18': 22.71225350438702, 'x19': -27.54835401873418}",1.239387087999603,20.731
"{'x0': 12.6308309936523, 'x1': -32.541535949707, 'x2': 2.0900711669922, 'x3': 10.9913322143555, 'x4': 13.749825012207, 'x5': -21.5934520874023, 'x6': 29.6454736938477, 'x7': -13.9519609375, 'x8': 19.0191555175781, 'x9': -8.2751462402344, 'x10': 24.7144761962891, 'x11': -16.0598639526367, 'x12': -7.3915238037109, 'x13': -32.1067247924805, 'x14': 4.4738839111328, 'x15': 24.2193486328125, 'x16': 16.1069321289062, 'x17': 24.5291154174805, 'x18': -8.7258625488281, 'x19': 9.9116974487305}",1.238389872999505,21.207
"{'x0': -26.2031107177734, 'x1': 21.9179458618164, 'x2': -20.8621040649414, 'x3': -16.4061962890625, 'x4': -18.928513671875, 'x5': 30.6706967163086, 'x6': -4.7854234008789, 'x7': 20.6209364013672, 'x8': -24.2438643798828, 'x9': 24.6669106445312, 'x10': -3.6511719970703, 'x11': 21.5654942626953, 'x12': 11.0991728515625, 'x13': 2.8109075317383, 'x14': -28.9009453125, 'x15': -1.6107637939453, 'x16': -3.7281854858398, 'x17': -12.1102700195312, 'x18': 2.3663432617187, 'x19': -3.9808614501953}",1.238399622999168,21.108
"{'x0': -5.1815822753906, 'x1': -12.7599586181641, 'x2': 19.3123249511719, 'x3': 18.4884499511719, 'x4': -6.2480629882813, 'x5': -1.5794561157227, 'x6': -19.9106509399414, 'x7': -16.5604142456055, 'x8': -12.9630717773438, 'x9': -27.4515897216797, 'x10': 16.0510728149414, 'x11': -18.6040177001953, 'x12': 16.760401550293, 'x13': 23.0093076171875, 'x14': 16.5452877807617, 'x15': -24.5628639526367, 'x16': -20.17917578125, 'x17': -20.8952272949219, 'x18': 19.9882873535156, 'x19': -18.1501171875}",1.242693390999193,21.144
"{'x0': 17.2003667602539, 'x1': 6.9995563964844, 'x2': -4.6443580932617, 'x3': -8.8970781860352, 'x4': 25.6452512817383, 'x5': 9.6607075805664, 'x6': 11.4507012329102, 'x7': 9.795438659668, 'x8': 9.8199093017578, 'x9': 11.0583543701172, 'x10': -20.602278503418, 'x11': 8.7466528930664, 'x12': -30.4607992553711, 'x13': -11.8891215820313, 'x14': -8.5083519897461, 'x15': 1.8272809448242, 'x16': 32.4259263305664, 'x17': 8.4483856811523, 'x18': -25.9197607421875, 'x19': 28.6374529418945}",1.8825785760000144,21.176
"{'x0': 31.2608361206055, 'x1': -6.2843548583984, 'x2': 26.4043690185547, 'x3': -28.5354467163086, 'x4': 18.0129513549805, 'x5': 5.0054102783203, 'x6': 5.6634611816406, 'x7': 4.0560848388672, 'x8': -4.7457731323242, 'x9': -2.1441087646484, 'x10': -12.3748284301758, 'x11': 2.2268352050781, 'x12': -23.1507822265625, 'x13': -19.6397476806641, 'x14': 28.0194916992187, 'x15': -28.3231866455078, 'x16': -29.4903461914062, 'x17': -7.1734727783203, 'x18': 30.3159011230469, 'x19': 23.8817694091797}",1.893489011999918,21.321
"{'x0': -11.5371207275391, 'x1': 12.8121318359375, 'x2': -15.9843394165039, 'x3': 1.4220836181641, 'x4': -14.8736397705078, 'x5': -12.3146599121094, 'x6': -30.5633875732422, 'x7': -26.9230625, 'x8': 1.6492479858398, 'x9': 18.5378421630859, 'x10': 24.2235077514648, 'x11': -25.1404627075195, 'x12': 28.1383843994141, 'x13': 15.1439324951172, 'x14': -3.3104310302734, 'x15': 13.93870703125, 'x16': 17.2245986938477, 'x17': 27.8021311645508, 'x18': -23.8724282226562, 'x19': -29.8106677856445}",1.9105224779996208,21.216
"{'x0': -24.4395927734375, 'x1': -22.0861504516602, 'x2': 9.3421228027344, 'x3': -3.4883297119141, 'x4': -27.5211900634766, 'x5': 16.8954313964844, 'x6': -10.2606639404297, 'x7': 30.999540222168, 'x8': 27.2339390258789, 'x9': -17.1606574707031, 'x10': -28.2717475585938, 'x11': 32.4210487670898, 'x12': 1.9931597290039, 'x13': 26.6842819213867, 'x14': 15.5318359985352, 'x15': 28.6186705932617, 'x16': 0.7796044921875, 'x17': 4.6833696899414, 'x18': -6.7624528808594, 'x19': -15.6404201049805}",1.9142152899994471,21.522
"{'x0': 2.1703723754883, 'x1': 31.9423655395508, 'x2': -32.0420934448242, 'x3': 26.4572005004883, 'x4': 6.0843786010742, 'x5': -25.1926859130859, 'x6': 18.7927375488281, 'x7': -8.1645626831055, 'x8': -32.4090427856445, 'x9': 0.769390625, 'x10': 0.1669167480469, 'x11': -5.1556870117188, 'x12': -12.365510559082, 'x13': -8.1081013793945, 'x14': -23.862772277832, 'x15': -14.1071930541992, 'x16': -13.1693558959961, 'x17': -25.3000242919922, 'x18': 12.6099716796875, 'x19': 5.155021484375}",2.551438457999211,20.931
"{'x0': 4.169459777832, 'x1': -9.4439279785156, 'x2': -12.099971862793, 'x3': -6.3845145874023, 'x4': -2.9788020629883, 'x5': 3.3405846557617, 'x6': -24.263318359375, 'x7': 13.7089725341797, 'x8': -2.2560618896484, 'x9': -28.7999370117188, 'x10': -31.8604114990234, 'x11': -32.6939200439453, 'x12': 16.1150648193359, 'x13': -14.4445543823242, 'x14': 29.4664324951172, 'x15': -32.5651108398438, 'x16': -27.4988411254883, 'x17': 14.5350993041992, 'x18': 8.7112522583008, 'x19': 16.1836318359375}",2.566498093999144,21.489
"{'x0': -18.2447397460938, 'x1': 3.6835882568359, 'x2': 30.2319387207031, 'x3': 29.1938927001953, 'x4': 30.6956136474609, 'x5': -11.931329284668, 'x6': 16.3152669677734, 'x7': -21.3758857421875, 'x8': 7.2089580078125, 'x9': 12.4061389160156, 'x10': 4.7972371826172, 'x11': 5.4272817993164, 'x12': -2.4237297363281, 'x13': 20.476860168457, 'x14': -4.7434885253906, 'x15': 10.2125257568359, 'x16': 23.3120880126953, 'x17': -18.5202578125, 'x18': -2.3487958374023, 'x19': -5.644811706543}",2.593123301999185,21.28
"{'x0': -13.6022032470703, 'x1': -27.1775697631836, 'x2': -27.6737256469727, 'x3': -31.2716466064453, 'x4': 9.8550565185547, 'x5': 24.4465735473633, 'x6': 24.7805570068359, 'x7': 17.2194025268555, 'x8': 28.7282279052734, 'x9': -15.1273604736328, 'x10': -8.7810082397461, 'x11': -2.4661959838867, 'x12': -25.4289385375977, 'x13': 7.3994790039063, 'x14': 8.8987709350586, 'x15': 32.348594543457, 'x16': 6.9950822143555, 'x17': -13.9612453613281, 'x18': -19.974835144043, 'x19': -24.422057434082}",2.5984292359999017,21.419
"{'x0': 25.1359879760742, 'x1': 16.553917175293, 'x2': 13.6456927490234, 'x3': 4.318760559082, 'x4': -23.098367980957, 'x5': -31.977325012207, 'x6': -0.4326083984375, 'x7': -9.648489440918, 'x8': -25.7927531738281, 'x9': 31.5185626220703, 'x10': 19.5883435668945, 'x11': 25.3805684814453, 'x12': 21.7123518676758, 'x13': -27.511169921875, 'x14': -17.2478395385742, 'x15': -9.8690115356445, 'x16': -11.0498314208984, 'x17': 17.9423998413086, 'x18': 25.9013706665039, 'x19': 30.3013778076172}",3.198261687999548,21.509
"{'x0': 23.2994649047852, 'x1': -17.2662438354492, 'x2': -16.4617052612305, 'x3': 23.9126442260742, 'x4': -30.7959293823242, 'x5': -19.1605590820312, 'x6': -15.1253678588867, 'x7': -3.1150966796875, 'x8': 20.4989293823242, 'x9': -22.6048179931641, 'x10': 11.4327682495117, 'x11': 18.8768886108398, 'x12': 30.7863698730469, 'x13': -2.4815430908203, 'x14': 3.8569416503906, 'x15': 20.2374173583984, 'x16': 9.9063805541992, 'x17': -31.5074918212891, 'x18': -30.3294801635742, 'x19': 17.609842590332}",3.219645053000022,21.465
"{'x0': -3.0867497558594, 'x1': 27.1222714233398, 'x2': 6.4257346191406, 'x3': -14.2257651367188, 'x4': 1.0387407226563, 'x5': 26.9593084716797, 'x6': 23.1452931518555, 'x7': 27.3520115966797, 'x8': -17.6420917358398, 'x9': 6.2131138916016, 'x10': -16.9935674438477, 'x11': -9.0182534179688, 'x12': -20.4229566650391, 'x13': 32.2898548583984, 'x14': -28.3018853759766, 'x15': -6.1089379882813, 'x16': -5.8326278076172, 'x17': 2.9561463012695, 'x18': 23.8909443969727, 'x19': -28.1467255859375}",3.2680832839996583,20.907
"{'x0': -32.3602137451172, 'x1': -3.5122587890625, 'x2': -0.7919590454102, 'x3': 16.3195109863281, 'x4': 21.9101826171875, 'x5': -6.3145328369141, 'x6': 1.310507019043, 'x7': -31.460528503418, 'x8': -10.4908452758789, 'x9': -4.90038671875, 'x10': 29.3296870117188, 'x11': 16.2992297363281, 'x12': -9.7017438354492, 'x13': 11.578485534668, 'x14': 24.2643552856445, 'x15': -20.068932434082, 'x16': -22.155637512207, 'x17': 30.0453526000977, 'x18': 6.776936340332, 'x19': -9.3684718017578}",3.269345887999407,21.364
"{'x0': 10.5979935913086, 'x1': 10.0402232666016, 'x2': 23.1079886474609, 'x3': -21.8308980102539, 'x4': -10.7074943237305, 'x5': 15.165287109375, 'x6': -25.6985817260742, 'x7': 7.1916134643555, 'x8': 15.3621365356445, 'x9': 21.2936823730469, 'x10': -7.2569768066406, 'x11': -21.8055994262695, 'x12': 4.7050790405273, 'x13': -23.2101780395508, 'x14': -16.2132861938477, 'x15': 5.8134548950195, 'x16': 26.3533863525391, 'x17': -1.4740111083984, 'x18': -12.6273930053711, 'x19': 3.491089050293}",3.927606031999858,21.007
"{'x0': 9.4900991821289, 'x1': -1.1089314575195, 'x2': -29.3288359985352, 'x3': -25.8424069824219, 'x4': 32.4124951782227, 'x5': -22.6542901000977, 'x6': -17.0233015136719, 'x7': 18.9589434204102, 'x8': -15.5149776000977, 'x9': -10.6993133544922, 'x10': 6.3463020019531, 'x11': 30.1552645874023, 'x12': -31.2348715820312, 'x13': 29.7548321533203, 'x14': -31.6917438964844, 'x15': -16.5392083129883, 'x16': 20.6604724121094, 'x17': 26.171202331543, 'x18': -14.5059830932617, 'x19': 21.2887011108398}",3.918197237999266,21.65
"{'x0': -29.2158186035156, 'x1': 11.9885835571289, 'x2': 11.2048695068359, 'x3': 3.5950590209961, 'x4': -0.7291818847656, 'x5': 31.7215454711914, 'x6': 8.9633438720703, 'x7': -11.5179209594727, 'x8': 10.3380032348633, 'x9': 27.0746112060547, 'x10': -30.2110966796875, 'x11': -8.0138754882812, 'x12': 19.8464581298828, 'x13': -0.9385189208984, 'x14': 6.7426790771484, 'x15': 6.2186858520508, 'x16': -24.7827233276367, 'x17': -5.7964194335938, 'x18': 4.9944395141602, 'x19': -31.2518651123047}",3.99270401099966,20.855
"{'x0': -0.1213470458984, 'x1': -19.1025709228516, 'x2': -12.7465900268555, 'x3': -1.5733049926758, 'x4': -21.3137419433594, 'x5': -2.5723016967773, 'x6': 31.8605733642578, 'x7': 15.5534313964844, 'x8': 17.522811706543, 'x9': -25.2518894042969, 'x10': 18.1631488647461, 'x11': 0.9886018066406, 'x12': 10.1492490844727, 'x13': -20.6571338500977, 'x14': -10.7710841674805, 'x15': 16.8826922607422, 'x16': -8.3337292480469, 'x17': -26.7410798339844, 'x18': 21.6724334106445, 'x19': -13.1771096191406}",4.000395782999476,21.078
"{'x0': 22.3885634155273, 'x1': 24.6069108886719, 'x2': 26.7826232910156, 'x3': 27.8681606445312, 'x4': 12.0369282836914, 'x5': 10.6515502319336, 'x6': -7.4325310058594, 'x7': -23.0904539794922, 'x8': -20.6182084350586, 'x9': 8.8741870117188, 'x10': -10.2984529418945, 'x11': -26.970225402832, 'x12': -4.1295842895508, 'x13': 10.0174515991211, 'x14': 19.3420243530273, 'x15': -6.435171875, 'x16': 4.3434822387695, 'x17': 6.3783007202148, 'x18': -32.6438978881836, 'x19': 6.7224453735352}",4.638161707999643,21.247
"{'x0': 28.2481087036133, 'x1': -25.5412406005859, 'x2': -7.5826026000977, 'x3': 8.5543104248047, 'x4': 3.4453690795898, 'x5': 8.1063161621094, 'x6': -10.1572597045898, 'x7': -29.6090693969727, 'x8': 25.6880955810547, 'x9': -0.5044318847656, 'x10': -18.4548776245117, 'x11': -17.3462940673828, 'x12': -15.5395672607422, 'x13': 17.8958276977539, 'x14': -1.9851319580078, 'x15': 28.8352649536133, 'x16': -7.5328078613281, 'x17': -9.7113409423828, 'x18': 27.8637571411133, 'x19': 10.4547696533203}",4.637080593999599,21.424
"{'x0': -14.6778251953125, 'x1': 18.757275390625, 'x2': 17.6105736083984, 'x3': -19.347157409668, 'x4': -28.9760555419922, 'x5': -15.4215667724609, 'x6': 18.1293412475586, 'x7': 5.4660449829102, 'x8': -28.8328864746094, 'x9': 16.8816357421875, 'x10': 9.9517080688477, 'x11': 10.5649097290039, 'x12': 2.8712319335937, 'x13': -12.9195087280273, 'x14': 26.2041970214844, 'x15': -10.3548479614258, 'x16': 11.5420588989258, 'x17': 21.8720618286133, 'x18': -18.4282929077148, 'x19': -0.4936680297852}",4.723316558999613,21.156
"{'x0': -19.2513531494141, 'x1': -11.5352568969727, 'x2': -24.260856628418, 'x3': 17.3414111938477, 'x4': -8.3606146240234, 'x5': 19.9283419189453, 'x6': 6.5666156616211, 'x7': -1.3825555419922, 'x8': -7.3441795654297, 'x9': -19.0888636474609, 'x10': -5.6795465087891, 'x11': -13.7815739135742, 'x12': 24.8524450073242, 'x13': -24.9401433105469, 'x14': -22.0415396118164, 'x15': -29.1307802734375, 'x16': 27.9890490722656, 'x17': 11.1694409790039, 'x18': -0.2143302612305, 'x19': -18.5674159545898}",4.747011841999665,21.102
"{'x0': 7.2305724487305, 'x1': 1.9352297973633, 'x2': 1.9368273925781, 'x3': -10.5640565185547, 'x4': 23.7898012084961, 'x5': -28.2395876464844, 'x6': -30.9385341186523, 'x7': 25.4935798339844, 'x8': 2.1208413085937, 'x9': 2.7130677490234, 'x10': 30.9508673095703, 'x11': 24.4031925048828, 'x12': -22.1608583374023, 'x13': 5.8844587402344, 'x14': 14.2125999145508, 'x15': 10.5233651123047, 'x16': -23.855801940918, 'x17': -23.3581580810547, 'x18': 11.2618735961914, 'x19': 25.0200173339844}",5.371176023999396,21.111
"{'x0': 1.0377203979492, 'x1': -24.4905422363281, 'x2': 22.0092380371094, 'x3': 22.2537445068359, 'x4': -16.5233775024414, 'x5': 0.2996731567383, 'x6': 28.5333948364258, 'x7': -18.9419863891602, 'x8': 32.2578213500977, 'x9': -31.2076036376953, 'x10': -1.0763669433594, 'x11': 13.5094572753906, 'x12': 22.5742873535156, 'x13': 12.6048804931641, 'x14': -6.5681977539063, 'x15': 24.885438659668, 'x16': -1.3322539672852, 'x17': 0.3012155151367, 'x18': 14.5234060058594, 'x19': 19.1126257324219}",5.392950045999896,21.407
"{'x0': -21.2484395751953, 'x1': 29.9949447021484, 'x2': -3.2452047729492, 'x3': -15.3808502807617, 'x4': 15.5661910400391, 'x5': -8.892428527832, 'x6': -3.593438293457, 'x7': 12.0469014282227, 'x8': -27.3851594848633, 'x9': 14.8303389892578, 'x10': 27.38903125, 'x11': -24.131838684082, 'x12': -28.5868897705078, 'x13': -18.0926903076172, 'x14': 30.7731295166016, 'x15': -14.8209161987305, 'x16': 13.6465032958984, 'x17': -29.1064365234375, 'x18': -5.0089252929688, 'x19': -25.4918056030273}",5.489377010999306,21.352
"{'x0': -8.5509760742187, 'x1': -4.4489633178711, 'x2': 5.7954920654297, 'x3': 13.3705962524414, 'x4': 27.9906387939453, 'x5': 21.3376686401367, 'x6': -20.8627302856445, 'x7': -16.1783885498047, 'x8': -1.769905456543, 'x9': -12.9431606445312, 'x10': -23.0532134399414, 'x11': 17.1066747436523, 'x12': -1.417661315918, 'x13': -5.5590864868164, 'x14': -18.5445995483398, 'x15': -24.6689537353516, 'x16': 29.9655131225586, 'x17': -3.9390646972656, 'x18': -21.6909479980469, 'x19': -11.0010596313477}",5.5346080879999136,20.971
"{'x0': 30.315192199707, 'x1': 15.3285529174805, 'x2': -20.4714585571289, 'x3': -24.2599984130859, 'x4': -4.3719522094727, 'x5': -28.878417175293, 'x6': 12.2906868286133, 'x7': 22.9774733886719, 'x8': 4.6251146850586, 'x9': 29.3188957519531, 'x10': 13.508387878418, 'x11': -10.3240590820313, 'x12': 12.8130121459961, 'x13': 25.1272811889648, 'x14': 10.733542175293, 'x15': 14.4774331054687, 'x16': -17.7832598876953, 'x17': 32.7642816772461, 'x18': 32.657474609375, 'x19': 0.9623800048828}",6.121449474999281,21.53
"{'x0': 20.2957299194336, 'x1': -14.3953483276367, 'x2': 15.0954401855469, 'x3': -4.9816008300781, 'x4': -13.1542504272461, 'x5': -18.1757144775391, 'x6': 2.7274150390625, 'x7': 28.7621123657227, 'x8': -9.923189453125, 'x9': -20.9486416015625, 'x10': 21.7369378051758, 'x11': -0.7164918823242, 'x12': 7.8390301513672, 'x13': 0.2259043579102, 'x14': -26.0186766357422, 'x15': -20.749026550293, 'x16': 18.6689657592773, 'x17': -17.1453267822266, 'x18': -27.8453654785156, 'x19': 12.6308369750977}",6.152132352999615,20.808
"{'x0': -6.2184461669922, 'x1': 4.7951337280273, 'x2': -25.5074694213867, 'x3': 31.1169960327148, 'x4': 20.2630637207031, 'x5': 25.96046484375, 'x6': -27.6114976806641, 'x7': -5.8010254516602, 'x8': 12.8597926025391, 'x9': 4.5734079589844, 'x10': -14.8816483764648, 'x11': 26.6988682861328, 'x12': -10.5236794433594, 'x13': -30.5777123413086, 'x14': 1.087744140625, 'x15': 2.5246095581055, 'x16': -30.8702144775391, 'x17': 12.902043762207, 'x18': 18.4148383789063, 'x19': -6.2537199707031}",6.244255378999696,21.301
"{'x0': -27.1809821777344, 'x1': -30.449146484375, 'x2': 31.1491942138672, 'x3': -29.0907498168945, 'x4': 7.8715124511719, 'x5': -5.2616938476562, 'x6': -13.4847095947266, 'x7': 1.6855124511719, 'x8': 24.1070231933594, 'x9': -6.8440924072266, 'x10': 2.7696068115234, 'x11': -29.9156417236328, 'x12': -17.2089038696289, 'x13': -9.3220656738281, 'x14': -13.4340266723633, 'x15': 20.5805102539062, 'x16': -14.5492085571289, 'x17': 19.6394531860352, 'x18': 0.1967844238281, 'x19': -20.7434735107422}",6.279021607999312,21.321
"{'x0': 15.6492012329102, 'x1': 23.6653687744141, 'x2': -8.4412232055664, 'x3': 7.0038466796875, 'x4': -25.3388261108398, 'x5': 14.1064393310547, 'x6': 21.968626953125, 'x7': -24.6785994873047, 'x8': -19.1559976806641, 'x9': 23.2218590087891, 'x10': -25.6248074951172, 'x11': 7.7730308227539, 'x12': 29.884301574707, 'x13': 21.4982541503906, 'x14': 21.9910835571289, 'x15': -2.2290953369141, 'x16': 2.2239559326172, 'x17': -15.4001741943359, 'x18': -11.247265625, 'x19': 30.7800907592773}",6.914869942999758,21.298
