configs,runtime_traj,F1
"{'x0': 0.5928446182250183, 'x1': 0.8442657485810173, 'x2': 0.8579456176227568}",5.012331338002696,-1.709
"{'x0': 0.8472517387841254, 'x1': 0.6235636967859723, 'x2': 0.3843817072926998}",5.012345647999609,-0.166
"{'x0': 0.2975346065444723, 'x1': 0.0567129773174431, 'x2': 0.2726562945801132}",5.012339028002316,-0.949
"{'x0': 0.4776651173213498, 'x1': 0.8121687287754932, 'x2': 0.4799771723750573}",5.012315398002102,-1.659
"{'x0': 0.3927847961008297, 'x1': 0.8360787635373775, 'x2': 0.3373961604172684}",10.017035796001435,-0.569
"{'x0': 0.6481718720511972, 'x1': 0.3682415398405479, 'x2': 0.9571551589530464}",10.017049086000045,-1.905
"{'x0': 0.1403507804126451, 'x1': 0.8700872583584364, 'x2': 0.4736080452737105}",10.01702156600004,-2.474
"{'x0': 0.8009107519796442, 'x1': 0.5204774795512048, 'x2': 0.6788795301189603}",10.017042956002117,-1.758
"{'x0': 0.7206326547259168, 'x1': 0.5820197920751071, 'x2': 0.5373732294490107}",15.02260496800227,-0.679
"{'x0': 0.7586156243223572, 'x1': 0.1059076071877921, 'x2': 0.4736004193466574}",20.48875633100033,-0.208
"{'x0': 0.7720568212000914, 'x1': 0.7530862608787344, 'x2': 0.4046433203301928}",20.488792331001605,-0.368
"{'x0': 0.4278757110956483, 'x1': 0.7297901578615845, 'x2': 0.0577189810050546}",20.488775641002576,-0.007
"{'x0': 0.5737284221084351, 'x1': 0.2324702915211657, 'x2': 0.1158794477717289}",20.488784401000885,-0.388
"{'x0': 0.6950756272218359, 'x1': 0.4410013461357713, 'x2': 0.5807708136570388}",26.797891189002257,-0.735
"{'x0': 0.947723502632642, 'x1': 0.4539102204151523, 'x2': 0.5720703095865188}",26.79791309900247,-0.557
"{'x0': 0.7090403409379104, 'x1': 0.1217031464865152, 'x2': 0.4913829460050525}",26.79244025500157,-0.206
"{'x0': 0.7613571489962485, 'x1': 0.489098503026277, 'x2': 0.5503866160619505}",26.79792275900036,-0.564
"{'x0': 0.3782040194580265, 'x1': 0.5940897628359938, 'x2': 0.8874326130541141}",32.77890404000209,-3.661
"{'x0': 0.5468293965177576, 'x1': 0.6773937157611198, 'x2': 0.7273151156965345}",32.778935289999936,-2.343
"{'x0': 0.1174562866679008, 'x1': 0.9615478028082656, 'x2': 0.7159416875340509}",32.77892802000133,-1.616
"{'x0': 0.4138078680131539, 'x1': 0.7651853897762834, 'x2': 0.6337565549910501}",32.778919410000526,-2.189
"{'x0': 0.3127521904682585, 'x1': 0.6814659684141405, 'x2': 0.6696294022898479}",38.83481241400296,-2.35
"{'x0': 0.3194885279368205, 'x1': 0.7131167618918534, 'x2': 0.9373659848308842}",38.83657746500103,-2.543
"{'x0': 0.1766686461840424, 'x1': 0.7260417787898644, 'x2': 0.670589898770963}",38.83654965499954,-2.542
"{'x0': 0.2231080085170664, 'x1': 0.720452605211713, 'x2': 0.6787350489330325}",38.83656746500128,-2.498
"{'x0': 0.3147097197487953, 'x1': 0.5520025959275745, 'x2': 0.7004335185442258}",44.61705730200265,-2.461
"{'x0': 0.3157747535191881, 'x1': 0.8281586901762298, 'x2': 0.7755501235921849}",44.6170259520004,-1.968
"{'x0': 0.3191894789756253, 'x1': 0.8905591223224698, 'x2': 0.7343246552160654}",44.61704152200036,-1.69
"{'x0': 0.0204379202044701, 'x1': 0.8038154344122057, 'x2': 0.6728779089580907}",44.61705028200231,-2.497
"{'x0': 0.1890796474233027, 'x1': 0.7253008022251032, 'x2': 0.7044985843751466}",50.57845588599957,-2.533
"{'x0': 0.2139369539142029, 'x1': 0.7273667007101327, 'x2': 0.9256920746306192}",50.58014358700166,-2.574
"{'x0': 0.0936834399340641, 'x1': 0.7225774306336751, 'x2': 0.9749069991969188}",50.58012931700068,-2.006
