configs,runtime_traj,F1
"{'x0': 0.1850820781732068, 'x1': 0.9315408658211116, 'x2': 0.947730611527878}",5.012072101002559,-0.822
"{'x0': 0.4847490967837556, 'x1': 0.3205364371116073, 'x2': 0.1544266730893301}",5.012098082002922,-0.434
"{'x0': 0.6988626913672012, 'x1': 0.1199505425963898, 'x2': 0.485175909599865}",5.012104381999961,-0.218
"{'x0': 0.6327377306009369, 'x1': 0.8182267213548875, 'x2': 0.6830259944094713}",5.0120899220019055,-1.447
"{'x0': 0.498561170053319, 'x1': 0.5867969780001033, 'x2': 0.7197542323569591}",10.030818278002698,-2.543
"{'x0': 0.2584980864373988, 'x1': 0.546207319902158, 'x2': 0.4073078322899451}",10.030802838002272,-0.607
"{'x0': 0.1769846236679365, 'x1': 0.9696324058267928, 'x2': 0.2970183571076877}",10.030811038002868,-0.368
"{'x0': 0.2878688158700043, 'x1': 0.1161933175960996, 'x2': 0.1817270377811787}",10.030783728001552,-0.787
"{'x0': 0.4942897677179075, 'x1': 0.5657651292235553, 'x2': 0.221835167012704}",15.051597388002849,-0.147
"{'x0': 0.7674911709152624, 'x1': 0.577308068795698, 'x2': 0.1678233107014557}",15.051589558002888,-0.059
"{'x0': 0.3674713686238469, 'x1': 0.4686735841662192, 'x2': 0.6542661822070913}",15.046352249002666,-1.693
"{'x0': 0.7930897437426203, 'x1': 0.6630617930508602, 'x2': 0.6130296945097852}",15.051569728002503,-1.031
"{'x0': 0.9908519951999498, 'x1': 0.119484798329313, 'x2': 0.1485647834893489}",25.06200505400193,-0.205
"{'x0': 0.8522810337286523, 'x1': 0.5095258764923242, 'x2': 0.2172699264401201}",25.061991714002943,-0.104
"{'x0': 0.9932662944615904, 'x1': 0.3152974811728606, 'x2': 0.2587331714298274}",25.061979294001503,-0.21
"{'x0': 0.8091752859707717, 'x1': 0.3536753786843953, 'x2': 0.4678424934715343}",25.06199896399994,-0.209
"{'x0': 0.2741732593904601, 'x1': 0.7982003878370535, 'x2': 0.8141384130872407}",30.066425904002244,-2.262
"{'x0': 0.9480904219027042, 'x1': 0.8228846404764838, 'x2': 0.5151391208639371}",35.08465767200323,-0.393
"{'x0': 0.2209981532931503, 'x1': 0.7466314080892297, 'x2': 0.4315377702351239}",35.084644922000734,-1.586
"{'x0': 0.8883037492174805, 'x1': 0.9411933047367655, 'x2': 0.5030122533459838}",35.0846697220004,-0.445
"{'x0': 0.7020420402423823, 'x1': 0.7065420058739175, 'x2': 0.4810217557044732}",35.0846641920034,-0.736
"{'x0': 0.960313732125038, 'x1': 0.4260225260560726, 'x2': 0.3228742134319564}",40.105432725002174,-0.134
"{'x0': 0.7619299966519993, 'x1': 0.9326285644110548, 'x2': 0.7112172427874425}",40.105449065002176,-0.786
"{'x0': 0.5174307637214692, 'x1': 0.8844715976978936, 'x2': 0.5536338408272322}",40.10545760500099,-1.888
"{'x0': 0.5736424951768657, 'x1': 0.3939332949520415, 'x2': 0.9265467504914632}",40.105466375000105,-2.483
"{'x0': 0.005544419431765, 'x1': 0.7284984962121943, 'x2': 0.3557536288902531}",45.11685943000339,-0.734
"{'x0': 0.2129332368775367, 'x1': 0.3620274110338455, 'x2': 0.8783002870198409}",45.115285436000704,-2.656
"{'x0': 0.3633258913621456, 'x1': 0.5032069190407054, 'x2': 0.7674882598003282}",45.11687276000157,-3.185
"{'x0': 0.9144755707301634, 'x1': 0.8263680066978327, 'x2': 0.4117464389724873}",50.1347792710003,-0.234
"{'x0': 0.63084266314589, 'x1': 0.3419115998802796, 'x2': 0.381692940840561}",50.13477195100131,-0.374
"{'x0': 0.962459571970982, 'x1': 0.647014228540657, 'x2': 0.957845670413318}",50.13475933100199,-2.45
"{'x0': 0.8034521282809656, 'x1': 0.229385960226904, 'x2': 0.8792020279455328}",50.13478541100267,-1.334
"{'x0': 0.5924963627866009, 'x1': 0.7861722422426725, 'x2': 0.532144441318901}",55.13791121000031,-1.458
"{'x0': 0.9682905731946836, 'x1': 0.5749535347070858, 'x2': 0.4768434082635985}",60.14366266100114,-0.208
"{'x0': 0.421138366675212, 'x1': 0.5989799782528404, 'x2': 0.1065725352119298}",60.14681799000027,-0.047
"{'x0': 0.3686075376036607, 'x1': 0.215806401658495, 'x2': 0.8072111427194221}",60.14682491000349,-1.364
"{'x0': 0.7982205848860584, 'x1': 0.5545394738300035, 'x2': 0.8951457434439322}",60.14680157000112,-3.482
"{'x0': 0.92913990035456, 'x1': 0.9776333908750974, 'x2': 0.9177187204989952}",65.18003632399996,-0.587
"{'x0': 0.0400112407375113, 'x1': 0.7328224899140237, 'x2': 0.8963738767557752}",65.18005262400038,-2.773
"{'x0': 0.8378305479232769, 'x1': 0.5364536977504653, 'x2': 0.321318585782556}",65.18006210400199,-0.122
"{'x0': 0.3972539953851746, 'x1': 0.2774392161206241, 'x2': 0.9362480430798764}",70.20120975600003,-1.449
"{'x0': 0.4637426071657474, 'x1': 0.8522889560018424, 'x2': 0.2127673701215537}",70.20122318600261,-0.065
"{'x0': 0.0001235874694565, 'x1': 0.0928962625203453, 'x2': 0.1751163839346657}",70.20123021600011,-0.512
