configs,runtime_traj,F1
"{'x0': 0.1345799453449335, 'x1': 0.5135781212657464, 'x2': 0.1844398656469152}",1.718757504999303,-0.157
"{'x0': 0.2668272751028666, 'x1': 0.6211338327692949, 'x2': 0.5291420942770391}",1.7031924780003465,-1.658
"{'x0': 0.2046486340378425, 'x1': 0.6192709663506637, 'x2': 0.2996546736745231}",1.7116312819998711,-0.29
"{'x0': 0.4353223926182769, 'x1': 0.420367802087489, 'x2': 0.3303348210038741}",1.706858117999218,-0.414
"{'x0': 0.4359949021420037, 'x1': 0.0259262318278913, 'x2': 0.5496624778787091}",3.875279887999568,-0.144
"{'x0': 0.6927311858162, 'x1': 0.0034555671737, 'x2': 0.8771129790694}",3.938960147999751,-0.217
"{'x0': 0.0778007963672, 'x1': 0.7734468244016, 'x2': 0.0628538988531}",3.91675227199994,-0.005
"{'x0': 0.2540699215606, 'x1': 0.3194743189961, 'x2': 0.6836084695533}",3.9040096459993943,-1.398
"{'x0': 0.8895061938092, 'x1': 0.5905148433521, 'x2': 0.373500729911}",5.996830969999792,-0.122
"{'x0': 0.761337345466, 'x1': 0.3777526030317, 'x2': 0.1479682009667}",6.0033108610005,-0.209
"{'x0': 0.376389823854, 'x1': 0.6497583221644, 'x2': 0.8339304253459}",6.0384901910001645,-3.48
"{'x0': 0.1981723494828, 'x1': 0.193832539022, 'x2': 0.4157057637349}",6.037905868999587,-0.477
"{'x0': 0.562613973394, 'x1': 0.9667649781331, 'x2': 0.6053310623392}",8.15913249299956,-1.455
"{'x0': 0.520862352103, 'x1': 0.2678987495601, 'x2': 0.4744706396013}",8.165566236000814,-0.313
"{'x0': 0.1559319663793, 'x1': 0.509642216377, 'x2': 0.5387516580522}",8.186059216999638,-1.106
"{'x0': 0.4572039525956, 'x1': 0.0849363999441, 'x2': 0.2147888811305}",8.217505648999577,-0.89
"{'x0': 0.8426402211189, 'x1': 0.82563107647, 'x2': 0.7749204589054}",10.286832026000411,-1.455
"{'x0': 0.9644609438255, 'x1': 0.1436014752835, 'x2': 0.7348279934376}",10.294009568000549,-0.702
"{'x0': 0.3295134259388, 'x1': 0.8833309570327, 'x2': 0.2988419160247}",10.295127813000365,-0.366
"{'x0': 0.0262835538015, 'x1': 0.4605784183368, 'x2': 0.9515247875825}",10.36332224800026,-2.659
"{'x0': 0.6407251739874, 'x1': 0.6993807032704, 'x2': 0.0118775656447}",12.430329532000542,-0.004
"{'x0': 0.6720549231395, 'x1': 0.4728920105845, 'x2': 0.5171218980104}",12.483683009000742,-0.468
"{'x0': 0.057493143715, 'x1': 0.7497192518786, 'x2': 0.4570208378136}",12.490865592000771,-1.952
"{'x0': 0.3607125179842, 'x1': 0.1568005112931, 'x2': 0.7965177791193}",12.510619483999108,-0.927
"{'x0': 0.995784024708, 'x1': 0.9327239207923, 'x2': 0.2322672782466}",14.61104896299912,-0.012
"{'x0': 0.8739337455481, 'x1': 0.0990200415254, 'x2': 0.2540492024273}",14.666784240000196,-0.461
"{'x0': 0.4883734732866, 'x1': 0.8739553755149, 'x2': 0.6936659067869}",14.662607546999425,-1.62
"{'x0': 0.1871100924909, 'x1': 0.2829899648204, 'x2': 0.0566988745704}",14.641206656000575,-0.182
"{'x0': 0.552160622552, 'x1': 0.5568989198655, 'x2': 0.9926544344053}",16.771974973000397,-2.165
"{'x0': 0.5939046181738, 'x1': 0.2401126967743, 'x2': 0.1157002616674}",16.74447069300004,-0.371
"{'x0': 0.2293428424746, 'x1': 0.982832679525, 'x2': 0.9258385188878}",16.769665673000418,-0.624
"{'x0': 0.4075669851154, 'x1': 0.4231473170221, 'x2': 0.3206181125715}",16.770235845999196,-0.419
"{'x0': 0.7926384881139, 'x1': 0.6667716084048, 'x2': 0.634907710366}",18.875518721000844,-1.176
"{'x0': 0.9208369078115, 'x1': 0.3639844274148, 'x2': 0.8475007917732}",18.88717259499936,-2.604
"{'x0': 0.2852766392753, 'x1': 0.6085967943072, 'x2': 0.1578449755907}",18.886092589000327,-0.073
"{'x0': 0.3262131910973, 'x1': 0.6564987760316, 'x2': 0.8202281041579}",19.18605316600042,-3.4
"{'x0': 0.9813739185591, 'x1': 0.9917955070289, 'x2': 0.7025529375991}",20.969867518000683,-0.354
"{'x0': 0.3341559324465, 'x1': 0.691703436173, 'x2': 0.8420132586241}",21.01513612099916,-3.224
"{'x0': 0.333959825723, 'x1': 0.6692124636514, 'x2': 0.8413857521704}",21.015753831999973,-3.39
"{'x0': 0.3459437939957, 'x1': 0.6570404550712, 'x2': 0.8380399557383}",21.296653793000587,-3.459
"{'x0': 0.3406028994694, 'x1': 0.6625535117741, 'x2': 0.8267786894654}",23.11553682200065,-3.387
"{'x0': 0.3335310321767, 'x1': 0.6750100509357, 'x2': 0.8329096944044}",23.10665394100033,-3.327
"{'x0': 0.3284864863813, 'x1': 0.6484797305348, 'x2': 0.8259783984222}",23.142108195999757,-3.475
"{'x0': 0.7298055578822, 'x1': 0.0891162065985, 'x2': 0.8173136701856}",23.652874879999217,-0.545
"{'x0': 0.8690154807072, 'x1': 0.0491204321204, 'x2': 0.8169807972475}",25.197217046999867,-0.381
"{'x0': 0.6262377551653, 'x1': 0.0535347902785, 'x2': 0.8198454004834}",25.260748048000096,-0.404
"{'x0': 0.8746290365106, 'x1': 0.0307068223607, 'x2': 0.8288197563368}",25.26139198899909,-0.317
"{'x0': 0.6704972860107, 'x1': 0.9762372206607, 'x2': 0.7796566271793}",25.722124646999877,-0.715
"{'x0': 0.9498983336575, 'x1': 0.0390658716907, 'x2': 0.8214214884245}",27.30486634699992,-0.343
