configs,runtime_traj,F1
"{'x0': 0.5928446182250183, 'x1': 0.8442657485810173, 'x2': 0.8579456176227568}",5.014036743003089,-1.709
"{'x0': 0.8472517387841254, 'x1': 0.6235636967859723, 'x2': 0.3843817072926998}",10.01573283000107,-0.166
"{'x0': 0.2975346065444723, 'x1': 0.0567129773174431, 'x2': 0.2726562945801132}",5.014028823003173,-0.949
"{'x0': 0.4776651173213498, 'x1': 0.8121687287754932, 'x2': 0.4799771723750573}",5.01401355300186,-1.659
"{'x0': 0.3927847961008297, 'x1': 0.8360787635373775, 'x2': 0.3373961604172684}",15.028326775001917,-0.569
"{'x0': 0.6481718720511972, 'x1': 0.3682415398405479, 'x2': 0.9571551589530464}",15.028319355002168,-1.905
"{'x0': 0.1403507804126451, 'x1': 0.8700872583584364, 'x2': 0.4736080452737105}",15.02830445500149,-2.474
"{'x0': 0.8009107519796442, 'x1': 0.5204774795512048, 'x2': 0.6788795301189603}",15.02687817900005,-1.758
"{'x0': 0.7206326547259168, 'x1': 0.5820197920751071, 'x2': 0.5373732294490107}",30.079384808002946,-0.679
"{'x0': 0.7586156243223572, 'x1': 0.1059076071877921, 'x2': 0.4736004193466574}",25.078137727003195,-0.208
"{'x0': 0.1863323433267599, 'x1': 0.7369181771289581, 'x2': 0.2165503544243718}",25.07812949700019,-0.097
"{'x0': 0.135218173405452, 'x1': 0.3241410077932141, 'x2': 0.1496748671836831}",25.07811522700285,-0.366
"{'x0': 0.2223213882515876, 'x1': 0.3864889811258619, 'x2': 0.9025984755294046}",35.09317818400086,-2.715
"{'x0': 0.4499499899112276, 'x1': 0.6130634578841324, 'x2': 0.9023485831739844}",40.094323373003135,-3.467
"{'x0': 0.0992803503589738, 'x1': 0.9698090677467488, 'x2': 0.6531400357979377}",35.093156764000014,-2.2
"{'x0': 0.1709095851360451, 'x1': 0.358152166969525, 'x2': 0.7506861412184562}",35.093170814001496,-2.267
"{'x0': 0.6078306687154678, 'x1': 0.3250472290083525, 'x2': 0.0384254264727347}",45.09862167200117,-0.114
"{'x0': 0.634274057957335, 'x1': 0.9589492686245203, 'x2': 0.6527903170054908}",45.10012917600034,-1.082
"{'x0': 0.6350588736035638, 'x1': 0.9952995676778876, 'x2': 0.5818503294385343}",45.10014450600284,-1.145
"{'x0': 0.4143685882263688, 'x1': 0.4746975022884129, 'x2': 0.6235101011318682}",45.100151906000974,-1.374
"{'x0': 0.3380076148388917, 'x1': 0.6747523222590207, 'x2': 0.3172017420692961}",50.11781233000147,-0.361
"{'x0': 0.778345482025909, 'x1': 0.949571053450742, 'x2': 0.6625268669500443}",55.11930347300222,-0.725
"{'x0': 0.0135716356121098, 'x1': 0.6228460955466695, 'x2': 0.6736596308357894}",50.11779694100187,-2.39
"{'x0': 0.9719450024996658, 'x1': 0.878193471347177, 'x2': 0.5096243767199001}",55.11928696300311,-0.335
"{'x0': 0.0557146937016063, 'x1': 0.4511592145209281, 'x2': 0.0199876654087587}",60.14671330900092,-0.039
"{'x0': 0.4417109212488453, 'x1': 0.9795867288127283, 'x2': 0.3594444639693215}",60.146721479002736,-0.613
"{'x0': 0.4808935308361628, 'x1': 0.6886611828057704, 'x2': 0.8804758892525955}",60.14510838500064,-3.155
"{'x0': 0.9182354663621448, 'x1': 0.2168221376275428, 'x2': 0.5651888666048753}",60.1466974190007,-0.281
"{'x0': 0.5982991046750127, 'x1': 0.8413447953344302, 'x2': 0.8621450210413346}",70.34094139000081,-1.731
"{'x0': 0.865102561305385, 'x1': 0.5089689606670145, 'x2': 0.9167229540194608}",70.34096934000263,-3.164
"{'x0': 0.5929121836381768, 'x1': 0.8426927248081832, 'x2': 0.8531857193409506}",70.340962950002,-1.724
"{'x0': 0.5952440428666418, 'x1': 0.8393027257755467, 'x2': 0.8559026579231193}",70.34095565000098,-1.754
"{'x0': 0.5925165317732283, 'x1': 0.8397490580975335, 'x2': 0.8570760345048226}",75.55506490400148,-1.75
"{'x0': 0.5966019260591542, 'x1': 0.8521467076969106, 'x2': 0.8571325555139918}",75.55509801300286,-1.637
"{'x0': 0.5957583326569544, 'x1': 0.844407915418571, 'x2': 0.8645390666431477}",75.5503765100002,-1.703
"{'x0': 0.9211576102371998, 'x1': 0.0831124926306023, 'x2': 0.2777185612810324}",75.55508878300316,-0.395
"{'x0': 0.5948332164714992, 'x1': 0.8442857821951987, 'x2': 0.8587539226314681}",80.62668257600308,-1.708
"{'x0': 0.5920622630558867, 'x1': 0.8429240559413538, 'x2': 0.8545355248104004}",85.87020726600167,-1.722
"{'x0': 0.0093567048565326, 'x1': 0.842342079667731, 'x2': 0.6471741401875555}",85.87020174600184,-2.618
"{'x0': 0.586551029415426, 'x1': 0.8405072737115236, 'x2': 0.8597973749572039}",85.87018404600167,-1.745
"{'x0': 0.5886692732831783, 'x1': 0.8434249053358281, 'x2': 0.8591177058517435}",85.87019560600311,-1.718
"{'x0': 0.8413861191973544, 'x1': 0.2647301642834496, 'x2': 0.397820752758629}",91.01682440600052,-0.266
"{'x0': 0.5908077567755984, 'x1': 0.8436150430580032, 'x2': 0.8593920385660744}",91.01312429000244,-1.715
"{'x0': 0.595455903194335, 'x1': 0.8435584824091457, 'x2': 0.8603726089094149}",91.01684507600294,-1.713
"{'x0': 0.5528214798875715, 'x1': 0.1649404602418841, 'x2': 0.36980809274834}",96.21131229800083,-0.652
"{'x0': 0.5912290563912141, 'x1': 0.8442818805557201, 'x2': 0.8645758657529874}",96.21133364799972,-1.706
"{'x0': 0.5974713188329682, 'x1': 0.8492369807178264, 'x2': 0.860702559627314}",96.21132590799972,-1.661
"{'x0': 0.1464417627291122, 'x1': 0.5696184059233067, 'x2': 0.7037372792899163}",96.21134001800236,-2.588
"{'x0': 0.5931308272036616, 'x1': 0.8447812377800744, 'x2': 0.8559837524054104}",101.32520423000096,-1.705
"{'x0': 0.2884764370485286, 'x1': 0.433288061982044, 'x2': 0.7561066938650409}",106.45483381300072,-2.795
"{'x0': 0.5921008579258504, 'x1': 0.8381855057164144, 'x2': 0.8562801717073559}",106.45480771300208,-1.765
