configs,runtime_traj,F1
"{'x0': 0.5267042605674004, 'x1': 0.426473453646783, 'x2': 0.5639259622852021, 'x3': 0.0966160181753079, 'x4': 0.7056390523533649, 'x5': 0.4669235323406643}",5.007555064999906,-0.202
"{'x0': 0.6174749181090259, 'x1': 0.2863414758915216, 'x2': 0.7143824209487435, 'x3': 0.2692182411898636, 'x4': 0.9972022822815902, 'x5': 0.6429964980111895}",5.007587305000925,-0.045
"{'x0': 0.9745297701584018, 'x1': 0.6169386986394141, 'x2': 0.0906729367261439, 'x3': 0.8712981557515673, 'x4': 0.6287063277181637, 'x5': 0.1416673582957649}",5.007578185002785,-0.003
"{'x0': 0.1983829564440659, 'x1': 0.3216636045684394, 'x2': 0.7677265197532777, 'x3': 0.0928826326048678, 'x4': 0.3796479971044001, 'x5': 0.2185058269131721}",5.007594655002322,-0.357
"{'x0': 0.8389370660730174, 'x1': 0.1782156299025138, 'x2': 0.7980077781278524, 'x3': 0.6366878694918818, 'x4': 0.488823390951636, 'x5': 0.7229617596001938}",10.012361806002446,-0.184
"{'x0': 0.2234227517333636, 'x1': 0.8752579385633167, 'x2': 0.3412008701270533, 'x3': 0.1383864546337154, 'x4': 0.5260512699807, 'x5': 0.3923683354424064}",10.012345385999652,-0.19
"{'x0': 0.7832775001402306, 'x1': 0.8397867734898051, 'x2': 0.5747371022832194, 'x3': 0.4569502291261256, 'x4': 0.6521042507828132, 'x5': 0.0750988555029836}",10.012379906002025,-0.229
"{'x0': 0.97996589908944, 'x1': 0.6443155742819836, 'x2': 0.2350140738060017, 'x3': 0.9270643418157656, 'x4': 0.3404339265836882, 'x5': 0.7096747254690294}",10.01237115600088,-0.004
"{'x0': 0.1714769099832053, 'x1': 0.7644870983563645, 'x2': 0.3722140807216682, 'x3': 0.0766786254045747, 'x4': 0.4271622172240641, 'x5': 0.0953086806050284}",15.454003793001904,-0.138
"{'x0': 0.070954804303884, 'x1': 0.2660494980669524, 'x2': 0.6670295196699259, 'x3': 0.0160156143809752, 'x4': 0.5689709185232319, 'x5': 0.1744788662494886}",15.452321222001046,-0.22
"{'x0': 0.1640218979202837, 'x1': 0.4204798369312319, 'x2': 0.7815781780740172, 'x3': 0.0587280874244996, 'x4': 0.1676825838842932, 'x5': 0.0167782942356716}",15.454025513001396,-0.052
"{'x0': 0.1811003485010175, 'x1': 0.4133890323344722, 'x2': 0.7113992344620825, 'x3': 0.0533263964641916, 'x4': 0.1839296353420761, 'x5': 0.0760847236408451}",15.454037743002118,-0.1
"{'x0': 0.463150538756103, 'x1': 0.022177819174676, 'x2': 0.7534077706029221, 'x3': 0.049411759907642, 'x4': 0.3306990916916227, 'x5': 0.3366177334863802}",21.20130346500082,-0.5
"{'x0': 0.463150538756103, 'x1': 0.022177819174676, 'x2': 0.7534077706029221, 'x3': 0.049411759907642, 'x4': 0.3306990916916227, 'x5': 0.3366177334863802}",21.20131385500281,-0.5
"{'x0': 0.2070861741342002, 'x1': 0.0172599638717371, 'x2': 0.7423107863668608, 'x3': 0.8894388576959353, 'x4': 0.4682612130177579, 'x5': 0.9771520567246016}",21.20128550500158,-0.097
"{'x0': 0.2373374584925788, 'x1': 0.3242667268068739, 'x2': 0.7563204855076041, 'x3': 0.332343510282751, 'x4': 0.0642759065878012, 'x5': 0.8580538272291688}",21.201323805002176,-1.37
"{'x0': 0.677500690351013, 'x1': 0.2359238769331957, 'x2': 0.5806020926262276, 'x3': 0.0466875763860652, 'x4': 0.0113541822186857, 'x5': 0.2387143239926965}",26.92170193600032,-0.052
"{'x0': 0.865618788854755, 'x1': 0.0095747928219136, 'x2': 0.7484608749343709, 'x3': 0.4513655369081961, 'x4': 0.0474564075164086, 'x5': 0.7222037938319974}",26.912458445000084,-0.227
"{'x0': 0.8230955720573101, 'x1': 0.8432282565324429, 'x2': 0.424057178098512, 'x3': 0.2021424263664406, 'x4': 0.109857765526373, 'x5': 0.2085179259618019}",26.921671195999807,-0.044
"{'x0': 0.5136359372961861, 'x1': 0.6734656846505451, 'x2': 0.7610689417525136, 'x3': 0.3378964626670989, 'x4': 0.1151145060177472, 'x5': 0.7997587941863908}",26.92171702600172,-0.64
"{'x0': 0.4169142716883709, 'x1': 0.8109463721777529, 'x2': 0.7654820829140462, 'x3': 0.3663533098258279, 'x4': 0.1798072843826621, 'x5': 0.8881020612618333}",32.87192120800319,-0.402
"{'x0': 0.7500534636051582, 'x1': 0.9103388022640532, 'x2': 0.750849441667888, 'x3': 0.2886026931073763, 'x4': 0.0608373209151706, 'x5': 0.8900577310156889}",32.87189790800039,-0.108
