configs,runtime_traj,F1
"{'x0': 0.8597909399116204, 'x1': 0.0831136811170024, 'x2': 0.0318114352005772, 'x3': 0.0513738592698251, 'x4': 0.2049861728649367, 'x5': 0.8101213412218309}",5.208211425999252,-0.313
"{'x0': 0.8973483670823694, 'x1': 0.7915975219826954, 'x2': 0.0172578682836187, 'x3': 0.2422858622227711, 'x4': 0.7503342693715368, 'x5': 0.7748740072281417}",10.21421190000001,-0.005
"{'x0': 0.7556598173612326, 'x1': 0.6421528754493424, 'x2': 0.1121802936374749, 'x3': 0.9596023452028009, 'x4': 0.311813662427621, 'x5': 0.7188590991218801}",15.217961434000244,-0.006
"{'x0': 0.0900509620563294, 'x1': 0.8375205403063619, 'x2': 0.4814488659147043, 'x3': 0.4051813096406715, 'x4': 0.9265595269391772, 'x5': 0.4286734053123715}",20.230025131999355,-0.158
"{'x0': 0.6227121641783009, 'x1': 0.1249084325356479, 'x2': 0.8663420347614615, 'x3': 0.1482092252628459, 'x4': 0.8170563194781851, 'x5': 0.0751191044601801}",25.235910116000014,-0.005
"{'x0': 0.01, 'x1': 0.02, 'x2': 0.03, 'x3': 0.04, 'x4': 0.05, 'x5': 0.06}",41.96203457900083,-0.02
"{'x0': 0.1, 'x1': 0.2, 'x2': 0.3, 'x3': 0.4, 'x4': 0.5, 'x5': 0.6}",46.98046132399941,-1.407
"{'x0': 0.15, 'x1': 0.35, 'x2': 0.55, 'x3': 0.75, 'x4': 0.95, 'x5': 0.25}",51.993468421000216,-0.092
"{'x0': 0.3, 'x1': 0.3, 'x2': 0.3, 'x3': 0.3, 'x4': 0.3, 'x5': 0.3}",57.00386175700078,-1.019
"{'x0': 0.05, 'x1': 0.15, 'x2': 0.25, 'x3': 0.35, 'x4': 0.45, 'x5': 0.55}",74.30210461999923,-1.707
"{'x0': 0.45, 'x1': 0.55, 'x2': 0.45, 'x3': 0.55, 'x4': 0.45, 'x5': 0.55}",79.31383943699984,-0.546
"{'x0': 0.35, 'x1': 0.65, 'x2': 0.35, 'x3': 0.65, 'x4': 0.35, 'x5': 0.65}",84.31809033699938,-0.343
"{'x0': 0.55, 'x1': 0.45, 'x2': 0.55, 'x3': 0.45, 'x4': 0.55, 'x5': 0.45}",89.32844438100074,-0.38
"{'x0': 0.11, 'x1': 0.11, 'x2': 0.11, 'x3': 0.11, 'x4': 0.11, 'x5': 0.89}",105.97826914600046,-0.664
"{'x0': 0.33, 'x1': 0.34, 'x2': 0.35, 'x3': 0.36, 'x4': 0.37, 'x5': 0.38}",110.98897500199928,-1.309
"{'x0': 0.4, 'x1': 0.4, 'x2': 0.4, 'x3': 0.6, 'x4': 0.6, 'x5': 0.6}",115.99296295699968,-0.263
"{'x0': 0.48, 'x1': 0.52, 'x2': 0.48, 'x3': 0.52, 'x4': 0.48, 'x5': 0.52}",121.00526168800025,-0.534
"{'x0': 0.38, 'x1': 0.37, 'x2': 0.36, 'x3': 0.35, 'x4': 0.34, 'x5': 0.33}",137.97440984999955,-1.04
"{'x0': 0.49, 'x1': 0.51, 'x2': 0.49, 'x3': 0.51, 'x4': 0.49, 'x5': 0.51}",142.9838120080003,-0.522
"{'x0': 0.51, 'x1': 0.49, 'x2': 0.51, 'x3': 0.49, 'x4': 0.51, 'x5': 0.49}",147.9876807590008,-0.485
"{'x0': 0.41, 'x1': 0.42, 'x2': 0.43, 'x3': 0.44, 'x4': 0.45, 'x5': 0.46}",152.99885184900086,-0.968
"{'x0': 0.25, 'x1': 0.25, 'x2': 0.25, 'x3': 0.25, 'x4': 0.75, 'x5': 0.75}",169.8268841579993,-0.204
"{'x0': 0.07, 'x1': 0.07, 'x2': 0.07, 'x3': 0.93, 'x4': 0.93, 'x5': 0.93}",174.83953624700007,-0.0
"{'x0': 0.2, 'x1': 0.2, 'x2': 0.2, 'x3': 0.8, 'x4': 0.8, 'x5': 0.8}",179.84287142100038,-0.011
"{'x0': 0.5, 'x1': 0.5, 'x2': 0.5, 'x3': 0.5, 'x4': 0.5, 'x5': 0.5}",184.8550616640005,-0.505
"{'x0': 0.11, 'x1': 0.12, 'x2': 0.13, 'x3': 0.14, 'x4': 0.15, 'x5': 0.16}",203.7270081509996,-0.188
"{'x0': 0.63, 'x1': 0.62, 'x2': 0.61, 'x3': 0.39, 'x4': 0.38, 'x5': 0.37}",208.7396551559996,-0.441
"{'x0': 0.37, 'x1': 0.38, 'x2': 0.39, 'x3': 0.61, 'x4': 0.62, 'x5': 0.63}",213.7462543340007,-0.236
