configs,runtime_traj,F1
"{'x0': -3.782548109155912, 'x1': -0.8214509928498366, 'x2': -6.972500776037043, 'x3': 7.513678958455031, 'x4': 9.850402810295725, 'x5': -4.168496198490182, 'x6': 8.485301069752222, 'x7': 5.283630156040289, 'x8': -7.031158039353464, 'x9': 8.273079385780598}",5.003394330007723,159.304
"{'x0': -4.400938387263446, 'x1': 7.862198846862526, 'x2': 8.041020819105398, 'x3': -5.183656350060828, 'x4': -9.993067861183956, 'x5': -0.7066728622084302, 'x6': -5.707438709560389, 'x7': 6.563533753606404, 'x8': 0.517112902589723, 'x9': 6.008652382520673}",10.011758938999265,146.549
"{'x0': 9.087152702451425, 'x1': 9.708806950417191, 'x2': 1.116671688821004, 'x3': 2.2216066145840845, 'x4': 2.09324806787814, 'x5': -5.904044778330142, 'x6': 5.587371132302135, 'x7': 8.80939941508927, 'x8': 3.4316845039061743, 'x9': 3.032995044146965}",15.030689317005454,160.092
"{'x0': -9.3410787681889, 'x1': 5.43174144919387, 'x2': -5.541296019361468, 'x3': -1.3450496305103936, 'x4': 7.89938536379379, 'x5': 9.61332904188675, 'x6': 8.14794665422458, 'x7': -3.1716004517218988, 'x8': 1.13769326365642, 'x9': -0.2934236663339096}",20.03780052300135,149.516
"{'x0': 3.688740602359019, 'x1': 2.6483657609893605, 'x2': 2.155155603522358, 'x3': -9.177437247960391, 'x4': 9.11473765614561, 'x5': -9.479599656708848, 'x6': 4.563913872217974, 'x7': 8.12133362687537, 'x8': 6.966452730982098, 'x9': -1.8033446427585995}",25.042632641998352,145.789
"{'x0': -7.2, 'x1': 3.8, 'x2': -9.8, 'x3': 6.1, 'x4': -0.5, 'x5': 4.2, 'x6': -5.3, 'x7': 8.6, 'x8': 1.7, 'x9': -3.6}",38.004186614009086,152.945
"{'x0': 0.0, 'x1': 0.0, 'x2': 0.0, 'x3': 0.0, 'x4': 0.0, 'x5': 0.0, 'x6': 0.0, 'x7': 0.0, 'x8': 0.0, 'x9': 0.0}",43.01602519700828,1.443
"{'x0': -2.5, 'x1': -5.0, 'x2': 3.1, 'x3': -8.7, 'x4': 1.2, 'x5': -1.8, 'x6': 6.9, 'x7': -3.4, 'x8': 7.5, 'x9': -9.1}",48.02004471700639,61.242
"{'x0': 5.8, 'x1': -1.5, 'x2': 8.3, 'x3': -4.0, 'x4': 3.9, 'x5': -7.6, 'x6': 0.8, 'x7': -6.7, 'x8': 9.2, 'x9': -2.9}",53.02457943100308,125.258
"{'x0': -1.2, 'x1': -2.5, 'x2': 1.0, 'x3': -3.0, 'x4': 0.5, 'x5': 1.5, 'x6': -0.5, 'x7': 2.0, 'x8': -1.0, 'x9': -4.0}",78.43323029000021,24.061
