configs,runtime_traj,F1
"{'x0': -0.7381406704101234, 'x1': 4.498650121762285, 'x2': 9.219644714755772, 'x3': 0.7631055992996636, 'x4': 7.719537565780698, 'x5': -2.543066666268759, 'x6': 9.647133946505658, 'x7': -4.847671180781317, 'x8': 9.681392036834556, 'x9': -6.999463359909049}",5.002985229002661,169.04
"{'x0': -0.699390584483865, 'x1': -2.292528545372834, 'x2': 9.52072860551612, 'x3': 2.650824823718628, 'x4': 4.204818332514719, 'x5': 5.069840906882126, 'x6': 5.8431577060396656, 'x7': -9.081828667777668, 'x8': 6.492113069365033, 'x9': -7.160563707372956}",10.02121577100479,132.847
"{'x0': 9.780873612451575, 'x1': 8.113087547174214, 'x2': -9.378684696365946, 'x3': -8.374934655629712, 'x4': 3.3646586675038925, 'x5': -0.2389935393385656, 'x6': -9.877512883222874, 'x7': 0.1708269100182295, 'x8': 3.0180823557597485, 'x9': 0.1787555223954999}",15.0360336080048,187.314
"{'x0': 4.3226202654993, 'x1': 0.8874332382589785, 'x2': 5.10088449987752, 'x3': -8.869912201823183, 'x4': -0.2784376791133844, 'x5': -7.41966183744319, 'x6': -0.9818403799787828, 'x7': 6.456030391911909, 'x8': 5.33336214600422, 'x9': 6.012819333892342}",20.056107430005795,82.618
"{'x0': -8.742303858458813, 'x1': 2.644977349243444, 'x2': 6.248161147593901, 'x3': -4.326960529639199, 'x4': 6.349371456068983, 'x5': 2.449211996140564, 'x6': 0.259255045735216, 'x7': 2.379614491663647, 'x8': 0.7791650044516629, 'x9': 3.4921664806439736}",25.06964836201223,52.222
"{'x0': 8.2, 'x1': -1.5, 'x2': -6.7, 'x3': 2.9, 'x4': 8.8, 'x5': -5.3, 'x6': 0.7, 'x7': -8.1, 'x8': 4.9, 'x9': -3.5}",37.98709814500762,104.129
"{'x0': 4.7, 'x1': -7.9, 'x2': 5.5, 'x3': -1.1, 'x4': -4.8, 'x5': -2.1, 'x6': 8.5, 'x7': 0.3, 'x8': 6.3, 'x9': -9.2}",42.996010456001386,79.061
"{'x0': -9.1, 'x1': -9.8, 'x2': 1.2, 'x3': 9.5, 'x4': -7.2, 'x5': 3.1, 'x6': -4.3, 'x7': 6.8, 'x8': -2.5, 'x9': 0.1}",48.00208761000249,199.504
"{'x0': -5.8, 'x1': 3.9, 'x2': -9.5, 'x3': 7.1, 'x4': -1.9, 'x5': 0.5, 'x6': 5.1, 'x7': -6.4, 'x8': -8.7, 'x9': 2.3}",53.00672692200169,154.495
"{'x0': -8.0, 'x1': 6.0, 'x2': -1.0, 'x3': -2.0, 'x4': 4.0, 'x5': 5.0, 'x6': -0.8, 'x7': 0.0, 'x8': -7.0, 'x9': 7.0}",74.50721461699868,75.341
"{'x0': -2.5, 'x1': 1.0, 'x2': -5.0, 'x3': 3.0, 'x4': -1.0, 'x5': -8.0, 'x6': -0.5, 'x7': 5.0, 'x8': -3.0, 'x9': 2.0}",79.5225004189997,42.936
"{'x0': -2.5, 'x1': 7.1, 'x2': 0.0103643027580595, 'x3': -5.3, 'x4': 1.2, 'x5': -8.9, 'x6': 2.7, 'x7': -3.1, 'x8': 9.8, 'x9': -1.7}",84.53842033199908,113.911
"{'x0': 7.0, 'x1': -4.0, 'x2': 2.0, 'x3': -6.0, 'x4': 8.0, 'x5': 1.0, 'x6': -0.2, 'x7': -7.0, 'x8': 9.0, 'x9': -1.0}",89.54133549600374,114.487
"{'x0': 1.0, 'x1': -2.0, 'x2': -5.0, 'x3': 1.0, 'x4': 2.0, 'x5': -3.0, 'x6': -0.5, 'x7': 3.0, 'x8': -4.0, 'x9': 0.5}",114.65237703701132,26.95
"{'x0': 2.0, 'x1': 0.0, 'x2': -7.0, 'x3': -2.0, 'x4': -1.0, 'x5': 6.0, 'x6': -0.9, 'x7': 8.0, 'x8': -9.0, 'x9': -2.0}",119.66437683900584,87.765
"{'x0': -9.5, 'x1': 0.0, 'x2': -1.0, 'x3': 5.0, 'x4': -5.0, 'x5': 2.0, 'x6': -0.5, 'x7': -8.0, 'x8': 1.0, 'x9': -3.0}",124.66782383900136,81.384
"{'x0': -2.0, 'x1': 4.0, 'x2': -7.0, 'x3': 1.0, 'x4': -2.0, 'x5': 6.0, 'x6': -0.8, 'x7': -1.0, 'x8': 9.0, 'x9': -9.0}",129.68267243700393,102.067
"{'x0': 0.5, 'x1': -1.0, 'x2': -2.0, 'x3': 1.0, 'x4': -1.0, 'x5': -1.0, 'x6': -0.2, 'x7': 0.0, 'x8': -1.0, 'x9': 0.0}",154.88808314400376,10.373
"{'x0': 0.0, 'x1': 0.0, 'x2': 0.0103643027580595, 'x3': 0.0, 'x4': 0.0, 'x5': 0.0, 'x6': -0.1151894683586078, 'x7': 0.0, 'x8': 0.0, 'x9': 0.0}",159.89988800200808,1.442
"{'x0': 1.0, 'x1': 0.5, 'x2': -3.0, 'x3': 2.0, 'x4': -2.0, 'x5': 0.0, 'x6': -0.5, 'x7': 1.0, 'x8': -2.0, 'x9': 1.0}",164.90334535999864,20.947
"{'x0': -1.5, 'x1': -1.5, 'x2': 1.0, 'x3': -1.5, 'x4': 1.5, 'x5': -1.5, 'x6': 1.0, 'x7': -1.5, 'x8': 1.5, 'x9': -1.5}",169.91069410899945,16.898
"{'x0': 0.0, 'x1': -0.6, 'x2': 0.02, 'x3': 0.0, 'x4': 0.0, 'x5': 0.0, 'x6': 0.0, 'x7': 0.0, 'x8': 0.0, 'x9': 0.0}",204.1033751729992,1.615
"{'x0': 0.1404368062257877, 'x1': 0.1, 'x2': 0.1, 'x3': 0.1, 'x4': 0.1, 'x5': 0.1, 'x6': -0.1151894683586078, 'x7': 0.1, 'x8': 0.1, 'x9': 0.1}",209.1181925280107,1.324
"{'x0': -1.0, 'x1': 0.1, 'x2': 0.1, 'x3': -1.0, 'x4': 0.1, 'x5': -1.0, 'x6': -0.1, 'x7': -1.0, 'x8': 0.1, 'x9': -1.0}",214.12112487301056,5.63
"{'x0': -1.0, 'x1': -0.8, 'x2': 0.1, 'x3': -1.0, 'x4': 1.0, 'x5': -1.0, 'x6': -0.1, 'x7': 1.0, 'x8': -1.0, 'x9': -1.0}",219.12463106401265,5.881
"{'x0': 0.1404368062257877, 'x1': -0.1, 'x2': 0.1, 'x3': -0.1, 'x4': 0.1, 'x5': -0.1, 'x6': -0.1151894683586078, 'x7': -0.1, 'x8': 0.1, 'x9': -0.1}",258.2273566220101,1.36
"{'x0': 0.5, 'x1': 0.2, 'x2': 0.1, 'x3': -0.5, 'x4': 0.1, 'x5': 0.2, 'x6': -0.05, 'x7': 0.1, 'x8': -0.2, 'x9': 0.1}",263.24318751900864,1.145
"{'x0': 0.1404368062257877, 'x1': -0.1, 'x2': 0.1, 'x3': -0.1, 'x4': 0.1, 'x5': -0.1, 'x6': -0.1151894683586078, 'x7': 0.1, 'x8': -0.1, 'x9': -0.1}",268.24621650100744,1.36
"{'x0': -0.2, 'x1': -0.45, 'x2': 0.2, 'x3': -0.2, 'x4': 0.2, 'x5': -0.2, 'x6': -0.115, 'x7': 0.2, 'x8': -0.2, 'x9': -0.2}",273.2497924940108,1.722
"{'x0': -0.1, 'x1': 0.2, 'x2': 0.02, 'x3': -0.05, 'x4': 0.05, 'x5': 0.0, 'x6': -0.05, 'x7': -0.1, 'x8': 0.2, 'x9': 0.0}",312.4779686250113,1.522
"{'x0': 0.1404368062257877, 'x1': 0.0, 'x2': 0.0, 'x3': 0.0, 'x4': 0.0, 'x5': 0.0, 'x6': -0.1151894683586078, 'x7': 0.0, 'x8': -0.01, 'x9': 0.0}",317.49417750800785,1.334
"{'x0': -0.1, 'x1': 0.1, 'x2': 0.0103643027580595, 'x3': -0.1, 'x4': 0.1, 'x5': -0.1, 'x6': -0.1151894683586078, 'x7': 0.1, 'x8': -0.1, 'x9': -0.1}",322.5000741650001,1.545
"{'x0': -0.1, 'x1': 0.05, 'x2': -0.05, 'x3': 0.05, 'x4': -0.05, 'x5': 0.05, 'x6': -0.115, 'x7': -0.05, 'x8': 0.05, 'x9': -0.05}",327.5059924560046,1.532
"{'x0': 0.1, 'x1': -0.2, 'x2': 0.5, 'x3': -0.5, 'x4': 0.2, 'x5': 0.0, 'x6': -0.05, 'x7': -0.1, 'x8': 0.0, 'x9': -0.5}",368.3202918820025,1.524
"{'x0': 0.1404368062257877, 'x1': -0.05, 'x2': -0.05, 'x3': -0.05, 'x4': -0.05, 'x5': -0.05, 'x6': -0.1151894683586078, 'x7': -0.05, 'x8': 0.01, 'x9': -0.05}",373.3380227930029,1.341
"{'x0': 0.01, 'x1': 0.01, 'x2': -0.01, 'x3': -0.01, 'x4': 0.01, 'x5': -0.01, 'x6': -0.115, 'x7': 0.01, 'x8': -0.01, 'x9': 0.01}",378.341214569009,1.431
"{'x0': 0.5, 'x1': -0.1, 'x2': -0.1, 'x3': 0.5, 'x4': -0.1, 'x5': -0.1, 'x6': -0.1151894683586078, 'x7': 0.5, 'x8': 0.1, 'x9': -0.1}",383.3447888160008,1.036
"{'x0': 0.8, 'x1': 0.2, 'x2': -0.2, 'x3': 0.2, 'x4': -0.2, 'x5': 0.2, 'x6': -0.115, 'x7': -0.2, 'x8': 0.2, 'x9': -0.2}",422.8146391160117,0.952
"{'x0': 0.5, 'x1': -0.2, 'x2': 0.0103643027580595, 'x3': 0.1, 'x4': -0.1, 'x5': -0.1, 'x6': -0.1151894683586078, 'x7': 0.2, 'x8': -0.1, 'x9': 0.1}",427.8397816620127,1.041
"{'x0': 0.2, 'x1': -0.1, 'x2': 0.1, 'x3': -0.1, 'x4': 0.1, 'x5': -0.1, 'x6': -0.11, 'x7': -0.1, 'x8': 0.0, 'x9': -0.1}",432.8456292970077,1.312
"{'x0': 0.1, 'x1': -0.4, 'x2': 0.1, 'x3': 0.1, 'x4': 0.1, 'x5': 0.1, 'x6': 0.1, 'x7': 0.1, 'x8': 0.1, 'x9': 0.1}",437.874493041003,1.4
"{'x0': 0.8, 'x1': -0.2, 'x2': -0.05, 'x3': 0.2, 'x4': -0.2, 'x5': 0.2, 'x6': -0.115, 'x7': 0.2, 'x8': -0.2, 'x9': -0.2}",478.2324882870016,0.949
