configs,runtime_traj,F1
"{'x0': -0.3011708711810144, 'x1': 1.9106994159891748, 'x2': -8.814004897584091, 'x3': 8.92487739222463, 'x4': -0.2227156327820356, 'x5': 4.617949807066548, 'x6': -1.8179378067117116, 'x7': 1.019714414636244, 'x8': -1.7736459835879153, 'x9': -2.480191943255265}",5.002523681992898,62.099
"{'x0': 1.5068254923474615, 'x1': 2.000011161767061, 'x2': -2.7189282291232253, 'x3': -0.2138289307501839, 'x4': 0.292444916324321, 'x5': -7.220308336681191, 'x6': 3.22015805322296, 'x7': 4.407491579365804, 'x8': -8.810260538890805, 'x9': 9.783287890760462}",10.009640360993217,65.332
"{'x0': -5.053706868784933, 'x1': 2.206657407282972, 'x2': 5.42157513851841, 'x3': 2.788273643851662, 'x4': -4.714903416014973, 'x5': -4.873554975297849, 'x6': -2.971815848467118, 'x7': 9.69270447324967, 'x8': 9.013098158828868, 'x9': 9.443769416800189}",15.016289309991407,135.782
"{'x0': 3.920586533757442, 'x1': -4.107990899245242, 'x2': 0.4494139392787151, 'x3': -0.4381005236915847, 'x4': 1.9511786318929207, 'x5': 9.750679586457752, 'x6': 4.879742914870434, 'x7': -8.855439477599719, 'x8': -8.516122332917861, 'x9': 9.638506382741156}",20.027987873996608,96.92
"{'x0': -0.0756631940520673, 'x1': -8.530126514366586, 'x2': -1.646988599748278, 'x3': 3.296165928022674, 'x4': 0.4212099173570909, 'x5': 6.089558062399327, 'x6': -9.7885410643559, 'x7': -8.839042436861915, 'x8': -4.691022750438238, 'x9': -3.794316903669193}",25.03095181299432,123.809
"{'x0': -4.1, 'x1': -0.5, 'x2': 8.3, 'x3': 1.2, 'x4': -7.8, 'x5': -1.7, 'x6': 4.0, 'x7': 2.6, 'x8': -9.9, 'x9': 7.1}",38.12947716999042,107.522
"{'x0': 8.9, 'x1': -2.5, 'x2': 0.7, 'x3': -9.4, 'x4': 1.9, 'x5': 6.0, 'x6': -3.8, 'x7': -7.6, 'x8': 5.4, 'x9': -1.0}",43.13777899599518,133.644
"{'x0': 5.2, 'x1': -8.7, 'x2': -1.2, 'x3': 2.9, 'x4': -5.1, 'x5': 7.4, 'x6': -9.1, 'x7': 0.5, 'x8': -6.3, 'x9': 3.2}",48.14088302799792,107.049
"{'x0': -0.8, 'x1': 7.9, 'x2': -6.1, 'x3': 4.3, 'x4': -3.0, 'x5': -8.5, 'x6': 1.7, 'x7': 9.6, 'x8': -0.2, 'x9': -4.7}",53.144013240991626,109.836
"{'x0': 0.0, 'x1': 4.0, 'x2': -0.5, 'x3': -2.0, 'x4': -4.0, 'x5': 9.0, 'x6': 5.0, 'x7': -6.0, 'x8': -0.4, 'x9': 1.0}",74.86074265299249,82.634
"{'x0': 4.9, 'x1': 1.7, 'x2': -4.3, 'x3': -2.2, 'x4': 3.7, 'x5': -9.5, 'x6': 8.1, 'x7': -6.8, 'x8': -0.3, 'x9': 0.7}",79.86976401499123,111.498
"{'x0': 0.5, 'x1': -7.0, 'x2': 5.0, 'x3': 2.0, 'x4': -2.0, 'x5': 8.0, 'x6': -4.0, 'x7': 1.0, 'x8': -1.0, 'x9': -6.0}",84.87270941599854,61.036
"{'x0': -2.5, 'x1': 5.0, 'x2': -7.0, 'x3': 1.0, 'x4': -1.5, 'x5': 8.0, 'x6': -4.0, 'x7': 3.0, 'x8': -0.1, 'x9': -9.0}",89.87574241698894,65.798
"{'x0': -2.0, 'x1': 6.0, 'x2': -5.0, 'x3': 3.0, 'x4': -1.0, 'x5': 1.0, 'x6': -3.0, 'x7': 4.0, 'x8': -0.5, 'x9': 0.5}",110.98786073600058,42.796
"{'x0': 1.1, 'x1': -8.9, 'x2': 4.2, 'x3': -6.7, 'x4': 7.8, 'x5': -0.1, 'x6': -9.1, 'x7': 0.8, 'x8': -3.5, 'x9': 2.9}",115.99977689799562,96.452
