configs,runtime_traj,F1
"{'x0': 3.695775168754349, 'x1': 7.245657571048071, 'x2': 5.734736426380904, 'x3': 0.761932774971779, 'x4': -8.667393898094025, 'x5': -1.8310792847795216, 'x6': -9.189948687094937, 'x7': 1.4736280791121743, 'x8': -7.640803518020855, 'x9': 0.0553645890988807}",5.001997024999582,88.798
"{'x0': 5.866273964864044, 'x1': 7.857385809036863, 'x2': 6.906523069239526, 'x3': 4.214917807294009, 'x4': 0.4586159327501384, 'x5': 4.540113021797129, 'x6': 4.619172396865094, 'x7': 2.7003658047178547, 'x8': -3.5871628992921405, 'x9': 1.9491954084487129}",10.00563807499566,45.217
"{'x0': -5.918270787796594, 'x1': -6.519501891908064, 'x2': 8.073198316292704, 'x3': 8.474359277849576, 'x4': 1.3753725569671147, 'x5': -5.33643193773556, 'x6': -7.28555918425948, 'x7': 0.7663032425263854, 'x8': -7.020789534390644, 'x9': -2.4595397671667563}",15.011781306995545,163.165
"{'x0': 0.9774157746064098, 'x1': 4.384550886626425, 'x2': -6.19591026942893, 'x3': 8.523751755681793, 'x4': 9.396620912031649, 'x5': 6.950852081125703, 'x6': 8.113678984995921, 'x7': -7.035304818593593, 'x8': 0.1524603790053547, 'x9': 0.3166390330126383}",20.02257427999575,146.383
"{'x0': 5.502174350163768, 'x1': -1.4758198121766917, 'x2': -2.71267876732328, 'x3': -2.534582082395609, 'x4': 0.4414410631324514, 'x5': -9.196911354231007, 'x6': 7.941464778630742, 'x7': -8.925913279276202, 'x8': -5.051068955721565, 'x9': -4.367493919401264}",25.02866569099569,106.238
"{'x0': 0.0, 'x1': -1.0, 'x2': 0.0, 'x3': 0.0, 'x4': 1.0, 'x5': -5.0, 'x6': 0.0, 'x7': 0.0, 'x8': 0.0, 'x9': 0.0}",46.2651928119958,10.968
"{'x0': 0.0, 'x1': -1.0, 'x2': 0.0, 'x3': -0.5, 'x4': 1.0, 'x5': -0.1, 'x6': -1.0, 'x7': 0.0, 'x8': 1.0, 'x9': -0.5}",51.273533323001175,3.217
"{'x0': 1.5, 'x1': 6.1, 'x2': -1.9, 'x3': -5.7, 'x4': 0.3, 'x5': 3.2, 'x6': 0.7, 'x7': -9.3, 'x8': 2.5, 'x9': 7.1}",56.27794979600003,93.291
"{'x0': -2.5, 'x1': 3.0, 'x2': -7.0, 'x3': 1.0, 'x4': 0.37, 'x5': -2.0, 'x6': -5.0, 'x7': 8.0, 'x8': -1.5, 'x9': 0.5}",61.284969458996784,63.964
"{'x0': 1.0, 'x1': -1.0, 'x2': 1.0, 'x3': -1.0, 'x4': 0.4, 'x5': 1.0, 'x6': -1.0, 'x7': -0.6, 'x8': 1.0, 'x9': -1.0}",89.98081666899816,3.532
"{'x0': -0.5, 'x1': -0.5, 'x2': 1.0, 'x3': 0.0, 'x4': 0.5, 'x5': 0.0, 'x6': -0.5, 'x7': -0.2, 'x8': 0.5, 'x9': -0.2}",94.99473063000188,1.987
"{'x0': 1.0, 'x1': -1.5, 'x2': 0.5, 'x3': -0.8, 'x4': 0.3, 'x5': 1.5, 'x6': -0.5, 'x7': 0.8, 'x8': -1.0, 'x9': 0.3}",100.00162977400032,5.113
"{'x0': 1.0, 'x1': -2.0, 'x2': 0.6, 'x3': 2.0, 'x4': 0.4, 'x5': -1.0, 'x6': 0.0, 'x7': 0.0, 'x8': -1.0, 'x9': 1.0}",105.00473587199669,8.863
"{'x0': 0.5, 'x1': -0.5, 'x2': -0.5, 'x3': 0.5, 'x4': 0.7, 'x5': -0.5, 'x6': 0.5, 'x7': -0.6, 'x8': -0.5, 'x9': 0.5}",133.62805793000007,1.404
"{'x0': -1.0, 'x1': -1.0, 'x2': 0.0, 'x3': 0.0, 'x4': 0.4, 'x5': 0.0, 'x6': -1.0, 'x7': -0.5, 'x8': 0.0, 'x9': 0.0}",138.64458465999633,4.692
"{'x0': 0.5, 'x1': -0.5, 'x2': 0.5, 'x3': -0.5, 'x4': 0.2, 'x5': 0.5, 'x6': -0.5, 'x7': -1.0, 'x8': 0.5, 'x9': -0.5}",143.6522453860016,2.25
"{'x0': 0.5, 'x1': 2.0, 'x2': 0.8, 'x3': -0.5, 'x4': 0.7, 'x5': 0.0, 'x6': -0.5, 'x7': 0.2, 'x8': 0.0, 'x9': -0.8}",148.66566173599858,1.787
"{'x0': 0.1, 'x1': -0.1, 'x2': -0.1, 'x3': 0.1, 'x4': 0.4, 'x5': -0.1, 'x6': 0.1, 'x7': -0.1, 'x8': -0.1, 'x9': 0.1}",177.2312197739957,1.328
