configs,runtime_traj,F1
"{'x0': -8.960515937432042, 'x1': 3.136089648051952, 'x2': -4.213032331500804, 'x3': -5.579493901402062, 'x4': 3.984824359134242, 'x5': -2.39425743720407, 'x6': 7.250128693793226, 'x7': -1.0798977986400988, 'x8': -0.8454070845835311, 'x9': -1.7766588608227156}",5.001953190003405,65.748
"{'x0': -0.7033721849221131, 'x1': -6.343950137356145, 'x2': -7.551626324837892, 'x3': 5.157665567822427, 'x4': -4.251552737151978, 'x5': 0.3921009755220517, 'x6': 2.933255399257978, 'x7': -3.0472650251987377, 'x8': -4.512616487066792, 'x9': 7.715567482900269}",10.009244410000974,84.349
"{'x0': 3.759224620297825, 'x1': -7.618621447372849, 'x2': -0.7792514725941757, 'x3': 3.070885961531653, 'x4': -1.675917592196324, 'x5': 8.074820007012175, 'x6': -2.221675762076183, 'x7': -1.679160320963529, 'x8': 6.745741082956275, 'x9': -1.3544748949800065}",15.013893991999794,51.531
"{'x0': 2.10507284462844, 'x1': 8.254146373571793, 'x2': 4.855769447881897, 'x3': 3.755678723579889, 'x4': -1.5586587404355503, 'x5': 2.5687231615891264, 'x6': -7.186089895005443, 'x7': 9.870200785229294, 'x8': -0.273494458836641, 'x9': -7.062384663074319}",20.02377649299888,107.075
"{'x0': -4.774716330864591, 'x1': -0.912487647922582, 'x2': -5.853222160607694, 'x3': -9.65514985555587, 'x4': -8.836765402765778, 'x5': -5.528876296598382, 'x6': -2.069025692766835, 'x7': -0.7942455994428954, 'x8': 7.487187065947431, 'x9': 1.4103473509595543}",25.02745606800454,147.436
"{'x0': 8.9, 'x1': -3.1, 'x2': 1.2, 'x3': -7.6, 'x4': -0.4, 'x5': 7.5, 'x6': -8.2, 'x7': 5.7, 'x8': -6.5, 'x9': 2.9}",37.86795948800136,114.826
"{'x0': 5.1, 'x1': -8.5, 'x2': 7.3, 'x3': -4.2, 'x4': 1.9, 'x5': -9.7, 'x6': 6.0, 'x7': -2.4, 'x8': -1.1, 'x9': 3.6}",42.87886586099921,115.584
"{'x0': -9.2, 'x1': 2.7, 'x2': -1.5, 'x3': 8.1, 'x4': -6.3, 'x5': 4.9, 'x6': -3.2, 'x7': 0.5, 'x8': 9.8, 'x9': -7.1}",47.882310703003895,154.385
"{'x0': -6.1, 'x1': -1.3, 'x2': 4.5, 'x3': -9.4, 'x4': 3.8, 'x5': -0.2, 'x6': 9.1, 'x7': -4.7, 'x8': 0.9, 'x9': -5.0}",52.89388442400377,130.086
"{'x0': -0.8, 'x1': -4.3, 'x2': 9.2, 'x3': -2.1, 'x4': 5.9, 'x5': 0.6, 'x6': 1.4, 'x7': -8.5, 'x8': -3.7, 'x9': 7.9}",65.52058454199869,82.87
"{'x0': -2.5, 'x1': 7.1, 'x2': -8.3, 'x3': 4.9, 'x4': -1.2, 'x5': -5.7, 'x6': 3.2, 'x7': -9.1, 'x8': 6.0, 'x9': 0.8}",70.52921330599929,102.408
"{'x0': 9.5, 'x1': -0.1, 'x2': 2.7, 'x3': -6.8, 'x4': 8.2, 'x5': -3.9, 'x6': -1.5, 'x7': 5.4, 'x8': -7.6, 'x9': 4.1}",75.53267541999958,128.689
"{'x0': 4.2, 'x1': -9.8, 'x2': -3.1, 'x3': 6.5, 'x4': 1.0, 'x5': -1.7, 'x6': -7.0, 'x7': 2.3, 'x8': 9.0, 'x9': -5.1}",80.54222833400127,166.899
"{'x0': -2.0, 'x1': -8.0, 'x2': -1.0, 'x3': 1.0, 'x4': -5.0, 'x5': 3.0, 'x6': -7.0, 'x7': -0.5, 'x8': 8.0, 'x9': -9.0}",97.33442020499932,67.778
"{'x0': -7.5, 'x1': 3.2, 'x2': -0.1, 'x3': 8.7, 'x4': -5.1, 'x5': -7.2, 'x6': 1.8, 'x7': 9.2, 'x8': 4.1, 'x9': -6.3}",102.34548861299844,127.11
"{'x0': 1.5, 'x1': -9.5, 'x2': 2.0, 'x3': -4.0, 'x4': 8.0, 'x5': -1.5, 'x6': -3.0, 'x7': -0.2, 'x8': 5.0, 'x9': -7.5}",107.34946879200288,87.106
"{'x0': -2.1, 'x1': 0.5, 'x2': -3.8, 'x3': 1.2, 'x4': 7.9, 'x5': -1.9, 'x6': -8.1, 'x7': 2.7, 'x8': -5.3, 'x9': 4.6}",112.36469894100446,42.958
"{'x0': 3.0, 'x1': -2.0, 'x2': -8.0, 'x3': 5.0, 'x4': -1.0, 'x5': 9.0, 'x6': -6.0, 'x7': 0.2, 'x8': -7.0, 'x9': 0.1}",129.03786014700017,121.468
"{'x0': -1.2, 'x1': -2.7, 'x2': 0.8, 'x3': -0.5, 'x4': 2.1, 'x5': -1.1, 'x6': 0.2, 'x7': 0.8, 'x8': -0.9, 'x9': 1.5}",134.04874322999967,14.218
"{'x0': 1.8, 'x1': -6.1, 'x2': -1.9, 'x3': 2.5, 'x4': -3.2, 'x5': 0.7, 'x6': -5.3, 'x7': 1.2, 'x8': 3.9, 'x9': -4.1}",139.05476608000026,67.836
"{'x0': -1.5, 'x1': -5.5, 'x2': 4.5, 'x3': -7.5, 'x4': 2.5, 'x5': 1.5, 'x6': -3.5, 'x7': -2.5, 'x8': -0.5, 'x9': 8.5}",144.0712643270017,67.088
"{'x0': -1.0, 'x1': -2.0, 'x2': 1.0, 'x3': -0.5, 'x4': 3.0, 'x5': 0.1, 'x6': -1.0, 'x7': -9.0, 'x8': -1.0, 'x9': 2.0}",165.29304040200077,35.75
