configs,runtime_traj,F1
"{'x0': 7.335668677276047, 'x1': 0.3881014034932324, 'x2': -4.897728060840607, 'x3': -5.310218269492508, 'x4': 2.6838477775960925, 'x5': -2.01200730222925, 'x6': -1.51864755197896, 'x7': -0.4235472081109925, 'x8': 1.2311784803686263, 'x9': 0.8206078077555041}",5.001558873002068,38.895
"{'x0': 9.427173968134731, 'x1': -0.7125892284521527, 'x2': -5.499452359027115, 'x3': 4.047172316222218, 'x4': -2.92719436310112, 'x5': -5.736421837540673, 'x6': 7.650037280831256, 'x7': 0.6204543468836992, 'x8': -2.913972326153713, 'x9': -5.9705631105817965}",10.00479548000294,120.295
"{'x0': -6.743812845166728, 'x1': 4.008917445858323, 'x2': -6.926501034751058, 'x3': 7.382247242946537, 'x4': 1.99167849226496, 'x5': 3.938671210974592, 'x6': 4.196185237911745, 'x7': 2.490264098190771, 'x8': 3.9647655422017856, 'x9': 6.567585661887353}",15.007661159004783,82.646
"{'x0': -8.830970868701659, 'x1': -6.42460416805803, 'x2': 5.4406851776979614, 'x3': 5.237381592345759, 'x4': -5.489155020529544, 'x5': 4.638866898098065, 'x6': 3.2499718193799314, 'x7': -9.118671998603174, 'x8': -7.80747337368207, 'x9': -4.345768437165378}",20.01528103800229,149.171
"{'x0': 2.809941128515705, 'x1': -5.041317441920104, 'x2': 1.4796959120255622, 'x3': -1.5675546437839287, 'x4': 2.040332862155436, 'x5': 7.237111992638326, 'x6': -4.505936145754248, 'x7': 8.813876486099097, 'x8': -9.118734184240608, 'x9': -8.515039412650019}",25.01875827400363,88.877
"{'x0': -0.1, 'x1': 0.1, 'x2': -0.8, 'x3': -0.5, 'x4': 0.0, 'x5': -0.2, 'x6': 0.3, 'x7': -0.1, 'x8': 0.2, 'x9': -0.3}",52.65881235100096,2.119
"{'x0': 2.0, 'x1': 1.0, 'x2': -1.0, 'x3': 1.0, 'x4': -1.0, 'x5': 0.0, 'x6': 1.0, 'x7': -1.0, 'x8': 1.0, 'x9': -1.0}",57.667443157006346,4.439
"{'x0': 0.1, 'x1': 0.0, 'x2': 0.0, 'x3': 0.0, 'x4': 0.0, 'x5': 0.0, 'x6': 0.0, 'x7': 0.0, 'x8': 0.0, 'x9': 0.0}",62.67421469400142,1.366
"{'x0': 0.5, 'x1': -2.0, 'x2': 3.0, 'x3': -1.0, 'x4': 0.0, 'x5': 1.0, 'x6': -5.0, 'x7': 2.0, 'x8': -7.0, 'x9': 4.0}",67.67739164500381,51.121
"{'x0': 0.3, 'x1': 0.1, 'x2': -0.2, 'x3': -0.75, 'x4': -0.1, 'x5': 0.1, 'x6': -0.3, 'x7': 0.2, 'x8': 0.0, 'x9': -0.1}",95.9377763750017,1.616
"{'x0': 0.2, 'x1': 0.0, 'x2': -0.75, 'x3': 0.0, 'x4': 0.0, 'x5': 0.0, 'x6': 0.0, 'x7': 0.0, 'x8': 0.0, 'x9': 0.0}",100.95053108600403,1.647
"{'x0': 0.3, 'x1': -0.5, 'x2': 0.2, 'x3': -0.1, 'x4': 0.1, 'x5': 0.8, 'x6': -0.2, 'x7': 0.3, 'x8': -0.4, 'x9': -1.0}",105.95712539500528,1.404
"{'x0': 0.8, 'x1': -0.2, 'x2': 0.5, 'x3': -0.3, 'x4': 0.0, 'x5': 0.9, 'x6': 0.1, 'x7': -0.1, 'x8': 0.2, 'x9': -0.5}",110.9600825430025,0.888
"{'x0': 0.8, 'x1': 0.2, 'x2': -0.2, 'x3': -0.1, 'x4': 0.1, 'x5': 0.9, 'x6': -0.2, 'x7': 0.1, 'x8': -0.1, 'x9': -0.3}",139.14294434800104,0.879
"{'x0': 0.3, 'x1': -0.1, 'x2': 0.0, 'x3': 0.1, 'x4': -0.1, 'x5': 0.8, 'x6': 0.0, 'x7': -0.1, 'x8': 0.1, 'x9': -0.2}",144.15501562800637,1.186
"{'x0': 0.8, 'x1': 0.0, 'x2': -0.1, 'x3': -0.6, 'x4': 0.1, 'x5': -0.05, 'x6': 0.1, 'x7': -0.1, 'x8': 0.0, 'x9': 0.0}",149.16189959900657,1.065
